"alg-geom/9711031","Jim Bryan","Jim Bryan and Naichung Conan Leung","The enumerative geometry of K3 surfaces and modular forms","24 pages, LaTeX2e with eepic macros",,,,"alg-geom hep-th math.AG",,"  We prove the conjectures of Yau-Zaslow and Gottsche concerning the number
curves on K3 surfaces. Specifically, let X be a K3 surface and C be a
holomorphic curve in X representing a primitive homology class. We count the
number of curves of geometric genus g with n nodes passing through g generic
points in X in the linear system |C| for any g and n satisfying C^2=2g+2n-2.
  When g=0, this coincides with the enumerative problem studied by Yau and
Zaslow who obtained a conjectural generating function for the numbers.
Recently, Gottsche has generalized their conjecture to arbitrary g in terms of
quasi-modular forms. We prove these formulas using Gromov-Witten invariants for
families, a degeneration argument, and an obstruction bundle computation. Our
methods also apply to P^2 blown up at 9 points where we show that the ordinary
Gromov-Witten invariants of genus g constrained to g points are also given in
terms of quasi-modular forms.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 23:21:11 GMT""}]","2007-05-23"
"hep-ph/9711450","Ho Meoyng Choi","Ho-Meoyng Choi and Chueng-Ryong Ji(NCSU)","Mixing angles and electromagnetic properties of ground state
  pseudoscalar and vector meson nonets in the light-cone quark model","22 pages, 10 figures, to appear in Phys. Rev. D","Phys.Rev. D59 (1999) 074015","10.1103/PhysRevD.59.074015",,"hep-ph",,"  Both the mass spectra and the wave functions of the light pseudoscalar
($\pi,K,\eta,\eta'$) and vector($\rho,K^{*},\omega,\phi$) mesons are analyzed
within the framework of the light-cone constituent quark model. A gaussian
radial wave function is used as a trial function of the variational principle
for a QCD motivated Hamiltonian which includes not only the Coulomb plus
confining potential but also the hyperfine interaction to obtain the correct
$\rho-\pi$ splitting. For the confining potential, we use (1) harmonic
oscillator potential and (2) linear potential and compare the numerical results
for these two cases. The mixing angles of $\omega-\phi$ and $\eta-\eta'$ are
predicted and various physical observables such as decay constants, charge
radii, and radiative decay rates $etc.$ are calculated. Our numerical results
in two cases (1) and (2) are overall not much different from each other and
have a good agreement with the available experimental data. use (1) harmonic
oscillator potential and (2) linear potential and compare the numerical results
for these two cases. The mixing angles of $\omega-\phi$ and $\eta-\eta'$ are
predicted and various physical observables such as decay constants, charge
radii, and radiative decay rates $etc.$ are calculated. Our numerical results
in two cases (1) and (2) are overall not much different from each other and
have a good agreement with the available experimental data.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:11:33 GMT""},{""version"":""v2"",""created"":""Tue, 25 Nov 1997 03:56:53 GMT""},{""version"":""v3"",""created"":""Wed, 26 Nov 1997 05:17:20 GMT""},{""version"":""v4"",""created"":""Sat, 13 Jun 1998 19:31:34 GMT""},{""version"":""v5"",""created"":""Fri, 8 Jan 1999 04:06:17 GMT""}]","2009-10-30"
"hep-ph/9711451","Colin Morningstar","K.J. Juge, J. Kuti, and C.J. Morningstar","A study of hybrid quarkonium using lattice QCD","to appear in Proceedings of HADRON97, BNL, August 1997, edited by
  S.U. Chung, AIP press; 4 pages, Latex, uses aipproc.sty, 2 postscript figures",,"10.1063/1.56000","UCSD/PTH 97-36","hep-ph",,"  The hybrid quarkonium states are studied using the Born-Oppenheimer
expansion. The first step in this expansion is the determination of the energy
levels of the gluons in the presence of a static quark-antiquark pair as a
function of the quark-antiquark separation. The spectrum of such gluonic
excitations is determined from first principles using lattice QCD.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 23:29:07 GMT""}]","2009-10-30"
"hep-ph/9711452","Robert Brandenberger","Xinmin Zhang, Tao Huang and Robert H. Brandenberger (Institute for
  High Energy Physics, Academia Sinica, and Brown University)","Pion and Eta Strings","5 pages, LATEX","Phys. Rev. D 58, 027702 (1998)","10.1103/PhysRevD.58.027702","BROWN-HET-1103","hep-ph",,"  In this paper we construct a string-like classical solution, the pion-string,
in the linear sigma model. We then study the stability of the pion-string, and
find that it is unstable in the parameter space allowed experimentally. We also
speculate on the existance of an unstable eta-string, associated with
spontaneous breakdown of the anomalous $U_A(1)$ symmetry in QCD at high
temperatures. The implications of the pion and eta strings for cosmology and
heavy ion collisions are briefly mentioned.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:51:48 GMT""}]","2016-08-25"
"hep-ph/9711453","Xiaofeng Guo","Xiaofeng Guo (Columbia University)","Nuclear Dependence in Drell-Yan Transverse Momentum Distribution","Latex, 31 pages, 15 figures, acknowledgments of DOE grant was added","Phys.Rev. D58 (1998) 036001","10.1103/PhysRevD.58.036001","CU-TP-862","hep-ph nucl-th",,"  We calculate the nuclear enhancement in Drell-Yan transverse momentum
distribution in hadron-nucleus collisions. In terms of multiple scattering
picture, we compute the contributions from double scattering. Applying the
generalized factorization theorem, we express the nuclear enhancement in terms
of twist-4 nuclear parton correlation functions. We demonstrate that these
twist-4 nuclear parton correlation functions are universal, and are the same as
those used to explain the nuclear dependence in di-jet momentum imbalance and
in direct photon production. Using the known information on the twist-4 parton
correlation functions, we estimate the nuclear enhancement for Drell-Yan pair
in large $q_T$ region. We also discuss the source of nuclear suppression in
small $q_T$ region.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 23:16:45 GMT""},{""version"":""v2"",""created"":""Fri, 28 Nov 1997 17:05:46 GMT""}]","2009-10-30"
"hep-ph/9711454","Toshiaki Ito","Toshiaki Ito, Naotoshi Okamura and Morimitsu Tanimoto","NNI Quark-Lepton Mass Matrices in SUSY SU(5) GUT","7 pages, 1 figure using epsf.sty","Phys.Rev.D58:077301,1998; Erratum-ibid.D59:039902,1999","10.1103/PhysRevD.58.077301 10.1103/PhysRevD.59.039902","DCE-APU-97-02/DPNU-97-54/EHU-97-11","hep-ph",,"  We propose the Fritzsch-Branco-Silva-Marcos type fermion mass matrix, which
is a typical texture in the nearest-neighbor interaction form, in SU(5) GUT. By
evolution of the mass matrices with SU(5) GUT relations in the minimal SUSY
standard model, we obtain predictions for the unitarity triangle of CP
violation as well as the quark flavor mixing angles, which are consistent with
experimental data, in the case of \tan\beta \simeq 3.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 03:55:14 GMT""}]","2014-11-17"
"hep-ph/9711455","Palash B. Pal","Hoang Ngoc Long, Palash B Pal","Nucleon instability in a supersymmetric SU(3)_c X SU(3)_L X U(1) model","4 pages, Latex, uses axodraw.sty (some comments and references added)","Mod.Phys.Lett.A13:2355-2360,1998","10.1142/S0217732398002503",,"hep-ph",,"  We construct the supersymmetric version of a model based on the gauge group
SU(3)_c X SU(3)_L X U(1). We discuss the mechanism of baryon number violation
which induces nucleon decay, and derive bounds on the relevant couplings.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 05:06:44 GMT""},{""version"":""v2"",""created"":""Thu, 3 Sep 1998 09:11:17 GMT""}]","2008-11-26"
"hep-ph/9711456","Kurt Riesselmann","Kurt Riesselmann (DESY Zeuthen)","Limitations of a Standard Model Higgs Boson","9 pages; to appear in the Proceedings of the 35th Course of the
  International School of Subnuclear Physics: ``Highlights: 50 Years Later'',
  Erice, Italy, Aug. 26 - Sept. 4, 1997",,,"DESY 97-222","hep-ph",,"  This contribution reviews the latest results of the perturbative calculations
of heavy-Higgs amplitudes. A comparison of perturbative results with
nonperturbative lattice calculations is made, and the theoretical uncertainties
of the lower and upper bound on the Standard Model Higgs mass are presented.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 07:11:37 GMT""}]","2007-05-23"
"hep-ph/9711457","Mary Hall Reno","L. Pasquali (U Iowa), M. H. Reno (U Iowa and CERN), I. Sarcevic (U
  Arizona)","Muon and Muon Neutrino Fluxes from Atmospheric Charm","3 pages, submitted to the Proceedings of the Fifth International
  Workshop on Topics in Astroparticle and Underground Physics, Sept. 1997","Nucl.Phys.Proc.Suppl. 70 (1999) 361-363","10.1016/S0920-5632(98)00452-6",,"hep-ph astro-ph",,"  The charm contribution to the atmospheric fluxes of muons and muon neutrinos
may be enhanced by as much as a factor of 10 when one includes the
contributions of D->pi,K->leptons and folds in uncertainties in the charm cross
section and energy distribution. In the energy range considered here, from 100
GeV to 10 TeV, the charm contribution is small compared to the conventional
flux of muons and muon neutrinos.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 08:18:24 GMT""}]","2015-06-25"
"hep-ph/9711458",,"F. Coester, K.Dannbom, D.O. Riska","Covariant Quark Model for the Baryons","32pages, LateX, 3 figures(postscript)","Nucl.Phys.A634:335-367,1998","10.1016/S0375-9474(98)00142-0",,"hep-ph",,"  A family of simply solvable covariant quark models for the baryons is
presented. With optimal parameter choices the models reproduce the empirical
spectra of the baryons in all flavor sectors to an accuracy of a few percent.
Complete spectra are obtained for all states of the strange, charm and beauty
hyperons with $L \leq 2$. The magnetic moments and axial coupling constants of
the ground state baryons correspond to those of conventional quark models. We
construct current-density operators that are consistent with empirical nucleon
form factors at low and medium energies.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 09:03:35 GMT""}]","2011-01-27"
"hep-ph/9711459","Maksim L. Nekrasov","M. L. Nekrasov","Study of the nature of $\iota/\eta(1440)$ in the chiral perturbation
  theory approach","18 pages, LaTeX, no figures. Minor corrections (mainly linguistic and
  spelling ones)","Eur.Phys.J.C5:507,1998","10.1007/s100520050295",,"hep-ph",,"  The nature of $\iota/\eta(1440)$ is analysed in the framework of the
hypothesis that it represents a single pseudoscalar resonance. Assuming that it
arises due to the mixing between the glueball and the $q\bar q$ nearby states
($\eta$, $\eta'$, and their radial excitations) two upper estimates are
obtained for the partial width $\Gamma(\iota/\eta(1440) \to K^* K)$ --- one for
the case when $\iota/\eta(1440)$ is mainly a glueball and another one when it
is mainly a radial excitation of the $s\bar s$ state. Both estimates are
obtained in the chiral perturbation theory approach taking into account the
available data on the vector mesons and the pseudoscalar state K(1460), which
is interpreted as a radial excitation of the $K$ meson. The same partial width
is independently estimated on the basis of the combined OBELIX and Crystal
Barrel data on the production of $\iota/\eta(1440)$ in $p\bar p$ annihilation.
Comparing the results we show that the glueball content of $\iota/\eta(1440)$
is suppressed while its $s\bar s$ radial-excitation interpretation is favoured
by the data.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 09:33:11 GMT""},{""version"":""v2"",""created"":""Tue, 6 Jan 1998 18:35:05 GMT""}]","2008-11-26"
"hep-ph/9711460","Torbjorn Sjostrand","L. L\""onnblad (NORDITA) and T. Sj\""ostrand (Lund University)","Modelling Bose-Einstein correlations at LEP 2","1+34 pages, LaTeX2e, 10 eps figures attached","Eur.Phys.J.C2:165-180,1998","10.1007/s100520050131","LU TP 97-30 and NORDITA-97/75 P","hep-ph",,"  We present new algorithms for simulating Bose-Einstein correlations among
final-state bosons in an event generator. The algorithms are all based on
introducing Bose-Einstein correlations as a shift of final-state momenta among
identical bosons, and differ only in the way energy and momentum conservation
is ensured. The benefits and shortcomings of this approach, that may be viewed
as a local reweighting strategy, is compared to the ones of recently proposed
algorithms involving global event reweighting.
  We use the new algorithms to improve on our previous study of the effects of
Bose-Einstein correlations on the W mass measurement at LEP 2. The intrinsic
uncertainty could be as high as 100 MeV but is probably reduced to the order of
30 MeV with realistic experimental reconstruction procedures.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 11:03:34 GMT""}]","2011-02-15"
"hep-ph/9711461","Paolo Gondolo","Paolo Gondolo, Joakim Edsjo","Neutralino relic density including coannihilations","Talk given at TAUP97. 4 pages, 4 postscript figures, uses espcrc2.sty","Nucl.Phys.Proc.Suppl. 70 (1999) 120-122","10.1016/S0920-5632(98)00401-0","MPI-PhT/97-78","hep-ph",,"  We give an overview of our precise calculation of the relic density of the
lightest neutralino, in which we included relativistic Boltzmann averaging,
subthreshold and resonant annihilations, and coannihilation processes with
charginos and neutralinos.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 12:57:40 GMT""}]","2015-06-25"
"hep-ph/9711462","Mannque Rho","Chaejun Song, Dong-Pil Min, Mannque Rho","Thermodynamic Properties of Effective Chiral Lagrangians with BR Scaling","13 pages, Latex, no figures","Phys.Lett. B424 (1998) 226-234","10.1016/S0370-2693(98)00232-9",,"hep-ph nucl-th",,"  We show that effective chiral Lagrangians endowed with Brown-Rho scaling can
be mapped to Landau Fermi-liquid fixed point theory in a way consistent with
general constraints following from thermodynamics. This provides a unified
scheme to treat, starting from normal nuclear matter, hadronic matter under
extreme conditions that is encountered in relativistic heavy-ion collisions and
in the interior of compact stars.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 12:58:13 GMT""}]","2009-10-30"
"hep-ph/9711463","Mannque Rho","Tae-Sun Park, Kuniharu Kubodera, Dong-Pil Min and Mannque Rho","Effective Field Theory for Low-Energy Two-Nucleon Systems","4 pages, RevTeX, two eps files. Slightly modified. To appear in Rapid
  Communication Section of Phys. Rev. C","Phys.Rev.C58:637-640,1998","10.1103/PhysRevC.58.637","SNUTP97-160","hep-ph nucl-th",,"  We illustrate how effective field theories work in nuclear physics by using
an effective Lagrangian in which all other degrees of freedom than the
nucleonic one have been integrated out to calculate the low-energy properties
of two-nucleon systems, viz, the deuteron properties, the np 1S0 scattering
amplitude and the M1 transition amplitude entering into the radiative np
capture process. Exploiting a finite cut-off regularization procedure, we find
all the two-nucleon low-energy properties to be accurately described with
little cut-off dependence, in consistency with the general philosophy of
effective field theories.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 13:01:59 GMT""},{""version"":""v2"",""created"":""Tue, 23 Jun 1998 13:51:31 GMT""}]","2008-11-26"
"hep-ph/9711464","Walter Majerotto","A. Bartl, H. Eberl, S. Kraml, W. Majerotto, W. Porod","SUSY-QCD corrections to squark production and decays in e+e-
  annihilation","Talk presented by W. Majerotto at the International Workshop on
  Quantum Effects in the MSSM, September 9 - 13, 1997, Barcelona, Spain",,,"UWThPh-1997-46, HEPHY-PUB 679/97","hep-ph",,"  We discuss the supersymmetric O(alpha_s) QCD corrections to e+ e- -> squark_i
+ antisquark_j (i,j = 1,2) and to squark_i -> q' + chargino_j, q + neutralino_k
(i,j = 1,2; k = 1...4) within the Minimal Supersymmetric Standard Model. In
particular we consider the squarks of the third generation stop_i and sbottom_i
including the left-right mixing. In the on-shell scheme also the mixing angle
has to be renormalized. We use dimensional reduction (which preserves
supersymmetry) and compare it with the conventional dimensional regularization.
A detailed numerical analysis is also presented.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 13:54:04 GMT""}]","2007-05-23"
"hep-ph/9711465","Matthias Steinhauser","M. Steinhauser (MPI Munich)","Higher Order Corrections to the Hadronic Higgs Decay","5 pages (Latex), 5 figures (Postscript), to appear in the Proceedings
  of the International Europhysics Conference on High Energy Physics,
  Jerusalem, Israel, 19 - 26 August 1997",,,"MPI/PhT/97-79","hep-ph",,"  A Higgs boson in the intermediate mass range is considered. An effective
Lagrangian approach is used in order to evaluate the top-induced QCD
corrections of order $\alpha_s^3$ to the decay into light quarks and
$O(\alpha_s^4)$ corrections to the gluonic decay mode. The connection to the
decoupling relations for $\alpha_s$ and the light quark masses is discussed.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:04:17 GMT""}]","2007-05-23"
"hep-ph/9711466","Mannque Rho","Mannque Rho (Saclay)","Chiral Symmetry, Landau Fermi Liquid And Dense Hadronic Matter","21 pages, Latex with sprocl.sty, no figures; Talk given at the Joint
  Session of 97 Korean Physical Society Meeting and APCTP Workshop on
  Astro-Hadron Physics, Suwon/Seoul, Korea, 25-31 October 1997",,,,"hep-ph nucl-th",,"  I describe how effective chiral Lagrangian field theories work for nuclei and
nuclear matter by going from the deuteron to dense hadronic matter via BR
scaling and Landau Fermi-liquid fixed point parameters, with possible
applications to relativistic heavy-ion processes and compact ``nuclear stars.''
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:05:13 GMT""}]","2007-05-23"
"hep-ph/9711467","Matthias Steinhauser","M. Steinhauser (MPI Munich)","O(\alpha_s^2) Corrections to Current Correlators","3 pages (Latex), 2 figures (Postscript), to appear in the Proceedings
  of the International Europhysics Conference on High Energy Physics,
  Jerusalem, Israel, 19 - 26 August 1997",,,"MPI/PhT/97-80","hep-ph",,"  In this contribution three-loop QCD corrections to current correlators are
considered. The application of the large momentum procedure, which provides a
systematic expansion in $(m^2/q^2)^n$, allows the computation of terms up to
$n=6$ for the vector and axial-vector correlator and up to $n=4$ for the scalar
and pseudo-scalar correlator. Some physical applications are discussed.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:06:48 GMT""}]","2007-05-23"
"hep-ph/9711468","Heinz Juergen Schreiber","H.J.Schreiber (DESY-Zeuthen)","Higgs Physics at a 300 - 500 GeV e^+e^- Linear Collider","8 pages with 4 figures, LaTeX, Contribution to the Proceedings of the
  Internat. Europhysics Conf.on High Energy Physics,16-26 August 1997,
  Jerusalem, Isreal",,,"DESY 97-227","hep-ph",,"  We summarize discovery potentials for the Standard Model Higgs boson produced
in e^+e^- collisions and measurements of its detailed properties. Prospects for
Higgs boson detection within the Minimal Supersymmetric Standard Model are also
discussed.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:08:55 GMT""}]","2007-05-23"
"hep-ph/9711469","Philippe Ruelle","J.-M. Gerard and J. Weyers","Isospin amplitudes and CP violation in $(B \to K\pi)$ decays","6 pages, no figure","Eur.Phys.J.C7:1-3,1999","10.1007/s100529800980","UCL-IPT-97-18","hep-ph",,"  We present a simple isospin invariant parametrization for $(B \to K\pi)$
decay amplitudes which consistently includes CP violation and (quasi-elastic)
hadronic final states interactions. We find that the observed $(B \to K\pi)$
decays do not lead to a significant bound on the angle $\gamma$ of the
unitarity triangle. On the other hand, we claim that a sizeable CP violation
asymmetry in $(B^{\pm} \to K\pi^{\pm})$ rates is by no means excluded.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:27:46 GMT""}]","2010-11-23"
"hep-ph/9711470","Piotr Chankowski","P.H. Chankowski (Inst. of Theor. Physics, Warsaw Univ.)","Constraints on low energy supersymmetry","16 pages, 8 figures. Talk given at the International Workshop on
  Quantum Effects in the MSSM, Barcelona, September 1997, to apper in the
  Proceedings",,,"IFT-97/18","hep-ph",,"  We review the available constraints on the low energy supersymmetry. The bulk
of the electroweak data is well screened from supersymmetric loop effects, due
to the structure of the theory, even with superpartners generically light,
${\cal O}(M_Z)$. The only exception are the left-handed squarks of the third
generation which have to be $\simgt {\cal O}(300$ GeV) to maintain the success
of the SM in describing the precision data. The other superpartners can still
be light, at their present experimental mass limits. As an application of the
derived constraints (supplemented by the requirement of ``naturalness'') we
discuss the predictions for the mass of the lighter MSSM Higgs boson in
specific scanarios of supersymmetry breaking.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 15:19:24 GMT""}]","2007-05-23"
"hep-th/9711171","Friedemann Brandt","Friedemann Brandt","Gauge covariant algebras and local BRST cohomology","16 pages, latex, no figures","Contemp.Math.219:53-67,1999",,"UB-ECM-PF-97/36","hep-th",,"  The formulation of the local BRST cohomology on infinite jet bundles and its
relation and reduction to gauge covariant algebras are reviewed. As an
illustration, we compute the local BRST cohomology for geodesic motion in
(pseudo-) Riemannian manifolds and discuss briefly the result (symmetries,
constants of the motion, consistent deformations).
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 16:58:53 GMT""}]","2011-03-02"
"hep-th/9711173","Ioannis Giannakis","Ioannis Giannakis and James T. Liu (Rockefeller University)","N=2 Supersymmetry and Dipole Moments","12 pages, plain Tex, references added","Phys. Rev. D 58, 025009 (1998)","10.1103/PhysRevD.58.025009","RU97-08-B","hep-th hep-ph",,"  We derive sum rules for the magnetic and electric dipole moments of all
particle states of an N=2 supermultiplet. For short representations, we find
agreement with previously determined N=1 sum rules, while there is added
freedom for long representations (expressed as certain scalar expectation
values). With mild assumptions we find the simple result that the supersymmetry
generated spin adds to the magnetic (electric) dipole moment with strength
corresponding to $g=2$ ($g_e=0$). This result is equally valid for N=1, this
time without any further assumptions.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:25:14 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 17:23:59 GMT""}]","2016-08-25"
"hep-th/9711174","Hugo Fort","H. Fort and R. Gambini (IFFC, Montevideo, Uruguay)","The U(1) and Strong CP Problem From the Loop Formulation Perspective","4 pages, revtex",,,,"hep-th",,"  We show how the gauge invariant formulation of QCD in terms of loops is free
from a hidden $\theta$ parameter and offers an alternative way to solve the
$U(1)_A$ puzzle.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:59:14 GMT""}]","2007-05-23"
"hep-th/9711178","Jose Ramon Espinosa","G. Cleaver, M. Cvetic, J.R. Espinosa, L. Everett, and P. Langacker","Classification of Flat Directions in Perturbative Heterotic Superstring
  Vacua with Anomalous U(1)","26 pages","Nucl.Phys.B525:3-26,1998","10.1016/S0550-3213(98)00277-6","CERN-TH/97-338, UPR-0779-T, IEM-FT-166/97","hep-th hep-ph",,"  We develop techniques to classify D- and F-flat directions for N=1
supersymmetric string vacua of the perturbative heterotic string theory, which
possess an anomalous U(1) gauge group at the tree level. Genus-one corrections
generate a Fayet-Iliopoulos term for the D-term of U(1)_A, which is canceled by
non-zero vacuum expectation values (VEVs) of certain massless multiplets in
such a way that the anomalous U(1) is broken, while maintaining the D- and
F-flatness of the effective field theory. A systematic analysis of flat
directions is given for non-zero VEVs of non-Abelian singlets, and the
techniques are illustrated for a specific model. The approach sets the stage to
classify the D- and F-flat directions for a large class of perturbative string
vacua. This classification is a prerequisite to address systematically the
phenomenological consequences of these models.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 19:56:37 GMT""}]","2009-09-17"
"hep-th/9711179","Chris Hull","C.M. Hull","Matrix Theory, U-Duality and Toroidal Compactifications of M-Theory","28 Pages, Phyzzx Macro. Minor corrections","JHEP 9810:011,1998","10.1088/1126-6708/1998/10/011","QMW-97-35, LPTENS 97/57","hep-th",,"  Using U-duality, the properties of the matrix theories corresponding to the
compactification of M-theory on $T^d$ are investigated. The couplings of the
$d+1$ dimensional effective Super-Yang-Mills theory to all the M-theory moduli
is deduced and the spectrum of BPS branes in the SYM gives the corresponding
spectrum of the matrix theory.Known results are recovered for $d\le 5$ and
predictions for $d>5$ are proposed. For $d>3$, the spectrum includes $d-4$
branes arising from YM instantons, and U-duality interchanges momentum modes
with brane wrapping modes.For $d=6$, there is a generalised $\th $-angle which
couples to instantonic 3-branes and which combines with the SYM coupling
constant to take values in $SL(2,\R)/U(1)$, acted on by an $SL(2,\Z)$ subgroup
of the U-duality group $E_6(\Z)$. For $d=4,7,8$, there is an $SL(d+1)$
symmetry, suggesting that the matrix theory could be a scale-invariant $d+2$
dimensional theory on $T^{d+1} \times \R$ in these cases, as is already known
to be the case for $d=4$; evidence is found suggesting this happens for $d=8$
but not $d=7$.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 20:14:01 GMT""},{""version"":""v2"",""created"":""Wed, 7 Oct 1998 13:23:35 GMT""}]","2010-02-03"
"hep-th/9711180","Frank Gronwald","Frank Gronwald","BRST-antifield-treatment of metric-affine gravity","19 pages LATEX, to appear in Phys. Rev. D","Phys.Rev. D57 (1998) 961-970","10.1103/PhysRevD.57.961",,"hep-th gr-qc",,"  The metric-affine gauge theory of gravity provides a broad framework in which
gauge theories of gravity can be formulated. In this article we fit
metric-affine gravity into the covariant BRST--antifield formalism in order to
obtain gauge fixed quantum actions. As an example the gauge fixing of a general
two-dimensional model of metric-affine gravity is worked out explicitly. The
result is shown to contain the gauge fixed action of the bosonic string in
conformal gauge as a special case.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 21:08:03 GMT""}]","2009-10-30"
"hep-th/9711181","Mikhail Volkov","Ali H. Chamseddine and Mikhail S. Volkov","Non-Abelian Solitons in N=4 Gauged Supergravity and Leading Order String
  Theory","22 pages, LaTeX, 1 epsf figure","Phys.Rev.D57:6242-6254,1998","10.1103/PhysRevD.57.6242","RU/97-5-B, ZU-TH/97-33","hep-th",,"  We study static, spherically symmetric, and purely magnetic solutions of the
N=4 gauged supergravity in four dimensions. A systematic analysis of the
supersymmetry conditions reveals solutions which preserve 1/4 of the
supersymmetries and are characterized by a BPS-monopole-type gauge field and a
globally hyperbolic, everywhere regular geometry. We show that the theory in
which these solutions arise can be obtained via compactification of
ten-dimensional supergravity on the group manifold. This result is then used to
lift the solutions to ten dimensions.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:03:13 GMT""}]","2010-11-19"
"hep-th/9711182","Everton Murilo","Everton M. C. Abreu (UNESP/Campus de Guaratingueta)","Non-locally Regularized Field-Antifield Quantization of the Chiral
  Schwinger Model","15 pages, Latex. Reference added",,,,"hep-th",,"  The non-local regularization is a powerfull method to regularize theories
with an action that can be decomposed in a kinetic and an interacting part.
Recently it was shown how to regularize the Batalin-Vilkovisky field-antifield
formalism of quantization of gauge theories with the non-local regularization.
We compute precisely the anomaly of the Chiral Schwinger model with this
extended non-local regularization.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:12:34 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 2000 21:07:07 GMT""},{""version"":""v3"",""created"":""Wed, 2 Feb 2000 20:35:43 GMT""}]","2007-05-23"
"math/9711204",,"Joseph Shipman","Aspects of Computability in Physics",,,,"Logic E-prints November 25, 1997","math.LO",,"  This paper reviews connections between physics and computation, and explores
their implications. The main topics are computational ""hardness"" of physical
systems, computational status of fundamental theories, quantum computation, and
the Universe as a computer.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 00:00:00 GMT""}]","2007-05-23"
"nucl-th/9711048","Terry Mart","C. Bennhold, et al. (SAPHIR Collaboration)","K0-Sigma+ Photoproduction with SAPHIR","4 pages, Latex2e, 4 postscript figures. Talk given at the
  International Conference on Hypernuclear and Strange Particle Physics
  (HYP97), Brookhaven National Laboratory, USA, October 13-18, 1997. To be
  published in Nucl. Phys. A. Revised version due to changes in experimental
  data","Nucl.Phys. A639 (1998) 209-212","10.1016/S0375-9474(98)00275-9","FIS-UI-TH-05-97","nucl-th hep-ph",,"  Preliminary results of the analysis of the reaction p(gamma,K0)Sigma+ are
presented. We show the first measurement of the differential cross section and
much improved data for the total cross section than previous data. The data are
compared with model predictions from different isobar and quark models that
give a good description of p(gamma,K+)Lambda and p(gamma,K+)Sigma0 data in the
same energy range. Results of ChPT describe the data adequately at threshold
while isobar models that include hadronic form factors reproduce the data at
intermediate energies.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 04:16:01 GMT""},{""version"":""v2"",""created"":""Mon, 15 Dec 1997 06:32:35 GMT""}]","2009-10-30"
"nucl-th/9711049","Makoto Oka","Makoto Oka","$\pi^+$ Emission from Hypernuclei and the Weak $\Delta I=3/2$
  Transitions","13 Pages, 2 Figures","Nucl.Phys. A647 (1999) 97-104","10.1016/S0375-9474(99)00007-X",,"nucl-th",,"  Low energy $\pi^+$ emission in hypernuclear weak decays is studied in the
soft pion limit. It is found that the $\pi^+$ decay amplitude is dominated by
the $\Delta I=3/2$ part of nonmesonic weak decays according to the soft pion
theorem. The ratios, $R(\pi^+/soft \pi^-) $, for light hypernuclei are
estimated in the direct quark mechanism, which predicts violation of the
$\Delta I=1/2$ rule, and found to be about 1/3 for $^4_{\Lambda}He$.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 07:18:34 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jan 1999 06:13:09 GMT""}]","2016-09-08"
