"alg-geom/9711003","William L. Pardon","William Pardon and Mark Stern (Duke University)","Pure Hodge structure on the $L_2$-cohomology of varieties with isolated
  singularities","53 pages, amstex",,,,"alg-geom dg-ga math.AG math.DG",,"  Let $V$ be a complex projective variety with isolated singularities. Let the
smooth part be given the metric induced by a projective imbedding. Then we
develop the $L_2$ harmonic theory and construct a pure Hodge structure on the
$L_2$-cohomology of $V$. If the dimension of $V$ is two, we put a cohomological
Hodge structure on its complex of sheaves of $L_2$ forms.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:03:39 GMT""}]","2007-05-23"
"hep-ph/9711216","Kingman Cheung","Kingman Cheung, Duane A. Dicus, B. Dutta, and S. Nandi","Multilepton signatures of gauge mediated SUSY breaking at LEPII","Description of three-body decay of selectron and smuon is added and
  other minor changes. Published version in PRD","Phys.Rev. D58 (1998) 015008","10.1103/PhysRevD.58.015008","UCD-97-24, UTEXAS-HEP-97-21, OITS-639, OSURN-331","hep-ph",,"  In the framework of gauge-mediated supersymmetry breaking models pair
production of the lightest neutralinos, scalar leptons, or charginos at LEPII
gives rise to interesting signals involving multilepton final states and
missing energy. In the parameter space where the scalar tau, $\tilde{\tau}_1$,
is the next-to-lightest supersymmetric particle, we identify three interesting
regions, which give rise to distinctly different final states: (i) 2
$\tau$-leptons plus missing energy, (ii) 4 charged leptons plus missing energy
where in some regions all four are $\tau$-leptons, or (iii) six charged
leptons, of which four are $\tau$-leptons and the other two are electrons or
muons, plus missing energy. We study in detail the size of these regions in the
parameter space of gauge-mediated models and give cross section contours in
these regions for various LEPII energies. We also discuss the possibility of
chargino-pair production at LEPII.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 21:16:14 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jun 1998 19:53:57 GMT""}]","2009-10-30"
"hep-ph/9711217",,"Andrzej J. Buras (Technische Universitaet Muenchen, Physik Department)","CKM Matrix: Present and Future","Invited talk given at the Symposium on Heavy Flavours, Santa Barbara,
  July 7-July 11, 1997, to appear in the proceedings. 33 pages, 5 PS and 1 EPS
  figure (included), uses sprocl.sty (included)",,,"TUM-HEP-299/97","hep-ph",,"  We review the present status of the CKM matrix and we offer some visions of
its future. After a brief presentation of the theoretical framework for weak
decays we discuss the following topics: i) CKM matrix from tree level decays,
ii) Standard analysis of the unitarity triangle, iii) CKM matrix from rare and
CP violating K- and B-decays, iv) CKM matrix from CP violation in two-body
B-decays. In particular we compare the CKM potentials of the standard analysis
of the unitarity triangle, of the very clean K --> \pi\nu\bar\nu decays and of
CP asymmetries in B-decays.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 00:13:19 GMT""}]","2007-05-23"
"hep-ph/9711218","Paul Frampton","Paul H. Frampton and Pham Quang Hung","Long-Lived Quarks?","10 pages, Latex","Phys.Rev. D58 (1998) 057704","10.1103/PhysRevD.58.057704","IFP-745-UNC","hep-ph",,"  Several lines of reasoning suggest that there might exist a non-sequential
fourth generation of heavy quarks having very small mixing with light quarks
and hence exceptionally long lifetime.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 01:14:00 GMT""}]","2009-10-30"
"hep-ph/9711219","Taekoon Lee","Taekoon Lee","Higher Order Renormalons","6 pages. Presented at VIIth Blois Workshop at Seoul, Korea, June
  10-14, 1997",,,"PURD-TH-97-08","hep-ph",,"  A systematic method of summing the corrections to the renormalon residue
arising from higher order renormalons is discussed.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 03:32:44 GMT""}]","2007-05-23"
"hep-ph/9711220","Yasunori Nomura","Yasunori Nomura, K. Tobe, and T. Yanagida","A Gauge Mediation Model of Dynamical Supersymmetry Breaking without
  Color Instability","11 pages, Latex","Phys.Lett.B425:107-113,1998","10.1016/S0370-2693(98)00189-0","UT-797, OHSTPY-HEP-T-97-020","hep-ph",,"  We construct a gauge mediation model of dynamical supersymmetry breaking
(DSB) based on a vector-like gauge theory, in which there is a unique
color-preserving true vacuum. The DSB scale $\Lambda/4\pi$ turns out to be as
high as $\Lambda/4\pi \simeq 10^{8-9} GeV$, since the transmission of the DSB
effects to the standard model sector is completed through much higher loops.
This model is perfectly natural and phenomenologically consistent. We also
stress that the dangerous D-term problem for the messenger U(1)_m is
automatically solved by a charge conjugation symmetry in the vector-like gauge
theory.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 05:37:23 GMT""},{""version"":""v2"",""created"":""Thu, 8 Jan 1998 05:41:50 GMT""}]","2016-09-06"
"hep-ph/9711221","Akira Niegawa","A. Ni\'egawa","Finite-temperature reaction-rate formula: Finite volume system, detailed
  balance, $T \to 0$ limit, and cutting rules","35pages (text) plus 4pages (figures)","Phys.Rev. D57 (1998) 1379-1393","10.1103/PhysRevD.57.1379","OCU-PHYS 165","hep-ph",,"  A complete derivation, from first principles, of the reaction-rate formula
for a generic process taking place in a heat bath of finite volume is given. It
is shown that the formula involves no finite-volume correction. Through
perturbative diagrammatic analysis of the resultant formula, the
detailed-balance formula is derived. The zero-temperature limit of the formula
is discussed. Thermal cutting rules, which are introduced in previous work, are
compared with those introduced by other authors.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 06:07:24 GMT""}]","2016-08-15"
"hep-ph/9711222","Ubirajara van Kolck","U. van Kolck","Nucleon-Nucleon Interaction and Isospin Violation","17 pages, 2 ps figures, uses lamuphys.sty and epsfig.sty; invited
  plenary talk at the Chiral Dynamics Workshop, Mainz, Sept 1-5 1997",,"10.1007/BFb0104898","DOE/ER/41014-44-N97","hep-ph",,"  The application of the chiral effective theory to processes with two or more
nucleons is discussed. We gain a qualitative understanding of the gross
features of nuclear physics and quantitative, testable postdictions and
predictions involving photons and pions.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 06:13:27 GMT""}]","2009-10-30"
"hep-ph/9711223",,"R. S. Thorne and R. G. Roberts","A Practical Procedure for Evolving Heavy Flavour Structure Functions","10 pages Latex 3 postscript figures","Phys.Lett. B421 (1998) 303-311","10.1016/S0370-2693(97)01580-3","RAL-TR-97-061","hep-ph",,"  The transition from the low $Q^2$ region in deep inelastic scattering where
charm production is described by photon-gluon fusion to a region where the
charm structure function $F_2^c$ is largely generated by a charm quark density
should be a smooth passage. The all orders prescription for matching between
the two schemes does not uniquely determine all the relevant coefficient
functions (CF's) or guarantee the correct threshold behaviour at fixed order in
$\alpha_s$. The constraints of matching not only the value but also the
evolution of $F_2^c$ order by order allows all CF's to be determined at any
order, each of which reduces to the appropriate massless $\msb$ expression as
$Q^2 \to \infty$, and leads to a smooth transition in the threshold region.
This procedure gives an excellent description of the $F_2^c$ data for all
$Q^2$.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 08:12:14 GMT""}]","2009-10-30"
"hep-ph/9711224","Erwin Mirkes","E. Mirkes","Theory of Jets in Deep Inelastic Scattering","Latex, 121 pages, 43 figures. The complete paper, including figures,
  is also available via anonymous ftp at ftp://ttpux2.physik.uni-karlsruhe.de/
  , or via www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/",,,"TTP97-39","hep-ph",,"  The large center of mass energy and increasing statistical precision for a
wide range of hadronic final state observables at the HERA lepton-proton
collider has provided a detailed testing ground for QCD dynamics. Fully
flexible next-to-leading order calculations are mandatory on the theoretical
side for such tests and will be discussed in detail. Next-to-leading order QCD
predictions for one- and two-jet cross sections in deep inelastic scattering
with complete neutral current ($\gamma^\ast$ and/or $Z$) and charged current
($W^\pm$) exchange together with leading order results for three- and four-jet
final states are presented. The theoretical framework, based on the phase space
slicing method and the use of universal crossing functions, is described in
detail. All analytical formulae necessary for the next-to-leading order
calculations are provided. The numerical results are based on the fully
differential $ep \to n$ jets event generator \docuname which allows to analyze
any infrared and collinear safe observable and general cuts in terms of parton
4-momenta. The importance of higher order corrections is studied for various
jet algorithms. Implications and comparisons with (ongoing) experimental
analyses for jet cross sections at high $Q^2$, the determination of
$\alpha_s(\mu_R)$, the gluon density, power corrections in event shapes and the
associated forward jet production in the low $x$ regime at HERA are discussed.
A study of jet cross sections in polarized electron and polarized proton
collisions shows that dijet events provide a good measurement of the polarized
gluon distribution $\Delta g(x_g)$, in a region, where $x_g \Delta g(x_g)$ is
expected to show a maximum.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 10:45:27 GMT""}]","2007-05-23"
"hep-ph/9711225","Daniele Treleani","G. Calucci and D. Treleani","Double parton scatterings in high energy hadronic collisions","8 pages, latex file, no figures, contributions to the proceedings of
  the ISMD97","Nucl.Phys.Proc.Suppl. 71 (1999) 392-399","10.1016/S0920-5632(98)00371-5",,"hep-ph",,"  CDF has recently measured a large number of double parton scatterings. The
observed value of $\sigma_{eff}$, the non perturbative parameter which
characterizes the process, is considerably smaller as compared with the naive
expectation. The small value of $\sigma_{eff}$ is likely to be an indication of
the importance of the two-body parton correlations in the many-body parton
distributions of the proton.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 09:46:13 GMT""}]","2009-10-30"
"hep-ph/9711226","Nikolai Kochelev","N.I.Kochelev","Instantons and Polarized Structure Functions","9 pages, Latex, 4 figures. To appear in Proc. Workshop ""Deep
  Inelastic Scattering off Polarized Targets: Theory Meets Experiment"",
  September 1997, DESY-Zeuthen","Phys.Rev. D57 (1998) 5539-5542","10.1103/PhysRevD.57.5539",,"hep-ph",,"  The contribution of the quark-quark and quark-gluon interaction induced by
instantons to the valence quark and proton spin-dependent structure functions
$g_1(x,Q^2)$ is estimated within the instanton liquid model for QCD vacuum. It
is shown, that this interaction leads to a rather large violation of the
Ellis-Jaffe sum rule.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 09:54:36 GMT""}]","2009-10-30"
"hep-ph/9711227","Gunther Piller","L. Mankiewicz, G. Piller and T. Weigl","Hard Exclusive Meson Production and Nonforward Parton Distributions","23 pages, Latex, to be published in Z. Phys. C","Eur.Phys.J.C5:119-128,1998","10.1007/s100520050253","TUM-T39-97-28","hep-ph",,"  We present an analysis of twist-2, leading order QCD amplitudes for hard
exclusive leptoproduction of mesons in terms of double/nonforward parton
distribution functions. After reviewing some general features of nonforward
nucleon matrix elements of twist-2 QCD string operators, we propose a
phenomenological model for quark and gluon nonforward distribution functions.
The corresponding QCD evolution equations are solved in the leading logarithmic
approximation for flavor nonsinglet distributions. We derive explicit
expressions for hard exclusive pi^0, eta, and neutral vector meson production
amplitudes and discuss general features of the corresponding cross sections.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 10:17:35 GMT""},{""version"":""v2"",""created"":""Tue, 23 Dec 1997 16:42:53 GMT""}]","2011-02-01"
"hep-ph/9711228","Johannes Bluemlein","D. Bardin, J. Bl\""umlein, P. Christova, and L. Kalinovskaya","O(\alpha) QED Corrections to Polarized Elastic $\mu e$ and Deep
  Inelastic l N Scattering","10 pages latex, including 2 ps and 4 eps figures, to appear in Proc.
  of the Workshop `Deep Inelastic Scattering off Polarized Targets: Theory
  Meets Experiment' DESY-Zeuthen, September 1-5 1997",,,,"hep-ph",,"  Two computer codes relevant for the description of deep inelastic scattering
off polarized targets are discussed. The code ${\mu}$ela deals with radiative
corrections to elastic $\mu e$ scattering, one method applied for muon beam
polarimetry. The code HECTOR allows to calculate both the radiative corrections
for unpolarized and polarized deep inelastic scattering, including higher order
QED corrections.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 12:13:07 GMT""}]","2007-05-23"
"hep-ph/9711229","Rafel Escribano","A. Bramon, R. Escribano and M. D. Scadron","The $\eta - \eta'$ Mixing Angle Revisited","17 pages, LaTeX. 2 references added, some comments on Chiral
  Perturbation Theory","Eur.Phys.J.C7:271-278,1999","10.1007/s100529801009","UAB-FT/97-431, ULB-TH/97-20","hep-ph",,"  The value of the $\eta - \eta'$ mixing angle $\theta_P$ is phenomenologically
deduced from a rather exhaustive and up-to-date analysis of data including
strong decays of tensor and higher-spin mesons, electromagnetic decays of
vector and pseudoscalar mesons, $J/\psi$ decays into a vector and a
pseudoscalar meson, and other transitions. A value of $\theta_P$ between
$-17^\circ$ and $-13^\circ$ is consistent with all the present experimental
evidence and the average $\theta_P=-15.5^\circ\pm 1.3^\circ$ seems to be
favoured.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 15:08:19 GMT""},{""version"":""v2"",""created"":""Thu, 14 May 1998 13:46:22 GMT""}]","2011-09-13"
"hep-ph/9711230","Vladimir Eletsky","V. L. Eletsky, A. C. Kalloniatis, F. Lenz, M. Thies","Magnetic and Thermodynamic Stability of SU(2) Yang-Mills Theory","27 pages, LATEX, 7 postscript figures, corrected typos","Phys.Rev. D57 (1998) 5010-5022","10.1103/PhysRevD.57.5010","FAU-TP3-97/7","hep-ph hep-lat hep-th",,"  SU(2) Yang-Mills theory at finite extension or, equivalently, at finite
temperature is probed by a homogeneous chromomagnetic field. We use a recent
modified axial gauge formulation which has the novel feature of respecting the
center symmetry in perturbation theory. The characteristic properties of the
Z_2-symmetric phase, an extension-dependent mass term and antiperiodic boundary
conditions, provide stabilization against magnetic field formation for
sufficiently small extension or high temperature. In an extension of this
investigation to the deconfined phase with broken center symmetry, the combined
constraints of thermodynamic and magnetic stability are shown to yield many of
the high temperature properties of lattice SU(2) gauge theory.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 14:59:18 GMT""},{""version"":""v2"",""created"":""Fri, 26 Dec 1997 16:07:28 GMT""}]","2009-10-30"
"hep-ph/9711231","Peter Kroll","Thorsten Feldmann and Peter Kroll","Flavor Symmtry Breaking andd Mixing Effects in the eta-gamma and
  eta'-gamma Transition Form Factors","19 pages, 5 figures, Latex (elsart), uses feynmp.sty","Eur.Phys.J.C5:327-335,1998","10.1007/s100520050276","WU B 97-28","hep-ph",,"  We reanalyze the eta-gamma and eta'-gamma transition form factors within the
modified hard scattering approach on the basis of new experimental data from
CLEO and L3. Our approach perfectly describes the experimental data over a wide
range of the virtuality of the probing photon, 1 GeV^2 < Q^2 < 15 GeV^2. The
analysis provides hints that the conventional flavor octet-singlet scheme for
the eta-eta' mixing is too simple. A more general mixing scheme on the other
hand, involving two mixing angles, leads to a very good description of the
transition form factors and also accounts for the two-photon decay widths of
the eta and eta' mesons as well as for the ratio of the widths for the J/Psi
--> eta' gamma and J/Psi --> eta gamma decays. We also investigate the
questions of possible deviations of the eta and eta' distribution amplitudes
from the asymptotic form and of eventual intrinsic charm in the eta and eta'
mesons. We estimate the charm decay constant of the eta' meson to lie within
the range -65 MeV < fc(eta') <15 MeV.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 15:42:17 GMT""}]","2011-09-13"
"hep-th/9711001","Sanjaye Kumar Ramgoolam","J. Brodie and S. Ramgoolam","On Matrix Models of M5-branes","30 pages, Refs added. Discussion of compactification on four-torus is
  modified","Nucl.Phys. B521 (1998) 139-160","10.1016/S0550-3213(98)00071-6","PUPT-1736","hep-th",,"  We compare the $(0,2)$ theory of the single M5 brane decoupled from gravity
in the lightcone with transverse $R^4$, and a matrix model description in terms
of quantum mechanics on instanton moduli space. We give some tests of the
Matrix model in the case of multi fivebranes on $R^4$. We extract constraints
on the operator content of the field theory of the multi-fivebrane system by
analyzing the Matrix model. We also begin a study of compactifications of the
$(0,2)$ theory in this framework, arguing that for large compactification scale
the $(0,2)$ theory is described by super-quantum mechanics on appropriate
instanton moduli spaces.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 01:02:27 GMT""},{""version"":""v2"",""created"":""Tue, 4 Nov 1997 05:24:26 GMT""},{""version"":""v3"",""created"":""Tue, 18 Nov 1997 13:21:25 GMT""}]","2009-10-30"
"hep-th/9711008","Miguel Ortiz","Sean Carroll, Miguel Ortiz and Washington Taylor","Boundary fields and renormalization group flow in the two-matrix model","31 pages, Latex","Phys.Rev.D58:046006,1998","10.1103/PhysRevD.58.046006","NSF-ITP/97-123, Imperial/TP/97-98/7, PUPT-1735","hep-th cond-mat gr-qc hep-lat",,"  We analyze the Ising model on a random surface with a boundary magnetic field
using matrix model techniques. We are able to exactly calculate the disk
amplitude, boundary magnetization and bulk magnetization in the presence of a
boundary field. The results of these calculations can be interpreted in terms
of renormalization group flow induced by the boundary operator. In the
continuum limit this RG flow corresponds to the flow from non-conformal to
conformal boundary conditions which has recently been studied in flat space
theories.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 16:59:13 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 16:19:02 GMT""},{""version"":""v3"",""created"":""Wed, 11 Feb 1998 09:43:39 GMT""}]","2008-11-26"
"hep-th/9711009","Hanno Hammer","Hanno Hammer (DAMTP, University of Cambridge, UK)","Topological Extensions of Noether Charge Algebras carried by D-p-branes","45 pages, some minor misprints corrected, no modifications otherwise","Nucl.Phys. B521 (1998) 503-546","10.1016/S0550-3213(98)00157-6","R-97/54","hep-th",,"  We derive the fully extended supersymmetry algebra carried by D-branes in a
massless type IIA superspace vacuum. We find that the extended algebra contains
not only topological charges that probe the presence of compact spacetime
dimensions but also pieces that measure non-trivial configurations of the gauge
field on the worldvolume of the brane. Furthermore there are terms that measure
the coupling of the non-triviality of the worldvolume regarded as a U(1)-bundle
of the gauge field to possible compact spacetime dimensions. In particular, the
extended algebra carried by the D-2-brane can contain the charge of a Dirac
monopole of the gauge field. In the course of this work we derive a set of
generalized Gamma-matrix identities that include the ones presently known for
the IIA case.
  In the first part of the paper we give an introduction to the basic notions
of Noether current algebras and charge algebras; furthermore we find a Theorem
that describes in a general context how the presence of a gauge field on the
worldvolume of an embedded object transforming under the symmetry group on the
target space alters the algebra of the Noether charges, which otherwise would
be the same as the algebra of the symmetry group. This is a phenomenon recently
found by Sorokin and Townsend in the case of the M-5-brane, but here we show
that it holds quite generally, and in particular also in the case of D-branes.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:12:53 GMT""},{""version"":""v2"",""created"":""Mon, 17 Nov 1997 14:18:34 GMT""}]","2009-10-30"
"hep-th/9711010","Nissan Itzhaki","A. Brandhuber, N. Itzhaki, J. Sonnenschein and S. Yankielowicz","More on Probing Branes with Branes","14 pages, version to appear in PLB","Phys.Lett. B423 (1998) 238-246","10.1016/S0370-2693(98)00158-0","TAUP-2466-97","hep-th",,"  We generalize the Gibbons-Wiltshire solution of four dimensional Kaluza-Klein
black holes in order to describe Type IIA solutions of bound states of D6 and
D0-branes. We probe the solutions with a D6-brane and a D0-brane. We also probe
a system of D2+D0-branes and of a D2-brane bound to a F1-string with a
D2-brane. A precise agreement between the SYM and the SUGRA calculations is
found for the static force as well as for the $v^2$ force in all cases.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:19:19 GMT""},{""version"":""v2"",""created"":""Mon, 9 Feb 1998 10:43:06 GMT""}]","2009-10-30"
"hep-th/9711011",,"Paolo Cea (Bari U. & INFN, Bari), Luigi Tedesco (Bari U. & INFN, Bari)","Spontaneous Generation of Magnetic Field in Three Dimensional QED at
  Finite Temperature","Final version, to appear in Phys. Lett. B","Phys.Lett. B425 (1998) 345-350","10.1016/S0370-2693(98)00264-0",,"hep-th hep-ph",,"  We investigate the effects of thermal fluctuations on the spontaneous
magnetic condensate in three dimensional QED coupled with P-odd Dirac fermions.
Our results show that the phenomenon of the spontaneous generation of the
constant background magnetic field survives to the thermal corrections even at
infinite temperature. We also study the thermal corrections to the fermionic
condensate in presence of the magnetic field.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:37:45 GMT""},{""version"":""v2"",""created"":""Mon, 2 Mar 1998 15:08:27 GMT""}]","2009-10-30"
"hep-th/9711012","Dr R. Szabo","F. Lizzi, N.E. Mavromatos and R.J. Szabo","Matrix Sigma-models for Multi D-brane Dynamics","14 pages LaTeX, 1 encapsulated postscript figure; uses epsf.tex","Mod.Phys.Lett. A13 (1998) 829-842","10.1142/S0217732398000905","DSF/50-97, OUTP-97-61P","hep-th",,"  We describe a dynamical worldsheet origin for the Lagrangian describing the
low-energy dynamics of a system of parallel D-branes. We show how matrix-valued
collective coordinate fields for the D-branes naturally arise as couplings of a
worldsheet sigma-model, and that the quantum dynamics require that these
couplings be mutually noncommutative. We show that the low-energy effective
action for the sigma-model couplings describes the propagation of an open
string in the background of the multiple D-brane configuration, in which all
string interactions between the constituent branes are integrated out and the
genus expansion is taken into account, with a matrix-valued coupling. The
effective field theory is governed by the non-abelian Born-Infeld target space
action which leads to the standard one for D-brane field theory.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 20:07:40 GMT""}]","2009-10-30"
"hep-th/9711013","Cumrun Vafa","N.C. Leung and C. Vafa","Branes and Toric Geometry","30 pages, 17 figures, references added","Adv.Theor.Math.Phys.2:91-118,1998",,"HUTP-97/A090","hep-th",,"  We show that toric geometry can be used rather effectively to translate a
brane configuration to geometry. Roughly speaking the skeletons of toric space
are identified with the brane configurations. The cases where the local
geometry involves hypersurfaces in toric varieties (such as P^2 blown up at
more than 3 points) presents a challenge for the brane picture. We also find a
simple physical explanation of Batyrev's construction of mirror pairs of
Calabi-Yau manifolds using T-duality.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 20:52:36 GMT""},{""version"":""v2"",""created"":""Thu, 13 Nov 1997 17:30:11 GMT""}]","2008-11-26"
"hep-th/9711014",,"J. X. Lu","Remarks on M-theory coupling constants and M-brane tension quantizations","21 pages, Latex",,,"CTP-TAMU-44/97","hep-th",,"  In the absence of a complete M-theory, we gather certain quantum aspects of
this theory, namely, M-2 and M-5 brane duality and their tension quantization
rule $2\kappa^2 T_2 T_5 = 2 \pi n$, the M-2 brane tension quantization $T_2
=\bigg({(2\pi)^2/2\kappa^2 m}\bigg)^{1/3}$, supersymmetry, perturbative gauge
and gravitational anomaly cancellations, and the half-integral quantization of
[$G^W/2\pi$], and study the consistency among these quantum effects. We find:
(1) The complete determination of Ho\u{r}ava-Witten's
  $\eta = \lambda^6 /\kappa^4$ for M-theory on $R^{10} \times S^1/ Z_2$
requires not only the cancellation of M-theory gauge anomaly but also that of
the gravitational anomaly, the quantization of M-2 brane tension, and the
recently recognized half-integral quantization of $[G^W / 2 \pi]$. (2) A
well-defined quantum M-theory necessarily requires the presence of both M-2 and
M-5 branes and allows only $n = 1$ and $m =1$ for the respectively quantized
M-2 and M-5 brane tensions. Implications of the above along with other related
issues are discussed.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 21:46:13 GMT""}]","2016-09-06"
"hep-th/9711015","Savvidis","G. K. Savvidy and K. G. Savvidy","Gonihedric String Equation","40 pages, Latex, 9 figures","JHEP 9804 (1998) 008","10.1088/1126-6708/1998/04/008","DEMO-HEP 97/07 97","hep-th",,"  We discuss the basic properties of the gonihedric string and the problem of
its formulation in continuum. We propose a generalization of the Dirac equation
and of the corresponding gamma matrices in order to describe the gonihedric
string. The wave function and the Dirac matrices are infinite-dimensional. The
spectrum of the theory consists of particles and antiparticles of increasing
half-integer spin lying on quasilinear trajectories of different slope.
Explicit formulas for the mass spectrum allow to compute the string tension and
thus demonstrate the string character of the theory.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 09:56:52 GMT""}]","2009-10-30"
"hep-th/9711016","Deog Ki Hong","V. P. Gusynin (Bogolyubov Institute for Theoretical Physics), D. K.
  Hong (Pusan University), and I. A. Shovkovy (Bogolyubov Institute for
  Theoretical Physics & University of Cincinnati)","Chiral symmetry breaking by a non-Abelian external field in
  (2+1)-dimensions","11 pages, RevTeX","Phys.Rev. D57 (1998) 5230-5235","10.1103/PhysRevD.57.5230","SNUTP 97-146","hep-th",,"  We investigate the effect of a constant external non-Abelian field on chiral
symmetry breaking in a (2+1)-dimensional Nambu-Jona-Lasinio model and in 3D QCD
by solving the gap equation and the Bethe-Salpeter equation, and also by RG
analysis. In the (2+1)-dimensional NJL model chiral symmetry breaking occurs
for any weak coupling constant but in 3D QCD catalysis of chiral symmetry
breaking does not occur.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 10:38:14 GMT""}]","2009-10-30"
"nucl-th/9711004","Elena Bratkovskaya","Th. Weidmann, E. L. Bratkovskaya, W. Cassing, and U. Mosel (Giessen
  Uni.)","$e^+e^-$ pairs from $\pi^-$A reactions","31 pages, ReVTeX, including 8 postscript figures, to appear in Phys.
  Rev. C","Phys.Rev. C59 (1999) 919-927","10.1103/PhysRevC.59.919","UGI-97-25","nucl-th",,"  We present a dynamical study of $e^+e^-$ production in $\pi^-$A reactions at
1.3 and 1.7 GeV on the basis of the Coupled-Channel-BUU approach. The
contributions from vector mesons ($\rho,\omega$) are calculated taking into
account the collisional broadening effect and are compared to background
sources in the dilepton spectrum from the Dalitz decays of $\omega$ and $\eta$
mesons produced in the reaction. Two possible scenarios for the medium
modifications of the vector mesons are investigated, i.e. the 'dropping mass'
scheme for the $\rho$ and $\omega$ and a momentum dependent $\rho$-meson
spectral function that includes the polarization of the $\rho$-meson due to
resonant $\rho -N$ scattering.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 10:33:33 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 10:47:02 GMT""},{""version"":""v3"",""created"":""Thu, 3 Dec 1998 17:22:21 GMT""}]","2009-10-30"
"nucl-th/9711005","Vladimir Pascalutsa","V. Pascalutsa and J.A. Tjon","Relativistic covariance of quasipotential equations","7 pages, LaTeX (REVTeX), incl. 4 PostScript figures","Phys.Lett. B435 (1998) 245-250","10.1016/S0370-2693(98)00856-9","THU-97/32","nucl-th",,"  We argue that most of the relativistic 3-D (quasipotential) equations used in
hadron physics are inconsistent with the discrete symmetries like charge
conjugation and CPT, yielding an incorrect Lorentz structure for the calculated
Green's functions. An exception to this is the equal time approximation to the
Bethe-Salpeter equation. We present a covariant quasipotential model for the
pion-nucleon interaction based on hadronic degrees of freedom and satisfying
the full covariance.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 15:43:54 GMT""}]","2009-10-30"
"physics/9711002","Stanislav Boldyrev","S. A. Boldyrev","Nonlinear Magnetosonic Waves in a Multi-Ion-Species Plasma","15 pages, Latex","Phys. Plasmas 5 (1998) 1315","10.1063/1.872790",,"physics.plasm-ph",,"  Magnetosonic waves are intensively studied due to their importance in space
plasmas and also in fusion plasmas where they are used in particle acceleration
and heating experiments. In the present paper we investigate the magnetosonic
waves propagating in a multi-ion-species plasma perpendicular to an external
magnetic field. Due to the presence of several ion species, this mode splits
into two branches: high- and low-frequency modes. This opens a new channel of
nonlinear interactions (between these two modes), and qualitatively changes the
picture of turbulence in the long-wave region. Using the exact kinetic
approach, we derive a general system describing the propagation of nonlinearly
coupled high- and low-frequency waves. This system includes the KdV,
Boussinesq, and Zakharov equations as limiting cases. Solitary solutions of the
system of coupled equations are obtained.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:34:16 GMT""}]","2009-10-30"
"q-alg/9711005","Christian Ohn","Christian Ohn (Universite de Reims, France)","Quantum SL(3,C)'s with classical representation theory","27 pages, LaTeX2e and AMS-LaTeX 1.2, no figures; minor rewriting and
  typos corrected","J. of Algebra 213 (1999) 721-756",,,"q-alg math.QA",,"  We study and classify almost all quantum SL(3,C)'s whose representation
theory is ``similar'' to that of the (ordinary) group SL(3,C). Only one case,
related to smooth elliptic curves, could not be treated completely.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 12:21:31 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jan 1998 22:32:51 GMT""}]","2007-05-23"
