"alg-geom/9711021","Gerard Laumon","G. Laumon and M. Rapoport","A geometric approach to the fundamental lemma for unitary groups","44 pages, Plain TeX",,,"Preprint Mathematisches Institut der Universitaet zu Koeln 11-97","alg-geom math.AG",,"  We consider from a geometric point of view the conjectural fundamental lemma
of Langlands and Shelstad for unitary groups over a local field of positive
characteristic. We introduce projective algebraic varieties over the finite
residue field $k$ and interpret the conjecture in this case as a remarkable
identity between the number of $k$-rational points of them. We prove the
corresponding identity for the numbers of $k_f$-rational points, for any
extension of even degree $f$ of $k$. The proof uses the local intersection
theory on a regular surface and Deligne's theory of intersection multiplicities
with weights. We also discuss a possible descent argument that uses $\ell$-adic
cohomology to treat extensions of odd degree as well.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:08:53 GMT""}]","2007-05-23"
"hep-ph/9711373","Albert de Roeck","G. Radel, A. De Roeck, M. Maul","The polarised gluon density from di-jet events in DIS at a polarised
  HERA","15 pages, 9 figures, Contributed paper to the Proceedings of the
  Workshop on Physics at HERA with Polarized Protons and Electrons",,,,"hep-ph",,"  We present a possible direct measurement of the polarised gluon density
$\Delta G(x)$ in LO from di-jet production in polarised deep inelastic ep
scattering, assuming the kinematics of the HERA collider. We show the
sensitivity to the x-dependence of $\Delta G(x)$ and to the first moment $\int
\Delta G(x) dx$ in the range $0.002< x <0.2$, assuming the electron and proton
beam of HERA being polarised to 70% and an integrated luminosity of at least
200 pb$^{-1}$. We include in our study hadronisation and higher order effects,
as well as realistic detector smearing and acceptance. We find that the
statistical and systematic uncertainties are small enough to distinguish
between different parametrizations for $\Delta G(x)$, which all are in
accordance with present data. We stress that at HERA an x-range could be
measured, that is not accessible to any other present or proposed experiment.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 18:41:46 GMT""}]","2007-05-23"
"hep-ph/9711374","Omar Miranda","J. W. F. Valle (U. Valencia-Ific/Csic)","Recent Results on Neutrino Masses","13 pages. Latex. 10 figures. Invited talk, Erice, Italy, September
  1997. Size corrected. e-mail address added","Prog.Part.Nucl.Phys.40:43-54,1998","10.1016/S0146-6410(98)00008-8",,"hep-ph astro-ph",,"  I review the main options one has of introducing mass to neutrinos, including
broken R-parity models, as well as the constraints on neutrino properties that
follow from astrophysics, cosmology as well as laboratory observations.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 19:36:13 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 15:40:07 GMT""},{""version"":""v3"",""created"":""Mon, 24 Nov 1997 14:09:19 GMT""}]","2009-09-17"
"hep-ph/9711375","Chi-Keung Chow","Chi-Keung Chow (Cornell)","Aspects of Quenched Chiral Perturbation Theory for Matter Fields","22 pages in REVTeX, 4 figures","Phys.Rev. D57 (1998) 6762-6770","10.1103/PhysRevD.57.6762","CLNS 97/1525","hep-ph hep-lat",,"  Three topics about the application of quenched chiral perturbation theory to
matter fields are studied. It is proved that the hairpin axial current
couplings in quenched chiral perturbation theories do not contribute to the
quenched chiral singularities for one chiral loop renormalization of matter
field properties. The modification of mass corrections in the chiral limit due
to nonzero mass splittings are studied, and selection rules for hadron decays
in quenched QCD are obtained.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:41:32 GMT""}]","2009-10-30"
"hep-ph/9711376","Milo Svec","M.Svec","Mass and width of sigma(750) scalar meson from measurements of
  pi(-)p->pi(-)pi(+)n on polarized target","4 pages, 3 figures",,"10.1063/1.55963",,"hep-ph",,"  Model independent amplitude analyses of $\pi^- p_\uparrow \to \pi^- \pi^+ n$
on polarized target at 17.2 GeV/c reveal resonant structure of S-wave
transversity amplitudes $|\bar S|^2\Sigma$ and $|S|^2\Sigma$ near 750 MeV.
Simultaneous fit to $|\bar S|^2\Sigma$ and $|S|^2\Sigma$ with a single $\sigma$
pole yields $m_\sigma = 775 \pm 17$ MeV and $\Gamma_\sigma = 147 \pm 33$ MeV.
Simultaneous fit with two common $\sigma$ poles yields a lower $\chi^2/dpt$.
Their resonance parameters are $m_\sigma = 786 \pm 24$ MeV, $\Gamma_\sigma =
130 \pm 47$ MeV and $m_{\sigma^\prime} = 670 \pm 30$ MeV,
$\Gamma_{\sigma^\prime} = 59 \pm 58$ MeV.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:51:23 GMT""}]","2009-10-30"
"hep-ph/9711377","G. Valencia","G. Valencia","Long Distance Contribution to $K_L \to \ell^+ \ell^-$","References added, one typo corrected. Version to appear in Nuclear
  Physics B","Nucl.Phys. B517 (1998) 339-352","10.1016/S0550-3213(98)00116-3","ISU-HET-97-6","hep-ph hep-ex",,"  We revisit the calculation of the long distance contribution to $K_L \to
\mu^+ \mu^-$. We discuss this process within the framework of chiral
perturbation theory, and also using simple models for the $K_L \gamma^*
\gamma^*$ vertex. We argue that it is unlikely that this mode can be used to
extract information on short distance parameters. The process $K_L \to e^+ e^-$
is also long-distance dominated and we find that $B(K_L \to e^+ e^-) \approx 9
\times 10^{-12}$.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 21:39:24 GMT""},{""version"":""v2"",""created"":""Wed, 4 Feb 1998 17:40:28 GMT""}]","2009-10-30"
"hep-ph/9711378","Ed Stoeffhaas","M. M. Block, E. M. Gregores, F. Halzen, G. Pancheri","On the LEP Measurements of the Rising Photon-Photon Total Cross Section","Revtex, uses epsfig.sty, 5 pages, 3 postscript figures",,,"MADPH-97-1022","hep-ph",,"  Using vector meson dominance we calculate the $\gamma\gamma$ total cross
section from data on $pp$, $p\bar p$ and $\gamma p$ total cross sections. Our
result agrees with recent high energy measurements performed by the L3
experiment at the LEP collider, not with the conflicting preliminary data
obtained by OPAL.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 21:50:29 GMT""}]","2007-05-23"
"hep-ph/9711379","Cui Jian-Ying","J.Y. Cui, J.M. Wu and H.Y. Jin","Glueball Spectrum from the B.S. Equation","TeX file, 14 pages, 1 ps figure","Phys.Lett. B424 (1998) 381-389","10.1016/S0370-2693(98)00121-X","BIHEP-TH-97-011","hep-ph",,"  The mass of the glueballs is calculated in the B.S. equation framework. Under
instantaneous approximation, the wave function of B.S. equations are obtained.
The kernel is chosen as the sum of an one-gluon exchange potential, a contact
interaction and a linear confining potential. The numerical results are in
agreement with that of recent lattice calculation.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 00:38:44 GMT""}]","2009-10-30"
"hep-ph/9711380","Gregory Gabadadze","Gregory Gabadadze (Rutgers Univ.)","Pseudoscalar Glueball Mass: QCD vs. Lattice Gauge Theory Prediction","18 pages, LaTex file","Phys.Rev. D58 (1998) 055003","10.1103/PhysRevD.58.055003","RU-97-43","hep-ph",,"  We study whether the pseudoscalar glueball mass in full QCD can differ from
the prediction of quenched lattice calculations. Using properties of the
correlator of the vacuum topological susceptibility we derive an expression for
the upper bound on the QCD glueball mass. We show that the QCD pseudoscalar
glueball is lighter than the pure Yang-Mills theory glueball studied in
quenched lattice calculations. The mass difference between those two states is
of order of $1/N_c$. The value calculated for the $0^{-+}$ QCD glueball mass
can not be reconciled with any physical state observed so far in the
corresponding channel. The glueball decay constant and its production rate in
$J/\psi$ radiative decays are calculated. The production rate is large enough
to be studied experimentally.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 01:16:05 GMT""}]","2009-10-30"
"hep-ph/9711381","Yuan Tuo","Yong Liu, Jing-Ling Chen and Mo-Lin Ge (Theor.Phys.Division., Nankai
  Instit. of Math., Nankai University., P.R.China)","A Constraint on EHNS Parameters from Solar Neutrino Problem","10 pages, Latex file","J.Phys.G24:2289-2296,1998","10.1088/0954-3899/24/12/014",,"hep-ph",,"  We suppose that the solar neutrino problem is only due to the mechanism
introduced by Ellis, Hagelin, Nanopoulos and Srednicki (EHNS), then a lower
limit constraint on EHNS parameters is obtained. We find that gamma > 7.4
10^(-22)GeV if alpha < 2 gamma and alpha > 1.5 10^(-21)GeV if alpha > 2 gamma,
this limit is consistent with the upper limits extract from the K0-K0bar system
and can be detected in the future experiments.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 03:15:40 GMT""}]","2008-11-26"
"hep-ph/9711382","Albert de Roeck","G. Radel, A. De Roeck","Delta G(x) from high p_t hadrons in DIS at a polarised HERA","8 pages, 5 figures, Contributed paper to the Proceedings of the
  Workshop on Physics at HERA with Polarized Protons and Electrons",,,,"hep-ph",,"  We investigate the possibility to identify photon-gluon fusion (PGF) events
in polarised deep inelastic ep scattering, assuming the kinematics of the HERA
collider, by a pair of charged high p_t particles. In a Monte Carlo study we
find possible selection criteria and show the expected measurable asymmetries.
We discuss the sensitivity to $\Delta G(x)$ and compare the result to the one
obtained using di-jets to tag PGF events.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 08:34:49 GMT""}]","2007-05-23"
"hep-ph/9711383","Johannes Ranft","R.Engel (University of Delaware, Bartol Research Institute, USA) and
  J.Ranft (Siegen University, Germany)","Hard diffraction and central diffraction in hadron-hadron and
  photon-hadron collisions","13 pages, LATEX, 17 Figs. included as ps files",,,"SI-97-17","hep-ph",,"  Hadron production in single and central diffraction dissociation is studied
in a model which includes soft hadron interaction as controlled by a
supercritical pomeron parametrization and hard diffraction. Within this model,
particle production in collisions with pomerons exhibit properties like
multiple soft interactions and multiple minijets, quite similar to hadron
production in non-diffractive hadronic collisions at high energies. However,
important differences occur in transverse momentum jet and hadron
distributions. It is shown that the model is able to describe data from the
CERN-SPS collider and from the HERA collider. Model predictions are presented
for single and central diffraction at TEVATRON.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:50:33 GMT""}]","2007-05-23"
"hep-ph/9711384","Hector DE Vega","D. Boyanovsky, C. Destri, H.J. de Vega, R. Holman, J. F. J. Salgado","Asymptotic Dynamics in Scalar Field Theory: Anomalous Relaxation","ReV Tex, 43 pages, 37 .ps figures","Phys.Rev. D57 (1998) 7388-7415","10.1103/PhysRevD.57.7388","LPTHE-PAR-97-46","hep-ph astro-ph gr-qc hep-th nucl-th",,"  We analyze the dynamics of dissipation and relaxation in the unbroken and
broken symmetry phases of scalar theory in the nonlinear regime for large
initial energy densities, and after linear unstabilities (parametric or
spinodal) are shut-off by the quantum backreaction. A new time scale emerges
that separates the linear from the non-linear regimes. This scale is non-
perturbative in the coupling and initial amplitude. The non-perturbative
evolution is studied in the large the N limit for the O(N) vector model. A
combination of numerical analysis and the multitime scale analysis reveals the
presence of unstable bands in the nonlinear regime. These are associated with
power law growth of quantum fluctuations, that result in power law relaxation
and dissipation with non-universal and non-perturbative dynamical anomalous
exponents.We find substantial particle production during this non-linear evolu-
tion which is of the same order as that in the linear regime. The expectation
value of the scalar field vanishes asymptotically transferring all of the
initial energy into produced particles via the non-linear resonances in the
unbroken symmetry phase.The effective mass for the quantum modes tends asympto-
tically to a constant plus oscillating O(1/t) terms. This slow decay causes the
power behaviour in the modes which become free for t=infty. We derive a simple
expression for the equation of state for the fluid of produced particles that
interpolates between radiation-type and dust-type equations according to the
initial value of the order parameter for unbroken symmetry. For broken symmetry
the produced particles are massless Goldstone bosons with a radiation-type
equation of state. We find the onset of a novel form of dynamical Bose
condensation in the collisionless regime in the absence of thermalization.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 12:00:37 GMT""}]","2009-10-30"
"hep-ph/9711385",,"Daniele Dominici","Tests for a Strong Electroweak Sector at Future e^+e^- High Energy
  Colliders","74 pages, 19 figures and 4 tables included, Latex, uses epsf, to
  appear in La Rivista del Nuovo Cimento, some minor changes","Riv.Nuovo Cim. 20 (1997) 1-64","10.1007/BF02877375","DFF 291/10/97","hep-ph",,"  The study of the scattering at high energy of the gauge bosons W and Z, in
particular longitudinally polarized W and Z, can clarify the mechanism of
spontaneous symmetry breaking in the Standard Model of the electroweak
interactions. Different models of strong electroweak sector, based on the
effective lagrangian approach are briefly reviewed. They include models with no
resonance, with scalar resonance, additional vector and axial-vector
resonances. The effective Lagrangians are derived from the chiral symmetry of
the symmetry breaking sector. Limits on these models from existing
measurements, mainly LEP and Tevatron, are considered. We study also direct and
indirect effects of the new interactions at high energy future e^+e^- linear
colliders, through WW scattering and the direct production of these new vector
gauge bosons.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 12:30:34 GMT""},{""version"":""v2"",""created"":""Mon, 9 Feb 1998 10:11:49 GMT""}]","2017-08-23"
"hep-ph/9711386","Chris Sachrajda","C.T.Sachrajda","Theoretical Aspects of Heavy Flavour Physics","Plenary lecture presented at the XVIII International Symposium on
  Lepton-Photon Interactions, Hamburg, July 28th - August 1st 1997. To be
  published in the Proceedings. 23 Pages - Latex file plus six *.eps figures
  and 2 style files",,,"SHEP 97/26","hep-ph",,"  I review the status of theoretical aspects of B-decays. The principal
difficulty in interpreting the wealth of experimental data is the control of
non-perturbative QCD effects, and the talk is focused on attempts to control
these effects. Lattice results for the decay constants, B-$\bar B$ mixing and
semileptonic form-factors are summarized. The discrepancy of the theoretical
predictions and experimental measurements for the ratio of lifetimes
$\tau(\Lambda_b)/\tau(B_0)$ is discussed, as well as the status of the
semileptonic branching ratio of the B-meson. The difficulties in making
quantitative predictions for exclusive nonleptonic decays are stressed, and
some recent approaches to this problem are outlined.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 14:41:02 GMT""}]","2007-05-23"
"hep-ph/9711387","Marco Stratmann","D. de Florian (CERN), M. Stratmann (Durham Univ.), W. Vogelsang (CERN)","QCD Analysis of Unpolarized and Polarized Lambda - Baryon Production in
  Leading and Next-to-Leading Order","39 pages, LaTeX, 9 figures, uses epsfig and amssymb styles","Phys.Rev. D57 (1998) 5811-5824","10.1103/PhysRevD.57.5811","CERN-TH/97-286, DTP/97/106","hep-ph",,"  We analyze experimental data for the production of Lambda baryons in e^+e^-
annihilation in terms of scale dependent, QCD evolved, Lambda fragmentation
functions. Apart from the vast majority of the data for which the polarization
of an observed Lambda was not determined, we also consider the recent LEP
measurements of the longitudinal polarization of Lambda's produced on the
Z-resonance. Such data correspond to spin-dependent fragmentation functions for
the Lambda. We point out that the present data are insufficient to
satisfactorily fix these. We therefore suggest several different sets of
fragmentation functions, all compatible with present data, and study the
prospects for conceivable future semi-inclusive deep-inelastic scattering
experiments to discriminate between them. We provide the complete
next-to-leading order QCD framework for all the processes we consider.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 14:00:17 GMT""}]","2009-10-30"
"hep-ph/9711388","Pasha Kovalenko","L. V. Laperashvili (1), H. B. Nielsen (2) ((1) ITEP, Moscow, Russia,
  (2) The Niels Bohr Institute,Copenhagen,Denmark)","Anti-Grand Unification and Critical Coupling Universality","5 pages, LaTeX2e, 1 figure; talk presented by L. V. Laperashvili at
  the 8th Lomonosov Conference on Elementary Particle Physics, Moscow",,,,"hep-ph",,"  The present work considers the phase transition between the confinement and
""Coulomb"" phases in U(1), SU(2) and SU(3)-sectors of Anti-grand unified theory
described by regularized Wilson loop action. It was shown the independence of
the critical coupling constants of the regularization method (""universality"").
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 15:28:24 GMT""}]","2007-05-23"
"hep-ph/9711389","Cornelius C. Noack","H.W. Fricke and C.C. Noack","A Baryon Model in Covariant Constraint Dynamics","Submitted to Physical Review Letters","Phys.Rev.Lett. 80 (1998) 3014-3017","10.1103/PhysRevLett.80.3014",,"hep-ph",,"  An important ingredient of parton or string cascade models for
ultrarelativistic heavy-ion reactions is a parton description of the baryon.
Whereas previous models needed the concept of a diquark in an essential way, we
have developed a new model using Dirac's approach of Poincare-covariant
many-body dynamics with constraints.
  In our model, the baryon is described as a dynamical set of three valence
quarks and a fourth 'particle', the ""junction"", which carries the momentum
fraction of the sea quarks as well as all of the glue.
  The model's parameters are the quark current masses, and one interaction
strength, determined by the proton radius. Thus the model has no adjustable
free parameters. Nevertheless, we obtain a remarkably good fit to the valence
quark structure functions of the baryon
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 15:47:40 GMT""}]","2009-10-30"
"hep-th/9711131","Subir Mukhopadhya","Subir Mukhopadhyay and Koushik Ray","Conifolds From D-branes","7 pages, AMSTEX, Cosmetic changes. Equation numbers and typos
  corrected and references added. To appear in Phys. Lett. B","Phys.Lett. B423 (1998) 247-254","10.1016/S0370-2693(98)00141-5",,"hep-th",,"  In this note we study the resolution of conifold singularity by D-branes by
considering compactification of D-branes on $\C^3/(\Z_2\times\Z_2)$. The
resulting vacuum moduli space of D-branes is a toric variety which turns out to
be a resolved conifold, that is a nodal variety in $\C^4$. This has the
implication that all the corresponding phases of Type--II string theory are
geometrical and are accessible to the D-branes, since they are related by
flops.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 00:07:19 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jan 1998 21:16:16 GMT""}]","2009-10-30"
"hep-th/9711135","Francisco Gonzalez-Rey","F. Gonzalez-Rey and R. von Unge","Feynman rules in N=2 projective Superspace II: Massive hypermultiplets","Latex, 17 pages, version to be published in Nuc. Phys. B","Nucl.Phys. B516 (1998) 449-466","10.1016/S0550-3213(98)00074-1","ITP-SB-68, PUPT-1746","hep-th",,"  Manifest N=2 supersymmetric hypermultiplet mass terms can be introduced in
the projective N=2 superspace formalism. In the case of complex
hypermultiplets, where the gauge covariantized spinor derivatives have an
explicit representation in terms of gauge prepotentials, it is possible to
interpret such masses as vacuum expectation values of an Abelian vector
multiplet. The duality transformation that relates the N=2 off-shell projective
description of the hypermultiplet to the on-shell description involving two N=1
chiral superfields allows us to obtain the massive propagators of the N=1
complex linear fields in the projective hypermultiplet. The N=1 massive
propagators of the component superfields in the projective hypermultiplet
suggest a possible ansatz for the N=2 massive propagator, which agrees with an
explicit calculation in N=2 superspace.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 23:43:18 GMT""},{""version"":""v2"",""created"":""Mon, 24 Nov 1997 23:24:39 GMT""},{""version"":""v3"",""created"":""Wed, 21 Jan 1998 22:33:06 GMT""}]","2009-10-30"
"hep-th/9711138","Konstadinos Sfetsos","K. Sfetsos and K. Skenderis","Microscopic derivation of the Bekenstein-Hawking entropy formula for
  non-extremal black holes","Misprints corrected, discussion section expanded, some references
  added. Version to appear in Nucl. Phys. B. 29 pages, latex","Nucl.Phys. B517 (1998) 179-204","10.1016/S0550-3213(98)00023-6","CERN-TH/97-330, KUL-TF-97/33","hep-th gr-qc",,"  We derive the Bekenstein-Hawking entropy formula for four and five
dimensional non-supersymmetric black holes (which include the Schwarzchild
ones) by counting microscopic states. This is achieved by first showing that
these black holes are U-dual to the three-dimensional black hole of
Banados-Teitelboim-Zanelli and then counting microscopic states of the latter
following Carlip's approach. Higher than five dimensional black holes are also
considered. We discuss the connection of our approach to the D-brane picture.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:13:16 GMT""},{""version"":""v2"",""created"":""Sat, 10 Jan 1998 16:41:35 GMT""}]","2009-10-30"
"hep-th/9711139","Jose Velhinho","J.M. Mourao, T. Thiemann, J.M. Velhinho","Physical Properties of Quantum Field Theory Measures","24 pages, LaTeX, added proof for section 4.2, added references","J.Math.Phys. 40 (1999) 2337-2353","10.1063/1.532868",,"hep-th",,"  Well known methods of measure theory on infinite dimensional spaces are used
to study physical properties of measures relevant to quantum field theory. The
difference of typical configurations of free massive scalar field theories with
different masses is studied. We apply the same methods to study the
Ashtekar-Lewandowski (AL) measure on spaces of connections. We prove that the
diffeomorphism group acts ergodically, with respect to the AL measure, on the
Ashtekar-Isham space of quantum connections modulo gauge transformations. We
also prove that a typical, with respect to the AL measure, quantum connection
restricted to a (piecewise analytic) curve leads to a parallel transport
discontinuous at every point of the curve.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:22:43 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 2001 12:51:34 GMT""}]","2009-10-30"
"hep-th/9711140","Niall J. MacKay","J. M. Evans, M. Hassan, N. J. MacKay and A. J. Mountain","Conserved Charges and Supersymmetry in Principal Chiral Models","18 pages, LaTeX. Revised and up-dated version based on conference
  talks by JME and NJM",,,"DAMTP-97-120","hep-th",,"  We report on investigations of local (and non-local) charges in bosonic and
supersymmetric principal chiral models in 1+1 dimensions. In the bosonic PCM
there is a classically conserved local charge for each symmetric invariant
tensor of the underlying group. These all commute with the non-local Yangian
charges. The algebra of the local charges amongst themselves is rather more
subtle. We give a universal formula for infinite sets of mutually commuting
local charges with spins equal to the exponents of the underlying classical
algebra modulo its Coxeter number. Many of these results extend to the
supersymmetric PCM, but with local conserved charges associated with
antisymmetric invariants in the Lie algebra. We comment briefly on the quantum
conservation of local charges in both the bosonic and super PCMs.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 18:25:54 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jun 1998 11:59:12 GMT""},{""version"":""v3"",""created"":""Thu, 4 Feb 1999 14:27:08 GMT""}]","2007-05-23"
"hep-th/9711141",,"Zhong-Qi Ma and Bo-Yuan Hou","The modified Seiberg-Witten monopole equations and their exact solutions","RevTex, 6 page, no figure","Int.J.Theor.Phys.38:877-886,1999","10.1023/A:1026609102967",,"hep-th",,"  The modified Seiberg-Witten monopole equations are presented in this letter.
These equations have analytic solutions in the whole 1+3 Minkowski space with
finite energy. The physical meaning of the equations and solutions are
discussed here.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 02:50:50 GMT""}]","2010-11-19"
"hep-th/9711142","Young-Jai Park","Mu-In Park and Young-Jai Park","Note on the Abelian Pure CS Theory Based on the Improved BFT Method","12 pages, latex, no figures, final published version","J.KoreanPhys.Soc.31:802-806,1997",,"SOGANG-HEP 211/97","hep-th",,"  We reconsider the Abelian pure Chern-Simons theory in three dimensions by
using our improved Batalin-Fradkin-Tyutin Hamiltonian formalism. As a result,
we show several novel features, including the connection of the Dirac brackets.
In particular, through the path integral quantization, we obtain the desired
new type of the Wess-Zumino action.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 06:18:46 GMT""}]","2008-11-26"
"hep-th/9711145","Sergey A. Cherkis","Sergey A. Cherkis and Anton Kapustin","Singular Monopoles and Supersymmetric Gauge Theories in Three Dimensions","26 pages, LaTeX, 6 figures; exposition improved","Nucl.Phys. B525 (1998) 215-234","10.1016/S0550-3213(98)00341-1","IASSNS-HEP-97/124, CALT-68-2143","hep-th",,"  According to the proposal of Hanany and Witten, Coulomb branches of N=4 SU(n)
gauge theories in three dimensions are isometric to moduli spaces of BPS
monopoles. We generalize this proposal to gauge theories with matter, which
allows us to describe the metrics on their spaces of vacua by means of the
hyperk\""ahler quotient construction. To check the identification of moduli
spaces a comparison is made with field theory predictions. For SU(2) theory
with k fundamental hypermultiplets the Coulomb branch is expected to be the D_k
ALF gravitational instanton, so our results lead to a construction of such
spaces. In the special case of SU(2) theory with four or fewer fundamental
hypermultiplets we calculate the complex structures on the moduli spaces and
compare them with field-theoretical results. We also discuss some puzzles with
brane realizations of three-dimensional N=4 theories.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:11:51 GMT""},{""version"":""v2"",""created"":""Sat, 7 Feb 1998 01:24:47 GMT""}]","2009-10-30"
"hep-th/9711146","Max Niedermaier","M.R. Niedermaier","Form Factors, Thermal States and Modular Structures","40 pages, Latex. Simplification of the algebra and update","Nucl.Phys. B519 (1998) 517-550","10.1016/S0550-3213(98)00130-8",,"hep-th nlin.SI solv-int",,"  Form factor sequences of an integrable QFT can be defined axiomatically as
solutions of a system of recursive functional equations, known as ``form factor
equations''. We show that their solution can be replaced with the study of the
representation theory of a novel algebra F(S). It is associated with a given
two-particle S-matrix and has the following features: (i) It contains a double
TTS algebra as a subalgebra. (ii) Form factors arise as thermal vector states
over F(S) of temperature 1/2\pi. The thermal ground states are in
correspondence to the local operators of the QFT. (iii) The underlying `finite
temperature structure' is indirectly related to the ``Unruh effect'' in Rindler
spacetime. In F(S) it is manifest through modular structures (j,\delta) in the
sense of algebraic QFT, which can be implemented explicitly in terms of the TTS
generators.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:31:18 GMT""},{""version"":""v2"",""created"":""Mon, 8 Dec 1997 10:39:57 GMT""},{""version"":""v3"",""created"":""Sat, 19 Sep 1998 17:14:55 GMT""}]","2009-10-30"
"hep-th/9711147",,"S.S. Gershtein, A.A. Logunov, and M.A. Mestvirishvili","The upper limit on the graviton mass","5 pages, Latex file","Dokl.Phys.43:293-296,1998; Dokl.Akad.Nauk Ser.Fiz.360:332-334,1998",,"IHEP 97-57","hep-th",,"  Basing on the field theory of gravity and observable parameters of the
expanding Universe the upper limit of $m_g \leq 4.5 . 10^{-66} g$. on the value
of possible graviton mass is derived.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 11:28:49 GMT""}]","2016-09-06"
"hep-th/9711148","Niall J. MacKay","N. J. Mackay","Quantum affine Toda solitons","16pp, LaTeX. Minor revisions",,"10.1142/S0129055X98000367","DAMTP-97-129","hep-th",,"  We review some of the progress in affine Toda field theories in recent years,
explain why known dualities cannot easily be extended, and make some
suggestions for what should be sought instead.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 12:10:03 GMT""},{""version"":""v2"",""created"":""Mon, 16 Feb 1998 14:29:53 GMT""}]","2015-06-26"
"hep-th/9711149","Abdel-Khalek Khaled","Khaled Abdel-Khalek (INFN/Lecce Univ.)","The Compatibility between the Higher Dimensions Self Duality and the
  Yang-Mills Equation of Motion","LaTeX file",,,,"hep-th",,"  We study the compatiblity between the higher dimension dualities and the
Yang-Mills equation of motion. Taking a 't Hooft solution as a starting point,
we come to the conclusion that for only 4 dimensions the self duality implies
the equation of motion for generic instanton size. Whereas in higher
dimensions, the self duality is compatable with the equation of motion,
approximately, for small instanton size i.e. the zero curvature condition. At
the mathematical level, the self duality is still useful since it transforms a
second order into a first order differential equation.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 14:14:03 GMT""}]","2007-05-23"
"hep-th/9711150","Jose I. Latorre","J. I. Latorre and C. A. Lutken","On RG potential in Yang-Mills theories","9 pages, LaTex","Phys.Lett. B421 (1998) 217-222","10.1016/S0370-2693(97)01588-8",,"hep-th",,"  We construct an RG potential for N=2 supersymmetric SU(2) Yang-Mills theory,
and extract a positive definite metric by comparing its gradient with the
recently discovered beta-function for this system, thus proving that the RG
flow is gradient in this four-dimensional field theory. We also discuss how
this flow might change after supersymmetry breaking, provided the quantum
symmetry group does not, emphasizing the non-trivial problem of asymptotic
matching of automorphic functions to perturbation theory.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 15:06:06 GMT""}]","2009-10-30"
"nucl-th/9711036","Gerald A. Miller","Gerald A. Miller","Nucleon Charge Symmetry Breaking and Parity Violating Electron-Proton
  Scattering","35 pages, 9 figures","Phys.Rev.C57:1492-1505,1998","10.1103/PhysRevC.57.1492","DOE/ER/41014-40-N97","nucl-th hep-ph nucl-ex",,"  The consequences of the charge symmetry breaking effects of the mass
difference between the up and down quarks and electromagnetic effects for
searches for strangeness form factors in parity violating electron scattering
from the proton are investigated. The formalism necessary to identify and
compute the relevant observables is developed by separating the Hamiltonian
into charge symmetry conserving and breaking terms. Using a set of SU(6)
non-relativistic quark models, the effects of the charge symmetry breaking
Hamiltonian are considered for experimentally relevant alues of the momentum
transfer and found to be less than about 1 percent. The charge symmetry
breaking corrections to the Bjorken sum rule are also studied and shown to
vanish in first-order perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 22:19:10 GMT""}]","2008-11-26"
