"alg-geom/9710032","Sergey Barannikov","Sergey Barannikov, Maxim Kontsevich","Frobenius Manifolds and Formality of Lie Algebras of Polyvector Fields","12 pages, AMS-TeX; typos and a sign corrected, appendix added.
  Submitted to IMRN","International Mathematics Research Notices, Volume 1998, Issue 4,
  Pages 201-215","10.1155/S1073792898000166",,"alg-geom hep-th math.AG",,"  We construct a generalization of the variations of Hodge structures on
Calabi-Yau manifolds. It gives a Mirror partner for the theory of genus=0
Gromov-Witten invariants
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 23:19:11 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jan 1998 18:12:18 GMT""}]","2023-02-21"
"hep-ph/9710512","Ulrich Nierste","Yong-Yeon Keum and Ulrich Nierste","Probing penguin coefficients with the lifetime ratio tau(B_s)/tau(B_d)","14 pages, 6 figures, LaTex 2e, uses jeep.sty, a4wide.sty, a4.sty,
  fancyheadings.sty, cite.sty, epsf.sty, rotate.sty, times.sty","Phys. Rev. D 57, 4282 (1998)","10.1103/PhysRevD.57.4282","DESY-97-120, APCTP-97-17","hep-ph",,"  We calculate penguin contributions to the lifetime splitting between the B_s
and the B_d meson. In the Standard Model the penguin effects are found to be
opposite in sign, but of similar magnitude as the contributions of the
current-current operators, despite of the smallness of the penguin
coefficients. We predict
  tau(B_s)/tau(B_d) -1 = ( -1.2 +/- 10.0 ) * 10^(-3) * (f_{B_s}/190 MeV)^2
where the error stems from hadronic uncertainties. Since penguin coefficients
are sensitive to new physics and poorly tested experimentally, we analyze the
possibility to extract them from a future precision measurement of
tau(B_s)/tau(B_d). Anticipating progress in the determination of the hadronic
parameters epsilon_1, epsilon_2 and f_{B_s}/f_{B_d} we find that the
coefficient C_4 can be extracted with an uncertainty of order |Delta C_4|= 0.1
from the double ratio (tau(B_s)-tau(B_d))/(tau(B^+)-tau(B_d)), if
|epsilon_1-epsilon_2| is not too small.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:45:19 GMT""}]","2016-08-25"
"hep-ph/9710513","Christian Bauer","Christian Bauer","Corrections to Moments of the Photon Spectrum in the Inclusive Decay B
  \to X_s \gamma","18 pages, 6 figures, revtex, changes to analytical results,
  conclusions unchanged, submitted as an Erratum to Phys.Rev. D","Phys.Rev.D57:5611-5619,1998; Erratum-ibid.D60:099907,1999","10.1103/PhysRevD.57.5611 10.1103/PhysRevD.60.099907","UTPT--97-19","hep-ph",,"  We investigate the two main uncertainties on the extraction of the
nonperturbative matrix elements $\bar{\Lambda}$ and $\lambda_1$ from moments of
the inclusive rare FCNC decay $B \to X_s \gamma$. The first one is due to
unknown matrix elements of higher dimensional operators which are estimated by
varying the matrix elements in a range as suggested by dimensional analysis.
The effect of these terms is found to be small. A second uncertainty arises
from a cut on the photon energy and we give model independent bounds on these
uncertainties as well as their estimates from a simplified version of the ACCMM
model.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 01:11:29 GMT""},{""version"":""v2"",""created"":""Wed, 11 Mar 1998 20:38:05 GMT""},{""version"":""v3"",""created"":""Fri, 25 Jun 1999 00:42:38 GMT""}]","2014-11-17"
"hep-ph/9710514",,"M.A. Ivanov and T. Mizutani (Virginia Tech)","The box anomaly and radiative decays of \eta(\eta')-mesons","22 pages, Latex, 10 PS figures",,,,"hep-ph",,"  We report on a confined quark model calculation of the transition form
factors for the radiative decays of \eta(\eta')->\gamma l^+l^- and
\eta(\eta')->\gamma\pi^+\pi^-. The \eta-\eta' mixing angle \theta_P is
determined from the set of data on the electromagnetic \eta(\eta') decays. It
is found that \theta_P\sim -16.5. The analysis of the dipionic mass
distribution in the decay \eta'->\gamma\pi^+\pi^- confirms the existence of a
non-resonant contribution which is the box anomaly.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 21:21:22 GMT""}]","2007-05-23"
"hep-ph/9710515","Kunihiko Terasaki","K. Terasaki","Non-factorizable long distance contributions in color suppressed decays
  of B mesons","19 pages, Revtex","Int.J.Mod.Phys. A13 (1998) 4325-4338","10.1142/S0217751X98002092","YITP-97-52","hep-ph",,"  $\bar B \to D\pi$, $D^*\pi$, $J/\psi\bar K$ and $J/\psi\pi$ decays are
studied. Their amplitude is given by a sum of factorized and non-factorizable
ones. The latter which is estimated by using a hard pion approximation is
rather small in color favored $\bar B \to D\pi$ and $D^*\pi$ decays but still
can efficiently interfere with the main amplitude given by the factorization.
In the color suppressed $\bar B \to J/\psi\bar K$ and $J/\psi\pi$ decays, the
non-factorizable contribution is very important. The sum of the factorized and
non-factorizable amplitudes can reproduce well the existing experimental data
on the branching ratios for the color favored $\bar B \to D\pi$ and $D^*\pi$
and the color suppressed $\bar B \to J/\psi \bar K$ and $J/\psi\pi$ decays by
taking reasonable values of unknown parameters involved.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 04:44:14 GMT""}]","2009-10-30"
"hep-ph/9710516","Joe Sato","J. Sato and T. Yanagida","Large Lepton Mixing in a Coset-space Family Unification on $E_7/SU(5)
  \times U(1)^3$","8 pages, Latex2e","Phys.Lett. B430 (1998) 127-131","10.1016/S0370-2693(98)00510-3","UT-796","hep-ph",,"  We study a coset-space unification model for families based on $E_7/SU(5)
\times U(1)^3$. We find that qualitative structure of quark and lepton mass
matrices in this model describes very well the observation. We stress, in
particular, that the large mixing angle, $\sin^22\theta_{\nu_\mu\nu_\tau}
\simeq 1$, required for the atmospheric neutrino oscillation reported by the
SuperKamiokande collaboration, is naturally obtained, which is a consequence of
unparallel family structure in the present coset-space unification.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 05:43:00 GMT""}]","2016-09-06"
"hep-ph/9710517","Yang Chun-Bin","C.B. Yang and X. Cai","Analytical investigation for multiplicity difference correlators under
  QGP phase transition","5 pages, RevTeX, three figures in EPS format","Phys.Rev.C57:2049-2052,1998","10.1103/PhysRevC.57.2049",,"hep-ph",,"  It is suggested that the study of multiplicity difference correlators between
two well-separated bins in high-energy heavy-ion collisions can be used as a
means to detect evidence of a quark-hadron phase transition. Analytical
expressions for the scaled factorial moments of multiplicity difference
distribution are obtained in a kinetical region ${\bar s}\le 0.3$ within
Ginzburg-Landau description. It is shown that the scaling behaviors between the
moments are still valid, though the behaviors of the moments with respect to
the bin size are completely different from the so-called intermittency
patterns. A universal exponent $\gamma$ is given to describe the dynamical
fluctuations in the phase transition.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 07:01:32 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 1997 06:53:42 GMT""}]","2008-11-26"
"hep-ph/9710518","Steven Bass","S. D. Bass, M. M. Brisudova and A. De Roeck","The Drell-Hearn-Gerasimov Sum-Rule at Polarized HERA","7 pages, LaTeX, 1 figure generated as fig1.tex. To appear in Proc.
  Workshop on ``Physics with Polarized Protons at HERA''",,,"TK-97-12","hep-ph hep-ex",,"  We discuss the potential of polarized HERA to measure the spin dependent part
of the total photoproduction cross-section at large $\sqrt{s_{\gamma p}}$.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 09:13:52 GMT""}]","2007-05-23"
"hep-ph/9710519","Stefan Hesselbach","S. Hesselbach, F. Franke and H. Fraas","Production of neutralinos in superstring-inspired E_6 models","7 pages, Latex, including 12 Postscript figures, uses rotating.sty,
  amssymb.sty; complete psfile also available at
  ftp://ftp.physik.uni-wuerzburg.de/pub/preprint/1997/WUE-ITP-97-042.ps.gz ;
  contribution to the proceedings of the ""ECFA/DESY Study on Physics and
  Detectors for the Linear Collider"", DESY 97-123E, ed. R. Settles",,,"WUE-ITP-97-042","hep-ph",,"  We study the neutralino mass spectra and production cross sections at an
e^+e^- linear collider in superstring-inspired E_6 models. These models are
characterized by the existence of new neutral gauge bosons and singlet Higgs
fields which also lead to an extended neutralino sector compared to the Minimal
Supersymmetric Standard Model (MSSM) or the Next-To-Minimal Supersymmetric
Standard Model (NMSSM). For different E_6 models we develop scenarios with new
light exotic neutralinos which may offer important possibilities to distinguish
between the models.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 12:12:37 GMT""}]","2007-05-23"
"hep-ph/9710520",,"N.V.Krasnikov","Supersymmetric SU(5) model with large supersymmetry breaking scale","13 pages, latex, no figures",,,"Preprint INR 869R/97","hep-ph",,"  Taking into account uncertainties related with the initial coupling constants
and threshold corrections at low and high scales we find that in standard
supersymmetric SU(5) model the supersymmetry breaking scale could be up to
$10^8$ GeV. In the extensions of the standard supersymmetric SU(5) model the
supersymmetry breaking scale could be up to $O(10^{12})$ GeV.
  In standard SU(5) supersymmetric model it is possible to increase the GUT
scale up to $5 \cdot 10^{17}$ GeV provided that the masses of chiral
superoctets and supertriplets are $m_{3,8} \sim O(10^{13})$ GeV. For SU(5)
supersymmetric model with $10^6$ GeV $\leq M_{SUSY} \leq 10^8$ GeV the Higgs
boson mass is predicted to be 120 GeV $\leq m_h \leq $ 150 GeV.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 12:47:06 GMT""}]","2007-05-23"
"hep-ph/9710521","Stefan Dittmaier","A. Denner, S. Dittmaier and M. Roth","Non-factorizable photonic corrections to ee->WW->4fermions","46 pages, latex, 13 eps figures, incorrect remarks concerning the
  universality of non-factorizable corrections to pure invariant-mass
  distributions discarded","Nucl.Phys.B519:39-84,1998","10.1016/S0550-3213(98)00046-7","CERN-TH/97-258, PSI-PR-97-30","hep-ph",,"  We study the non-factorizable corrections to W-pair-mediated four-fermion
production in ee annihilation in double-pole approximation. We show how these
corrections can be combined with the known corrections to the production and
the decay of on-shell W-boson pairs, and how the full off-shell Coulomb
singularity is included. Moreover, we find that the actual form of the real
non-factorizable corrections depends on the parametrization of phase space,
more precisely, on the definition of the invariant masses of the resonant W
bosons. For the usual parametrization the full analytical results for the
non-factorizable corrections are presented. Our analytical and numerical
results for the non-factorizable corrections agree with a recent calculation,
which was found to differ from a previous one. The detailed numerical
discussion covers the invariant-mass distribution, various angular
distributions, and the lepton-energy distribution for leptonic final states.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:17:21 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 1997 08:39:01 GMT""},{""version"":""v3"",""created"":""Thu, 5 Mar 1998 15:41:45 GMT""}]","2009-09-25"
"hep-ph/9710522","Juan Cruz Estrada","Juan Estrada and Luis Masperi (Centro Atomico Bariloche and Instituto
  Balseiro)","Dynamical Cosmological Constant and Relations Among Pseudo Goldstone
  Bosons","6 pages, 1 Postscript figure","Mod.Phys.Lett. A13 (1998) 423-428","10.1142/S0217732398000486",,"hep-ph astro-ph",,"  The present apparent cosmological constant is interpreted as the potential of
the lightest pseudo Goldstone boson. Some numerical relations among
cosmological parameters and particle masses are shown to arise from the mixture
of this very light particle, whose interaction is of the gravitational order,
with other pseudo Goldstone bosons like the pion and the axion which feel the
strong interaction.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 13:58:30 GMT""}]","2015-06-25"
"hep-ph/9710523","Valera Lyubovitskij","V.E.Lyubovitskij (JINR, Dubna and Tomsk University), M.A.Ivanov (JINR,
  Dubna), J.G.Korner (Institute of Physics, Mainz University), A.G.Rusetsky
  (JINR, Dubna and IHEP, Tbilisi University)","Exclusive Nonleptonic Decays of Heavy Baryons in a Relativistic Quark
  Model","4 pages, LaTeX-file, Talk given at the IV International Workshop on
  Progress in Heavy Quark Physics, Rostock, September 20-22, 1997",,,,"hep-ph",,"  Exclusive nonleptonic decays of bottom and charm baryons are studied within a
relativistic quark model. We include factorizing as well as nonfactorizing
contributions to the decay amplitudes.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:32:09 GMT""}]","2007-05-23"
"hep-ph/9710524","Valera Lyubovitskij","A.G.Rusetsky (JINR, Dubna and IHEP, Tbilisi University), M.A.Ivanov
  (JINR, Dubna), J.G.Korner (Institute of Physics, Mainz University),
  V.E.Lyubovitskij (JINR, Dubna and Tomsk University)","Weak Decays of Heavy Baryons in the Covariant Quasipotential Approach","4 pages, LaTeX-file, Talk given at the IV International Workshop on
  Progress in Heavy Quark Physics, Rostock, September 20-22, 1997",,,,"hep-ph",,"  Bethe-Salpeter approach has been applied to the study of b --> c transitions
both for heavy mesons and heavy baryons. Meson and baryon IW functions are
calculated on the equal footing. A reasonable agreement with the experimental
data for heavy to heavy semileptonic transitions has been obtained.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:33:01 GMT""}]","2007-05-23"
"hep-ph/9710526","Nikolaos Tetradis","C. Panagiotakopoulos, N. Tetradis","Two-Stage Inflation as a Solution of the Initial Condition Problem of
  Hybrid Inflation","12 pages, LaTeX, uses equation.sty, 4 figures in eps format","Phys.Rev.D59:083502,1999","10.1103/PhysRevD.59.083502","CERN-TH/97-301","hep-ph astro-ph",,"  We address the issue of fine-tuning of the initial field configuration that
can lead to hybrid inflation in the context of global supersymmetry. This
problem is generated by the difference between the energy scale at which the
Universe emerges from the Planck era and the inflationary scale implied by the
COBE observations: V^{1/4} \sim 10^{-3} m_{Pl}. We propose a scenario with two
stages of inflation. The first stage, with a typical scale not far from m_{Pl},
occurs ``naturally'' and provides the necessary homogeneity for the second
stage. The latter generates the density perturbations that result in the cosmic
microwave background anisotropy observed by COBE.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:36:30 GMT""},{""version"":""v2"",""created"":""Fri, 6 Nov 1998 16:51:03 GMT""}]","2009-06-19"
"hep-ph/9710527","Matteo Cacciari","Matteo Cacciari (DESY)","Hadronic Production of Heavy Quarks","9 pages, LaTeX, 8 plots included, uses aipproc.sty Review talk given
  at the b20 Symposium ""Twenty Beautiful Years of Bottom Physics"", Illinois
  Institute of Technology, Chicago, June 29 - July 2, 1997, to appear in the
  Proceedings",,"10.1063/1.55101",,"hep-ph",,"  We review the status of theoretical evaluations of heavy quark and heavy
quarkonium hadroproduction cross sections and their comparisons with
experimental data.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:45:50 GMT""}]","2009-10-30"
"hep-th/9710215","Jan Plefka","Bernard de Wit, Kasper Peeters, Jan Plefka","Open and Closed Supermembranes with Winding","Contribution to the proc. Strings '97, 10 pages, LaTeX, uses espcrc2","Nucl.Phys.Proc.Suppl. 68 (1998) 206-215","10.1016/S0920-5632(98)00154-6","THU-97-44, NIKHEF 97-045","hep-th",,"  Motivated by manifest Lorentz symmetry and a well-defined large-N limit
prescription, we study the supersymmetric quantum mechanics proposed as a model
for the collective dynamics of D0-branes from the point of view of the
11-dimensional supermembrane. We argue that the continuity of the spectrum
persists irrespective of the presence of winding around compact target-space
directions and discuss the central charges in the superalgebra arising from
winding membrane configurations. Along the way we comment on the structure of
open supermembranes.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:54:12 GMT""}]","2009-10-30"
"hep-th/9710216","Manoelito Martins de Souza","Manoelito M. de Souza","Discrete Classical Electromagnetic Fields","13 pages in Revtex,5 ps figures",,,"UFES-DF-MMS-97/3","hep-th gr-qc hep-ph",,"  The classical electromagnetic field of a spinless point electron is described
in a formalism with extended causality by discrete finite transverse
point-vector fields with discrete and localized point interactions. These
fields are taken as a classical representation of photons, ``classical
photons"". They are all transversal photons; there are no scalar nor
longitudinal photons as these are definitely eliminated by the gauge condition.
The angular distribution of emitted photons coincides with the directions of
maximum emission in the standard formalism. The Maxwell formalism and its
standard field are retrieved by the replacement of these discrete fields by
their space-time averages, and in this process scalar and longitudinal photons
are necessarily created and added. Divergences and singularities are
by-products of this averaging process. This formalism enlighten the meaning and
the origin of the non-physical photons, the ones that violate the Lorentz
condition in manifestly covariant quantization methods.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 17:25:05 GMT""}]","2007-05-23"
"hep-th/9710217","Gary Horowitz","Gary T. Horowitz and Emil J. Martinec","Comments on Black Holes in Matrix Theory","15 pages, harvmac, minor errors corrected","Phys. Rev. D 57, 4935 (1998)","10.1103/PhysRevD.57.4935",,"hep-th",,"  The recent suggestion that the entropy of Schwarzschild black holes can be
computed in matrix theory using near-extremal D-brane thermodynamics is
examined. It is found that the regime in which this approach is valid actually
describes black strings stretched across the longitudinal direction, near the
transition where black strings become unstable to the formation of black holes.
It is argued that the appropriate dynamics on the other (black hole) side of
the transition is that of the zero modes of the corresponding super Yang-Mills
theory. A suggestive mean field theory argument is given for the entropy of
black holes in all dimensions. Consequences of the analysis for matrix theory
and the holographic principle are discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 00:09:32 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 18:41:02 GMT""}]","2016-08-25"
"hep-th/9710218","Nobuyoshi Ohta","Nobuyoshi Ohta, Takashi Shimizu and Jian-Ge Zhou","Creation of Fundamental String in M(atrix) Theory","11 pages, Latex, minor corrections, version to appear in Phys. Rev. D
  (Rapid Communication)","Phys.Rev.D57:2040-2044,1998","10.1103/PhysRevD.57.2040","OU-HET 280","hep-th",,"  The potential between two D4-branes at angles with partially unbroken
supersymmetry is computed, and is used to discuss the creation of a fundamental
string when two such D4-branes cross each other in M(atrix) theory. The
effective Lagrangian is shown to be anomalous at 1-loop approximation, but it
can be modified by bare Chern-Simons terms to preserve the invariance under the
large gauge transformation. The resulting effective potential agrees with that
obtained from the string calculations. The result shows that a fundamental
string is created in order to cancel the repulsive force between two D4-branes
at proper angles.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 02:53:31 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 1997 02:21:45 GMT""},{""version"":""v3"",""created"":""Sat, 1 Nov 1997 03:31:03 GMT""},{""version"":""v4"",""created"":""Mon, 5 Jan 1998 05:16:19 GMT""}]","2009-12-30"
"hep-th/9710220","Luka Sustersic","Marijan Ribaric and Luka Sustersic (Jozef Stefan Institute, Ljubljana,
  Slovenia)","Transport-theoretic Extensions of Quantum Field Theories","36 pages, no pictures, plain TeX",,,,"hep-th",,"  We propose a new, transport-theoretic (tt) class of relativistic extensions
of quantum field theories of fundamental interactions. Its concepts are
inspired by Feynman's atomistic idea about the physical world and by the
extension of fluid dynamics to shorter distances through the Boltzmann
transport equation. The extending tt Lagrangians imply the original Lagrangians
as path-integralwise approximations. By constructing a tt Lagrangian that
extends a general gauge-invariant Lagrangian, we show that a tt extension of
the standard model is feasible. We define a tt Lagrangian in terms of tt fields
of the spacetime variable and an additional, four-vector variable. We explain
the fields of quantum field theories as certain covariant, local averages of tt
fields. Only two tt fields may be needed for modeling fundamental interactions:
(i) a four-vector one unifying all fundamental forces, and (ii) a
two-component-spinor one unifying all fundamental matter particles. We comment
on the new physics expected within the tt framework put forward, and point out
some open questions.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 07:47:33 GMT""}]","2007-05-23"
"hep-th/9710221","Hsien-chung Kao","Hsien-chung Kao","The Non-abelian Chern-Simons Coefficient in the Higgs Phase","14 pages, Revtex, FEYNMAN is used to generate the Feynman diagram","Phys.Rev. D57 (1998) 7416-7421","10.1103/PhysRevD.57.7416",,"hep-th",,"  We calculate the one loop corrections to the Chern-Simons coefficient
$\kappa$ in the Higgs phase of Yang-Mills Chern-Simons Higgs theories. When the
gauge group is SU(N), we show, by taking into account the effect of the would
be Chern-Simons term, that the corrections are always integer multiples of
${1\over 4\pi}$, as they should for the theories to be quantum-mechanically
consistent. In particular, the correction is vanishing for SU(2). The same
method can also be applied to the case that the gauge group is SO(N). The
result for SO(2) agrees with that found in the abelian Chern-Simons theories.
Therefore, the calculation provides with us a unified understanding of the
quantum correction to the Chern-Simons coefficient.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 07:57:11 GMT""}]","2009-10-30"
"hep-th/9710222","A. A. Penin","A.A.Penin","Instantons and Non-Perturbative Dynamics of N=2 Supersymmetric Abelian
  Gauge Theories in Two Dimensions","journal version","Nucl.Phys. B532 (1998) 83-98","10.1016/S0550-3213(98)00467-2","preprint INR-0959/97","hep-th",,"  We study N=2 supersymmetric Abelian gauge model with the Fayet-Iliopoulos
term and an arbitrary number of chiral matter multiplets in two dimensions. By
analyzing the instanton contribution we compute the non-perturbative
corrections to the mass spectrum of the theory and the quantum deformation of
the classical vacua space. In contrast to known examples the non-perturbative
bosonic potential is saturated by the one-instanton contribution and can be
directly found within the semiclassical expansion around the one-instanton
saddle point.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 10:49:53 GMT""},{""version"":""v2"",""created"":""Sat, 1 Nov 1997 11:18:31 GMT""},{""version"":""v3"",""created"":""Wed, 26 Nov 1997 13:55:51 GMT""},{""version"":""v4"",""created"":""Fri, 19 Jun 1998 10:35:22 GMT""}]","2009-10-30"
"hep-th/9710223","Chong-Sun Chu","C.S. Chu and E. Sezgin","M-Fivebrane from the Open Supermembrane","11 pages, Latex, references and appendix added","JHEP 9712 (1997) 001","10.1088/1126-6708/1997/12/001","SISSA 128/97/FM, CTP TAMU-39/97","hep-th",,"  Covariant field equations of M-fivebrane in eleven dimensional curved
superspace are obtained from the requirement of kappa-symmetry of an open
supermembrane ending on a fivebrane. The worldvolume of the latter is a (6|16)
dimensional supermanifold embedded in the (11|32) dimensional target
superspace. The kappa-symmetry of the system imposes a constraint on this
embedding, and a constraint on a modified super 3-form field strength on the
fivebrane worldvolume. These constraints govern the dynamics of the
M-fivebrane.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:25:11 GMT""},{""version"":""v2"",""created"":""Thu, 13 Nov 1997 19:41:48 GMT""}]","2009-10-30"
"hep-th/9710224","Geza Fulop","Geza Fulop","BRST-co-BRST Quantization of Reparametrization Invariant Theories","LaTex, 24 pages","Int.J.Mod.Phys. A13 (1998) 3629-3648","10.1142/S0217751X98001700","IFUSP/P-1265","hep-th",,"  We study some reparametrization invariant theories in context of the
BRST-co-BRST quantization method. The method imposes restrictions on the
possible gauge fixing conditions and leads to well defined inner product states
through a gauge regularisation procedure. Two explicit examples are also
treated in detail.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:56:56 GMT""}]","2009-10-30"
"nucl-th/9710066","Peter G. Blunden","P.G. Blunden, Y. Okuhara and A.S. Raskin (University of Manitoba)","The Rarita-Schwinger spin-3/2 equation in a nonuniform, central
  potential","9 pages, RevTeX","J.Phys.G24:719-724,1998","10.1088/0954-3899/24/4/004",,"nucl-th",,"  The equations of motion for a massive spin-3/2 Rarita-Schwinger field in a
finite-range, central, Lorentz scalar potential are developed. It is shown that
the resulting density may not be everywhere positive definite.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 20:20:18 GMT""}]","2016-09-08"
"nucl-th/9710067","Jim Friar","U. van Kolck, M.C.M. Rentmeester, J.L. Friar, T. Goldman, and J.J. de
  Swart","Electromagnetic Corrections to the One-Pion-Exchange Potential","10 pages, latex, 1 figure -- Submitted to Phys. Rev. Lett. --
  epsfig.sty required","Phys.Rev.Lett.80:4386-4389,1998","10.1103/PhysRevLett.80.4386","LA-UR-97-4205 - DOE/ER/41014-36-N97 - THEF-NYM-97.02","nucl-th",,"  Leading-order electromagnetic loop corrections to the one-pion-exchange
potential are computed within the framework of chiral perturbation theory.
These corrections generate an effective nucleon-nucleon potential, $V_{\pi
\gamma}$, which supplements the sum of OPEP and the nucleon-nucleon Coulomb
potential. This potential is charge dependent and its construction is
demonstrated to be gauge invariant. The potential $V_{\pi \gamma}$ has been
included in the Nijmegen partial-wave analysis of np data. A particular
renormalization scheme is chosen that leads to a negligible change in the
charged-piNN coupling constant and in the np 1S0 scattering length and
effective range.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 23:33:20 GMT""}]","2008-11-26"
"physics/9710041","Ulrich Hansmann","Ulrich H.E. Hansmann","Parallel Tempering Algorithm for Conformational Studies of Biological
  Molecules","Latex, ps-files included; to appear in Chem. Phys. Lett","Chem.~Phys.~Lett. 281 (1997) 140-150","10.1016/S0009-2614(97)01198-6","Bielefeld preprint ZIF-MS-15/97","physics.chem-ph physics.bio-ph physics.comp-ph q-bio",,"  The effectiveness of a new algorithm, parallel tempering, is studied for
numerical simulations of biological molecules. These molecules suffer from a
rough energy landscape. The resulting slowing down in numerical simulations is
overcome by the new method. This is demonstrated by performing simulations with
high statistics for one of the simplest peptides, Met-enkephalin. The numerical
effectiveness of the new technique was found to be much better than traditional
methods and is comparable to sophisticated methods like generalized ensemble
techniques.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 04:40:17 GMT""}]","2009-10-30"
"q-alg/9710035","Weiqiang Wang","Weiqiang Wang","Duality in infinite dimensional Fock representations","Latex, 46 pages","Commun. Contemp. Math., Vol. 1 (1999) 155--199",,,"q-alg math.QA",,"  We construct and study in detail various dual pairs acting on some Fock
representations between a finite dimensional Lie group and a completed infinite
rank affine algebra associated to an infinite affine Cartan matrix. We give
explicit decompositions of a Fock representation into a direct sum of
irreducible isotypic subspaces with respect to the action of a dual pair,
present explicit formulas for the common highest weight vectors and calculate
the corresponding highest weights. We further outline applications of these
dual pairs to the study of tensor products of modules of such an infinite
dimensional Lie algebra.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 19:47:20 GMT""}]","2007-05-23"
"q-alg/9710036","Tim Baker","T. H. Baker and P. J. Forrester (Uni. of Melbourne)","Isomorphisms of type $A$ affine Hecke algebras and multivariable
  orthogonal polynomials","LaTeX2e, 20 pages, minor changes to references",,,,"q-alg math.QA",,"  We examine two isomorphisms between affine Hecke algebras of type $A$
associated with parameters $q^{-1}$, $t^{-1}$ and $q$, $t$. One of them maps
the non-symmetric Macdonald polynomials $E_{\eta}(x;q^{-1},t^{-1})$ onto
$E_{\eta}(x;q,t)$, while the other maps them onto non-symmetric analogues of
the multivariable Al-Salam & Carlitz polynomials. Using the properties of
$E_{\eta}(x;q^{-1},t^{-1})$, the corresponding properties of these latter
polynomials can then be elucidated.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 01:31:39 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 23:50:39 GMT""}]","2007-05-23"
"quant-ph/9710062","Young S. Kim","Y. S. Kim","Does Lorentz Boost Destroy Coherence?","RevTex 12 pages, no figures; presented at the Workshop on Fundamental
  Problems in Quantum Theory, Baltimore, Maryland, (August 1997); to be
  published in the Proceedings",,"10.1002/(SICI)1521-3978(199811)46:6/8<713::AID-PROP713>3.0.CO;2-H",,"quant-ph hep-ph hep-th",,"  It is shown that the time-energy uncertainty relation can be combined into
the position-momentum uncertainty relation covariantly in the quark model of
hadrons. This leads to a Lorentz-invariant form of the uncertainty relations.
This model explains that the quark model and the parton model are two different
manifestations of the same covariant model. In particular, this covariant model
explains why the coherent amplitudes in the quark model become incoherent,
after a Lorentz boost, in the parton model. It is shown that this lack of
coherence is consistent with the present form of quantum mechanics.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:46:47 GMT""}]","2016-10-26"
"solv-int/9710026","Henrik Aratyn","Henrik Aratyn and Ashok Das","The sAKNS Hierarchy","LaTeX, 16 pgs",,"10.1142/S0217732398001261",,"solv-int hep-th nlin.SI",,"  We study, systematically, the properties of the supersymmetric AKNS (sAKNS)
hierarchy. In particular, we discuss the Lax representation in terms of a
bosonic Lax operator and some special features of the equations and construct
the bosonic local charges as well as the fermionic nonlocal charges associated
with the system starting from the Lax operator. We obtain the Hamiltonian
structures of the system and check the Jacobi identity through the method of
prolongation. We also show that this hierarchy of equations can equivalently be
described in terms of a fermionic Lax operator. We obtain the zero curvature
formulation as well as the conserved charges of the system starting from this
fermionic Lax operator which suggests a connection between the two. Finally,
starting from the fermionic description of the system, we construct the soliton
solutions for this system of equations through Darboux-Backlund transformations
and describe some open problems.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 22:27:24 GMT""}]","2009-10-30"
