"alg-geom/9710030","Enrique Arrondo","Enrique Arrondo","The universal rank-(n-1) bundle on G(1,n) restricted to subvarieties","11 pages, plain tex",,,,"alg-geom math.AG",,"  We classify those smooth (n-1)-folds in G(1,n) for which the restriction of
the rank-(n-1) universal bundle has more than n+1 independent sections. As an
aplication, we classify also those (n-1)-folds for which that bundle splits.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 18:54:41 GMT""}]","2007-05-23"
"hep-th/9710201","Robert De Mello Koch","Robert de Mello Koch","Twelve Dimensions and the D2-Brane Tension","5 pages, uses harvmac",,,"CNLS-97-08","hep-th",,"  In this letter we study $D$ particle quantum mechanics on a torus in the
limit that one or more cycles of the torus have a zero length.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:41:13 GMT""},{""version"":""v2"",""created"":""Tue, 28 Oct 1997 03:02:44 GMT""}]","2007-05-23"
"hep-th/9710204","Vipul Periwal","Vipul Periwal and Oyvind Tafjord","Mechanism for long Dijkgraaf-Verlinde-Verlinde strings","2 pages, revtex",,,"PUPT-1687","hep-th",,"  The proposal of Dijkgraaf, Verlinde and Verlinde for the emergence of smooth
strings from a supersymmetric U(N) Yang-Mills theory assumes that conjugacy
classes in the symmetric group with a few long cycles dominate the dynamics
about the infrared fixed point. It is shown that the average number of cycles
in a conjugacy class of $S_{N}$ is bounded below by $const.\sqrt N\ln\sqrt N,$
implying that some physical mechanism is needed to ensure the assumed
dominance. It is shown that if individual cycles have positive energies that
depend very weakly on their lengths, then long cycles dominate the dynamics at
low temperatures.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 16:04:50 GMT""}]","2007-05-23"
"hep-th/9710205",,"M. N. Chernodub and M. I. Polikarpov","Abelian Projections and Monopoles","34 pages, LaTeX, 23 figures, uses epsf.sty and epsfig.sty; Lectures
  given by Mikhail Polikarpov at the Workshop ""Confinement, Duality and
  Non-Perturbative Aspects of QCD"", Cambridge (UK), 24 June - 4 July 1997;
  figures are rearranged",,,"ITEP-TH-55/97","hep-th hep-lat hep-ph",,"  The monopole confinement mechanism in the abelian projection of lattice
gluodynamics is reviewed. The main topics are: the abelian projection on the
lattice and in the continuum, a numerical study of the abelian monopoles in the
lattice gauge theory. Additionally, we briefly review the notation of
differential forms, duality, and the BKT transformation in the lattice gauge
theories.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 19:06:52 GMT""},{""version"":""v2"",""created"":""Wed, 12 Nov 1997 17:17:03 GMT""},{""version"":""v3"",""created"":""Tue, 25 Nov 1997 16:18:34 GMT""}]","2007-05-23"
"hep-th/9710206","Zheng Yin","Yeuk-Kwan E. Cheung and Zheng Yin","Anomalies, Branes, and Currents","25 pages, 0 figure; latex 2.09. Typos corrected. A reference and a
  comment added. Final version for publication in Nuclear Physics B","Nucl.Phys.B517:69-91,1998","10.1016/S0550-3213(98)00115-1","PUPT-1732, LBNL-40347, UCB-PTH-97/25","hep-th",,"  When a D-brane wraps around a cycle of a curved manifold, the twisting of its
normal bundle can induce chiral asymmetry in its worldvolume theory. We obtain
the general form of the resulting anomalies for D-branes and their
intersections. They are not cancelled among themselves, and the standard inflow
mechanism does not apply at first sight because of their apparent lack of
factorizability and the apparent vanishing of the corresponding inflow. We show
however after taking into consideration the effects of the nontrivial topology
of the normal bundles, the anomalies can be transformed into factorized forms
and precisely cancelled by finite inflow from the Chern-Simons actions for the
D-branes as long as the latter are well defined. We then consider examples in
type II compactifications where the twisting of the normal bundles occurs and
calculate the changes in the induced Ramond-Ramond charges on the D-branes.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 00:52:24 GMT""},{""version"":""v2"",""created"":""Tue, 28 Oct 1997 08:16:48 GMT""},{""version"":""v3"",""created"":""Wed, 29 Oct 1997 23:17:14 GMT""},{""version"":""v4"",""created"":""Wed, 21 Jan 1998 23:31:19 GMT""}]","2014-11-18"
"hep-th/9710207","Kirill Bronnikov","K.A. Bronnikov","Block-Orthogonal Brane Systems, Black Holes and Wormholes","8 pages, Latex. Minor errors corrected, proof of the existence of
  block-orthogonal solutions rewritten, 1 reference added","Grav.Cosmol. 4 (1998) 49-56",,"PDF-UFES 003/97","hep-th gr-qc",,"  Multidimensional cosmological, static spherically symmetric and Euclidean
configurations are described in a unified way for gravity interacting with
several dilatonic fields and antisymmetric forms, associated with electric and
magnetic p-branes. Exact solutions are obtained when certain vectors, built
from the input parameters of the model, are either orthogonal in the
minisuperspace, or form mutually orthogonal subsystems. Some properties of
black-hole solutions are indicated, in particular, a no-hair-type theorem and
restrictions emerging in models with multiple times. From the non-existence of
Lorentzian wormholes, a universal restriction is obtained, applicable to
orthogonal or block-orthogonal subsystems of any p-brane systems. Euclidean
wormhole solutions are found, their actions and radii are explicitly
calculated.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 22:49:40 GMT""},{""version"":""v2"",""created"":""Mon, 2 Feb 1998 19:39:19 GMT""},{""version"":""v3"",""created"":""Sun, 12 Dec 1999 16:22:10 GMT""}]","2007-05-23"
"hep-th/9710208","Andre Lukas","Andre Lukas, Burt A. Ovrut and Daniel Waldram","On the Four-Dimensional Effective Action of Strongly Coupled Heterotic
  String Theory","40 pages, Latex, changes in references, error in factors corrected,
  typos removed","Nucl.Phys. B532 (1998) 43-82","10.1016/S0550-3213(98)00463-5","UPR-771T, PUPT-1723, HUB-EP-97/51","hep-th",,"  The low-energy D=4, N=1 effective action of the strongly coupled heterotic
string is explicitly computed by compactifying Horava-Witten theory on the
deformed Calabi-Yau three-fold solution due to Witten. It is shown that, to
order kappa^{2/3}, the Kahler potential is identical to that of the weakly
coupled theory. Furthermore, the gauge kinetic functions are directly computed
to order kappa^{4/3} and shown to receive a non-vanishing correction. Also, we
compute gauge matter terms in the Kahler potential to the order kappa^{4/3} and
find a nontrivial correction to the dilaton term. Part of those corrections
arise from background fields that depend on the orbifold coordinate and are
excited by four-dimensional gauge field source terms.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 03:34:33 GMT""},{""version"":""v2"",""created"":""Sat, 20 Dec 1997 01:12:21 GMT""}]","2009-10-30"
"hep-th/9710209","Sinsaku Kitakado","H. Ikemori, S. Kitakado, H. Nakatani, H. Otsu, T. Sato","Quantum Mechanics on S^n and Meron Solution","8 pages, Latex","Mod.Phys.Lett. A13 (1998) 15-22","10.1142/S0217732398000048","DPNU-97-52","hep-th",,"  A particle in quantum mechanics on manifolds couples to the induced
topological gauge field that characterises the possible inequivalent
quantizations. For instance, the gauge potential induced on $S^2$ is that of a
magnetic monopole located at the center of $S^2$. We find that the gauge
potential induced on $S^3$ ($S^{2n+1}$) is that of a meron (generalized meron)
also sitting at the center of $S^3$ ($S^{2n+1}$).
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 07:23:45 GMT""}]","2009-10-30"
"hep-th/9710210","Henning Samtleben","D. Korotkin and H. Samtleben","Yangian Symmetry in Integrable Quantum Gravity","23 pages, 1 figure, LaTeX2e","Nucl.Phys. B527 (1998) 657-689","10.1016/S0550-3213(98)00358-7","AEI-047","hep-th gr-qc",,"  Dimensional reduction of various gravity and supergravity models leads to
effectively two-dimensional field theories described by gravity coupled G/H
coset space sigma-models. The transition matrices of the associated linear
system provide a complete set of conserved charges. Their Poisson algebra is a
semi-classical Yangian double modified by a twist which is a remnant of the
underlying coset structure. The classical Geroch group is generated by the
Lie-Poisson action of these charges. Canonical quantization of the structure
leads to a twisted Yangian double with fixed central extension at a critical
level.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:25:14 GMT""}]","2009-10-30"
"hep-th/9710211",,"B. Chakraborty (S. N. Bose Natl. Centr.)","Hamiltonian analysis of gauged CP^1 model, with or without Hopf term,
  and fractional spin","18 pages, Latex",,,,"hep-th",,"  Recently it has been shown by Cho and Kimm that the gauged $CP^1$ model,
obtained by gauging the global SU(2) group of $CP^1$ model and adding a
corresponding Chern-Simons term, has got its own soliton. These solitons are
somewhat distinct from those of pure $CP^1$ model, as they cannot always be
characterised by $\pi_2(CP^1)=Z$. In this paper, we first carry out the
Hamiltonian analysis of this gauged $CP^1$ model. Then we couple the Hopf term,
associated to these solitons and again carry out its Hamiltonian analysis. The
symplectic structures, along with the structures of the constraints, of these
two models (with or without Hopf term) are found to be essentially the same.
The model with Hopf term, is then shown to have fractional spin, which however
depends not only on the soliton number $N$ but also on the nonabelian charge.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:32:53 GMT""}]","2007-05-23"
"hep-th/9710212","Bernard de Wit","P. Claus, B. de Wit, M. Faux, B. Kleijn, R. Siebelink, P. Termonia","N=2 Supergravity Lagrangians with Vector-Tensor Multiplets","LaTeX, 28 pages","Nucl.Phys. B512 (1998) 148-178","10.1016/S0550-3213(97)00781-5","KUL-TF-97/24, THU-97/26, HUB-EP-97/73, ULB-TH-97/18, ITP-SB-97-63,
  DFTT-62/97","hep-th",,"  We discuss the coupling of vector-tensor multiplets to N=2 supergravity.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 11:29:03 GMT""}]","2009-10-30"
"hep-th/9710213",,"Wang-Chang Su","On the Z_2 Monopole of Spin(10) Gauge Theories","16 pages, LaTex, no figure","Phys. Rev. D 57, 5100 (1998)","10.1103/PhysRevD.57.5100",,"hep-th",,"  An ""expanded"" description is introduced to examine the spinor-monopole
identification proposed by Strassler for four-dimensional $\cal N$ = 1
supersymmetric Spin(10) gauge theories with matter in F vector and N spinor
representations. It is shown that a Z_2 monopole in the ""expanded"" theory is
associated with massive spinors of the Spin(10) theory. For N=2, two spinor
case, we confirm this identification by matching the transformation properties
of the two theories under SU(2) flavor symmetry. However, for N $\ge$ 3, the
transformation properties are not matched between the spinors and the monopole.
This disagreement might be due to the fact that the SU(N) flavor symmetry of
the Spin(10) theory is partially realized as an SU(2) symmetry in the
""expanded"" theory.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 12:41:08 GMT""}]","2016-08-25"
"hep-th/9710214","Philip Mark Cowdall","P. M. Cowdall (Cambridge University)","Supersymmetric Electrovacs In Gauged Supergravities","29 pages, TeX, no figures. Introduction and conclusion rewritten. New
  references added. Minor changes to all sections","Class.Quant.Grav. 15 (1998) 2937-2953","10.1088/0264-9381/15/10/005","Damtp-R/97-51","hep-th",,"  We show that the D=6 SU(2) gauged supergravity of van Nieuwenhuizen et al,
obtained by dimensional reduction of the D=7 topologically massive gauged
supergravity and previously thought not to be dimensionally reducible, can be
further reduced to five and four dimensions. On reduction to D=4 one recovers
the special case of the SU(2)XSU(2) gauged supergravity of Freedman and Schwarz
for which one of the SU(2) coupling constants vanishes. Previously known
supersymmetric electrovacs of this model then imply new ground states in 7-D.
We construct a supersymmetric electrovac solution of N=2 SU(2) gauged
supergravity in 7-D. We also investigate the domain wall solutions of these
theories and show they preserve a half of the supersymmetry.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 13:01:50 GMT""},{""version"":""v2"",""created"":""Fri, 22 May 1998 09:31:30 GMT""}]","2009-10-30"
"nucl-th/9710060","Stefan Typel","G. Baur (1), S. Typel (2), H. H. Wolter (2) ((1) Forschungszentrum
  Juelich, (2) Universitaet Muenchen)","Quasireal photons in nucleus-nucleus collisions at intermediate and high
  energies, applications to nuclear structure, nuclear astrophysics and
  particle physics","8 pages, no figures, LaTeX 2.09, contribution to International
  School-Seminar ""Structure of Particles and Nuclei and their Interactions"",
  Tashkent, 6-13 October, 1997, to be published in the proceedings",,,,"nucl-th",,"  Introduction
  Theory of electromagnetic excitation and dissociation (Inelastic scattering
at high energies: one-photon exchange, semiclassical approach and Glauber
theory; Higher order electromagnetic effects, small xi-approximation)
  Discussion of experimental results for nuclear structure
  Coulomb dissociation as a tool to measure radiative capture processes
relevant to nuclear astrophysics
  Antihydrogen production and electromagnetic processes at relativistic heavy
ion colliders
  Conclusions
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 18:29:09 GMT""}]","2016-09-08"
"nucl-th/9710062","Pieter Maris","P. Maris and C. D. Roberts","Differences between heavy and light quarks","4 pages, 3 figures, Contribution to the IVth International Workshop
  on Progress in Heavy Quark Physics, 20-22 Sept. 1997, Rostock",,,"ANL-PHY-8842-TH-97","nucl-th hep-ph",,"  The quark Dyson-Schwinger equation shows that there are distinct differences
between light and heavy quarks. The dynamical mass function of the light quarks
is characterised by a sharp increase below 1 GeV, whereas the mass function of
the heavy quarks is approximately constant in this infrared region. As a
consequence, the heavy-meson masses increase linearly with the current-quark
masses, whereas the light pseudoscalar meson masses are proportional to the
square root of the current-quark masses.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 23:37:54 GMT""}]","2007-05-23"
"nucl-th/9710063","Craig Roberts","C. D. Roberts, M. A. Ivanov, Yu. L. Kalinovsky and P. Maris","Leptonic and semileptonic decays of heavy mesons","4 pages, 2 figures, Contribution to the IVth International Workshop
  on Progress in Heavy Quark Physics, 20-22 Sept. 1997, Rostock",,,"ANL-PHY-8841-TH-97","nucl-th hep-ph",,"  A heavy-quark limit of the Dyson-Schwinger equations is introduced and used
in an exploratory study of leptonic and semileptonic decays of heavy mesons.
The application of this framework to heavy-to-light semileptonic decays, which
require a good knowledge of light-quark propagation characteristics and
light-meson bound state amplitudes, is illustrated.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 23:16:03 GMT""}]","2007-05-23"
"nucl-th/9710064","Jurgen Schaffner","J. Schaffner-Bielich (Lawrence Berkeley National Laboratory) and A. P.
  Vischer (Niels Bohr Institute)","Charmlets","28 pages, uses RevTeX and psfig.sty, 7 figures, added references,
  extended discussion","Phys.Rev. D57 (1998) 4142-4153","10.1103/PhysRevD.57.4142","NBI-97-33, LBNL-40846","nucl-th",,"  We discuss the possibility, that multiply charmed exotics are produced in
ultrarelativistic heavy ion collisions. Production probabilities at RHIC are
estimated and found to be large enough to allow for the possible detection of
single and double charmed exotics. We demonstrate that charm matter is bound
due to an attractive one-gluon exchange potential. Furthermore, we study the
color magnetic and color electric potential separately, as well as the group
structure of such exotics and estimate their masses.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 00:07:05 GMT""},{""version"":""v2"",""created"":""Wed, 10 Dec 1997 01:44:21 GMT""}]","2009-10-30"
"nucl-th/9710065","Claus Slotta","Ulrich Heinz","Particle Interferometry: New Theoretical Results","Talk given at the 5th Rio de Janeiro International Workshop on
  Relativistic Aspects of Nuclear Physics, Rio de Janeiro, 27.-29. Aug. 1997,
  to appear in the Proceedings (World Scientific; T. Kodama, ed.) . Includes 5
  ps figures and uses bbox.sty, sprocl.sty",,,,"nucl-th",,"  By measuring hadronic single-particle spectra and two-particle correlations
in heavy-ion collisions, the size and dynamical state of the collision fireball
at freeze-out can be reconstructed. I discuss the relevant theoretical methods
and their limitations. By applying the formalism to recent pion correlation
data from Pb+Pb collisions at CERN we demonstrate that the collision zone has
undergone strong transverse growth before freeze-out (by a factor 2-3 in each
direction), and that it expands both longitudinally and transversally. From the
thermal and flow energy density at freeze-out the energy density at the onset
of transverse expansion can be estimated from conservation laws. It comfortably
exceeds the critical value for the transition to color deconfined matter.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:07:32 GMT""}]","2007-05-23"
"physics/9710038","Judy Mack","Susumu Okubo","Angular Momentum, Quaternion, Octonion, and Lie-Super Algebra osp(1,2)","17 pages, TEX",,"10.1142/9789812816566_0014","UR-1505","math-ph math.MP",,"  We will derive both quaternion and octonion algebras as the Clebsch-Gordan
algebras based upon the su(2) Lie algebra by considering angular momentum
spaces of spin one and three. If we consider both spin 1 and 1/2 states, then
the same method will lead to the Lie-super algebra osp(1,2). Also, the quantum
generalization of the method is discussed on the basis of the quantum group
$su_q(2)$.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 16:47:39 GMT""}]","2016-11-03"
"physics/9710039","R. Ramachandran","R. Ramachandran (IMSc, Chennai, India)","Have We At Last Found The A-toms?","13 pages, Latex File",,,"IMSc/97/06/20","physics.ed-ph hep-ph",,"  It is argued that the three families of quarks and leptons are the building
blocks of all matter and all forces (leaving out gravity) among them are
mediated by photons ($\gamma$), the weak bosons ($W^\pm$ and $Z$) and the
gluons.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 12:21:49 GMT""}]","2007-05-23"
"physics/9710040","Karmadeva Maharana","Karmadeva Maharana","Nonlinear Dirac and diffusion equations in 1 + 1 dimensions from
  stochastic considerations","18 pages, Latex file, some equations corrected and group analysis in
  one more case added","Phys.Rev.E62:1683,2000","10.1103/PhysRevE.62.1683","UUPHY/97/10","math-ph hep-th math.MP",,"  We generalize the method of obtaining the fundamental linear partial
differential equations such as the diffusion and Schrodinger equation, Dirac
and telegrapher's equation from a simple stochastic consideration to arrive at
certain nonlinear form of these equations. The group classification through one
parameter group of transformation for two of these equations is also carried
out.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:33:55 GMT""},{""version"":""v2"",""created"":""Thu, 17 Jun 1999 11:57:57 GMT""}]","2008-11-26"
"q-alg/9710032","Siddhartha Sahi","Siddhartha Sahi","Nonsymmetric Koornwinder polynomials and duality","16 pages, published version","Ann. of Math. (2) 150 (1999), no. 1, 267-282",,"Annals migration 4-2001","q-alg math.QA",,"  Motivated by the work of Koornwinder, Macdonald, Cherednik, Noumi, and van
Diejen we define a 6-parameter double affine Hecke algebra and establish its
basic structural properties, including the existence of an involution. We
relate the algebra to (symmetric and nonsymmetric) Koornwinder polynomials via
the method of intertwiners and, as a consequence, obtain a proof of Macdonald's
duality conjecture for Koornwinder polynomials. Combined with earlier work of
van Diejen this completely settles all the outstanding conjectures of Macdonald
and Koornwinder about these polynomials.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 21:14:35 GMT""},{""version"":""v2"",""created"":""Thu, 1 Jul 1999 00:00:00 GMT""}]","2007-05-23"
"q-alg/9710033","Tony Giaquinto","Murray Gerstenhaber and Anthony Giaquinto","Boundary solutions of the quantum Yang-Baxter equation and solutions in
  three dimensions","9 pages, AMS-LaTeX",,,,"q-alg math.QA",,"  Boundary solutions to the quantum Yang-Baxter (qYB) equation are defined to
be those in the boundary of (but not in) the variety of solutions to the
``modified'' qYB equation, the latter being analogous to the modified classical
Yang-Baxter (cYB) equation. We construct, for a large class of solutions $r$ to
the modified cYB equation, explicit ``boundary quantizations'', i.e., boundary
solutions to the qYB equation of the form $I+tr+ t^2r_{2} + ...$. In the last
section we list and give quantizations for all classical r-matrices in $sl(3)
\wedge sl(3)$.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 22:21:27 GMT""}]","2016-09-08"
"q-alg/9710034","Satoshi Watamura","Ursula Carow-Watamura and Satoshi Watamura","Differential Calculus on Fuzzy Sphere and Scalar Field","LaTeX 12 pages","Int.J.Mod.Phys. A13 (1998) 3235-3244","10.1142/S0217751X9800161X","Tohoku University Preprint, TU-525","q-alg math.QA",,"  We find that there is an alternative possibility to define the chirality
operator on the fuzzy sphere, due to the ambiguity of the operator ordering.
Adopting this new chirality operator and the corresponding Dirac operator, we
define Connes' spectral triple on the fuzzy sphere and the differential
calculus. The differential calculus based on this new spectral triple is
simplified considerably. Using this formulation the action of the scalar field
is derived.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 07:37:25 GMT""}]","2009-10-30"
"quant-ph/9710060","Lewenstein","Pascal Sali\`eres, Anne L'Huillier, Philippe Antoine and Maciej
  Lewenstein","Study of the spatial and temporal coherence of high order harmonics","Latex file with 37 pages, 25 postscript figures. to appear in
  Advances in Atomic, Molecular and Optical Physics",,,,"quant-ph",,"  We apply the theory of high-order harmonic generation by low-frequency laser
fields in the strong field approximation to the study of the spatial and
temporal coherence properties of the harmonics. We discuss the role of
dynamically induced phases of the atomic polarization in determining the
optimal phase matching conditions and angular distributions of harmonics. We
demonstrate that the phase matching and the spatial coherence can be controlled
by changing the focusing parameters of the fundamental laser beam. Then we
present a detailed study of the temporal and spectral properties of harmonics.
We discuss how the focusing conditions influence the individual harmonic
spectra and time profiles, and how the intensity dependence of the dynamically
induced phase leads to a chirp of the harmonic frequency. This phase modulation
can be used to control the temporal and spectral properties of the harmonic
radiation. Temporally, the harmonic chirped pulse can be recompressed to very
small durations. Spectrally, chirping of the fundamental beam may be employed
to compensate for the dynamically induced chirp and to control the individual
harmonic spectrum. Finally, we discuss the short pulse effects, in particular
nonadiabatic phenomena and the possibility of generating attosecond pulses.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 16:18:08 GMT""}]","2007-05-23"
"quant-ph/9710061","Alpan Raval","B. L. Hu and Alpan Raval","Coherence and Fluctuations in the Interaction between Moving Atoms and a
  Quantum Field","12 pages, Latex",,,,"quant-ph",,"  Mesoscopic physics deals with three fundamental issues: quantum coherence,
fluctuations and correlations. Here we analyze these issues for atom optics,
using a simplified model of an assembly of atoms (or detectors, which are
particles with some internal degree of freedom) moving in arbitrary
trajectories in a quantum field. Employing the influence functional formalism,
we study the self-consistent effect of the field on the atoms, and their mutual
interactions via coupling to the field. We derive the coupled Langevin
equations for the atom assemblage and analyze the relation of dissipative
dynamics of the atoms with the correlation and fluctuations of the quantum
field. This provides a useful theoretical framework for analysing the coherent
properties of atom-field systems.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 19:57:02 GMT""}]","2007-05-23"
