"alg-geom/9710017","Martin Deschamps Mireille","Robin Hartshorne, Mireille Martin-Deschamps, Daniel Perrin","Un th\'eor\`eme de Rao pour les familles de courbes gauches","22 pages, TeX",,,,"alg-geom math.AG",,"  The aim of this paper is to prove a generalization of a theorem of Rao for
families of space curves, which caracterizes the biliaison classes of curves.
First we introduce the concept of pseudo-isomorphism of coherent sheaves, which
generalizes the concept of stable isomorphism. An N-type resolution for a
family of curves $C$ over the local ring $A$, defined by an ideal $J$, is an
exact sequence $0\to P\to N\to J\to 0$ where $N$ is a locally free sheaf on
$P^3_A$ and $P$ is a direct sum of invertible sheaves $O_P(-n_i)$. We prove the
two following results, when the residual field of $A$ is infinite : 1. Let $C$
and $C'$ be two flat families of space curves over the local ring $A$. Then $C$
and $C'$ are in the same biliaison class if and only if their ideals $J$ and
$J'$ are pseudo-isomorphic, up to a shift. 2. Let $C$ and $C'$ be two flat
families of space curves over the local ring $A$, with N-type resolutions,
involving sheaves $N$ and $N'$. Then $C$ and $C'$ are in the same biliaison
class if and only if $N$ and $N'$ are pseudo-isomorphic, up to a shift.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 10:48:55 GMT""}]","2007-05-23"
"cond-mat/9710153","Miroslav Kolesik","M. Kolesik, M. A. Novotny, P. A. Rikvold","A projection method for statics and dynamics of lattice spin systems","4 pages, 3 figures, RevTex, final version to appear in Phys. Rev.
  Lett","Phys. Rev. Lett. 80, 3384-3387 (1998).","10.1103/PhysRevLett.80.3384",,"cond-mat",,"  A method based on Monte Carlo sampling of the probability flows projected
onto the subspace of one or more slow variables is proposed for investigation
of dynamic and static properties of lattice spin systems. We illustrate the
method by applying it, with projection onto the order-parameter subspace, to
the three-dimensional 3-state Potts model in equilibrium and to metastable
decay in a three-dimensional 3-state kinetic Potts model.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:38:39 GMT""},{""version"":""v2"",""created"":""Mon, 16 Mar 1998 07:19:35 GMT""}]","2016-08-31"
"cond-mat/9710154","Johannes Berg","J. Berg and A.Engel","A multifractal phase-space analysis of perceptrons with biased patterns","7 pages, Latex, 2 eps-files, submitted to J. Phys. A, new title,
  enlarged description of the simulation algorithm, typos corrected","J. Phys. A: Math. Gen 31 (1998) 2509-2517","10.1088/0305-4470/31/11/004",,"cond-mat.dis-nn",,"  We calculate the multifractal spectrum of the partition of the coupling space
of a perceptron induced by random input-output pairs with non-zero mean. From
the results we infer the influence of the input and output bias respectively on
both the storage and generalization properties of the network. It turns out
that the value of the input bias is irrelevant as long as it is different from
zero. The generalization problem with output bias is new and shows an
interesting two-level scenario. To compare our analytical results with
simulations we introduce a simple and efficient algorithm to implement Gibbs
learning.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:47:26 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jan 1998 14:37:38 GMT""}]","2009-10-30"
"cond-mat/9710155","Yoichi Ando","Yoichi Ando, G. S. Boebinger, A. Passner, N. L. Wang, C. Geibel, F.
  Steglich, I. E. Trofimov, and F. F. Balakirev","Normal-State Hall Effect and the Insulating Resistivity of High-T_c
  Cuprates at Low Temperatures","4 pages, revtex, 2 figures","Phys. Rev. B 56 (1997) 8530R-8533R (Rapid Communications)","10.1103/PhysRevB.56.R8530",,"cond-mat.supr-con",,"  The normal-state Hall coefficient R_H and the in-plane resistivity \rho_{ab}
are measured in La-doped Bi_{2}Sr_{2}CuO_{y} (T_c \simeq 13 K) single crystals
and La_{2-x}Sr_{x}CuO_{4} thin films by suppressing superconductivity with 61-T
pulsed magnetic fields. In contrast to data above T_c, the R_H below \sim 10 K
shows little temperature dependence in all the samples measured, irrespective
of whether \rho_{ab} exhibits insulating or metallic behavior. Thus, whatever
physical mechanism gives rise to insulating behavior in the low-temperature
normal state, it leaves the Hall conductivity relatively unchanged.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 15:05:33 GMT""}]","2009-10-30"
"cond-mat/9710156","Rostiashvili","V.G.Rostiashvili, M.Rehkopf and T.A.Vilgis","Langevin dynamics of the glass forming polymer melt: fluctuations around
  the random phase approximation","30 pages, 5 figures",,"10.1007/s100510050546",,"cond-mat.soft",,"  In this paper the Martin-Siggia-Rose (MSR) functional integral representation
is used for the study of the Langevin dynamics of a polymer melt in terms of
collective variables: mass density and response field density. The resulting
generating functional (GF) takes into account fluctuations around the random
phase approximation (RPA) up to an arbitrary order. The set of equations for
the correlation and response functions is derived. It is generally shown that
for cases whenever the fluctuation-dissipation theorem (FDT) holds we arrive at
equations similar to those derived by Mori-Zwanzig. The case when FDT in the
glassy phase is violated is also qualitatively considered and it is shown that
this results in a smearing out of the ideal glass transition. The memory kernel
is specified for the ideal glass transition as a sum of all water-melon
diagrams. For the Gaussian chain model the explicit expression for the memory
kernel was obtained and discussed in a qualitative link to the mode-coupling
equation.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 15:51:47 GMT""}]","2009-10-30"
"gr-qc/9710072","Pantoja Nelson","N. R. Pantoja and H. Rago","Energy-Momentum Tensor Valued Distributions for the Schwarzschild and
  Reissner-Nordstrom Geometries","9 pages, revtex, no figures",,,"CAT/97-","gr-qc",,"  An approach to computing, withing the framework of distribution theory, the
distributional valued energy-momentum tensor for the Schwarzschild spacetime is
disscused. This approach avoids the problems associated with the regularization
of singularities in the curvature tensors and shares common features with the
by now standard treatment of discontinuities in General Relativity. Finally,
the Reissner-Nordstrom spacetime is also considered using the same approach.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 19:20:05 GMT""}]","2007-05-23"
"gr-qc/9710073","Hisaaki Shinkai","Hisa-aki Shinkai, Wai-Mo Suen, F.Douglas Swesty, Malcolm Tobias,
  Edward Y.M. Wang and Clifford M. Will","Newtonian and post-Newtonian binary neutron star mergers","3 pages, LaTeX, 2 figures, Proceedings of the 8th Marcel Grossmann
  Meeting, Jerusalem, June 1997 (World Scientific); mprocl.sty and epsf.sty are
  included",,,,"gr-qc",,"  We present two of our efforts directed toward the numerical analysis of
neutron star mergers, which are the most plausible sources for gravitational
wave detectors that should begin operating in the near future. First we present
Newtonian 3D simulations including radiation reaction (2.5PN) effects. We
discuss the gravitational wave signals and luminosity from the merger
with/without radiation reaction effects. Second we present the matching problem
between post-Newtonian formulations and general relativity in numerical
treatments. We prepare a spherical, static neutron star in a post-Newtonian
matched spacetime, and find that discontinuities at the matching surface become
smoothed out during fully relativistic evolution if we use a proper slicing
condition.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:19:46 GMT""}]","2007-05-23"
"gr-qc/9710074","Hisaaki Shinkai","Hisa-aki Shinkai (Washington Univ., St. Louis) and Gen Yoneda (Waseda
  Univ.)","Lorentzian dynamics in the Ashtekar gravity","3 pages, LaTeX, no figures, Proceedings of the 8th Marcel Grossmann
  Meeting, Jerusalem, June 1997 (World Scientific); mprocl.sty is included",,,,"gr-qc",,"  We examine the advantages of the SO(3)-ADM (Ashtekar) formulation of general
relativity, from the point of following the dynamics of the Lorentzian
spacetime in direction of applying this into numerical relativity. We describe
our strategy how to treat new constraints and reality conditions, together with
a proposal of new variables. We show an example of passing a degenerate point
in flat spacetime numerically by posing `reality recovering' conditions on
spacetime. We also discuss some available advantages in numerical relativity.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:47:29 GMT""}]","2007-05-23"
"gr-qc/9710075","Gopakumar","A. Gopakumar and Bala R. Iyer (Raman Research Institute, India)","Gravitational waves from inspiralling compact binaries: Angular momentum
  flux, evolution of the orbital elements and the wave form to the second
  post-Newtonian order","49 pages, No figures, accepted for publication in Phy. Rev. D (15)","Phys.Rev.D56:7708-7731,1997","10.1103/PhysRevD.56.7708","RRI-97-13","gr-qc",,"  The post-post-Newtonian (2PN) accurate mass quadrupole moment, for compact
binaries of arbitrary mass ratio, moving in general orbits is obtained by the
multi-polar post Minkowskian approach of Blanchet, Damour, and Iyer (BDI).
Using this, for binaries in general orbits, the 2PN contributions to the
gravitational waveform, and the associated far-zone energy and angular momentum
fluxes are computed. For quasi-elliptic orbits, the energy and angular momentum
fluxes are averaged over an orbital period, and employed to determine the 2PN
corrections to the rate of decay of the orbital elements.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 06:12:06 GMT""}]","2014-11-17"
"gr-qc/9710076","Jacob D. Bekenstein","Jacob D. Bekenstein (Hebrew Universiy, Jerusalem)","Quantum Black Holes as Atoms","20 pages, latex, uses mprocl.sty. Plenary talk at VIII Marcel
  Grossmann Meeting on General Relativity, Jerusalem, June 1997. Added and
  corrected references","Prodeedings of the Eight Marcel Grossmann Meeting, T. Piran and R.
  Ruffini, eds. (World Scientific Singapore 1999), pp. 92-111",,,"gr-qc astro-ph hep-th quant-ph",,"  In some respects the black hole plays the same role in gravitation that the
atom played in the nascent quantum mechanics. This analogy suggests that black
hole mass $M$ might have a discrete spectrum. I review the physical arguments
for the expectation that black hole horizon area eigenvalues are uniformly
spaced, or equivalently, that the spacing between stationary black hole mass
levels behaves like 1/M. This sort of spectrum has also emerged in a variety of
formal approaches to black hole quantization by a number of workers (with some
notable exceptions). If true, this result indicates a distortion of the
semiclassical Hawking spectrum which could be observable even for macroscopic
black holes. Black hole entropy suggests that the mentioned mass levels should
be degenerate to the tune of an exponential in $M^2$, as first noted by
Mukhanov. This has implications for the statistics of the radiation. I also
discuss open questions: whether radiative decay will spread the levels beyond
recognition, whether extremal black holes can be described by this scheme, etc.
I then describe an elementary algebra for the relevant black hole observables,
an outcome of work by Mukhanov and myself, which reproduces the uniformly
spaced area spectrum.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 07:15:04 GMT""},{""version"":""v2"",""created"":""Tue, 10 Mar 1998 14:44:42 GMT""}]","2007-05-23"
"gr-qc/9710077","Akihiro Ishibashi","Akihiro Ishibashi and Hideki Ishihara","On the perturbation of domain wall coupled to gravitational waves","3 pages, LaTeX, no figures, Proceedings of the 8th Marcel Grossmann
  Meeting, Jerusalem, June 1997 (World Scientific); mprocl.sty is included",,,,"gr-qc",,"  The equation of motion for domain wall coupled to gravitational field is
derived. The domain wall is treated as a source of gravitational field around
the wall. The perturbed equation is also obtained with taking account of the
gravitational back reaction on the motion of the domain wall.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 07:51:14 GMT""}]","2007-05-23"
"gr-qc/9710078","Kouji Nakamura","K. Nakamura, H. Ishihara","Cylindrical Domain Walls and Gravitational Waves -- Einstein Rosen wave
  emission from momentarily static initial configuration --","3 pages, latex requires mprocl.sty, no figures. To appear in the
  proceedings of the Eighth Marcel Grossmann Conference on General Relativity
  (Jerusalem, Israel, June 1997)",,,,"gr-qc",,"  A self-gravitating cylindrical domain wall is considered as an example of
non-spherical wall to clarify the interaction between a domain wall and
gravitational waves. We consider the time evolution from a momentarily static
initial configuration within an infinitesimal time interval using the metric
junction formalism. We found that the wall with a large initial radius radiates
large amplitude of the gravitational waves and undergoes its large back
reaction.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 09:15:53 GMT""}]","2007-05-23"
"gr-qc/9710079","Bernard F. Schutz","B. F. Schutz","Low-Frequency Sources of Gravitational Waves: A Tutorial","12 pages, 2 figures",,,"AEI-044(A)","gr-qc",,"  Gravitational wave detectors in space, particularly the LISA project, can
study a rich variety of astronomical systems whose gravitational radiation is
not detectable from the ground, because it is emitted in the low-frequency
gravitational wave band (0.1 mHz to 1 Hz) that is inaccessible to ground-based
detectors. Sources include binary systems in our Galaxy and massive black holes
in distant galaxies. The radiation from many of these sources will be so strong
that it will be possible to make remarkably detailed studies of the physics of
the systems. These studies will have importance both for astrophysics (most
notably in binary evolution theory and models for active galaxies) and for
fundamental physics. In particular, it should be possible to make decisive
measurements to confirm the existence of black holes and to test, with
accuracies better than 1%, general relativity's description of them. Other
observations can have fundamental implications for cosmology and for physical
theories of the unification of forces. In order to understand these
conclusions, one must know how to estimate the gravitational radiation produced
by different sources. In the first part of this lecture I review the dynamics
of gravitational wave sources, and I derive simple formulas for estimating wave
amplitudes and the reaction effects on sources of producing this radiation.
With these formulas one can estimate, usually to much better than an order of
magnitude, the physics of most of the interesting low-frequency sources. In the
second part of the lecture I use these estimates to discuss, in the context of
the expected sensitivity of LISA, what we can learn by from observations of
binary systems, massive black holes, and the early Universe itself.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 09:18:00 GMT""}]","2007-05-23"
"gr-qc/9710080","Bernard F. Schutz","B. F. Schutz","Introduction to the Analysis of Low-Frequency Gravitational Wave Data","20 pages",,,"AEI-044(B)","gr-qc",,"  The space-based gravitational wave detector LISA will observe in the
low-frequency gravitational-wave band (0.1 mHz up to 1 Hz). LISA will search
for a variety of expected signals, and when it detects a signal it will have to
determine a number of parameters, such as the location of the source on the sky
and the signal's polarisation. This requires pattern-matching, called matched
filtering, which uses the best available theoretical predictions about the
characteristics of waveforms. All the estimates of the sensitivity of LISA to
various sources assume that the data analysis is done in the optimum way.
Because these techniques are unfamiliar to many young physicists, I use the
first part of this lecture to give a very basic introduction to time-series
data analysis, including matched filtering. The second part of the lecture
applies these techniques to LISA, showing how estimates of LISA's sensitivity
can be made, and briefly commenting on aspects of the signal-analysis problem
that are special to LISA.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 09:34:21 GMT""}]","2007-05-23"
"hep-ex/9710011","Jane Bromley","ZEUS Collaboration","Observation of Scaling Violations in Scaled Momentum Distributions at
  HERA","21 pages including 4 figures, to be published in Physics Letters B.
  Two references added","Phys.Lett.B414:428-443,1997","10.1016/S0370-2693(97)01194-5","DESY-97-183","hep-ex",,"  Charged particle production has been measured in deep inelastic scattering
(DIS) events over a large range of $x$ and $Q^2$ using the ZEUS detector. The
evolution of the scaled momentum, $x_p$, with $Q^2,$ in the range 10 to 1280
$GeV^2$, has been investigated in the current fragmentation region of the Breit
frame. The results show clear evidence, in a single experiment, for scaling
violations in scaled momenta as a function of $Q^2$.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:44:06 GMT""},{""version"":""v2"",""created"":""Tue, 28 Oct 1997 13:06:17 GMT""}]","2012-08-27"
"hep-ex/9710012","jane nachtman Wisconsin","The ALEPH Collaboration","Searches for Charginos and Neutralinos in e+e- Collisions at sqrt(s) =
  161 and 172 GeV","39 pages, 12 figures. Submitted to Zeit. f. Physik","Eur.Phys.J.C2:417-439,1998","10.1007/s100520050151","CERN-PPE/97-128","hep-ex",,"  The data recorded by the ALEPH detector at centre-of-mass energies of 161,
170, and 172 GeV are analysed for signals of chargino and neutralino
production. No evidence of a signal is found, although candidate events
consistent with the expectations from Standard Model processes are observed.
Limits at 95% C.L. on the production cross sections are derived and bounds on
the parameters of the Minimal Supersymmetric Standard Model are set. The lower
limit on the mass of the lightest chargino is 85.5 GeV/c^2 for gaugino-like
charginos (mu = -500 GeV/c^2), and 85.0 GeV/c^2 for Higgsino-like charginos
(M_2 = 500 GeV/c^2), for heavy sneutrinos (M(snu) > 200 GeV/c^2) and tanb =
sqrt(2). The effect of light sleptons on chargino and neutralino limits is
investigated. The assumptions of a universal slepton mass and a universal
gaugino mass are relaxed, allowing less model-dependent limits to be obtained.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 18:11:17 GMT""}]","2012-08-27"
"hep-lat/9710056","Tomoteru Yoshie","S.Aoki, G.Boyd, R.Burkhalter, S.Hashimoto, N.Ishizuka, Y.Iwasaki,
  K.Kanaya, Y.Kuramashi, M.Okawa, A.Ukawa, T.Yoshi\'e","CP-PACS results for quenched QCD spectrum with the Wilson action","12 pages, Latex(espcrc2,epsf), 17 ps figures. Talk presented by
  T.Yoshi\'e at the International Workshop on ``LATTICE QCD ON PARALLEL
  COMPUTERS'', 10-15 March 1997, Center for Computational Physics, University
  of Tsukuba","Nucl.Phys.Proc.Suppl. 60A (1998) 14-25","10.1016/S0920-5632(97)00462-3","UTHEP-372, UTCCP-P-27","hep-lat",,"  We present progress report of a CP-PACS calculation of quenched QCD spectrum
with the Wilson quark action. Light hadron masses and meson decay constants are
obtained at $\beta=$5.9, 6.1, and 6.25 on lattices with a physical extent of 3
fm, and for the range of quark mass corresponding to $m_\pi/m_\rho \approx
0.75$ $-$ 0.4. Nucleon mass at each $\beta$ appears to be a convex function of
quark mass, and consequently the value at the physical quark mass is much
smaller than previously thought. Hadron masses extrapolated to the continuum
limit exhibits a significant deviation from experimental values: with $K$ meson
mass to fix strange quark mass, strange meson and baryon masses are
systematically lower. Light quark masses determined from the axial Ward
identity are shown to agree with those from perturbation theory in the
continuum limit. Decay constants of mesons are also discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 08:12:10 GMT""}]","2009-10-30"
"hep-lat/9710057","Jonathan Flynn","J. M. Flynn and C. T. Sachrajda (University of Southampton)","Heavy Quark Physics From Lattice QCD","52 pages LaTeX with 10 eps files. Requires: hfsprocl.sty (included)
  plus axodraw.sty, rotating.sty and array.sty. To appear in Heavy Flavours
  (2nd edition) edited by A J Buras and M Lindner (World Scientific,
  Singapore). Revised version corrects typo in axis labelling of Fig 10","Adv.Ser.Direct.High Energy Phys.15:402-452,1998","10.1142/9789812812667_0006","SHEP 97/20","hep-lat hep-ph",,"  We review the application of lattice QCD to the phenomenology of b- and
c-quarks. After a short discussion of the lattice techniques used to evaluate
hadronic matrix elements and the corresponding systematic uncertainties, we
summarise results for leptonic decay constants, B--Bbar mixing, semileptonic
and rare radiative decays. A discussion of the determination of heavy quark
effective theory parameters is followed by an explanation of the difficulty in
applying lattice methods to exclusive nonleptonic decays.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 10:14:37 GMT""},{""version"":""v2"",""created"":""Fri, 24 Oct 1997 21:27:07 GMT""}]","2016-11-03"
"hep-lat/9710058","Sara Collins","S.Collins, C.T.H.Davies, G.Bali","Heavy Hybrids from NRQCD","3 pages, four figures, Latex, uses espcrc2.sty. Talk presented at
  LATTICE97, Edinburgh","Nucl.Phys.Proc.Suppl. 63 (1998) 335-337","10.1016/S0920-5632(97)00761-5",,"hep-lat",,"  We present results for the exotic $0^{+-}$ and $1^{-+}$ $b\bar{b}g$ hybrids
at $\beta=6.0$. A leading order NRQCD action is used to generate the heavy
quark propagators. The optimisation of operators is discussed and we compare
our results to the predictions of recent potential calculations.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 15:04:34 GMT""}]","2009-10-30"
"hep-ph/9710348","Mari Carmen Banuls","M.C. Ba\~nuls, J. Bernab\'eu","Indirect CP Violation in the B-System","7 pages, No figures","Phys.Lett. B423 (1998) 151-156","10.1016/S0370-2693(98)00115-4",,"hep-ph",,"  We show that, contrary to the flavour mixing amplitude q/p, both Re(epsilon)
and Im(epsilon) are observable quantities, where epsilon is the phase-
convention-independent CP mixing. We consider semileptonic B_d decays from a CP
tag and build appropriate time-dependent asymmetries to separate out
Re(epsilon) and Im(epsilon). ""Indirect"" CP violation would have in
Im(epsilon)/(1+|epsilon|^2) its most prominent manifestation in the B-system,
with expected values in the standard model ranging from -0.37 to -0.18. This
quantity is controlled by a new observable phase: the relative one between the
CP-violating and CP-conserving parts of the effective hamiltonian. For
time-integrated rates we point out a (Delta Gamma)--> (Sigma Gamma)
transmutation which operates in the perturbative CP mixing.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:33:06 GMT""}]","2009-10-30"
"hep-ph/9710349",,"P. S. Cherzor, N. A. Sveshnikov","Jet observables and energy-momentum tensor","6 pages, LaTex, 1 PostScript figure, epsf.sty; talk at XII
  International Workshop on QFTHEP'97, 4-10 September, Samara, Russia (to be
  published in proceeding)",,,,"hep-ph",,"  We clarify and extend the theorem of Sveshnikov and Tkachov [hep-ph/9512370],
which gives an explicit connection between jet observables and energy-momentum
tensor. We check the relation between jet observables and energy-momentum
tensor for non-scalar (spinor and vector) field, give a correct treatment of
the light-cone singularity for massless particles, and extend the theorem to
the massless case. We also discuss the issue of gauge invariance.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:38:20 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 1997 14:33:56 GMT""}]","2007-05-23"
"hep-ph/9710350","Thomas G. Rizzo","Thomas G. Rizzo","Leptoquarks at Future Lepton Colliders","12 pages, 3 Figs. Uses e-e-ijmpa.sty. To appear in the Proceedings of
  the $2^{nd}$ International Workshop on $e^-e^-$ Interactions at TeV
  Energies}, Santa Cruz, CA, 22-24 September 1997","Int.J.Mod.Phys. A13 (1998) 2351-2362","10.1142/S0217751X98001141","SLAC-PUB-7675","hep-ph",,"  In this talk I summarize the capability of future lepton colliders to
discover leptoquarks and to determine their electroweak quantum numbers. This
analysis is an updated discussion based on the results presented in the
Snowmass 1996 New Phenomena Working Group report as well as some more recent
work that has appeared in the literature as a result of the HERA high-$Q^2$
excess.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:56:14 GMT""}]","2009-10-30"
"hep-ph/9710351","Stephen Parke","Stephen Parke (Fermi National Accelerator Laboratory)","Top Quark, W-boson and Light Higgs","6 pages, 12 figures, Latex, aip2col.sty, talk presented at Frontiers
  in Contemporary Physics; ``Fundamental Particles and Interactions,'' May
  11-16, 1997 at Vanderbilt University, Nashville TN",,"10.1063/1.55090","Fermilab-Conf-97/335-T","hep-ph",,"  In this presentation I will concentrate on top quark physics, the W-boson
mass and the possibility of discovering a light Higgs boson via associated
production at the Fermilab Tevatron.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 18:17:20 GMT""}]","2009-10-30"
"hep-ph/9710352","Tom Steele","A. S. Deakin, V. Elias, N. H. Fuchs, Fang Shi, T. G. Steele, Ying Xue","Direct Single Instanton Contributions to Finite Energy Sum Rules","10 pages, LaTeX, 2 postscript figures","Phys.Lett. B418 (1998) 223-228","10.1016/S0370-2693(97)01500-1",,"hep-ph",,"  Instanton contributions to pseudoscalar finite-energy sum rules are extracted
from the explicit single-instanton contribution to the pseudoscalar Laplace sum
rule in the instanton liquid model.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:30:52 GMT""}]","2009-10-30"
"hep-ph/9710353","Ed Stoeffhaas","V. Barger, K. Cheung, D. P. Roy, D. Zeppenfeld","Relaxing Atomic Parity Violation Constraints on New Physics","Revtex, 8 pages, no figures. Additions and corrections to references","Phys.Rev.D57:3833-3836,1998","10.1103/PhysRevD.57.3833","MADPH-97-1015","hep-ph",,"  The weak charge $Q_W$ measured in atomic parity violation experiments can
receive compensating contributions from more than one new physics source. We
show explicitly that the $\Delta Q_W$ contribution from the exchange of an
extra Z-boson can cancel that from the $s$-channel scalar top or scalar charm
exchange in R-parity violating SUSY models proposed to explain the HERA
high-$Q^2$ anomaly.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:52:38 GMT""},{""version"":""v2"",""created"":""Thu, 16 Oct 1997 20:08:16 GMT""}]","2009-09-15"
"hep-ph/9710354","Bhaskar Dutta","N. G. Deshpande, B. Dutta, Sechul Oh","A Critical Study of B Decays to Light Pseudoscalar","29 pages(Latex), 17 figures, a few changes have been made, version to
  appear in Phys.Rev.D","Phys.Rev. D57 (1998) 5723-5731","10.1103/PhysRevD.57.5723","OITS-649 UMD-PP-98-10","hep-ph",,"  Motivated by the large branching ratios observed for the process
$B\to\eta^{\prime}K$, we examine critically all the ingredients that go into
estimates of B decays into two light pseudoscalars. Within factorization
approximation, we examine several assumptions on the input parameters that
could have a strong bearing on the predictions. Among these are (i) the QCD
scale $\mu$ (ii) value of the form factors (iii) value of the light quark
masses, and in particular $m_s$ (iv) the value $\xi=1/N_c$, (v) charm content
of $\eta^{\prime}$. It is possible to account for all the data without invoking
new physics, though future experiments will provide tighter constraints on the
parameter space. We fin that CP violating asymmetries are in the observable
range for some modes.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 21:34:56 GMT""},{""version"":""v2"",""created"":""Mon, 27 Apr 1998 20:56:28 GMT""}]","2009-10-30"
"hep-ph/9710355","Shaouly Bar-Shalom","Shaouly Bar-Shalom","Probing New Higgs-Top Interactions at the Tree-Level in a Future e^+e^-
  Collider","25 pages, latex, 7 figures embadded in the text using epsfig.
  Expanded version of a talk presented at the International Europhysics
  Conference on High Energy Physics, EPS-HEP97, August 19-26, 1997, Jerusalem,
  Israel",,,"UCRHEP-T206","hep-ph",,"  The possibility of observing large signatures of new CP-violating and
flavor-changing Higgs-Top couplings in a future e^+e^- collider experiments
such as e^+e^- -> t bar-t h, t bar-t Z and e^+e^- -> t bar-c \nu_e bar-\nu_e, t
bar-c e^+ e^- is discussed. Such, beyond the Standard Model, couplings can
occur already at the tree-level within a class of Two Higgs Doublets Models.
Therefore, an extremely interesting feature of those reactions is that the
CP-violating and flavor-changing effects are governed by tree-level dynamics.
These reactions may therefore serve as unique avenues for searching for new
phenomena associated with Two Higgs Doublets Models and, as is shown here,
could yield statistically significant signals of new physics. We find that the
CP-asymmetries in e^+e^- -> t bar-t h, t bar-t Z can reach tens of percents,
and the flavor changing cross-section of e^+e^- -> t bar-c \nu_e bar-\nu_e is
typically a few fb's, for light Higgs mass around the electroweak scale.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 21:41:14 GMT""}]","2007-05-23"
"hep-ph/9710356","Mark Strikman","L.Frankfurt, A.Freund, M.Strikman","Diffractive Exclusive Photon Production in DIS at HERA","28 pages, 11 figures, published version with incorporated erratum","Phys.Rev.D58:114001,1998; Erratum-ibid.D59:119901,1999","10.1103/PhysRevD.58.114001 10.1103/PhysRevD.59.119901",,"hep-ph hep-ex",,"  We demonstrate that perturbative QCD allows one to calculate the absolute
cross section of diffractive exclusive production of photons at large $Q^2$ at
HERA, while the aligned jet model allows one to estimate the cross section for
intermediate $Q^2 \sim 2 GeV^2$.
  Furthermore, we find that the imaginary part of the amplitude for the
production of real photons is larger than the imaginary part of the
corresponding DIS amplitude by about a factor of 2, leading to the prediction
of a significant counting rate for the current generation of experiments at
HERA. We also find a large azimuthal angle asymmetry in $ep$ scattering for
HERA kinematics which allows one to directly measure the real part of the DVCS
amplitude and hence the nondiagonal parton distributions.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 23:41:20 GMT""},{""version"":""v2"",""created"":""Mon, 20 Oct 1997 22:29:43 GMT""},{""version"":""v3"",""created"":""Fri, 12 Jun 1998 19:28:16 GMT""},{""version"":""v4"",""created"":""Tue, 11 May 1999 16:57:29 GMT""}]","2014-11-17"
"hep-ph/9710357","Yu-Qi Chen","Eric Braaten and Yu-Qi Chen","Renormalons in Electromagnetic Annihilation Decays of Quarkonium","The revised version changed the error of the renormalization of the
  Borel transforms","Phys.Rev.D57:4236-4253,1998; Erratum-ibid.D59:079901,1999","10.1103/PhysRevD.57.4236 10.1103/PhysRevD.59.079901","OHSTPY-HEP-T-97-18","hep-ph",,"  We study the large-order asymptotic behavior of the perturbation series for
short-distance coefficients in the NRQCD factorization formulas for the decays
J/psi --> e^+e^- and eta_c --> gamma gamma. The short-distance coefficients of
the leading matrix elements are calculated to all orders in the large-N_f
limit. We find that there is a universal Borel resummable renormalon associated
with the cancellation of the Coulomb singularity in the short-distance
coefficients. We verify that the ambiguities in the short-distance coefficients
from the first infrared renormalon are canceled by ambiguities in the
nonperturbative NRQCD matrix elements that contribute through relative order
v^2. Our results are used to estimate the coefficients of higher order
radiative corrections in the decay rates for J/psi --> e^+ e^-, eta_c --> gamma
gamma, and J/\psi --> gamma gamma gamma.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 23:46:17 GMT""},{""version"":""v2"",""created"":""Wed, 15 Oct 1997 00:03:52 GMT""},{""version"":""v3"",""created"":""Fri, 6 Feb 1998 21:42:43 GMT""},{""version"":""v4"",""created"":""Tue, 6 Jul 1999 20:27:38 GMT""}]","2014-11-17"
