"astro-ph/9710181","Gilles Gerbier","G. Gerbier (1), J. Mallet (1), L. Mosca (1), C. Tao (2) (1 CEA Saclay,
  2 LPCC Paris)","Note on a 'hint' for an annual modulation signature of a 60 GeV WIMP","LaTex, 4 pages, 2 figures",,,"DAPNIA-97-23","astro-ph hep-ph",,"  In a recent presentation at the TAUP97 conference about the analysis of data
from a NaI(Tl) 100 kg underground detector run at the Gran Sasso Laboratory by
the DAMA/NaI group, the speaker concluded there was a hint for a WIMP of mass
60 GeV with a cross section on proton of 10-5 pb (Spin Independent coupling)
(see also ROM2F/97/33). Even if no claim of any definite signal is made, such a
statement is strong enough to deserve a critical look. The present note puts
forward a few arguments which point towards a largely overestimated statistical
significance of the effect, an inconsistency in the energy distribution and
several experimental effects which could easily mimic the observed excess. The
conclusion is that, in no way, the presented result can be considered as a hint
of a WIMP annual modulation.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 16:13:42 GMT""}]","2007-05-23"
"hep-th/9710137","Shinichi Nojiri","Shin'ichi Nojiri and Sergei D. Odintsov","On the instability of effective potential for non-abelian toroidal
  D-brane","to be published in Phys.Lett.B, 11 pages with 1 figure (ps file),
  LaTeX file","Phys.Lett.B419:107-114,1998","10.1016/S0370-2693(97)01285-9","NDA-FP-34, June 1997","hep-th",,"  We calculate the one-loop effective potential for the toroidal non-abelian
D-brane in the constant magnetic SU(2) gauge field. The study of its properties
shows that the potential is unbounded below. This fact indicates the
instability of the non-abelian D-brane in the background under consideration
like the instability of chromomagnetic vacuum in SU(2) gauge theory.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 02:54:15 GMT""}]","2009-09-17"
"hep-th/9710138",,"Debashis Gangopadhyay and Soumitra Sengupta","Construction of Maximally Symmetric Solutions for the Metric","latex, 13 pages",,,,"hep-th",,"  We construct new maximally symmetric solutions for the metric. We then show
that for a string moving in a background consisting of maximally symmetric
gravity, dilaton field and second rank antisymmetric tensor field, the O(d)
$\otimes$ O(d) transformation on the vacuum solutions, in general, gives
inequivalent solutions that are not maximally symmetric.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 06:40:04 GMT""}]","2007-05-23"
"hep-th/9710139",,"Debashis Gangopadhyay and Soumitra Sengupta","The Meaning of Maximal Symmetry in Presence of Torsion","latex, 12 pages",,,,"hep-th",,"  We show that the usual physical meaning of maximal symmetry can be made to
remain unaltered even if torsion is present. All that is required is that the
torsion fields satisfy some mutually consistent constraints. We also give an
explicit realisation of such a scenario by determining the torsion fields, the
metric and the associated Killing vectors.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 06:40:27 GMT""}]","2007-05-23"
"hep-th/9710140","Luigi Martina","L. Martina (1), O.K. Pashaev(2), G. Soliani (1) ((1) Lecce Univ.
  (Italia), (2) JINR Dubna (Russia))","Integrable dissipative structures in the gauge theory of gravity","12 pages, Latex, no figures, to appear in Class. Quantum. Grav","Class.Quant.Grav. 14 (1997) 3179-3186","10.1088/0264-9381/14/12/005","DFUL-1/02/97","hep-th gr-qc nlin.SI solv-int",,"  The Jackiw-Teitelboim gauge formulation of the 1+1 dimensional gravity allows
us to relate different gauge fixing conditions with integrable hierarchies of
evolution equations. We show that the equations for the Zweibein fields can be
written as a pair of time reversed evolution equations of the
reaction-diffusion type, admitting dissipative solutions. The spectral
parameter for the related Lax pair appears as the constant valued spin
connection associated with the $SO(1,1)$ gauge symmetry. Spontaneous breaking
of the non-compact symmetry and the irreversible evolution are discussed.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 10:32:30 GMT""}]","2009-10-30"
"hep-th/9710143","V. A. Slobodenyuk","V. A. Slobodenyuk (Ulyanovsk State University, Ulyanovsk, Russia)","On Convergence of the Schwinger - DeWitt Expansion","17 pp., LaTeX, to appear in ""Modern Physics Letters A""","Mod.Phys.Lett. A12 (1997) 2889-2904","10.1142/S0217732397003010",,"hep-th",,"  The Schwinger - DeWitt expansion for the evolution operator kernel of the
Schrodinger equation is studied for convergence. It is established that
divergence of this expansion which is usually implied for all continuous
potentials, excluding ones of the form V(q)=aq^2+bq+c, really takes place only
if the coupling constant g is treated as independent variable. But the
expansion may be convergent for some kinds of the potentials and for some
discrete values of the charge, if the latter is considered as fixed parameter.
Class of such potentials is interesting because inside of it the property of
discreteness of the charge in the nature is reproduced in the theory in natural
way.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 12:35:55 GMT""}]","2009-10-30"
"hep-th/9710144","D. V. Antonov","D.V.Antonov (Humboldt University, Berlin and ITEP, Moscow)","String Representation for the 't Hooft Loop Average in the Abelian Higgs
  Model","11 pages, LaTeX, no figures, references are added","Mod.Phys.Lett. A13 (1998) 659-671","10.1142/S0217732398000711",,"hep-th",,"  Making use of the duality transformation, we derive in the Londons' limit of
the Abelian Higgs Model string representation for the 't Hooft loop average
defined on the string world-sheet, which yields the values of two coefficient
functions parametrizing the bilocal correlator of the dual field strength
tensors. The asymptotic behaviours of these functions agree with the ones
obtained within the Method of Vacuum Correlators in QCD in the lowest order of
perturbation theory. We demonstrate that the bilocal approximation to the
Method of Vacuum Correlators is an exact result in the Londons' limit, i.e. all
the higher cumulants in this limit vanish. We also show that at large
distances, apart from the integration over metrics, the obtained string
effective theory (which in this case reduces to the nonlinear massive axionic
sigma model) coincides with the low-energy limit of the dual version of 4D
compact QED, the so-called Universal Confining String Theory. We derive string
tension of the Nambu-Goto term and the coupling constant of the rigidity term
for the obtained string effective theory and demonstrate that the latter one is
always negative, which means the stability of strings, while the positiveness
of the former is confirmed by the present lattice data. These data enable us to
find the Higgs boson charge and the vacuum expectation value of the Higgs
field, which model QCD best of all. We also study dynamics of the weight factor
of the obtained string representation for the 't Hooft average in the loop
space. In conclusion, we obtain string representation for the partition
function of the correlators of an arbitrary number of Higgs currents, by virtue
of which we rederive the structure of the bilocal correlator of the dual field
strength tensors, which yields the surface term in the string effective action.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 13:58:32 GMT""},{""version"":""v2"",""created"":""Tue, 2 Dec 1997 19:52:25 GMT""},{""version"":""v3"",""created"":""Fri, 19 Dec 1997 13:11:38 GMT""}]","2009-10-30"
"nucl-th/9710040","Saila Bhattachrya","Asish K. Dhara, Kewal Krishan, Chandana Bhattacharya and Sailjananda
  Bhattacharya (VECC, Calcutta, India)","A Dynmical study of Fission Process and estimation of Prescission
  Neutron Multiplicity","14 pages, ReVTeX, 7 Postscript figures, uses epsf, Physical Review C
  (in press). Revised manuscript includes new results, 3 new figures, added new
  references","Phys.Rev.C57:2453-2461,1998","10.1103/PhysRevC.57.2453",,"nucl-th",,"  The dynamics of fission has been studied by solving Euler-Lagrange equation
with dissipation generated through one and two body nuclear friction. The
average kinetic energies of the fission fragments, prescission neutron
multiplicities and the mean energies of the prescission neutrons have been
calculated and compared with experimental values and they agree quite well. A
single value of friction coefficient has been used to reproduce the
experimental data for both symmetric and asymmetric splitting of the fissioning
systems over a wide range of masses and excitation energies. It has been
observed that a stronger friction is required in the saddle to scission region
as compared to that in the ground state to saddle region.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 05:56:13 GMT""},{""version"":""v2"",""created"":""Wed, 25 Feb 1998 11:52:52 GMT""}]","2009-09-25"
"physics/9710016","Reijiro Kubo","Reijiro Kubo, Waichi Ogura, Takesi Saito and Yukinori Yasui","Geodesic flows for the Neumann-Rosochatius systems","22 pages, phyzzx",,,"YITP 97-46","math-ph hep-th math.MP",,"  The Relationship between the Neumann system and the Jacobi system in
arbitrary dimensions is elucidated from the point of view of constrained
Hamiltonian systems. Dirac brackets for canonical variables of both systems are
derived from the constrained Hamiltonians. The geodesic equations corresponding
to the Rosochatius system are studied as an application of our method. As a
consequence a new class of nonlinear integrable equations is derived along with
their conserved quantities.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 02:34:50 GMT""}]","2008-11-06"
"q-alg/9710020","Bertfried Fauser","Bertfried Fauser","Hecke algebras as subalgebras of Clifford geometric algebras of
  multivectors","12p. 40kB, LaTeX, no figures, Bertfried.Fauser@uni-tuebingen.de","J. Phys. A: Math. Gen. 32 (1999) 1919-1936","10.1088/0305-4470/32/10/010","Tue-prep-971103","q-alg math.QA",,"  Clifford geometric algebras of multivectors are introduced which exhibit a
bilinear form which is not necessarily symmetric. Looking at a subset of
bi-vectors in CL(K^{2n},B), we proof that theses elements generate the Hecke
algebra H_{K}(n+1,q) if the bilinear form B is chosen appropriately. This
shows, that q-quantization can be generated by Clifford multivector objects
which describe usually composite entities. This contrasts current approaches
which give deformed versions of Clifford algebras by deforming the one-vector
variables. Our example shows, that it is not evident from a mathematical point
of view, that q-deformation is in any sense more elementary than the undeformed
structure.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 21:49:16 GMT""}]","2009-10-30"
"q-alg/9710021","Patricia Flad","Michel Dubois-Violette","$d^N=0$","54 pages, AMS-LaTeX using pb-diagram. Lemma 6 modified and index
  added in p.41 line 5",,,"LPTHE-ORSAY 97/53 available from http://qcd.th.u-psud.fr","q-alg math.QA",,"  We study the generalized homology associated with a nilpotent endomorphism
$d$ satisfying $d^N=0$. For simplicial modules we construct such nilpotent
endomorphisms and we prove a general result relating the corresponding
generalized homologies to the ordinary homology. We also discuss the
generalization of the notion of graded differential algebra in this context.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 09:50:54 GMT""},{""version"":""v2"",""created"":""Tue, 28 Oct 1997 09:09:02 GMT""}]","2007-05-23"
"q-alg/9710022","Eric Buffenoir","E.Buffenoir, Ph.Roche","Harmonic Analysis on the quantum Lorentz group","60 pages, tared gzipped Postscript file, major revision of the
  previous version, the Plancherel theorem is established in the more general
  sense and we delay the study of Fusion theory to the next part of this paper","Commun.Math.Phys. 207 (1999) 499-555","10.1007/s002200050736",,"q-alg gr-qc hep-th math.QA",,"  This work begins with a review of complexification and realification of Hopf
algebras. We emphasize the notion of multiplier Hopf algebras for the
description of different classes of functions (compact supported, bounded,
unbounded) on complex quantum groups and the construction of the associated
left and right Haar measure. Using a continuation of $6j$ symbols of $SU_q (2)$
with complex spins, we give a new description of the unitary representations of
$SL_q (2,\CC)_{\RR}$ and find explicit expressions for the characters of $SL_q
(2,\CC)_{\RR}$. The major theorem of this article is the Plancherel theorem for
the Quantum Lorentz Group.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 14:50:46 GMT""},{""version"":""v2"",""created"":""Mon, 18 Jan 1999 17:23:07 GMT""}]","2009-10-30"
"quant-ph/9710042","Daniel I. Fivel","Daniel I. Fivel","An Indication From the Magnitude of CP Violations that Gravitation is a
  Possible Cause of Wave-Function Collapse","6 pages, 0 figures, plain TeX",,,,"quant-ph gr-qc hep-ph hep-th",,"  We consider experimental evidence for the hypothesis that the Planck energy,
$E_p \approx 10^{19}GeV$, sets the scale $\epsilon$ at which wave function
collapse causes deviations from linear Schr\""{o}dinger evolution. With a few
plausible assumptions about the collapse process, we first show that the
observed CP violation in $K_L$ decay implies a lower bound on $\epsilon$
remarkably close to $E_p$. If the bound is saturated, the entire CP violation
is due to collapse and a prediction made that the branching ratio for CP
violation in the B meson decay will be $\gamma \approx 10^{-5}$. We then show
that the assumptions are consequences of a simple non-linear, stochastic
modification of the Schr\""{o}dinger equation with $\epsilon$ setting the scale
of the non-linearity.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 19:21:02 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 1997 23:25:47 GMT""},{""version"":""v3"",""created"":""Sun, 19 Oct 1997 16:08:34 GMT""},{""version"":""v4"",""created"":""Tue, 21 Oct 1997 22:02:08 GMT""},{""version"":""v5"",""created"":""Sat, 25 Oct 1997 01:29:21 GMT""},{""version"":""v6"",""created"":""Tue, 4 Nov 1997 05:17:21 GMT""},{""version"":""v7"",""created"":""Wed, 5 Nov 1997 15:07:25 GMT""}]","2007-05-23"
"solv-int/9710011","Harry Braden","H. W. Braden","A Conjectured R-Matrix","12 pages Latex",,"10.1088/0305-4470/31/7/008","MS-97-013","solv-int nlin.SI",,"  A new spectral parameter independent R-matrix (that depends on all of the
dynamical variables) is proposed for the elliptic Calogero-Moser models.
Necessary and sufficient conditions for this R-matrix to exist reduce to an
equality between determinants of matrices involving elliptic functions. The
needed identity appears new and is still unproven in full generality: we
present it as a conjecture.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 15:55:45 GMT""}]","2009-10-30"
