"astro-ph/9710029",,"D.Fargion, B.Mele and A.Salis","Ultrahigh energy neutrino scattering onto relic light neutrinos in
  galactic halo as a possible source of highest energy extragalactic cosmic
  rays","25 pages, 1 figure minor corrections, updated references. In press in
  APJ","Astrophys.J. 517 (1999) 725-733","10.1086/307203","ROME1-1179/97","astro-ph hep-ex hep-ph",,"  The diffuse relic neutrinos with light mass are transparent to Ultrahigh
energy (UHE) neutrinos at thousands EeV, born by photoproduction of pions by
UHE protons on relic 2.73 K BBR radiation and originated in AGNs at cosmic
distances. However these UHE $\nu$s may interact with those (mainly heaviest
$\nu_{\mu_r}$, $\nu_{\tau_r}$ and respective antineutrinos) clustered into HDM
galactic halos. UHE photons or protons, secondaries of $\nu\nu_r$ scattering,
might be the final observed signature of such high-energy chain reactions and
may be responsible of the highest extragalactic cosmic-ray (CR) events. The
chain-reactions conversion efficiency, ramifications and energetics are
considered for the October 1991 CR event at 320 EeV observed by the Fly's Eye
detector in Utah. These quantities seem compatible with the distance, direction
and power (observed at MeV gamma energies) of the Seyfert galaxy MCG 8-11-11.
The $\nu\nu_r$ interaction probability is favoured by at least three order of
magnitude with respect to a direct $\nu$ scattering onto the Earth atmosphere.
Therefore, it may better explain the extragalactic origin of the puzzling 320
EeV event, while offering indirect evidence of a hot dark galactic halo of
light (i.e., $m_\nu\sim$ tens eV) neutrinos, probably of tau flavour.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:51:47 GMT""},{""version"":""v2"",""created"":""Wed, 30 Dec 1998 10:47:20 GMT""}]","2009-10-30"
"hep-ph/9710232",,"H. Walliser","1-loop corrections to the SU(3) symmetric chiral soliton","9 pages, LaTeX, 2 postscript figures","Phys.Lett. B432 (1998) 15-21","10.1016/S0370-2693(98)00638-8",,"hep-ph",,"  Masses of the SU(3) chiral soliton in tree approximation turn out at much too
high energies typically around 2 GeV. It is shown that 1-loop corrections
reduce this value drastically with results in the region of the empirical
nucleon mass.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 11:39:44 GMT""}]","2009-10-30"
"hep-ph/9710233","Marco Aurelio Diaz","Marco Aurelio Diaz","Charged Higgs Sector with and without R--Parity","11 pages including 6 figures, Latex. Presented at the Third Warsaw
  Workshop ""Physics from Planck Scale to Electroweak Scale"", Warsaw University,
  2-5 April 1997, Warsaw, Poland",,,"FTUV/97-56, IFIC/97-72","hep-ph",,"  The simplest way of studying systematically R-parity violating phenomena is
by introducing a bilinear term in the superpotential of the type $\epsilon\hat
L\hat H_2$, which violates R-parity and lepton number but keep barion number
conserved. In its simplest version, this ``$\epsilon$--model'' is a two
parameter extension of the MSSM and a one parameter extension of the
MSSM--SUGRA. Here we study the charged Higgs sector of the model, which mixes
with the stau sector, and compare it with the charged Higgs sector of the MSSM.
We demonstrate that $m_{H^{\pm}}$ can be lower than $m_W$ already at tree
level, and calculate the production cross section of pairs of charged Higgs and
staus. In this model it is possible the mixed production of a charged Higgs and
a stau and its production cross section can be sizable. We finally comment
about the new R-parity violating decay modes of the charged scalars.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 11:53:18 GMT""}]","2007-05-23"
"hep-ph/9710234",,"M. Giovannini (DAMTP, Cambridge) and M. E. Shaposhnikov (CERN)","Primordial Hypermagnetic Fields and Triangle Anomaly","Latex, 53 pages, 8 eps figures","Phys.Rev. D57 (1998) 2186-2206","10.1103/PhysRevD.57.2186","CERN-TH-97-264, DAMTP-97-108","hep-ph astro-ph",,"  The high-temperature plasma above the electroweak scale $\sim 100$ GeV may
have contained a primordial hypercharge magnetic field whose anomalous coupling
to the fermions induces a transformation of the hypermagnetic energy density
into fermionic number. In order to describe this process, we generalize the
ordinary magnetohydrodynamical equations to the anomalous case. We show that a
not completely homogeneous hypermagnetic background induces fermion number
fluctuations, which can be expressed in terms of a generic hypermagnetic field
configuration. We argue that, depending upon the various particle physics
parameters involved in our estimate (electron Yukawa coupling, strength of the
electroweak phase transition) and upon the hypermagnetic energy spectrum,
sizeable matter-antimatter fluctuations can be generated in the plasma. These
fluctuations may modify the predictions of the standard Big Bang
nucleosynthesis (BBN). We derive constraints on the magnetic fields from the
requirement that the homogeneous BBN is not changed. We analyse the influence
of primordial magnetic fields on the electroweak phase transition and show that
some specific configurations of the magnetic field may be converted into net
baryon number at the electroweak scale.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 12:45:31 GMT""}]","2009-10-30"
"hep-ph/9710235",,"A. Pautz, G. Shaw (University of Manchester)","Nuclear shadowing and rho photoproduction","17 pages, Revtex, 8 postscript figures; extended introduction with
  added references; change of title","Phys.Rev.C57:2648-2654,1998","10.1103/PhysRevC.57.2648","MC-TH-97/15","hep-ph",,"  Rho photoproduction on complex nuclei is re-examined using a generalised
vector dominance model which succesfully predicts the observed nuclear
shadowing in real photoabsorption and deep inelastic scattering. This model is
shown to give a good fit to rho photoproduction data on both nucleons and
complex nuclei, in which the well-known disagreement between the measured
gamma-rho coupling and the gamma-rho coupling required by the simple vector
dominance model is eliminated. The rho N total cross-sections required are
similar to those predicted by the additive quark model; and the magnitude of
the correction to simple vector dominance is consistent with that inferred from
the analysis of real photoabsorption and deep inelastic scattering.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 14:44:25 GMT""},{""version"":""v2"",""created"":""Fri, 19 Dec 1997 18:17:31 GMT""}]","2008-11-26"
"hep-ph/9710237","Shinya Kanemura","Shinya Kanemura","Enhancement of Loop Induced $H^\pm W^\mp Z^0$ Vertex in Two
  Higgs-doublet Model","31+1 pages, Latex with 8 eps-files","Phys.Rev. D61 (2000) 095001","10.1103/PhysRevD.61.095001","KEK Preprint 97-160, KEK-TH- 544","hep-ph",,"  The non-decoupling effects of heavy Higgs bosons as well as fermions on the
loop-induced $H^\pm W^\mp Z^0$ vertex are discussed in the general two Higgs
doublet model. The decay width of the process $H^+ \to W^+ Z^0$ is calculated
at one-loop level and the possibility of its enhancement is explored both
analytically and numerically. We find that the novel enhancement of the decay
width can be realized by the Higgs non-decoupling effects with large
mass-splitting between the charged Higgs boson and the CP-odd one. This is due
to the large breakdown of the custodial $SU(2)_V$ invariance in the Higgs
sector. The branching ratio can amount to $10^{-2} \sim 10^{-1}$ for $m_{H^\pm}
= 300$ GeV within the constraint from the present experimental data. Hence this
mode may be detectable at LHC or future $e^+e^-$ linear colliders.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 14:52:25 GMT""},{""version"":""v2"",""created"":""Mon, 6 Oct 1997 00:25:02 GMT""}]","2009-10-30"
"hep-th/9710014","Juan Maldacena","Juan M. Maldacena and Andrew Strominger","Semiclassical decay of near extremal fivebranes","3 pages, harvmac","JHEP 9712:008,1997","10.1088/1126-6708/1997/12/008",,"hep-th",,"  We argue that a near-extremal charge-$k$ type II NS fivebrane can be reliably
described in semiclassical string perturbation theory as long as both $k$ and
$\mu \over k$ are large, where $\mu$ is the energy density in string units. For
a small value of the asymptotic string coupling $g$, the dynamics in the throat
surrounding the fivebrane reduces to the CGHS model with massive fields. We
find that the energy density leaks off the brane in the form of Hawking
radiation at a rate of order $1 \over k^{7/2}$ in string units independently of
$g$ to leading order. In the $g\to 0$ limit the radiation persists but never
reaches asymptotic infinity because the throat becomes infinitely long.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 22:49:20 GMT""},{""version"":""v2"",""created"":""Thu, 23 Oct 1997 02:03:00 GMT""}]","2009-10-30"
"hep-th/9710021","Ralph Blumenhagen","Ralph Blumenhagen","(0,2) Target Space Duality, CICYs and Reflexive Sheaves","20 pages, TeX, harvmac","Nucl.Phys. B514 (1998) 688-704","10.1016/S0550-3213(97)00842-0","IASSNS-HEP-97/107","hep-th",,"  It is shown that the recently proposed target space duality for (0,2) models
is not limited to models admitting a Landau-Ginzburg description. By studying
some generic examples it is established for the broader class of vector bundles
over complete intersections in toric varieties. Instead of sharing a common
Landau-Ginzburg locus, a pair of dual models agrees in more general
non-geometric phases. The mathematical tools for treating reflexive sheaves are
provided, as well.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:15:51 GMT""}]","2009-10-30"
"hep-th/9710022","Sviatoslav Solganik","A. N. Sissakian, O. Yu. Shevchenko and S. B. Solganik","Chiral And Parity Anomalies At Finite Temperature And Density",,"Nucl.Phys. B518 (1998) 455-472","10.1016/S0550-3213(98)00148-5",,"hep-th",,"  Two closely related topological phenomena are studied at finite density and
temperature. These are chiral anomaly and Chern-Simons term. By using different
methods it is shown that $\mu^2 = m^2$ is the crucial point for Chern-Simons at
zero temperature. So when $\mu^2 < m^2$ $\mu$--influence disappears and we get
the usual Chern-Simons term. On the other hand when $\mu^2 > m^2$ the
Chern-Simons term vanishes because of non-zero density of background fermions.
It is occurs that the chiral anomaly doesn't depend on density and temperature.
The connection between parity anomalous Chern-Simons and chiral anomaly is
generalized on finite density. These results hold in any dimension as in
abelian, so as in nonabelian cases.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:19:08 GMT""}]","2009-10-30"
"hep-th/9710023","Alexandros Kechagias","A. Kehagias and H. Partouche","On the exact quartic effective action for the type IIB superstring","14 pages, latex. minor corrections, version to appear in Phys.Lett.B","Phys.Lett.B422:109-116,1998","10.1016/S0370-2693(97)01430-5",,"hep-th",,"  We propose a four-point effective action for the graviton, antisymmetric
two-forms, dilaton and axion of type IIB superstring in ten dimensions. It is
explicitly SL(2,Z)-invariant and reproduces the known tree-level results.
Perturbatively, it has only one-loop corrections for the NS-NS sector,
generalizing the non-renormalization theorem of the R^4 term. Finally, the
non-perturbative corrections are of the expected form, namely, they can be
interpreted as arising from single D-instantons of multiple charge.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:50:11 GMT""},{""version"":""v2"",""created"":""Tue, 16 Dec 1997 20:58:56 GMT""}]","2008-11-26"
"hep-th/9710024","Gustavo Dotti","Gustavo Dotti and Aneesh Manohar","Anomaly Matching Conditions and the Moduli Space of Supersymmetric Gauge
  Theories","28 pages revtex, amssymb","Nucl.Phys. B518 (1998) 575-602","10.1016/S0550-3213(97)00834-1","UCSD/PTH 97-14","hep-th",,"  The structure of the moduli space of N=1 supersymmetric gauge theories is
analyzed from an algebraic geometric viewpoint. The connection between the
fundamental fields of the ultraviolet theory, and the gauge invariant composite
fields of the infrared theory is explained in detail. The results are then used
to prove an anomaly matching theorem. The theorem is used to study anomaly
matching for supersymmetric QCD, and can explain all the known anomaly matching
results for this case.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 20:19:13 GMT""}]","2009-10-30"
"hep-th/9710025","Marcelo Gomes","M. Gomes and A. J. da Silva","On the Nonrelativistic Limit of the Scattering of Spin One-half
  Particles Interacting with a Chern-Simons Field","12 pages, 2 figures, revtex; Minor corrections","Phys.Rev. D57 (1998) 3579-3584","10.1103/PhysRevD.57.3579","IFUSP/P-1285","hep-th",,"  Starting from a relativistic quantum field theory, we study the low energy
scattering of two fermions of opposite spins interacting through a Chern-Simons
field. Using the Coulomb gauge we implement the one loop renormalization
program and discuss vacuum polarization and magnetic moment effects. We prove
that the induced magnetic moments for spin up and spin down fermions are the
same. Next, using an intermediary auxiliary cutoff the scattering amplitude is
computed up to one loop. Similarly to Aharonov-Bohm effect for spin zero
particles, the low energy part of the amplitude contains a logarithmic
divergence in the limit of very high intermediary cutoff. In our approach
however the needed counterterm is automatically provided without any additional
hypothesis.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:20:21 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 1997 20:36:58 GMT""}]","2009-10-30"
"hep-th/9710026","Yosuke Imamura","Yosuke Imamura","D-particle creation on an orientifold plane","10 pages + 3 eps figures, LaTeX, errors corrected and reference added","Phys.Lett. B418 (1998) 55-60","10.1016/S0370-2693(97)01481-0","KUNS-1468","hep-th",,"  We study the propagations of gravitational wave and D-particle on D6-brane
and orientifold 6-plane backgrounds in the M-theory framework. In the case of
orientifold plane, D-particle number is not conserved and gravitational wave
can convert into D-particle. For the simplest case, we calculate its amplitude
numerically.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 23:31:11 GMT""},{""version"":""v2"",""created"":""Mon, 20 Oct 1997 03:55:09 GMT""},{""version"":""v3"",""created"":""Thu, 23 Oct 1997 08:41:40 GMT""}]","2009-10-30"
"hep-th/9710027","Argurio Riccardo","R. Argurio, L. Houart","Little Theories in Six and Seven Dimensions","23 pages, LaTeX, no figures; references added","Nucl.Phys. B517 (1998) 205-226","10.1016/S0550-3213(98)00095-9","ULB-TH-97/19","hep-th",,"  We discuss theories with 16 and 8 supercharges in 6 and 7 dimensions. These
theories are defined as world-volume theories of 5- and 6-branes of type II and
M theories, in the limit in which bulk modes decouple. We analyze in detail the
spectrum of BPS extended objects of these theories, and show that the 6
dimensional ones can be interpreted as little (non-critical) string theories.
The little 5-branes of the 6 dimensional theories with 16 supercharges are used
to find new string theories with 8 supercharges, which have additional group
structure. We describe the web of dualities relating all these theories. We
show that the theories with 16 supercharges can be used for a Matrix
description of M-theory on T^6 in the general case, and that they also
reproduce Matrix theory on T^5 and T^4 in some particular limit.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 19:04:40 GMT""},{""version"":""v2"",""created"":""Fri, 10 Oct 1997 08:37:31 GMT""}]","2009-10-30"
"hep-th/9710028",,"B. Chakraborty and A. S. Majumdar (S. N. Bose Natl. Centr.)","On effects of gauging on symplectic structure, the Hopf term coupled to
  CP^1 model, and fractional spin","29 pages, Latex","Int.J.Mod.Phys. A14 (1999) 1561-1590","10.1142/S0217751X99000798",,"hep-th",,"  We couple the Hopf term to the relativistic $CP^1$ model and carry out the
Hamiltonian analysis at the classical level. The symplectic structure of the
model given by the set of Dirac Brackets among the phase space variables is
found to be the same as that of the pure $CP^1$ model. This symplectic
structure is shown to be inherited from the global SU(2) invariant $S^3$ model,
and undergoes no modification upon gauging the U(1) subgroup, except the
appearance of an additional first class constraint generating U(1) gauge
transformation. We then address the question of fractional spin as imparted by
the Hopf term at the classical level. For that we construct the expression of
angular momentum through both symmetric energy-momentum tensor as well as
through Noether's prescription. Both the expressions agree for the model
indicating no fractional spin is imparted by this term at the classical level-a
result which is at variance with what has been claimed in the literature. We
provide an argument to explain the discrepancy and corroborate our argument by
considering a radiation gauge fixed Hopf term coupled to $CP^1$ model, where
the desired fractional spin is reproduced and is given in terms of the soliton
number. Finally, by making the gauge field of the $CP^1$ model dynamical by
adding the Chern-Simons term, the model ceases to be a $CP^1$ model, as is the
case with its nonrelativistic counterpart. This model is also shown to reveals
the existence of `anomalous' spin. This is however given in terms of the total
charge of the system, rather than any soliton number.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 07:44:43 GMT""}]","2009-10-30"
"hep-th/9710029","Maru Nobuhito","Kei Ito and Nobuhito Maru","Matrix String Theory from Brane Configuration","14 pages, 7 figures, LaTeX, the discussion of mirror symmetry added,
  some typos corrected, to appear in Phys. Lett. B","Phys.Lett. B426 (1998) 43-49","10.1016/S0370-2693(98)00274-3","DPNU-97-47","hep-th",,"  Configurations of fivebranes, twobranes and fourbranes in type IIA string
theory, which give (1+1) dimensional supersymmetric gauge theories in the low
energy limit, are constructed. It is shown that these brane configurations are
equivalent to a certain class of matrix string theories. This opens up an
avenue for the investigation of matrix string dynamics via the geometry of the
brane configurations in type IIA string theory.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 11:04:44 GMT""},{""version"":""v2"",""created"":""Tue, 7 Oct 1997 08:16:51 GMT""},{""version"":""v3"",""created"":""Tue, 17 Mar 1998 14:00:27 GMT""}]","2009-10-30"
"hep-th/9710030","Ichiro Oda","Ichiro Oda","Supersymmetric IIB Matrix Models from Space-time Uncertainty Principle
  and Topological Symmetry","16 pages, LaTex","Nucl.Phys. B516 (1998) 160-174","10.1016/S0550-3213(98)00058-3","EDO-EP-16","hep-th",,"  Starting with topological field theory, we derive space-time uncertainty
relation proposed by Yoneya through breakdown of topological symmetry in the
large $N$ matrix model. Next, on the basis of only two basic principles, those
are, generalized space-time uncertainty principle containing spinor field and
topological symmetry, we construct a new matrix model. If we furthermore impose
a requirement of N=2 supersymmetry, this new matrix model exactly reduces to
the IKKT model or the Yoneya model for IIB superstring depending on an
appropriate choice for a scalar function. A key feature of these formulations
is an appearance of the nontrivial ""dynamical"" theory through breakdown of
topological symmetry in the matrix model. It is closely examined why the
nontrivial ""dynamical"" theory appears from the trivial topological field
theory.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 11:06:07 GMT""}]","2009-10-30"
"hep-th/9710032","Irina Arefeva","I. Ya. Aref'eva, P. B. Medvedev, O. A. Rytchkov and I. V.Volovich","Chaos in M(atrix) Theory","Latex, 14 pages, 8 eps.figs.,the ansatz for the SU(3) group is
  considered, refs are added","Chaos Solitons Fractals 10 (1999) 213-223",,"SMI-25-97","hep-th cond-mat quant-ph",,"  We consider the classical and quantum dynamics in M(atrix) theory. Using a
simple ansatz we show that a classical trajectory exhibits a chaotic motion. We
argue that the holographic feature of M(atrix) theory is related with the
repulsive feature of energy eigenvalues in quantum chaotic system. Chaotic
dynamics in N=2 supersymmetric Yang-Mills theory is also discussed. We
demonstrate that after the separation of ""slow"" and ""fast"" modes there is a
singular contribution from the ""slow"" modes to the Hamiltonian of the ""fast""
modes.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 15:17:30 GMT""},{""version"":""v2"",""created"":""Wed, 12 Nov 1997 17:07:29 GMT""}]","2007-05-23"
"nucl-th/9710008",,"G. Q. Li","Hadrons in Dense Matter and Medium Effects in Relativistic Heavy-Ion
  Collisions","Based on talked given at the CCAST (China Center for Advanced Science
  and Technology) Workshop on Recent Developments in Relativistic Heavy-Ion
  Collisions, Beijing, September 2-6, 1997. Including the Introduction and
  References only. A postscript file for the complete manuscript can be
  obtained by sending an email to gqli@nuclear.physics.sunysb.edu",,,,"nucl-th",,"  Theoretical and experimental studies of hot and/or dense matter, such as is
created in high-energy heavy-ion collisions, and encountered in compact objects
in astrophysics, constitute one of the most active frontiers in nuclear
physics. In these Lectures, we discuss various approaches to the description of
hot and/or dense matter, including the simple Skyrme-type parameterization and
relativistic Walecka-type models, as well as microscopic Dirac-Brueckner and
QCD sum rule approaches. As density and/or temperature of the hadronic system
increases, chiral symmetry is gradually restored, as indicated by the decrease
of quark condensate. This has profound effects on the properties of hadrons,
especially their masses. We review various theoretical predictions for hadron
properties in dense matter. Experimentally, possible medium modifications of
hadron properties can be studied through the measurements of particle spectra,
flow, and particularly, electromagnetic observables. Particle production,
especially the production of rare particles such as kaons, vector mesons, and
antiparticles, provides useful insight into heavy-ion collision dynamics, and
hadron properties in dense matter. Collective flows of various kinds are
important observables in heavy-ion collisions. They probe essentially the
entire reaction process, and thus are very useful for the determination of the
reaction dynamics. They also reflect the properties of hadrons in dense matter.
Electromagnetic signals are considered penetrating probes that may carry
undistorted information about the early stage of high-energy heavy-ion
collisions. We discuss various theoretical calculations of dilepton and photon
production in heavy-ion collisions at SPS energies and various medium effects
that have been proposed to explain the observed low-mass dilepton enhancement.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:46:53 GMT""}]","2007-05-23"
"nucl-th/9710009","Jiri Adam","J. Adam, Jr., J.W. Van Orden and Franz Gross","Electromagnetic interactions for the two-body spectator equations","44 pages, 14 figures","Nucl.Phys.A640:391-434,1998","10.1016/S0375-9474(98)00430-8","JLAB-THY-97-41, WM-97-112","nucl-th",,"  This paper presents a new non-associative algebra which is used to (i) show
how the spectator (or Gross) two-body equations and electromagnetic currents
can be formally derived from the Bethe-Salpeter equation and currents if both
are treated to all orders, (ii) obtain explicit expressions for the Gross
two-body electromagnetic currents valid to any order, and (iii) prove that the
currents so derived are exactly gauge invariant when truncated consistently to
any finite order. In addition to presenting these new results, this work
complements and extends previous treatments based largely on the analysis of
sums of Feynman diagrams.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 19:51:50 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 1997 18:18:45 GMT""}]","2012-08-27"
"nucl-th/9710010","David Hardtke","D. Hardtke and T.J. Humanic","Central Coulomb Effects on Pion Interferometry","6 pages, Latex, 2 postscript figures","Phys.Rev.C57:3314-3318,1998","10.1103/PhysRevC.57.3314",,"nucl-th",,"  Using a simple final-state rescattering model coupled with a simple Coulomb
model, the effects of the central Coulomb potential on pion interferometry
measurements in 158 GeV/nucleon Pb+Pb collisions are explored. Although the
central Coulomb potential does not introduce correlations between pions, it
does prevent an accurate measurement of the momentum difference. This momentum
difference smearing effect leads to a reduction in the measured correlation
radii and lambda parameters. These distortions are important in 158 GeV/nucleon
Pb+Pb collisions because of large source sizes and the strong central Coulomb
potential.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 19:45:21 GMT""}]","2008-11-26"
"nucl-th/9710011","Dave Madland","Joseph N. Ginocchio and David G. Madland","Pseudo-spin Symmetry and Relativistic Single-nucleon Wave Functions","LaTeX file (15 pages, 3 tables) and 9 PostScript figures","Phys.Rev.C57:1167-1173,1998","10.1103/PhysRevC.57.1167","LA-UR-97-3921","nucl-th",,"  We show that the occurrence of approximate pseudo-spin symmetry in nuclei is
connected with certain similarities in the relativistic single-nucleon wave
functions of the corresponding pseudo-spin doublets. We perform a case study in
which several examples and the systematics of this connection are explored.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 23:35:17 GMT""}]","2008-11-26"
"patt-sol/9710001","Stoil Donev","S. Donev and M. Tashkova","Extended Electrodynamics: II. Properties and invariant characteristics
  of the non-linear vacuum solutions","14 pages, LaTex, no figures",,,"INRNE-TH-97/9","patt-sol hep-th nlin.PS quant-ph",,"  This paper aims to consider the general properties of the non-linear
solutions to the vacuum equations of Extended Electrodynamics. The *-invariance
and the conformal invariance of the equations are mentioned. It is also proved
that all non-linear solutions have zero invariants: F_{\mu\nu}F^{\mu\nu} =
(*F)_{\mu\nu}F^{\mu\nu} = 0. The three invariant characteristics of the
non-linear solutions: amplitude, phase and scale factor are introdiced and
discussed.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 15:20:48 GMT""}]","2007-05-23"
"physics/9710002","Julio Guerrero","V. Aldaya, J. Guerrero and G. Marmo","Quantization on a Lie group: Higher-order Polarizations","52 pages, latex, no figures. Contribution to ""Symmetries in Science
  X"", held in Bregenz (Austria), 13-18 July 1997. To appear in the proceedings",,,,"math-ph hep-th math.MP",,"  Contents
  * Introduction
  -- Why $S^1$-extended phase space?
  -- Why central extensions of classical symmetries?
  * Central extension \Gt of a group $G$
  -- Group cohomology
  -- Cohomology and contractions: Pseudo-cohomology
  -- Principal bundle with connection $(\Gtm,\Theta)$
  * Group Approach to Quantization
  -- $U(1)$-quantization
  -- Non-horizontal polarizations
  * Simple examples
  -- The abelian group $R^{k}$
  -- The semisimple group $SU(2)$
  * Algebraic anomalies
  -- Higher-order polarizations
  -- The Schr\""odinger group and Quantum Optics
  -- The Virasoro group and String Theory
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 10:56:13 GMT""}]","2008-11-06"
"q-alg/9710007","Jean-Yves Thibon","O. Foda, B. Leclerc, M. Okado, J.-Y. Thibon and T.A. Welsh","Branching functions of $A_{n-1}^{(1)}$ and Jantzen-Seitz problem for
  Ariki-Koike algebras","35 pages, Latex, epsf macros",,,,"q-alg math.QA",,"  We study the restrictions of simple modules of Ariki-Koike algebras
$\H_m(\v)$ with set of parameters $\v= (\zeta;\zeta^{v_0},...
,\zeta^{v_{l-1}})$, where $\zeta$ is an $n$th root of unity, to their
subalgebras $\H_{m-j}(\v)$. Using a theorem of Ariki and the crystal basis
theory of Kashiwara, we relate this problem to the calculation of tensor
product multiplicities of highest weight irreducible representations of the
affine Lie algebra $A_{n-1}^{(1)}$. These multiplicities have a combinatorial
description in terms of higher level paths or highest-lift multipartitions.
This enables us to solve the Jantzen-Seitz problem for Ariki-Koike algebras,
that is, to determine which irreducible representations of $\H_m(\v)$ restrict
to irreducible representations of $\H_{m-1}(\v)$. From a combinatorial point of
view, this problem is identical to that of computing the tensor product of an
$A_{n-1}^{(1)}$-module of level $l$ and one of level 1. We also consider
natural generalisations of the Jantzen-Seitz problem corresponding to the
product of a level $l$ module by a level $l'>1$ module, and from the
commutativity of tensor products, we deduce a remarkable symmetry between the
generalised Jantzen-Seitz conditions and the sets of parameters of the
Ariki-Koike algebras.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 12:16:39 GMT""}]","2007-05-23"
"quant-ph/9710013","S. Popescu","D. Boschi, S. Branca, F. De Martini, L. Hardy, S. Popescu","Experimental Realization of Teleporting an Unknown Pure Quantum State
  via Dual Classical and Einstein-Podolski-Rosen Channels","11 pages LaTeX, 3 figures, 1 page figures captions. The figures and
  figures captions are not encapsulated; please print them separately","Phys.Rev.Lett. 80 (1998) 1121-1125","10.1103/PhysRevLett.80.1121",,"quant-ph",,"  We report on a quantum optical experimental implementation of teleportation
of unknown pure quantum states. This realizes all the nonlocal aspects of the
original scheme proposed by Bennett et al. and is equivalent to it up to a
local operation. We exhibit results for the teleportation of a linearly
polarized state and of an elliptically polarized state. We show that the
experimental results cannot be explained in terms of a classical channel alone.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 20:18:35 GMT""}]","2009-10-30"
"quant-ph/9710014","Guo Guangcan","Lu-Ming Duan and Guang-Can Guo (University of Science and Technology
  of China)","Reply to the comment ""quant-ph/9710002""","2 pages, Latex",,,,"quant-ph",,"  In the comment, Zanardi and Rasetti argue that several claims in our recent
letter (Phys. Rev. Lett. 79, 1953, 1997) are questionable. The reply shows
these claims remain true.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 08:30:16 GMT""}]","2007-05-23"
"quant-ph/9710015","Piotr Garbaczewski","P. Garbaczewski, G. Kondrat and R. Olkiewicz","Schroedinger's Interpolating Dynamics and Burgers' Flows","Latex file, to appear in ""Chaos, Solitons and Fractals""","Chaos Solitons Fractals 9 (1998) 29-41","10.1016/S0960-0779(97)00046-5",,"quant-ph chao-dyn nlin.CD",,"  We discuss a connection (and a proper place in this framework) of the
unforced and deterministically forced Burgers equation for local velocity
fields of certain flows, with probabilistic solutions of the so-called
Schr\""{o}dinger interpolation problem. The latter allows to reconstruct the
microscopic dynamics of the system from the available probability density data,
or the input-output statistics in the phenomenological situations. An issue of
deducing the most likely dynamics (and matter transport) scenario from the
given initial and terminal probability density data, appropriate e.g. for
studying chaos in terms of densities, is here exemplified in conjunction with
Born's statistical interpretation postulate in quantum theory, that yields
stochastic processes which are compatible with the Schr\""{o}dinger picture free
quantum evolution.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 11:44:41 GMT""}]","2015-06-26"
"quant-ph/9710016",,"M. Daoud, Y. Hassouni and M. Kibler","The k-fermions as objects interpolating between fermions and bosons","15 pages, Latex file. Work presented both to the Symposium
  `Symmetries in Science X' (Bregenz, Austria, 13-18 July 1997) and to the
  `VIII International Conference on Symmetry Methods in Physics' (Dubna,
  Russia, 28 July - 2 August 1997)",,,,"quant-ph hep-th math-ph math.MP math.QA q-alg",,"  Operators, refered to as k-fermion operators, that interpolate between boson
and fermion operators are introduced through the consideration of two
noncommuting quon algebras. The deformation parameters for these quon algebras
are roots of unity connected to an integer k. The case k=2 corresponds to
fermions and the limiting case k going to infinity to bosons. Generalized
coherent states and supercoherent states are investigated. The Dirac quantum
phase operator and the Fairlie-Fletcher-Zachos algebra are also considered.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 13:53:07 GMT""}]","2007-05-23"
