"alg-geom/9710011","Andrew Kresch","Andrew Kresch","Canonical rational equivalence of intersections of divisors","LaTeX2e, 14 pages; expanded intro; new first section fixes some
  errors",,,,"alg-geom math.AG",,"  We consider the operation of intersecting with a locally principal Cartier
divisor (i.e., a Cartier divisor which is principal on some neighborhood of its
support). We describe this operation explicitly on the level of cycles and
rational equivalences and as a corollary obtain a formula for rational
equivalence between intersections of two locally principal Cartier divisors.
Such canonical rational equivalence applies quite naturally to the setting of
algebraic stacks. We present two applications: (i) a simplification of the
development of Fulton-MacPherson-style intersection theory on Deligne-Mumford
stacks, and (ii) invariance of a key rational equivalence under a certain group
action (which is used in developing the theory of virtual fundamental classes
via intrinsic normal cones).
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:28:31 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 18:47:17 GMT""}]","2016-08-30"
"hep-th/9710079","Tatsuya Ueno","David B. Fairlie, Tatsuya Ueno","Higher-dimensional Generalisations of the Euler Top Equations","8 pages, Latex, 1 eps.file. Minor corrections, eq.(22) added, version
  to be published in Phys. Lett. A",,"10.1016/S0375-9601(98)00073-5","YITP-97-48, DTP-97-53","hep-th nlin.SI solv-int",,"  Generalisations of the familiar Euler top equations in three dimensions are
proposed which admit a sufficiently large number of conservation laws to permit
integrability by quadratures. The usual top is a classical analogue of the Nahm
equations. One of the examples discussed here is a seven-dimensional Euler top,
which arises as a classical counterpart to the eight-dimensional self-dual
equations which are currently believed to play a role in new developments in
string theory.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 08:38:09 GMT""},{""version"":""v2"",""created"":""Tue, 14 Oct 1997 18:13:29 GMT""},{""version"":""v3"",""created"":""Thu, 22 Jan 1998 15:59:42 GMT""}]","2009-10-30"
"hep-th/9710080","Adriano DI Giacomo","A. Di Giacomo","The dual superconductor picture for confinement","23 pages, 10 figures, contribution to the Workshop ""Confinement,
  Duality and Non-Perturbative Aspects of QCD"", Cambridge (UK), 24 June - 4
  July 1997. Latex file including plenum.sty",,,"IFUP-TH-47/97","hep-th",,"  Evidence is discussed, from lattice simulations, that QCD vacuum is a dual
superconductor in the confining phase, and undergoes a phase transition to
normal at the deconfining temperature.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 09:23:44 GMT""}]","2007-05-23"
"hep-th/9710081","Theodora Ioannidou","Theodora Ioannidou","Soliton Solutions of the Integrable Chiral Model in 2+1 Dimensions","5 pages, LaTex, Proceedings of the Soliton Conference (Kingston 1997)",,,"DTP-97/51","hep-th",,"  We present soliton and soliton-antisoliton solutions for the integrable
chiral model in 2+1 dimensions with nontrivial (elastic) scattering. These
solutions can be obtained either as the limiting cases of the ones already
constructed by Ward or by adapting Uhlenbeck's method.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 10:57:24 GMT""}]","2007-05-23"
"hep-th/9710082","Chris Koehl","JM Figueroa-O'Farrill, C Koehl and B Spence","Supersymmetric Yang-Mills, octonionic instantons and triholomorphic
  curves","26 pages, LaTeX2e (A comment and a corresponding acknowledgement
  added and a reference ammended)","Nucl.Phys. B521 (1998) 419-443","10.1016/S0550-3213(98)00285-5","QMW-PH-97-30","hep-th dg-ga math.DG",,"  In four-dimensional gauge theory there exists a well-known correspondence
between instantons and holomorphic curves, and a similar correspondence exists
between certain octonionic instantons and triholomorphic curves. We prove that
this latter correspondence stems from the dynamics of various dimensional
reductions of ten-dimensional supersymmetric Yang-Mills theory. More precisely
we show that the dimensional reduction of the (5+1)-dimensional supersymmetric
sigma model with hyperkaehler (but otherwise arbitrary) target X to a
four-dimensional hyperkaehler manifold M is a topological sigma model
localising on the space of triholomorphic maps M -> X (or hyperinstantons).
When X is the moduli space M_K of instantons on a four-dimensional hyperkaehler
manifold K, this theory has an interpretation in terms of supersymmetric gauge
theory. In this case, the topological sigma model can be understood as an
adiabatic limit of the dimensional reduction of ten-dimensional supersymmetric
Yang-Mills on the eight-dimensional manifold M x K of holonomy Sp(1) x Sp(1) in
Spin(7), which is a cohomological theory localising on the moduli space of
octonionic instantons.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:51:04 GMT""},{""version"":""v2"",""created"":""Tue, 21 Oct 1997 16:09:54 GMT""}]","2009-10-30"
"hep-th/9710083","Homayoun Hamidian","H. Hamidian","Infra-Red Stable Supersymmetry in Chern-Simons Theories with Matter and
  Quenched Disorder","8 pp., LaTeX. Explanatory remarks and references added. Version to
  appear in Phys. Rev. Lett","Phys.Rev.Lett. 80 (1998) 1389-1392","10.1103/PhysRevLett.80.1389",,"hep-th",,"  We study Abelian Chern-Simons field theories with matter fields and global
SU(N) symmetry in the presence of random weak quenched disorder. In the absence
of disorder these theories possess N=2 supersymmetric fixed points and N=1
supersymmetric fixed lines in the infra-red limit. We show that although the
presence of disorder forbids any supersymmetry of the bare action, infra-red
stable supersymmetric fixed points and fixed lines are realized in the
disorder-averaged effective theories.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:37:13 GMT""},{""version"":""v2"",""created"":""Fri, 19 Dec 1997 14:55:59 GMT""}]","2016-09-06"
"math/9710207",,"John McCuan, David Hoffman","Embedded minimal ends asymptotic to the helicoid",,,,"MSRI 1997-099","math.DG",,"  The ends of a complete embedded minimal surface of {\em finite total
curvature} are well understood (every such end is asymptotic to a catenoid or
to a plane). We give a similar characterization for a large class of ends of
{\em infinite total curvature}, showing that each such end is asymptotic to a
helicoid. The result applies, in particular, to the genus one helicoid and
implies that it is embedded outside of a compact set in ${\mathbb R}^3$.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:00:00 GMT""}]","2009-09-25"
"math/9710222","David Goss","David Goss","Separability, multi-valued operators, and zeroes of L-functions",,,,"ANT-0080","math.NT",,"  Let $\k$ be a global function field in 1-variable over a finite extension of
$\Fp$, $p$ prime, $\infty$ a fixed place of $\k$, and $\A$ the ring of
functions of $\k$ regular outside of $\infty$. Let $E$ be a Drinfeld module or
$T$-module. Then, as in \cite{go1}, one can construct associated characteristic
$p$ $L$-functions based on the classical model of abelian varieties {\it once}
certain auxiliary choices are made. Our purpose in this paper is to show how
the well-known concept of ``maximal separable (over the completion $\k_\infty$)
subfield'' allows one to construct from such $L$-functions certain separable
extensions which are independent of these choices. These fields will then
depend only on the isogeny class of the original $T$-module or Drinfeld module
and $y\in \Zp$, and should presumably be describable in these terms. Moreover,
they give a very useful framework in which to view the ``Riemann hypothesis''
evidence of \cite{w1}, \cite{dv1}, \cite{sh1}. We also establish that an
element which is {\it separably} algebraic over $\k_\infty$ can be realized as
a ``multi-valued operator'' on general $T$-modules. This is very similar to
realizing 1/2 as the multi-valued operator $x\mapsto \sqrt{x}$ on $\C^\ast$.
Simple examples show that this result is false for non-separable elements. This
result may eventually allow a ``two $T$'s'' interpretation of the above
extensions in terms of multi-valued operators on $E$ and certain tensor twists.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:00:00 GMT""}]","2007-05-23"
"patt-sol/9710004","Mary Silber","Mary Silber and Michael R.E. Proctor","Nonlinear Competition Between Small and Large Hexagonal Patterns","4 pages, RevTex, revised, to appear in Phys. Rev. Lett",,"10.1103/PhysRevLett.81.2450",,"patt-sol nlin.PS",,"  Recent experiments by Kudrolli, Pier and Gollub on surface waves,
parametrically excited by two-frequency forcing, show a transition from a small
hexagonal standing wave pattern to a triangular ``superlattice'' pattern. We
show that generically the hexagons and the superlattice wave patterns bifurcate
simultaneously from the flat surface state as the forcing amplitude is
increased, and that the experimentally-observed transition can be described by
considering a low-dimensional bifurcation problem. A number of predictions come
out of this general analysis.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 20:19:50 GMT""},{""version"":""v2"",""created"":""Fri, 14 Aug 1998 20:09:39 GMT""}]","2009-10-30"
"patt-sol/9710005","Stephen W. Morris","Zahir A. Daya, V.B. Deyirmenjian, Stephen W. Morris and John R. de
  Bruyn","Annular electroconvection with shear","12 preprint pages, 3 figures in 2 parts each. For more info, see
  http://mobydick.physics.utoronto.ca","Physical Review Letters, vol 80, p. 964 (1998).","10.1103/PhysRevLett.80.964",,"patt-sol cond-mat.soft nlin.PS physics.flu-dyn",,"  We report experiments on convection driven by a radial electrical force in
suspended annular smectic A liquid crystal films. In the absence of an
externally imposed azimuthal shear, a stationary one-dimensional (1D) pattern
consisting of symmetric vortex pairs is formed via a supercritical transition
at the onset of convection. Shearing reduces the symmetries of the base state
and produces a traveling 1D pattern whose basic periodic unit is a pair of
asymmetric vortices. For a sufficiently large shear, the primary bifurcation
changes from supercritical to subcritical. We describe measurements of the
resulting hysteresis as a function of the shear at radius ratio $\eta \sim
0.8$. This simple pattern forming system has an unusual combination of
symmetries and control parameters and should be amenable to quantitative
theoretical analysis.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:46:25 GMT""}]","2009-10-30"
"physics/9710010","Bogdan Morariu","Bogdan Morariu","Path Integral Quantization of the Symplectic Leaves of the SU(2)*
  Poisson-Lie Group","24 pages, LaTeX, no figures, full postscript available from
  http://phyweb.lbl.gov/theorygroup/papers/40890.ps","Int.J.Mod.Phys.A14:919-936,1999","10.1142/S0217751X99000452","LBL-40890, UCB-PTH-97/50","math-ph hep-th math.MP math.QA",,"  The Feynman path integral is used to quantize the symplectic leaves of the
Poisson-Lie group SU(2)*. In this way we obtain the unitary representations of
U_q(su(2)). This is achieved by finding explicit Darboux coordinates and then
using a phase space path integral. I discuss the *-structure of SU(2)* and give
a detailed description of its leaves using various parametrizations and also
compare the results with the path integral quantization of spin.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 02:03:44 GMT""}]","2014-11-18"
"q-alg/9710013","Guillermo Moreno","R. Guillermo Moreno","The zero divisors of the Cayley-Dickson algebras over the real numbers","plain tex, 31 pages",,,,"q-alg math.QA",,"  In this paper we describe algebraically the zero divirsors of the Cayley-
Dickson algebras $\a_{n}=\erre^{2^n}$ for $n \ge 4$ over the real numbers.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 20:09:36 GMT""}]","2007-05-23"
"quant-ph/9710030","Pavel Exner","Pavel Exner and Petr Seba","Probability current tornado loops in three-dimensional scattering","A RevTeX file, 4 pages, with 3 ps figures","Phys.Lett. A245 (1998) 35-39","10.1016/S0375-9601(98)00366-1",,"quant-ph cond-mat",,"  We consider scattering of a three-dimensional particle on a finite family of
delta potentials. For some parameter values the scattering wavenctions exhibit
nodal lines in the form of closed loops, which may touch but do not entangle.
The corresponding probability current forms vortical singularities around these
lines; if the scattered particle is charged, this gives rise to magnetic flux
loops. The conclusions extend to scattering on hard obstacles or smooth
potentials.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 13:17:38 GMT""}]","2007-05-23"
