"alg-geom/9704008","Antonella Grassi","A. Grassi","Divisors on elliptic Calabi-Yau 4-folds and the superpotential in
  F-theory, I","Reference added; 34 pages with 7 figures AmS-TeX version 2.1",,"10.1016/S0393-0440(98)00004-7",,"alg-geom hep-th math.AG",,"  Each smooth elliptic Calabi-Yau 4-fold determines both a three-dimensional
physical theory (a compactification of ``M-theory'') and a four-dimensional
physical theory (using the ``F-theory'' construction). A key issue in both
theories is the calculation of the ``superpotential''of the theory. We propose
a systematic approach to identify these divisors, and derive some criteria to
determine whether a given divisor indeed contributes. We then apply our
techniques in explicit examples, in particular, when the base B of the elliptic
fibration is a toric variety or a Fano 3-fold. When B is Fano, we show how
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for the Calabi-Yau 4-fold X. This naturally leads to certain transitions
of X, that is birational transformations to a singular model (where the image
of D no longer contributes) as well as certain smoothings of the singular
model. If a smoothing exists, then the Hodge numbers change. We speculate that
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for X, also in M-theory. In fact we show that this is a consequence of
the (log)-minimal model algorithm in dimension 4, which is still conjectural in
its generality, but it has been worked out in various cases, among which toric
varieties.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:12:16 GMT""},{""version"":""v2"",""created"":""Sun, 13 Apr 1997 15:03:51 GMT""},{""version"":""v3"",""created"":""Mon, 16 Feb 1998 20:54:17 GMT""}]","2009-10-30"
"hep-ph/9704296","Institute for Theoretical Physics","Xiao-Jun Wang and Mu-Lin Yan","Chiral Perturbation Theory and U(3)_L\times U(3)_R Chiral Theory of
  Mesons","20 pages, Standard LaTex file, no fingers","J.Phys.G24:1077-1088,1998","10.1088/0954-3899/24/6/003","IC/IR/97/15","hep-ph",,"  We examine low energy limit of $U(3)_L\times U(3)_R$ chiral theory of mesons
through integrating out fields of vector and axial-vector mesons. The effective
lagrangian for pseudoscalar mesons at $O(p^4)$ has been obtained, and five low
energy coupling constants $L_i(i=1,2,3,9,10)$ have been revealed. They are in
good agreement with the results of CHPT's at $\mu \sim m_\rho$.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 13:33:18 GMT""},{""version"":""v2"",""created"":""Sun, 14 Jun 1998 10:24:04 GMT""}]","2008-11-26"
"hep-ph/9704301",,"Yu.A.Simonov (ITEP, Moscow)","Theory of Light Quarks in the Confining Vacuum","54 pages, LaTeX, no figures","Phys.Atom.Nucl. 60 (1997) 2069-2093; Yad.Fiz. 60 (1997) 2252-2276",,"ITEP-PH-97-4","hep-ph",,"  The light quark propagation in the confining vacuum, described by an
(infinite) set of gauge-invariant vacuum correlators, is studied in detail. To
keep gauge invariance at each step the system of light quark and heavy
antiquark is considered, and the nonlinear equations are written explicitly for
the quark propagator in the limit of large $N_c$. For the lowest (Gaussian)
correlator the system is studied in various approximations, and the
relativistic WKB method is used to demonstrate the scalar confining interaction
of light quarks, which implies chiral symmetry breaking. The chiral condensate
is estimated by the relativistic WKB method, and connection to the density of
global zero modes is clarified. The higher even order correlators are shown to
yield the same properties of scalar confining interaction for light quarks. No
attempt was made to solve the obtained nonlinear equations numerically, but the
qualitative conclusion on connection between confinement and chiral symmetry
breaking is drawn, and an estimate of the chiral condensate is performed.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 12:05:13 GMT""}]","2007-05-23"
"hep-th/9704082","Amir Masoud Ghezelbash","A. M. Ghezelbash, V. Karimipour","Global Conformal Invariance in D-dimensions and Logarithmic Correlation
  Functions","9 pages, LaTeX, some misprints are corrected, to be published in
  Phys. Lett. B","Phys.Lett. B402 (1997) 282-289","10.1016/S0370-2693(97)00459-0",,"hep-th",,"  We define transformation of multiplets of fields (Jordan cells) under the
D-dimensional conformal group, and calculate two and three point functions of
fields, which show logarithmic behaviour. We also show how by a formal
differentiation procedure, one can obtain n-point function of logarithmic field
theory from those of ordinary conformal field theory.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 23:49:19 GMT""},{""version"":""v2"",""created"":""Thu, 17 Apr 1997 22:57:08 GMT""}]","2009-10-30"
"hep-th/9704085",,"N.P.Chitaia, S.A.Gogilidze and Yu.S.Surovtsev","Second-Class Constraints and Local Symmetries","17 pages, LaTex; Communication of Joint Institute for Nuclear
  Research E2-96-234, Dubna, 1996",,,,"hep-th",,"  In the framework of the generalized Hamiltonian formalism by Dirac, the local
symmetries of dynamical systems with first- and second-class constraints are
investigated. For theories with an algebra of constraints of special form (to
which a majority of the physically interesting theories belongs) the method of
constructing the generator of local-symmetry transformations is obtained from
the requirement of the quasi-invariance of an action. It is proved that
second-class constraints do not contribute to the transformation law of the
local symmetry which entirely is stipulated by all the first-class constraints.
It is thereby shown that degeneracy of special form theories with the first-
and second-class constraints is due to their quasi-invariance under
local-symmetry transformations.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:07:47 GMT""}]","2007-05-23"
"hep-th/9704086","Edi Halyo","Edi Halyo","A Proposal for the Wrapped Transverse Five Brane in M(atrix) Theory","7 pages in phyzzx",,,,"hep-th",,"  We propose a state in 5+1 super Yang-Mills theory which corresponds to the
wrapped transverse five brane of M(atrix) theory on $T^5$. This state is a
magnetic flux quantized in units of $1/g_6^2$ through a plane defined by one
side of the box and a new direction which is not manifest.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 20:30:47 GMT""}]","2007-05-23"
"hep-th/9704087","Richard A. Corrado","David Berenstein, Richard Corrado, and Jacques Distler","On the Moduli Spaces of M(atrix)-Theory Compactifications","19 pages LaTeX2e, using utarticle.cls (included),array.sty,
  amsmath.sty, amsfonts.sty. Bibtex style: utphys.bst (.bbl file included)","Nucl.Phys.B503:239-255,1997","10.1016/S0550-3213(97)00427-6","UTTG-08-97","hep-th",,"  By identifying the moduli space of coupling constants in the SYM description
of toroidal compactifications of M(atrix)-Theory, we construct the M(atrix)
description of the moduli spaces of Type IIA string theory compactified on T^n.
Addition of theta terms to the M(atrix) SYM produces the shift symmetries
necessary to recover the correct global structure of the moduli spaces. Up to
n=3, the corresponding BPS charges transform under the proper representations
of the U-duality groups. For n=4,5, if we make the ansatz of including the BPS
charges corresponding to the wrapped M-theory 5-brane, the correspondence with
Type IIA continues to hold. However, for n=6, we find additional charges for
which there are no obvious candidates in M(atrix)-Theory.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 21:00:34 GMT""}]","2010-11-19"
"hep-th/9704088","Randall Guedes Teixeira","B. M. Pimentel and R. G. Teixeira","Generalization of the Hamilton-Jacobi approach for higher order singular
  systems","Latex, 19 pages, no figures","Nuovo Cim. B113 (1998) 805-820",,,"hep-th",,"  We generalize the Hamilton-Jacobi formulation for higher order singular
systems and obtain the equations of motion as total differential equations. To
do this we first study the constraint structure present in such systems.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 21:06:08 GMT""}]","2007-05-23"
"hep-th/9704089","Micha Berkooz","Micha Berkooz, Moshe Rozali and Nathan Seiberg","Matrix Description of M-theory on $T^4$ and $T^5$","10 pages, Harvmac. Major Changes","Phys.Lett.B408:105-110,1997","10.1016/S0370-2693(97)00800-9","UTTG-12-97, RU-97-23","hep-th",,"  We study the Matrix theory description of M-theory compactified on $T^4$ and
$T^5$. M-theory on $T^4$ is described by the six dimensional (2,0) fixed point
field theory compactified on a five torus, $\widetilde T^5$. For M-theory on
$T^5$ we suggest the existence of a new theory which is compactified on a
$\widetilde T^5$. The IR description of this theory is given by the (2,0)
theory with a compactified moduli space. This new theory appears to be a new
kind of a non-critical string theory. Clearly, these two descriptions differ
from the ``standard'' Super-Yang-Mills on the dual torus prescription.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 22:08:14 GMT""},{""version"":""v2"",""created"":""Thu, 8 May 1997 18:39:17 GMT""}]","2009-09-15"
"hep-th/9704090","Anton Zabrodin","I.Krichever, P.Wiegmann and A.Zabrodin","Elliptic solutions to difference non-linear equations and related
  many-body problems","22 pages, Latex with emlines2.sty","Commun.Math.Phys. 193 (1998) 373-396","10.1007/s002200050333",,"hep-th",,"  We study algebro-geometric (finite-gap) and elliptic solutions of fully
discretized KP or 2D Toda equations. In bilinear form they are Hirota's
difference equation for $\tau$-functions. Starting from a given algebraic
curve, we express the $\tau$-function and the Baker-Akhiezer function in terms
of the Riemann theta function. We show that the elliptic solutions, when the
$\tau$-function is an elliptic polynomial, form a subclass of the general
algebro-geometric solutions. We construct the algebraic curves of the elliptic
solutions. The evolution of zeros of the elliptic solutions is governed by the
discrete time generalization of the Ruijsenaars-Schneider many body system. The
zeros obey equations which have the form of nested Bethe-Ansatz equations,
known from integrable quantum field theories. We discuss the Lax representation
and the action-angle-type variables for the many body system. We also discuss
elliptic solutions to discrete analogues of KdV, sine-Gordon and 1D Toda
equations and describe the loci of the zeros.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 00:59:55 GMT""}]","2009-10-30"
"hep-th/9704091","Ricardo Moritz Cavalcanti","N. Bralic (PUC-Chile), R. M. Cavalcanti (PUC-Rio), C. A. A. de
  Carvalho (UFRJ) and P. Donatis (UFRJ)","The weakly disordered 2D electron gas in a magnetic field","9 pages, 4 figures, REVTEX. Last paragraph of section IV removed,
  references updated",,,,"hep-th cond-mat",,"  We study a relativistic two-dimensional free electron gas in the presence of
a uniform external magnetic field and a random static scalar potential. We
compute the expectation values of the charge density and the conductivity
tensor, averaged over the random potential in first order perturbation theory.
We discuss the effect of a zero vs. finite range correlation length of the
random potential.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 02:17:12 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jul 1999 16:23:53 GMT""}]","2008-02-03"
"hep-th/9704092",,"Masato Hisakado","Five-Dimensional Gauge Theories and Whitham-Toda Equation","9 pages, LaTex, section 3 and 4 are changed","Mod.Phys.Lett. A12 (1997) 2183-2192","10.1142/S0217732397002235",,"hep-th",,"  The five-dimensional supersymmetric SU(N) gauge theory is studied in the
framework of the relativistic Toda chain. This equation can be embedded in
two-dimensional Toda lattice hierarchy. This system has the conjugate
structure. This conjugate structure corresponds to the charge conjugation.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 06:29:17 GMT""},{""version"":""v2"",""created"":""Tue, 17 Jun 1997 05:55:55 GMT""}]","2009-10-30"
"hep-th/9704094","Tim Morris","Marco D'Attanasio and Tim R. Morris","Large N and the renormalization group","13 pages, uses harvmac; Added: one page with further clarification of
  the main results, discussion of earlier work, and new references. To be
  published in Phys. Lett. B","Phys.Lett. B409 (1997) 363-370","10.1016/S0370-2693(97)00866-6",,"hep-th cond-mat hep-lat hep-ph",,"  In the large N limit, we show that the Local Potential Approximation to the
flow equation for the Legendre effective action, is in effect no longer an
approximation, but exact - in a sense, and under conditions, that we determine
precisely. We explain why the same is not true for the Polchinski or Wilson
flow equations and, by deriving an exact relation between the Polchinski and
Legendre effective potentials (that holds for all N), we find the correct large
N limit of these flow equations. We also show that all forms (and all parts) of
the renormalization group are exactly soluble in the large N limit, choosing as
an example, D dimensional O(N) invariant N-component scalar field theory.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 14:07:51 GMT""},{""version"":""v2"",""created"":""Fri, 18 Apr 1997 13:15:41 GMT""},{""version"":""v3"",""created"":""Fri, 27 Jun 1997 13:40:22 GMT""}]","2009-10-30"
"hep-th/9704095","Klaus Behrndt","K. Behrndt, G. Lopes Cardoso and I. Gaida","Quantum N = 2 Supersymmetric Black Holes in the S-T Model","30 pages, LaTeX","Nucl.Phys. B506 (1997) 267-292","10.1016/S0550-3213(97)00461-6","CERN-TH/97-61, HUB-EP-97/23, UPR-746-T","hep-th",,"  We consider axion-free quantum corrected black hole solutions in the context
of the heterotic S-T model with half the N=2, D=4 supersymmetries unbroken. We
express the perturbatively corrected entropy in terms of the electric and
magnetic charges in such a way, that target-space duality invariance is
manifest. We also discuss the microscopic origin of particular quantum black
hole configurations. We propose a microscopic interpretation in terms of a gas
of closed membranes for the instanton corrections to the entropy.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 12:25:37 GMT""}]","2009-10-30"
"math/9704203",,"Ilya Kapovich","A non-quasiconvexity embedding theorem for hyperbolic groups","AMS-TeX, 29 pages; figures are included is the Post-Script file",,,"MAGNUS preprint #97-04-11A","math.GR",,"  We show that if $G$ is a non-elementary torsion-free word hyperbolic group
then there exists another word hyperbolic group $G^*$, such that $G$ is a
subgroup of $G^*$ but $G$ is not quasiconvex in $G^*$.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9704018","Volker Koch","Y. Kluger, V. Koch, J. Randrup, and X.N. Wang","Dileptons from Disoriented Chiral Condensates","22 pages, 8 figures, uses epsf-style","Phys.Rev.C57:280-290,1998","10.1103/PhysRevC.57.280","LBNL-40175","nucl-th hep-ph",,"  Disoriented chiral condensates or long wavelength pionic oscillations and
their interaction with the thermal environment can be a significant source of
dileptons. We calculate the yield of such dilepton production within the linear
sigma model, both in a quantal mean-field treatment and in a semi-classical
approximation. We then illustrate the basic features of the dilepton spectrum
in a schematic model. We find that dilepton yield with invariant mass near and
below $2m_{\pi}$ due to the soft pion modes can be up to two orders of
magnitude larger than the corresponding equilibrium yield.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 21:52:23 GMT""}]","2016-09-08"
"nucl-th/9704019","Douglas Murray","V.V. Flambaum (1 and 2), D.W. Murray (1) and S.R. Orton (1) ((1)
  University of New South Wales, Sydney, (2) ITAMP, Harvard University and the
  Smithsonian Astrophysical Observatory)","Time invariance violating nuclear electric octupole moments","Uses RevTex, 25 pages","Phys.Rev.C56:2820-2829,1997","10.1103/PhysRevC.56.2820",,"nucl-th physics.atom-ph",,"  The existence of a nuclear electric octupole moment (EOM) requires both
parity and time invariance violation. The EOMs of odd $Z$ nuclei that are
induced by a particular T- and P-odd interaction are calculated. We compare
such octupole moments with the collective EOMs that can occur in nuclei having
a static octupole deformation. A nuclear EOM can induce a parity and time
invariance violating atomic electric dipole moment, and the magnitude of this
effect is calculated. The contribution of a nuclear EOM to such a dipole moment
is found, in most cases, to be smaller than that of other mechanisms of atomic
electric dipole moment production.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 06:38:28 GMT""}]","2008-11-26"
"nucl-th/9704020","T. S. Kosmas","T.S. Kosmas, Amand Faessler and J.D. Vergados","The new limits of the neutrinoless $(\mu^-,e^-)$ conversion branching
  ratio","10 pages (LATEX-file), 3 tables and 2 PostScript figures
  (Fig.1(a)-(c),Fig.2(a)-(c)) included. J. Phys. G, to be published","J.Phys.G23:693-703,1997","10.1088/0954-3899/23/6/008",,"nucl-th",,"  The nuclear physics dependence of the exotic $(\mu^-,e^-)$ conversion
branching ratio $R_{\mu e^-}$ for the experimentally most interesting nuclei
$^{208}Pb$ and $^{48}Ti$, is investigated in various nuclear models. The
results thus obtained are combined with the new experimental limits extracted
at PSI for these nuclei to put bounds on the elementary particle parameters
entering $R_{\mu e^-}$ such as intermediate neutrino masses and mixing angles
as well as relevant parameters of intermediate supersymmetric particles (masses
and mixing of s-fermions and neutralinos).
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:35:28 GMT""}]","2008-11-26"
"nucl-th/9704021","T. S. Kosmas","T.S. Kosmas, Amand Faessler, F. Simkovic and J.D. Vergados","State-by-state calculations for all channels of the exotic $(\mu^-,e^-)$
  conversion process","16 pages (LATEX-file) including 6 tables, 2 PostScript Figures
  included (Fig1(a)-(d), Fig2(a)-(b)), Refs. 35. Phys. Rev. C, accepted","Phys.Rev.C56:526-534,1997","10.1103/PhysRevC.56.526",,"nucl-th",,"  The coherent and incoherent channels of the neutrinoless muon to electron
conversion in nuclei, $\mu^- (A,Z) \to e^- (A,Z)^*$, are studied throughout the
periodic table. The relevant nuclear matrix elements are computed by explicitly
constructing all possible final nuclear states in the context of the
quasi-particle RPA. The obtained results are discussed in view of the existing
at PSI and TRIUMF experimental data for $^{48}Ti$ and $^{208}Pb$ and compared
with results obtained by: (i) shell model sum-rule techniques (ii) nuclear
matter mapped into nuclei via a local density approximation and (iii) earlier
similar calculations.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:56:03 GMT""}]","2016-09-08"
"physics/9704010","Joel Lebowitz","Joel L. Lebowitz and Alexander Rokhlenko","Current-Voltage Characteristic of a Partially Ionized Plasma in
  Cylindrical Geometry","TeX file, 20 pages, 4 figures available upon request. email:
  lebowitz@math.rutgers.edu, rokhlenk@math.rutgers.edu","Phys. Plasmas 3 (11), 4229-4238, 1996","10.1063/1.871518",,"physics.plasm-ph",,"  The properties of a partially ionized plasma in a long cylindrical tube
subject to a uniform axial electric field are investigated. The plasma is
maintained by an external ionizing source balanced by bulk and surface
recombinations. Collisions between neutrals, whose density greatly exceeds the
density of charged particles, and of neutrals with ions are sufficiently
effective for their velocity distribution to be close to a Maxwellian with the
same uniform temperature, independent of the external field. The behavior of
the plasma is described by a collisional two-fluid scheme with charge
neutrality in the interior of the tube. Approximate nonlinear equations for the
hydrodynamical moments are obtained from a Boltzmann equation in which
electron-neutral, electron-ion and electron-electron collisions are all
important. It is found that under certain circumstances the current, and the
temperature of the electrons undergo a drastic change, with hysteresis, as the
electric field is varied.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 17:19:06 GMT""}]","2009-10-30"
"physics/9704011","Jeremy Kepner","Jeremy Kepner (Princeton), Scott Parker (CU Boulder) and Viktor Decyk
  (UCLA)","Simulating Plasma Turbulence in Tokamaks","To appear in SIAM News (Volume 30). 13 pages including 5 figures","SIAM News Vol. 30 #4 p1 (May 1997)",,,"physics.plasm-ph physics.comp-ph",,"  A challenging and fundamental research problem is the better understanding
and control of the turbulent transport of heat in present-day tokamak fusion
experiments. Recent developments in numerical methods along with enormous gains
in computing power have made large-scale simulations an important tool for
improving our understanding of this phenomena. Simulating this highly
non-linear behavior requires solving for the perturbations of the phase space
distribution function in five dimensions. We use a particle-in-cell approach to
solve the equations. The code has been parallelized for a variety of
architectures (C90, CM-5, T3D) using a 1-D domain decomposition along the
toroidal axis, for which the number of particles in each cell remains
approximately constant. The quasi-uniform distribution of particles, which
minimizes load imbalance, coupled with the relatively small movement of
particles across cells, which minimizes communications, makes this problem
ideally suited to massively parallel architectures. We present the performance
of the program for different numbers of processors and problem sizes. In
addition, we discuss some recent scientific results obtained from the code.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 22:09:40 GMT""}]","2008-02-03"
"physics/9704012","Tohrut Takahashi","P.Chen (Stanford Linear Accelerator), T.Ohgaki (Hiroshima university),
  A.Spitkovsky (University of California at Berkeley), T.Takahashi (Hiroshima
  University) and K.Yokoya (National Laboratory for High Energy Physics)","Simulations of the Interaction Region in a Photon-Photon Collider","16 pages, 6 eps figures, use epsf.sty","Nucl.Instrum.Meth. A397 (1997) 458-464","10.1016/S0168-9002(97)00795-X","SLAC-PUB 7426, HUPD-9707","physics.acc-ph",,"  The status and initial performance of a simulation program CAIN for
interaction region of linear colliders is described. The program is developed
to be applicable for e+e-, e-e-, e-gamma and gamma-gamma linear colliders. As
an example of an application, simulation of a gamma-gamma collider option of
NLC is reported.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 06:25:27 GMT""}]","2009-10-30"
"physics/9704013","Saroj Kumar Sahu","K. Ueno, S.K. Sahu, K.C. Peng, W.S. Hou, C.H. Wang","Detection of Minimum-Ionizing Particles and Nuclear Counter Effect with
  Pure BGO and BSO Crystals with Photodiode Read-out","18 pages, including 5 figures; LaTeX and EPS","Nucl.Instrum.Meth. A396 (1997) 103-109","10.1016/S0168-9002(97)00791-2",,"physics.ins-det hep-ex nucl-ex",,"  Long BGO (Bismuth Germanate) and BSO (Bismuth Silicate) crystals coupled with
silicon photodiodes have been used to detect minimum-ionizing particles(MIP).
With a low noise amplifier customized for this purpose, the crystals can detect
MIPs with an excellent signal-to-noise ratio. The NCE(Nuclear Counter Effect}
is also clearly observed and measured. Effect of full and partial wrapping of a
reflector around the crystal on light collection is also studied.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 03:36:21 GMT""}]","2009-10-30"
"q-alg/9704009","Joanna Gonera","Emil Kowalczyk (University of Lodz, Poland)","Lie Bialgebra Structures on Twodimensional Galilei Algebra and their
  Lie-Poisson Counterparts","LaTeX, Pages 18",,,,"q-alg math.QA",,"  All bialgebra structures on twodimensional Galilei algebra are classified.
The corresponding Lie-Poisson structures on Galilei group are found.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 17:10:32 GMT""}]","2008-02-03"
"q-alg/9704010","Omer Faruk Dayi","O. F. Dayi","Quantum Hall Effect Wave Functions as Cyclic Representations of
  U_q(sl(2))","Version to appear in Jour. Phys. A","J. Phys. A: Math. Gen. 31 (1998) 3523","10.1088/0305-4470/31/15/016",,"q-alg cond-mat.mes-hall math.QA",,"  Quantum Hall effect wave functions corresponding to the filling factors
1/2p+1, 2/2p+1, ..., 2p/2p+1, 1, are shown to form a basis of irreducible
cyclic representation of the quantum algebra U_q(sl(2)) at q^{2p+1}=1. Thus,
the wave functions \Psi_{P/Q} possessing filling factors P/Q<1 where Q is odd
and P, Q are relatively prime integers are classified in terms of U_q(sl(2)).
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 06:50:47 GMT""},{""version"":""v2"",""created"":""Tue, 17 Feb 1998 14:43:11 GMT""}]","2009-10-30"
"quant-ph/9704022","Dr. Luca Salasnich, . D.","Luca Salasnich","On the Torus Quantization of Two Anyons with Coulomb Interaction in a
  Magnetic Field","latex, 10 pages, to be published in Modern Physics Letters B","Mod.Phys.Lett. B11 (1997) 269-273","10.1142/S0217984997000335","DFPD/97/TH/15, Universita` di Padova","quant-ph chao-dyn cond-mat hep-th nlin.CD",,"  We study two anyons with Coulomb interaction in a uniform magnetic field $B$.
By using the torus quantization we obtain the modified Landau and Zeeman
formulas for the two anyons. Then we derive a simple algebraic equation for the
full spectral problem up to the second order in $B$.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 20:29:32 GMT""}]","2009-10-30"
"quant-ph/9704023","Ricardo Moritz Cavalcanti","R. M. Cavalcanti (PUC-Rio)","Comment on ``Resonant Spectra and the Time Evolution of the Survival and
  Nonescape Probabilities''","1 page, REVTEX, submitted to Phys. Rev. Lett","Phys.Rev.Lett. 80 (1998) 4353","10.1103/PhysRevLett.80.4353",,"quant-ph",,"  In [G. Garcia-Calderon, J. L. Mateos, and M. Moshinsky, Phys. Rev. Lett. 74,
337 (1995)], the time evolution of the quantum decay of a state initially
located within an interaction region of finite range was investigated. In
particular, it was shown that the survival and nonescape probabilities behave
differently at very large times. The purpose of this Comment is to show that
they have the same asymptotic behavior.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 03:11:55 GMT""}]","2009-10-30"
