"alg-geom/9702014","Sergei Merkulov","Yu.I.Manin and S.A.Merkulov","Semisimple Frobenius (super)manifolds and quantum cohomology of $P^r$","AMSTeX, 56 pages","Topol. Methods in Nonlinear Analysis 9 (1997), 107-161",,,"alg-geom dg-ga math.AG math.DG",,"  We introduce and study a superversion of Dubrovin's notion of semisimple
Frobenius manifolds. We establish a correspondence between semisimple Frobenius
(super)manifolds and special solutions to the (supersymmetric) Schlesinger
equations. Finally, we calculate the Schlesinger initial conditions for
solutions describing quantum cohomology of projective spaces.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:03:33 GMT""}]","2008-02-03"
"hep-th/9702153","Finn Larsen","Finn Larsen","A String Model of Black Hole Microstates","12 pages, latex. Units corrected","Phys.Rev. D56 (1997) 1005-1008","10.1103/PhysRevD.56.1005","UPR-735-T","hep-th",,"  The statistical mechanics of black holes arbitrarily far from extremality is
modeled by a gas of weakly interacting strings. As an effective low energy
description of black holes the model provides a number of highly non-trivial
consistency checks and predictions. Speculations on a fundamental origin of the
model suggest surprising simplifications in non-perturbative string theory,
even in the absence of supersymmetry.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 23:19:17 GMT""},{""version"":""v2"",""created"":""Mon, 24 Feb 1997 22:30:20 GMT""},{""version"":""v3"",""created"":""Mon, 26 May 1997 14:22:50 GMT""}]","2009-10-30"
"hep-th/9702156","Brian Dolan","Brian P. Dolan","Renormalisation Group Flow and Geodesics in the O(N) Model for Large N","24 pages, plain TeX, 6 figures. Includes an expanded discussion of
  the metric and some minor corrections","Nucl.Phys. B528 (1998) 553-576","10.1016/S0550-3213(98)00457-X",,"hep-th cond-mat",,"  A metric is introduced on the space of parameters (couplings) describing the
large N limit of the O(N) model in Euclidean space. The geometry associated
with this metric is analysed in the particular case of the infinite volume
limit in 3 dimensions and it is shown that the Ricci curvature diverges at the
ultra-violet (Gaussian) fixed point but is finite and tends to constant
negative curvature at the infra-red (Wilson-Fisher) fixed point. The
renormalisation group flow is examined in terms of geodesics of the metric. The
critical line of cross-over from the Wilson-Fisher fixed point to the Gaussian
fixed point is shown to be a geodesic but all other renormalisation group
trajectories, which are repulsed from the Gaussian fixed point in the
ultra-violet, are not geodesics. The geodesic flow is interpreted in terms of a
maximisation principle for the relative entropy.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:51:36 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 1997 16:59:54 GMT""}]","2009-10-30"
"hep-th/9702157","Peter Varga","Peter Varga","Finite Groups and Quantum Yang-Baxter Equation","revised version, some errors were corrected, 3 pages","Lett.Math.Phys. 43 (1998) 295-298",,,"hep-th",,"  We construct integrable modifications of 2d lattice gauge theories with
finite gauge groups.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 15:44:27 GMT""},{""version"":""v2"",""created"":""Fri, 25 Jul 1997 12:36:56 GMT""}]","2008-02-03"
"math/9702229","Andrei Gabrielov","Andrei Gabrielov (Purdue University)","Multiplicity of a zero of an analytic function on a trajectory of a
  vector field",,,,"FI-ST1997-002","math.CV",,"  Let P(x) be a germ at the origin of an analytic function in C^n, where x =
(x_1,..., x_n), and let
  \xi = \xi_1(x) d/dx_1 + ... + \xi_n(x) d/dx_n
  be a germ at the origin of an analytic vector field. Suppose that \xi(0) !=
0, and let \gamma be a trajectory of \xi through the origin. Suppose that
P|_\gamma /\equiv 0, and let \mu(P|_\gamma) be the multiplicity of a zero of
P|_\gamma at the origin. Let
  \xi P = \xi_1 dP/dx_1 + ... + \xi_n dP/dx_n
  be derivative of P in the direction of \xi, and let \xi^kP be the kth
iteration of this derivative.
  We give a formula (Theorem 1) for \mu(P|_\gamma) in terms of the Euler
characteristic of the Milnor fibers defined by a deformation of P, \xi P, ...,
\xi^{n-1}P . For a polynomial P of degree p and a vector field \xi with
polynomial coefficients of degree q, this allows one to compute \mu(P|_\gamma)
in purely algebraic terms (Theorem 2), and to give an estimate (Theorem 3) for
\mu(P|_\gamma) in terms of n, p, q, single exponential in n and polynomial in p
and q. This estimate improves previous results which were doubly exponential in
n.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-ex/9702002","Paul Knowles","P.E. Knowles, A. Adamczak, J.M. Bailey, G.A. Beer, J.L. Beveridge,
  M.C. Fujiwara, T.M. Huber, R. Jacot-Guillarmod, P. Kammel, S.K. Kim, A.R.
  Kunselman, G.M. Marshall, C.J. Martoff, G.R. Mason, F. Mulhauser, A. Olin, C.
  Petitjean, T.A. Porcelli, and J. Zmeskal","Muon Catalyzed Fusion in 3 K Solid Deuterium","19 pages, 11 figures, submitted to PRA Feb 20, 1997","Phys.Rev. A56 (1997) 1970-1982","10.1103/PhysRevA.56.1970",,"nucl-ex",,"  Muon catalyzed fusion in deuterium has traditionally been studied in gaseous
and liquid targets. The TRIUMF solid-hydrogen-layer target system has been used
to study the fusion reaction rates in the solid phase of D_2 at a target
temperature of 3 K. Products of two distinct branches of the reaction were
observed; neutrons by a liquid organic scintillator, and protons by a silicon
detector located inside the target system. The effective molecular formation
rate from the upper hyperfine state of $\mu d$ and the hyperfine transition
rate have been measured: $\tilde{\lambda}_(3/2)=2.71(7)_{stat.}(32)_{syst.}
\mu/s$, and $\tilde{\lambda}_{(3/2)(1/2)} =34.2(8)_{stat.}(1)_{syst.} \mu /s$.
The molecular formation rate is consistent with other recent measurements, but
not with the theory for isolated molecules. The discrepancy may be due to
incomplete thermalization, an effect which was investigated by Monte Carlo
calculations. Information on branching ratio parameters for the s and p wave
d+d nuclear interaction has been extracted.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 18:58:05 GMT""}]","2009-10-30"
"nucl-th/9702045","Carlos Bertulani","A.B. Balantekin (University of Wisconsin, Department of Physics,
  Madison, WI, USA) C. A. Bertulani (Instituto de Fisica, Universidade Federal
  do Rio de Janeiro, Rio de Janeiro, Brazil) M.S. Hussein (Universidade de Sao
  Paulo, Instituto de Fisica, Sao Paulo, Brazil)","Vacuum polarization Contribution to the Astrophysical S-Factor","RevTex, 7 pages, 1 figure; Email: baha@nucth.physics.wisc.edu,
  bertu@if.ufrj.br, hussein@if.usp.br",,,,"nucl-th",,"  We study the effect of vacuum polarization in nuclear reactions of
astrophysical interest. This effect has the opposite sign compared to the
screening by the atomic electrons. It is shown that vacuum polarization further
increases the longstanding differences between the experimental data of
astrophysical nuclear reactions at very low energies and the theoretical
calculations which aim to include electron screening, albeit by a small amount.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 19:45:14 GMT""}]","2007-05-23"
"patt-sol/9702003","David A. Egolf","Reha V. Cakmur, David A. Egolf, Brendan B. Plapp and Eberhard
  Bodenschatz (Laboratory of Atomic and Solid State Physics, Cornell
  University)","Transition from Spatiotemporal Chaos to Ideal Straight Rolls in
  Rayleigh-Benard Convection","4 pages, including 6 inlined figures; submitted to Phys. Rev. Lett;
  See http://milou.msc.cornell.edu for related movies",,,,"patt-sol nlin.PS",,"  For Rayleigh-Benard convection in a square cell with a fluid of Prandtl
number one, we report experimental results on the transition between a
stationary pattern of ideal straight rolls (ISR) and the spatiotemporal chaotic
state of spiral defect chaos (SDC). In contrast to experiments in circular
geometries, we found ISR states below a particular value of the control
parameter and SDC states above this value. By characterizing the pattern with a
global measure, the pattern entropy, we found that the transition from SDC to
ISR showed similarities to phase transitions in equilibrium finite-size
systems.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 23:52:51 GMT""}]","2008-02-03"
"patt-sol/9702004","Kapil Bajaj","Kapil M. S. Bajaj, David S. Cannell and Guenter Ahlers","Competition between Spiral-Defect Chaos and Rolls in Rayleigh-Benard
  Convection","9 pages(RevTeX), 5 jpg figures, To appear as Rapid Communication in
  PRE",,"10.1103/PhysRevE.55.R4869",,"patt-sol nlin.PS",,"  We present experimental results for pattern formation in Rayleigh-Benard
convection of a fluid with a Prandtl number, Pr~ 4. We find that the
spiral-defect-chaos (SDC) attractor which exists for Pr~1 has become unstable.
Gradually increasing the temperature difference from below to well above its
critical value no longer leads to SDC. A sudden jump of temperature difference
from below to above onset causes convection to grow from thermal fluctuations
and does yield SDC. However, the SDC is a transient; it coarsens and forms a
single cell-filling spiral which then drifts toward the cell wall and
disappears.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 02:18:16 GMT""}]","2009-10-30"
"q-alg/9702026",,"J. A. de Azc\'arraga, P.P. Kulish and F. Rodenas","Twisted h-spacetimes and invariant equations","22 pages, plain-LaTex file","Z.Phys.C76:567-576,1997","10.1007/s002880050579","DAMTP/97-7","q-alg hep-th math.QA",,"  We analyze the h-deformations of the Lorentz group and their associated
spacetimes. We prove that they have a twisted character and give explicitly the
twisting matrices. After studying the representations of one of the deformed
spacetime algebras, we discuss the Klein-Gordon operator. It is found that the
h-deformed d'Alembertian has plane wave solutions of the same form as the
standard ones. We also give explicit expressions for the h-gamma matrices
defining the associated Dirac equations.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 11:59:24 GMT""}]","2011-07-26"
"quant-ph/9702040",,"Salvatore De Martino, Silvio De Siena, Fabrizio Illuminati","Theory of controlled quantum dynamics","LaTeX, A4wide, 28 pages, no figures. To appear in J. Phys. A: Math.
  Gen., April 1997","J.Phys.A30:4117-4132,1997","10.1088/0305-4470/30/11/035",,"quant-ph",,"  We introduce a general formalism, based on the stochastic formulation of
quantum mechanics, to obtain localized quasi-classical wave packets as
dynamically controlled systems, for arbitrary anharmonic potentials. The
control is in general linear, and it amounts to introduce additional quadratic
and linear time-dependent terms to the given potential. In this way one can
construct for general systems either coherent packets moving with constant
dispersion, or dynamically squeezed packets whose spreading remains bounded for
all times. In the standard operatorial framework our scheme corresponds to a
suitable generalization of the displacement and scaling operators that generate
the coherent and squeezed states of the harmonic oscillator.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 17:29:04 GMT""}]","2008-11-26"
"quant-ph/9702041","Haiqing Wei","Xin Xue and Haiqing Wei","Superconductive Static Quantum Logic","Latex 4 pages, 4 ps figures",,,,"quant-ph",,"  Superconducting rings with exactly $\Phi _0/2$ magnetic flux threading are
analogous of Ising spins having two degenerate states which can be used to
store binary information. When brought close these rings interact by means of
magnetic coupling. If the interactions are properly tailored, a system of such
superconducting rings can accomplish static quantum logic in the sense that the
states of the rings interpreted as Boolean variables satisfy the desired logic
relations when and only when the whole system is in the ground state. Such
static logic is essential to carry out the static quantum computation [1,2].
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 17:45:56 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jul 1997 02:50:17 GMT""}]","2008-02-03"
"quant-ph/9702042","Maria Vanessa Jimenez de la Vega","A. Cabo, J. L. Lucio and H. Mercado","On Scale Invariance and Anomalies in Quantum Mechanics","15 pp in latex, no figures","Am.J.Phys.66:240,1998","10.1119/1.18852",,"quant-ph",,"  We re-consider the quantum mechanics of scale invariant potentials in two
dimensions. The breaking of scale invariance by quantum effects is analyzed by
the explicit evaluation of the phase shift and the self-adjoint extension
method. We argue that the breaking of scale invariance reported in the
literature for the $\delta$(r) potential, is an example of explicit and not an
anomaly or quantum mechanical symmetry breaking.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 18:53:49 GMT""}]","2014-11-18"
"quant-ph/9702043","Piotr Rozmej","R. Arvieu, P. Rozmej and W. Berej","Time dependent partial waves and vortex rings in the dynamics of wave
  packets","10 pages, LaTeX, 6 postscript figures, submitted to J. Phys. A: Math.
  Gen","J.Phys.A30:5381-5392,1997","10.1088/0305-4470/30/15/023",,"quant-ph",,"  We have found a new class of time dependent partial waves which are solutions
of time dependent Schr\""odinger equation for three dimensional harmonic
oscillator. We also showed the decomposition of coherent states of harmonic
oscillator into these partial waves. This decomposition appears perticularly
convenient for a description of the dynamics of a wave packet representing a
particle with spin when the spin--orbit interaction is present in the
hamiltonian. An example of an evolution of a localized wave packet into a torus
and backwards, for a particular initial conditions is analysed in analytical
terms and shown with a computer graphics.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 08:10:29 GMT""}]","2008-11-26"
"quant-ph/9702044","Piotr Rozmej","P. Rozmej and R. Arvieu and W. Berej","New mechanism of collapse and revival in wave packet dynamics due to
  spin-orbit interaction","10 pages, LaTeX, 7 PS figures (in 6 separate files), to appear in
  Acta Phys. Polon. (Invited lecture at XXXI Zakopane School of Physics,
  Zakopane, Poland, September 3-11, 1996)","Acta Phys.Polon.B28:243-255,1997",,,"quant-ph",,"  The article discusses the properties of time evolution of wave packets in a
few systems. Dynamics of wave packet motion for Rydberg atoms with the
hierarchy of collapses and revivals is briefly reviewed. The main part of the
paper focuses on the new mechanism of quantum reccurrences in wave packet
dynamics. This mechanism can occur (in principle) in any physical system with
strong enough spin-orbit interaction. We discuss here the SPIN_ORBIT PENDULUM
effect that consists in different motions of subpackets possessing different
spin fields and results in oscillations of a fraction of average angular
momentum between spin and ordinary subspaces. The evolution of localized wave
packet into toroidal objects and backwards (for other class of initial
conditions) is also subject to discussion.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:52:04 GMT""}]","2011-04-15"
