"adap-org/9707004","Damian Zanette","D.H. Zanette and A.S. Mikhailov (Fritz-Haber-Institut der
  Max-Planck-Gesellschaft)","Condensation in Globally Coupled Populations of Chaotic Dynamical
  Systems","11 pages, 4 figures, revtex",,"10.1103/PhysRevE.57.276",,"adap-org nlin.AO",,"  The condensation transition, leading to complete mutual synchronization in
large populations of globally coupled chaotic Roessler oscillators, is
investigated. Statistical properties of this transition and the cluster
structure of partially condensed states are analyzed.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:50:27 GMT""}]","2009-10-30"
"nucl-th/9707037",,"H. Attias and Y. Alhassid","The Perturbed Static Path Approximation at Finite Temperature:
  Observables and Strength Functions","37 pages, 8 postscript figures included, RevTex","Nucl.Phys. A625 (1997) 565-597","10.1016/S0375-9474(97)00486-7",,"nucl-th",,"  We present an approximation scheme for calculating observables and strength
functions of finite fermionic systems at finite temperature such as hot nuclei.
The approach is formulated within the framework of the Hubbard-Stratonovich
transformation and goes beyond the static path approximation and the RPA by
taking into account small amplitude time-dependent fluctuations around each
static value of the auxiliary fields. We show that this perturbed static path
approach can be used systematically to obtain good approximations for
observable expectation values and for low moments of the strength function. The
approximation for the strength function itself, extracted by an analytic
continuation from the imaginary-time response function, is not always reliable,
and we discuss the origin of the discrepancies and possible improvements. Our
results are tested in a solvable many-body model.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 20:17:01 GMT""}]","2009-10-30"
"nucl-th/9707038","Vivian Demetriou","P. Demetriou, S. Boffi, C. Giusti and F. D. Pacati","Charge-Exchange and multi-scattering effects in (e,e'n) knockout","12 pages, 4 Postscript figures. A new section on multiple particle
  emission added together with 2 new figures including primary and multiple
  emission cross sections","Nucl.Phys. A634 (1998) 57-66","10.1016/S0375-9474(98)00149-3",,"nucl-th",,"  Final-state interactions in (e,e'n) knockout reactions in the quasi-free
region are studied by considering the multistep direct scattering of the
ejectile nucleon. Primary and multiple particle emission are included within
the same model and are found to become important with increasing excitation
energy. Charge-exchange effects taken into account through the two-step
(e,e'p)(p,n) and three-step (e,e'p)(p,N)(N,n) processes are also found to
increase with energy. A comparison with the results obtained with an
isospin-dependent optical potential at small excitation energies is presented.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 10:41:35 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jan 1998 17:41:28 GMT""}]","2009-10-30"
"nucl-th/9707039","Uma Mahreswari","V.S. Uma Maheswari, J.N. De and S.K. Samaddar","Hybrid stars : Spin polarised nuclear matter and density dependent quark
  masses","31 pages revtex, 17 psfiles for figures included","Phys.Rev. D57 (1998) 3242-3255","10.1103/PhysRevD.57.3242",,"nucl-th",,"  The possibility of formation of a droplet phase (DP) inside a star and its
consequences on the structural properties of the star are investigated. For
nuclear matter (NM), an equation of state (EOS) based on finite range, momentum
and density dependent interaction, and which predicts that neutron matter
undergoes ferromagnetic transition at densities realisable inside the neutron
star is employed. An EOS for quark matter (QM) with density dependent quark
masses, the so-called effective mass model, is constructed by correctly
treating the quark chemical potentials. It is then found that a droplet phase
consisting of strange quark matter and unpolarised nuclear matter sandwiched
between a core of polarised nuclear matter and a crust containing unpolarised
nuclear matter exists. Moreover, we could explain the mass and surface magnetic
field satisfactorily, and as well allow, due to the presence of a droplet
phase, the direct URCA process to happen.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 13:31:22 GMT""}]","2009-10-30"
"q-alg/9707027","Pavel Etingof","Pavel Etingof, Travis Schedler, and Alexandre Soloviev","On set-theoretical solutions of the quantum Yang-Baxter equation","4 pages, amstex; in the revised version there are minor changes; in
  particular, the set X is assumed to be finite",,,"STS-1","q-alg math.QA",,"  Recently V.Drinfeld formulated a number of problems in quantum group theory.
In particular, he suggested to consider ``set-theoretical'' solutions of the
quantum Yang-Baxter equation, i.e. solutions given by a permutation $R$ of the
set $X\times X$, where $X$ is a fixed finite set. In this note we study such
solutions, which satisfy the unitarity and the crossing symmetry conditions --
natural conditions arising in physical applications. More specifically, we
consider ``linear'' solutions: the set $X$ is an abelian group, and the map $R$
is an automorphism of $X\times X$. We show that in this case, solutions are in
1-1 correspondence with pairs $a,b\in \End X$, such that $b$ is invertible and
$bab^{-1}=\frac{a}{a+1}$. Later we consider ``affine'' solutions ($R$ is an
automorphism of $X\times X$ as a principal homogeneous space), and show that
they have a similar classification. The fact that these classifications are so
nice leads us to think that there should be some interesting structure hidden
behind this problem.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 22:04:00 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jul 1997 15:33:27 GMT""}]","2008-02-03"
"q-alg/9707028",,"Alexander I. Molev and Bruce E. Sagan","A Littlewood-Richardson Rule for factorial Schur functions","19 pages, Latex",,,"CMA-MRR-019-97, Canberra","q-alg math.QA",,"  We give a combinatorial rule for calculating the coefficients in the
expansion of a product of two factorial Schur functions. It is a special case
of a more general rule which also gives the coefficients in the expansion of a
skew factorial Schur function. Multiplication rules for the Capelli operators
and quantum immanants are also given.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 12:39:16 GMT""}]","2008-02-03"
"q-alg/9707029","Dirk Kreimer","Dirk Kreimer","On the Hopf algebra structure of perturbative quantum field theories","LaTeX, 23pages, uses epsf for 5 Figs., also available via
  http://dipmza.physik.uni-mainz.de/~kreimer/hopfn.ps, references updated","Adv.Theor.Math.Phys.2:303-334,1998",,"MZ-TH/97-25","q-alg hep-th math.QA",,"  We show that the process of renormalization encapsules a Hopf algebra
structure in a natural manner. This sheds light on the recently proposed
connection between knots and renormalization theory.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 15:21:10 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 16:13:36 GMT""},{""version"":""v3"",""created"":""Tue, 25 Nov 1997 09:04:16 GMT""},{""version"":""v4"",""created"":""Thu, 15 Jan 1998 11:21:01 GMT""}]","2008-11-26"
"q-alg/9707030","Stefan Waldmann","Martin Bordemann, Nikolai Neumaier, Stefan Waldmann","Homogeneous Fedosov Star Products on Cotangent Bundles I: Weyl and
  Standard Ordering with Differential Operator Representation","31 pages, LaTeX2e, no pictures",,"10.1007/s002200050481","FR-THEP-97/10","q-alg math.QA",,"  In this paper we construct homogeneous star products of Weyl type on every
cotangent bundle $T^*Q$ by means of the Fedosov procedure using a symplectic
torsion-free connection on $T^*Q$ homogeneous of degree zero with respect to
the Liouville vector field. By a fibrewise equivalence transformation we
construct a homogeneous Fedosov star product of standard ordered type
equivalent to the homogeneous Fedosov star product of Weyl type.
Representations for both star product algebras by differential operators on
functions on $Q$ are constructed leading in the case of the standard ordered
product to the usual standard ordering prescription for smooth complex-valued
functions on $T^*Q$ polynomial in the momenta (where an arbitrary fixed
torsion-free connection $\nabla_0$ on $Q$ is used). Motivated by the flat case
$T^* R^n$ another homogeneous star product of Weyl type corresponding to the
Weyl ordering prescription is constructed. The example of the cotangent bundle
of an arbitrary Lie group is explicitly computed and the star product given by
Gutt is rederived in our approach.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 15:00:19 GMT""}]","2009-10-30"
"quant-ph/9707044","Haret Rosu","H.C. Rosu, J.L. Romero","Ermakov approach for the one-dimensional Helmholtz Hamiltonian","6 pages, LaTex","Nuovo Cim. B114 (1999) 569-574",,,"quant-ph",,"  For the one-dimensional Helmholtz equation we write the corresponding
time-dependent Helmholtz Hamiltonian in order to study it as an Ermakov problem
and derive geometrical angles and phases in this context
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 22:41:34 GMT""},{""version"":""v2"",""created"":""Sun, 30 Nov 1997 22:42:43 GMT""},{""version"":""v3"",""created"":""Sat, 26 Jun 1999 16:55:13 GMT""}]","2008-02-03"
"quant-ph/9707045",,"Stefano Mancini and Paolo Tombesi (Dipartimento di Matematica e
  Fisica, Universita' di Camerino, Italy)","Macroscopic Coherence for a Trapped Electron","6 pages, RevTex, accepted by Phys. Rev. A","Phys.Rev.A56:1679,1997","10.1103/PhysRevA.56.R1679",,"quant-ph",,"  We investigate the possibility of generating quantum macroscopic coherence
phenomena by means of relativistic effects on a trapped electron.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 09:52:17 GMT""}]","2011-08-04"
"quant-ph/9707046","Holger Hofmann","Holger F. Hofmann, Guenter Mahler, and Ortwin Hess","Quantum control of atomic systems by time resolved homodyne detection
  and feedback","12 pages RevTex and 7 figures, to be published in Phys. Rev. A, final
  version","Phys.Rev.A 57, 4877 (1998)","10.1103/PhysRevA.57.4877",,"quant-ph physics.atom-ph physics.optics",,"  We investigate the possibilities of preserving and manipulating the coherence
of atomic two-level systems by ideal projective homodyne detection and
feedback. For this purpose, the photon emission process is described on time
scales much shorter than the lifetime of the excited state using a model based
on Wigner-Weisskopf theory. The backaction of this emission process is
analytically described as a quantum diffusion of the Bloch vector. It is shown
that the evolution of the atomic wavefunction can be controlled completely
using the results of homodyne detection. This allows the stabilization of a
known quantum state or the creation of coherent states by a feedback mechanism.
However, the feedback mechanism can never compensate the dissipative effects of
quantum fluctuations even though the coherent state of the system is known at
all times.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 14:06:29 GMT""},{""version"":""v2"",""created"":""Wed, 1 Apr 1998 11:13:34 GMT""}]","2009-10-30"
