"adap-org/9707003","Grant Lythe","Kalvis M. Jansons (UCL, London) and G.D. Lythe (ULB, Brussels)","Stochastic calculus: application to dynamic bifurcations and threshold
  crossings","LaTeX, 34 pages, 7 postscript figures included","J. Stat. Phys (1997)","10.1023/A:1023207919293",,"adap-org nlin.AO q-bio",,"  For the dynamic pitchfork bifurcation in the presence of white noise, the
statistics of the last time at zero are calculated as a function of the noise
level and the rate of change of the parameter. The threshold crossing problem
used, for example, to model the firing of a single cortical neuron is
considered, concentrating on quantities that may be experimentally measurable
but have so far received little attention. Expressions for the statistics of
pre-threshold excursions, occupation density and last crossing time of zero are
compared with results from numerical generation of paths.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 22:10:39 GMT""}]","2015-06-24"
"hep-ph/9707363","Mijail Braun","M.A.Braun, C.Pajares and J.Ranft","Fusion of strings vs. percolation and the transition to the quark-gluon
  plasma","16 pages, 3 Postscript figures","Int.J.Mod.Phys. A14 (1999) 2689-2704","10.1142/S0217751X99001354","US-FT/24-97","hep-ph",,"  In most of the models of hadronic collisions the number of exchanged colour
strings grows with energy and atomic numbers of the projectile and target. At
high string densities interaction between them should melt them into the
quark-gluon plasma state. It is shown that under certain assumptions about the
the string interaction, a phase transition to the quark gluon plasma indeed
takes place in the system of many colour strings. It may be of the first or
second order (percolation), depending on the particular mechanism of the
interaction. The critical string density is about unity in both cases. The
critical density may have been already reached in central Pb-Pb collisions at
158 A GeV.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 17:16:31 GMT""}]","2009-10-30"
"hep-ph/9707364","Alan Kostelecky","Robert Bluhm, Alan Kostelecky, and Neil Russell","Testing CPT with Anomalous Magnetic Moments","to appear in Phys. Rev. Lett., issue of 18 Aug. 1997","Phys.Rev.Lett.79:1432-1435,1997","10.1103/PhysRevLett.79.1432","IUHET 358, March 1997","hep-ph",,"  A theoretical framework is introduced that describes possible CPT-violating
effects in the context of quantum electrodynamics. Experiments comparing the
anomalous magnetic moments of the electron and the positron can place tight
limits on CPT violation. The conventional figure of merit adopted in these
experiments, involving the difference between the corresponding $g$ factors, is
shown to provide a misleading measure of the precision of CPT limits. We
introduce an alternative figure of merit, comparable to one commonly used in
CPT tests with neutral mesons. To measure it, a straightforward extension of
current experimental procedures is proposed. With current technology, a CPT
bound better than about one part in $10^{20}$ is attainable.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 22:37:43 GMT""}]","2009-09-25"
"hep-ph/9707366","Piotr Raczka","P.A. Raczka","Renormalization scheme dependence and the problem of determination of
  alpha_s and the condensates from the semileptonic tau decays","Some typographical errors have been corrected, including two small
  misprints in table 1 and table 2 and one in Eq.15. 20 pages Latex, 5 figures","Phys. Rev. D 57, 6862 (1998)","10.1103/PhysRevD.57.6862","DTP/97/50","hep-ph",,"  The QCD corrections to the moments of the invariant mass distribution in the
semileptonic $\tau$ decays are considered. The effect of the renormalization
scheme dependence on the fitted values of alpha_s(m^2_tau) and the condensates
is discussed, using a simplified approach where the nonperturbative
contributions are approximated by the dimension six condensates. The fits in
the vector and the axial-vector channel are investigated in the next-to-leading
and the next-to-next-to-leading order. The next-to-next-to-leading order
results are found to be relatively stable with respect to change of the
renormalization scheme. A change from the MS-bar scheme to the minimal
sensitivity scheme results in the reduction of the extracted value of
alpha_s(m^2_tau) by 0.01.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 05:31:58 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 11:51:59 GMT""}]","2016-08-25"
"hep-ph/9707367","Peter Gosdzinsky","P. Gosdzinsky and N. Kivel","Resummation of (-B(0) Alpha-s)**N Corrections to the Photon - Meson
  Transition Form-Factor Gamma* + Gamma ---> Pi0","30 pages, LaTeX, 10 figures. New figures and references added. Some
  changes in the text","Nucl.Phys. B521 (1998) 274-304","10.1016/S0550-3213(98)00117-5","NORDITA 97/58","hep-ph",,"  We have resummed all the (-b_0 alpha_s)^n contributions to the photon-meson
transition form factor F_{gamma pi}. To do this, we have used the assumption of
`naive nonabelianization' (NNA). Within NNA, a series in (N_f alfa_s)^n is
interpreted as a series in (-b_0 alpha_S)^n by means of the restoration of the
full first QCD beta-function coefficient -b_0 by hand. We have taken into
account corrections to the leading order coefficient function and to the
evolution of the distribution function. Due to conformal constraints, it is
possible to find the eigenfunctions of the evolution kernel. It turns out that
the nondiagonal corrections are small, and neglecting them we obtained a
representation for the distribution function with multiplicatively renormalized
moments. For a simple shape of the distribution function, which is close to the
asymptotic shape, we find that the radiative correction decrease the LO by 30 %
and the uncertainty in the resummation lies between 10 % and 2 % for Q^2
between 2 and 10 GeV^2.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 08:31:32 GMT""},{""version"":""v2"",""created"":""Tue, 30 Sep 1997 14:39:35 GMT""}]","2009-10-30"
"hep-ph/9707368","Matthias Neubert","Matthias Neubert (CERN)","A new look at hadronic B decays","7 pages, 2 figures, uses espcrc2.sty (included); to appear in the
  Proceedings of the High-Energy Physics Euroconference on Quantum
  Chromodynamics (QCD '97), Montpellier, France, 3-9 July 1997","Nucl.Phys.Proc.Suppl. 64 (1998) 474-480","10.1016/S0920-5632(97)01110-9","CERN-TH/97-169","hep-ph",,"  We present a detailed study of non-leptonic two-body decays of B mesons based
on a generalized factorization hypothesis. We discuss the structure of
non-factorizable corrections and present arguments in favour of a simple
phenomenological description of their effects. We discuss tests of the
factorization hypothesis and show how it may be used to determine unknown decay
constants. In particular, we obtain f_{D_s}=(234\pm 25) MeV and
f_{D_s^*}=(271\pm 33) MeV.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 08:44:31 GMT""}]","2009-10-30"
"hep-ph/9707369","Gabriel Lopez","M. Beuthe, G. Lopez Castro and J. Pestieau","Field theory approach to K0-K0bar and B0-B0bar systems","Latex, 19 pages","Int.J.Mod.Phys. A13 (1998) 3587-3600","10.1142/S0217751X98001682","UCL-IPT-97-09","hep-ph",,"  Quantum field theory provides a consistent framework to deal with unstable
particles. We present here an approach based on field theory to describe the
production and decay of unstable $K^0-\bar{K^0}$ and $B^0-\bar{B^0}$ mixed
systems. The formalism is applied to compute the time evolution amplitudes of
$K^0$ and $\bar{K^0}$ studied in DAPHNE and CPLEAR experiments. We also
introduce a new set of parameters that describe CP violation in $ K \to \pi\pi$
decays without recourse to isospin decomposition of the decay amplitudes.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 10:15:10 GMT""}]","2009-10-30"
"hep-ph/9707370","Barbara MELE , Roma1","E.Gabrielli, V.A. Ilyin, B.Mele","Measuring Z-gamma-Higgs vertex effects at e-gamma linear colliders","11 pages, 8 figures. A gzipped complete postscript file is available
  at ftp://hpteo.roma1.infn.it/pub/preprints/mele/Rome1-1178.ps.gz To appear in
  the Report DESY 97-123E",,,"ROME1-1178/97","hep-ph",,"  The one-loop process e,gamma->e,h for intermediate Higgs masses is
considered. Exact cross sections for unpolarized and longitudinally polarized
beams are computed and found to be more than two orders of magnitude larger
than the rates for the crossed process e,e->gamma,h, in the energy range
\sqrt{s}=(0.5-2) TeV. We show that, apart from being competitive with the
gamma,gamma->H process for testing the one-loop gamma-gamma-H vertex, by
requiring a final electron tagged at large angle the channel e,gamma->e,h
provides an excellent way of testing the Z-gamma-H vertex.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 11:12:27 GMT""}]","2007-05-23"
"hep-ph/9707371","Enrico Nardi","Dafne Guetta and Enrico Nardi","Searching for New Physics in Rare $B \to \tau$ Decays","30 pages, LaTeX, 8 ps-figures (uses epsfig.sty) Equations (2.7)
  (3.10) (3.14) (3.18) (3.19) (3.20) (4.6) corrected, conclusions unmodified.
  To be published on Phys. Rev. D","Phys.Rev.D58:012001,1998","10.1103/PhysRevD.58.012001","WIS-97/24/Jul-PH","hep-ph",,"  The rare decays {$B^- \to \tau \bar\nu$}, \mbox{$B \to \tau^+ \tau^-$}, {$b
\to X \nu \bar\nu$} and \mbox{$b \to X \tau^+ \tau^-$} all contain third
generation leptons in the final state, and hence are sensitive to new physics
that couples more strongly to the third family. We present model independent
expressions for these decays that can be useful to study several types of new
physics effects. We concentrate on supersymmetric models without R-parity and
without lepton number. We also assume a horizontal U(1) symmetry with fermion
horizontal charges chosen to explain the magnitude of fermion masses and quark
mixing angles. This allows us to estimate the order of magnitude of the new
effects, and to derive numerical predictions for the various decay rates and
for the forward-backward asymmetry and the $\tau$ polarization components
measurable in \mbox{$b \to X \tau^+ \tau^-$}. In some cases the branching
ratios are enhanced by more than one order of magnitude, rendering foreseeable
their detection at upcoming B-factories. We also discuss how a measurement of
asymmetries in \mbox{$b \to X \tau^+ \tau^-$} can be crucial in distinguishing
between different sources of new physics.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 11:52:09 GMT""},{""version"":""v2"",""created"":""Tue, 2 Sep 1997 17:08:29 GMT""},{""version"":""v3"",""created"":""Thu, 4 Sep 1997 12:00:29 GMT""},{""version"":""v4"",""created"":""Fri, 13 Feb 1998 18:19:57 GMT""}]","2008-11-26"
"hep-ph/9707372","Carlo Giunti","S.M. Bilenky, C. Giunti, W. Grimus","Schemes of neutrino mixing from the results of neutrino oscillation
  experiments","10 pages, including 2 figures. Talk presented by C. Giunti at the 9th
  International School ""Particles and Cosmology"", Kabardino Balkaria, Baksan
  Valley, Russia, April 15-22, 1997",,,"UWThPh-1997-17, DFTT 44/97","hep-ph",,"  The mixing of three and four massive neutrinos is considered. It is shown
that the neutrino oscillation data are not compatible with a hierarchy of
couplings in the three-neutrino case. In the case of four neutrinos, a
hierarchy of masses is not favored by the data. Only two schemes with two pairs
of close masses separated by a gap of the order of 1 eV can accommodate the
results of all experiments. If the existing indications in favor of neutrino
oscillations will be confirmed, it will mean that the general features of
neutrino mixing are quite different from those of quark mixing.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 11:52:28 GMT""}]","2007-05-23"
"hep-ph/9707373","Matthias Heyssler","M. Heyssler and W.J. Stirling, (Department of Physics, Durham)","Radiation Zeros at HERA - More About Nothing","25 pages, LaTeX, incl. 10 figures, uses epsfig.sty","Eur.Phys.J.C4:289-299,1998","10.1007/s100520050207","DTP/97/66","hep-ph",,"  The process $eq \to eq +\gamma$ exhibits radiation zeros, i.e. configurations
of the final-state particles for which the scattering amplitude vanishes. We
study these zeros for both $e^+u$ and $e^+d$ scattering. The latter exhibits a
type of zero which to our knowledge has not previously been identified. The
observability of radiation zeros at HERA is discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 12:01:36 GMT""}]","2011-02-01"
"hep-ph/9707374","Vittorio Lubicz","V. Lubicz","Determinations of Standard Model Parameters from Lattice QCD","19 pages, LaTeX, 2 figures. Talk given at the ""APCTP-ICTP Joint
  International Conference '97"", May 26 - May 30 1997, Seoul, Korea",,,,"hep-ph hep-lat",,"  In this talk I review some recent results from lattice QCD calculations which
aim to a more accurate determination of the Standard Model parameters in the
quark sector. After a review of our current knowledge of these parameters, I
present lattice results for the strange, charm and bottom quark masses, the CKM
matrix element $V_{ub}$ and the complex CKM phase $\delta$, which induces CP
violation effects in the Standard Model with three generations.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 12:31:52 GMT""}]","2007-05-23"
"hep-ph/9707375","Claire Lewis","J. Kwiecinski, C.A.M. Lewis and A.D. Martin","Deep inelastic events containing two forward jets at HERA","10 pages, LaTex, 8 ps figures","Phys.Rev. D57 (1998) 496-502","10.1103/PhysRevD.57.496","DTP/97/58","hep-ph",,"  We use the BFKL equation to calculate the rate of deep inelastic scattering
events containing two forward jets (adjacent to the proton remnants) at HERA.
We compare the production of two forward jets with that of only one forward jet
(the ""Mueller"" process). We obtain a stable prediction for this two to one jet
ratio, which may serve as a measure of the BFKL vertex function.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:25:01 GMT""}]","2016-09-06"
"hep-ph/9707376",,"Aleandro Nisati, Silvano Petrarca and Giorgio Salvini","On The Possible Detection Of Massive Stable Exotic Particles At The LHC","12 Latex pages, 4 figures JPEG","Mod.Phys.Lett. A12 (1997) 2213-2222","10.1142/S0217732397002260","ROME1-1177/97","hep-ph hep-ex",,"  The possible detection of massive quasi-stable exotic particles at the high
luminosity hadronic colliders is discussed. In the coming ten years the LHC,
now under preparation, has the best opportunity to observe them at the TeV
scale. The present design of the ATLAS detector,that has been almost
irreversibly decided, may turn out to be flexible enough to allow the detection
of this interesting class of exotic particles. The trigger acceptance, the
track reconstruction and the particle identification are studied. The necessity
of a good measurement of the ionization loss in the muon sector of the
detectors is recommended.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:47:48 GMT""}]","2009-10-30"
"hep-ph/9707377","Robert Kaminski","R. Kaminski, L. Lesniak (Institute of Nuclear Physics in Cracow,
  Poland) and B. Loiseau (Institut de Physique Nucleaire at Orsay and LPTPE
  Universite P. & M. Curie in Paris, France)","Three channel model of meson-meson scattering and scalar meson
  spectroscopy","10 Latex pages + 6 postscript figures","Phys.Lett.B413:130-136,1997","10.1016/S0370-2693(97)01090-3",,"hep-ph",,"  New solutions on the scalar -- isoscalar $\pi\pi$ phase shifts are analysed
together with previous $K\bar{K}$ results using a separable potential model of
three coupled channels ($\pi\pi$, $K\bar{K}$ and an effective $2\pi 2\pi$
system). Model parameters are fitted to two sets of solutions obtained in a
recent analysis of the CERN-Cracow-Munich measurements of the $\pi^-
p_{\uparrow} \to \pi^+ \pi^- n$ reaction on a polarized target. A relatively
narrow (90 -- 180 MeV) scalar resonance $f_0(1400-1460)$ is found, in contrast
to a much broader ($\Gamma \approx 500$ MeV) state emerging from the analysis
of previous unpolarized target data.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 15:38:19 GMT""}]","2008-11-26"
"hep-th/9707146","Francesco Antonuccio","F.Antonuccio, H.C.Pauli and S.Tsujimaru","On Matrix Strings, the Large N Limit and Discretized Light-Cone
  Quantization","21 pages, LaTex2e; 5 figures (.eps files)",,,"MPIH-1997","hep-th",,"  We consider the 1+1 dimensional supersymmetric matrix field theory obtained
from a dimensional reduction of ten dimensional ${\cal N} = 1$ super
Yang-Mills, which is a matrix model candidate for non-perturbative Type IIA
string theory. The gauge group here is U($N$), where $N$ is sent to infinity.
We adopt light-cone coordinates to parametrize the string world sheet, and
choose to work in the light-cone gauge. Quantizing this theory via Discretized
Light-Cone Quantization (DLCQ) introduces an integer, K, which restricts the
light-cone momentum-fraction of constituent quanta to be integer multiples of
1/K. We show how a double scaling limit involving the integers $K$ and $N$
implies the existence of an extra (free) parameter in the Yang-Mills theory,
which plays the role of an effective string coupling constant. The formulation
here provides a natural framework for studying quantitatively string dynamics
and conventional Yang-Mills in a unified setting.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:24:43 GMT""}]","2007-05-23"
"hep-th/9707147","Donald Spector","Donald Spector","Anyon Statistics and the Witten Index","10 pages, harvmac, no figures; revised to elaborate on two details","Phys.Lett.B442:159-164,1998","10.1016/S0370-2693(98)01232-5","HWS-9718, NIKHEF-96-035","hep-th",,"  Using the theory of supersymmetric anyons, I extend the definition of the
Witten index to 2+1 dimensions so as to accommodate the existence of anyon spin
and statistics. I then demonstrate that, although in general the index receives
irrational and complex contributions from anyonic states, the overall index is
always integral, and I consider some of the implications and interpretations of
this result.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 18:38:27 GMT""},{""version"":""v2"",""created"":""Wed, 3 Dec 1997 18:19:50 GMT""}]","2011-08-12"
"hep-th/9707148","Keith Dienes","Julie D. Blum and Keith R. Dienes (Institute for Advanced Study,
  Princeton)","Duality without Supersymmetry: The Case of the SO(16)xSO(16) String","15 pages, LaTeX, 3 figures","Phys.Lett.B414:260-268,1997","10.1016/S0370-2693(97)01172-6","IASSNS-HEP-97/67 (July 1997)","hep-th hep-ph",,"  We extend strong/weak coupling duality to string theories without spacetime
supersymmetry, and focus on the case of the unique ten-dimensional,
nonsupersymmetric, tachyon-free $SO(16)\times SO(16)$ heterotic string. We
construct a tachyon-free heterotic string model that interpolates smoothly
between this string and the ten-dimensional supersymmetric $SO(32)$ heterotic
string, and we construct a dual for this interpolating model. We find that the
perturbative massless states of our dual theories precisely match within a
certain range of the interpolation. Further evidence for this proposed duality
comes from a calculation of the one-loop cosmological constant in both
theories, as well as the presence of a soliton in the dual theory. This is
therefore the first known duality relation between nonsupersymmetric
tachyon-free string theories. Using this duality, we then investigate the
perturbative and nonperturbative stability of the $SO(16)\times SO(16)$ string,
and present a conjecture concerning its ultimate fate.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 23:32:23 GMT""}]","2009-08-18"
"hep-th/9707149","Joseph A. Minahan","J. A. Minahan, D. Nemeschansky and N. P. Warner","Partition Functions for BPS States of the Non-Critical E_8 String","17 pages, harvmac(b)","Adv.Theor.Math.Phys.1:167-183,1998",,"USC-97/009, NSF-ITP-97-091","hep-th",,"  We consider the BPS states of the $E_8$ non-critical string wound around one
of the circles of a toroidal compactification to four dimensions. These states
are indexed by their momenta and winding numbers. We find explicit expressions,
$G_n$, for the momentum partition functions for the states with winding number
$n$. The $G_n$ are given in terms of modular forms. We give a simple algorithm
for generating the $G_n$, and we show that they satisfy a recurrence relation
that is reminiscent of the holomorphic anomaly equations of Kodaira-Spencer
theory.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 20:41:34 GMT""}]","2008-11-26"
"hep-th/9707150","Phillial Oh","Phillial Oh","Bogomol'nyi Solitons and Hermitian Symmetric Spaces","10 pages, 2 ps figures, Latex, A revised version to be published in
  Reports on Mathematical Physics","Rept.Math.Phys.43:271-281,1999","10.1016/S0034-4877(99)80035-4","SNUTP/97-096","hep-th",,"  We apply the coadjoint orbit method to construct relativistic nonlinear sigma
models (NLSM) on the target space of coadjoint orbits coupled with the
Chern-Simons (CS) gauge field and study self-dual solitons. When the target
space is given by Hermitian symmetric space (HSS), we find that the system
admits self-dual solitons whose energy is Bogomol'nyi bounded from below by a
topological charge. The Bogomol'nyi potential on the Hermitian symmetric space
is obtained in the case when the maximal torus subgroup is gauged, and the
self-dual equation in the $CP(N-1)$ case is explored. We also discuss the
self-dual solitons in the non-compact $SU(1,1)$ case and present a detailed
analysis for the rotationally symmetric solutions.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 02:13:15 GMT""},{""version"":""v2"",""created"":""Thu, 19 Feb 1998 10:36:42 GMT""},{""version"":""v3"",""created"":""Sat, 17 Oct 1998 06:34:11 GMT""}]","2011-04-15"
"hep-th/9707152","Matthias Burkardt","M. Burkardt and H. El-Khozondar","A 3+1 Dimensional LF-Model with Spontaneous $\chi SB$","6 pages, LaTex, 1 figure, invited talk at International Workshop on
  ``New Nonperturbative Methods and Quantization on the Light Cone'', Les
  Houches, France, Feb. 24 - March 7, 1997",,,,"hep-th",,"  We investigate a 3+1 dimensional toy model that exhibits spontaneous
breakdown of chiral symmetry, both in a light-front (LF) Hamiltonian and in a
Euclidean Schwinger-Dyson (SD) formulation. We show that both formulations are
completely equivalent --- provided the renormalization is properly done. For
the model considered, this means that if one uses the same transverse momentum
cutoff on the SD and LF formulations then the vertex mass in the LF calculation
must be taken to be the same as the current quark mass in the SD calculation.
The kinetic mass term in the LF calculation is renormalized non-trivially,
which is eventually responsible for the mass generation of the physical fermion
of the model.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 12:58:57 GMT""}]","2007-05-23"
"hep-th/9707153","Patrizia Vitale","G. Bimonte, R. Musto, A. Stern and P. Vitale","Hidden Quantum Group Structure in Einstein's General Relativity","LaTex file, 21 pages, no figures","Nucl.Phys. B525 (1998) 483-503","10.1016/S0550-3213(98)00280-6","DSF-33/97, UAHEP 9711","hep-th gr-qc math.QA q-alg",,"  A new formal scheme is presented in which Einstein's classical theory of
General Relativity appears as the common, invariant sector of a one-parameter
family of different theories. This is achieved by replacing the Poincare` group
of the ordinary tetrad formalism with a q-deformed Poincare` group, the usual
theory being recovered at q=1. Although written in terms of noncommuting
vierbein and spin-connection fields, each theory has the same metric sector
leading to the ordinary Einstein-Hilbert action and to the corresponding
equations of motion. The Christoffel symbols and the components of the Riemann
tensor are ordinary commuting numbers and have the usual form in terms of a
metric tensor built as an appropriate bilinear in the vierbeins. Furthermore we
exhibit a one-parameter family of Hamiltonian formalisms for general
relativity, by showing that a canonical formalism a` la Ashtekar can be built
for any value of q. The constraints are still polynomial, but the Poisson
brackets are not skewsymmetric for q different from 1.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 13:56:15 GMT""}]","2009-10-30"
"hep-th/9707154","Andrei Slavnov","A. A. Slavnov","Phase of a chiral determinant and global SU(2) anomaly","6 pages, Latex, no figures","Phys.Lett. B415 (1997) 390-394","10.1016/S0370-2693(97)01287-2","SMI-15-97","hep-th",,"  A representation for the phase of a chiral determinant in terms of a path
integral of a local action is constructed. This representation is used to
modify the action of chiral SU(2) fermions removing the global anomaly.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:12:32 GMT""}]","2009-10-30"
"hep-th/9707155","Rafael I. Nepomechie","Anastasia Doikou, Luca Mezincescu and Rafael I. Nepomechie","Factorization of Multiparticle Scattering in the Heisenberg Spin Chain","9 pages, LaTeX, no figures","Mod.Phys.Lett. A12 (1997) 2591-2598","10.1142/S0217732397002727","UMTG-198","hep-th nlin.SI solv-int",,"  We give an explicit proof within the framework of the Bethe Ansatz/string
hypothesis of the factorization of multiparticle scattering in the
antiferromagnetic spin-1/2 Heisenberg spin chain, for the case of 3 particles.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:51:01 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 13:38:38 GMT""}]","2009-10-30"
"hep-th/9707156","Neil Lambert","N.D. Lambert","D-brane Bound States and the Generalised ADHM Construction","17 pages Phyzzx. Minor corrections, to appear in Nucl. Phys. B","Nucl.Phys. B519 (1998) 214-224","10.1016/S0550-3213(98)00026-1","KCL-TH-97-45","hep-th",,"  We discuss the sigma model description of a D-string bound to k D-fivebranes
in type I string theory. The effective theory is an (0,4) supersymmetric
hyper-Kahler with torsion sigma model on the moduli space of Sp(k) instantons
on R^4. Upon toroidal compactification to five dimensions the model is related
to the type II picture where the target space is a symmetric product of K3's.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 15:56:46 GMT""},{""version"":""v2"",""created"":""Mon, 28 Jul 1997 12:34:03 GMT""},{""version"":""v3"",""created"":""Thu, 8 Jan 1998 10:51:49 GMT""}]","2009-10-30"
"nucl-th/9707026","Edoardo G. Lanza","F. Catara(1 and 4), E. G. Lanza(1), M. A. Nagarajan(2) and A.
  Vitturi(3) ((1)Catania, Italy; (2)Legnaro, Italy; (3) Padova, Italy;
  (4)Sevilla, Spain)","Effect of large neutron excess on the dipole response in the region of
  the Giant Dipole Resonance","11 pages 8 figures, use elsart.sty and graphics package","Nucl.Phys. A624 (1997) 449-458","10.1016/S0375-9474(97)00485-5","INFNCT/4/97","nucl-th",,"  The evolution of the Dipole Response in nuclei with strong neutron excess is
studied in the Hartree-Fock plus Random Phase Approximation with Skyrme forces.
We find that the neutron excess increases the fragmentation of the isovector
Giant Dipole Resonance, while pushing the centroid of the distribution to lower
energies beyond the mass dependence predicted by the collective models. The
radial separation of proton and neutron densities associated with a large
neutron excess leads to non vanishing isoscalar transition densities to the GDR
states, which are therefore predicted to be excited also by isoscalar nuclear
probes. The evolution of the isoscalar compression dipole mode as a function of
the neutron excess is finally studied. We find that the large neutron excess
leads to a strong concentration of the strength associated with the isoscalar
dipole operator $\sum_ir^3_iY_{10}$, that mainly originates from uncorrelated
excitations of the neutrons of the skin.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 15:29:19 GMT""}]","2009-10-30"
"physics/9707014","Valeri Dvoeglazov","Valeri V. Dvoeglazov (Escuela de Fisica, UAZ)","The Weinberg Formalism and a New Look at the Electromagnetic Theory","ReVTeX file, 34pp. To appear as Chapter 12 of ""The Enigmatic Photon.
  Vol. 4"" (Eds. M. W. Evans, G. Hunter, S. Jeffers and J.-P. Vigier, Kluwer
  Academic, 1997)","""The Enigmatic Photon. Vol. 4: New Directions"" (eds. M. W. Evans,
  J.-P. Vigier, S. Roy and G. Hunter), Chapter 12, pp. 305-353",,"EFUAZ FT-96-35","physics.hist-ph hep-th",,"  In the first part of this paper we review several formalisms which give
alternative ways for describing the light. They are: the formalism `baroque'
and the Majorana-Oppenheimer form of electrodynamics, the Sachs' theory of
Elementary Matter, the Dirac-Fock-Podol'sky model, its development by
Staruszkiewicz, the Evans-Vigier ${\bf B}^{(3)}$ field, the theory with an
invariant evolution parameter by Horwitz, the analysis of the
action-at-a-distance concept, presented recently by Chubykalo and
Smirnov-Rueda, and the analysis of the claimed `longitudinality' of the
antisymmetric tensor field after quantization. The second part is devoted to
the discussion of the Weinberg formalism and its recent development by
Ahluwalia and myself. Connections between these models and possible
significance of longitudinal modes are also discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 23:12:11 GMT""}]","2008-02-03"
"physics/9707015","Valeri Dvoeglazov","Valeri V. Dvoeglazov (Escuela de Fisica, UAZ)","Self/Anti-Self Charge Conjugate States for j=1/2 and j=1","ReVTEX file, 11pp","Hadronic J.20:435,1997",,"EFUAZ FT-97-44","math-ph hep-ph hep-th math.MP",,"  We briefly review recent achievements in the theory of neutral particles (the
Majorana-McLennan-Case-Ahluwalia construct for self/anti-self charge conjugate
states for j=1/2 and j=1 cases). Among new results we present a theoretical
construct in which a fermion and an antifermion have the same intrinsic parity;
discuss phase transformations and find relations between the Majorana-like
field operator $\nu$, given by Ahluwalia, and the Dirac field operator. Also we
give explicit forms of the $j=1$ ``spinors"" in the Majorana representation.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 23:12:29 GMT""}]","2011-04-20"
"q-alg/9707022","Dmitriy Rumynin","Dmitriy Rumynin","Algebraic geometry of Hopf-Galois extensions","24 pages, LATEX, with major revisions",,,,"q-alg math.QA",,"  We continue the study of Hopf-Galois extensions with central invariants for a
finite dimensional Hopf algebra. We concentrate on the geometrical side on the
subject. We understand how to localize Hopf-Galois extensions and to paste them
from local datum.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:46:21 GMT""},{""version"":""v2"",""created"":""Thu, 25 Sep 1997 14:18:52 GMT""}]","2008-02-03"
"q-alg/9707023","Michele Irac","M. Irac-Astaud and G. Rideau (L.P.T.M.C. Univ. Denis Diderot, Paris)","Deformed harmonic oscillators : coherent states and Bargmann
  representations","8 pages, Latex, Presented at the 6th Colloquium ""Quantum Groups and
  Integrables Systems"", Prague, 19-21 June 1997",,"10.1023/A:1021670419793",,"q-alg math.QA",,"  Generalizing the case of the usual harmonic oscillator, we look for Bargmann
representations corresponding to deformed harmonic oscillators. Deformed
harmonic oscillator algebras are generated by four operators $a, a^\dagger, N$
and the unity 1 such as $[a,N] = a, [a^\dagger,N] = -a^\dagger$, $a^\dagger a =
\psi(N)$ and $aa^\dagger =\psi(N+1)$. We discuss the conditions of existence of
a scalar product expressed with a true integral on the space spanned by the
eigenstates of $a$ (or $a^\dagger$). We give various examples, in particular we
consider functions $\psi$ that are linear combinations of $q^N$, $q^{-N}$ and
unity and that correspond to q-oscillators with Fock-representations or with
non-Fock-representations.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:45:03 GMT""}]","2009-10-30"
