"alg-geom/9707014","Constantin Teleman","Constantin Teleman (Cambridge, UK)","Borel-Weil-Bott theory for Loop Groups","4 pages, Mac-created PostScript. May display incorrectly but should
  print OK",,,,"alg-geom hep-th math.AG",,"  This note outlines the Borel-Weil-Bott theory for (arbitrary-genus) flag
varieties of loop groups, following ideas of G. Segal. Recent revivalist
interest in the ""WZW fusion rules"" suggests that my original (CMP 1995)
treatment of the matter is not all that well understood, so a brief account
thereof has been recycled along with the more recent results. Proofs are only
outlined, with full details given in the references.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 18:50:23 GMT""}]","2008-02-03"
"hep-th/9707159","Andre Leclair","A. LeClair, A. Ludwig, and G. Mussardo","Integrability of Coupled Conformal Field Theories","23 pages, four figures","Nucl.Phys. B512 (1998) 523-542","10.1016/S0550-3213(97)00724-4","ITP/97-081, ISAS/90/97/EP","hep-th cond-mat",,"  The massive phase of two-layer integrable systems is studied by means of RSOS
restrictions of affine Toda theories. A general classification of all possible
integrable perturbations of coupled minimal models is pursued by an analysis of
the (extended) Dynkin diagrams. The models considered in most detail are
coupled minimal models which interpolate between magnetically coupled Ising
models and Heisenberg spin-ladders along the $c<1$ discrete series.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 23:19:08 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jul 1997 20:34:58 GMT""}]","2009-10-30"
"hep-th/9707160","Keith Dienes","Julie D. Blum and Keith R. Dienes (Institute for Advanced Study,
  Princeton)","Strong/Weak Coupling Duality Relations for Non-Supersymmetric String
  Theories","7 ounces by weight, LaTeX, 15 figures","Nucl.Phys.B516:83-159,1998","10.1016/S0550-3213(97)00803-1","IASSNS-HEP-97/80 (July 1997)","hep-th hep-ph",,"  Both the supersymmetric $SO(32)$ and $E_8\times E_8$ heterotic strings in ten
dimensions have known strong-coupling duals. However, it has not been known
whether there also exist strong-coupling duals for the non-supersymmetric
heterotic strings in ten dimensions. In this paper, we construct explicit
open-string duals for the circle-compactifications of several of these
non-supersymmetric theories, among them the tachyon-free $SO(16)\times SO(16)$
string. Our method involves the construction of heterotic and open-string
interpolating models that continuously connect non-supersymmetric strings to
supersymmetric strings. We find that our non-supersymmetric dual theories have
exactly the same massless spectra as their heterotic counterparts within a
certain range of our interpolations. We also develop a novel method for
analyzing the solitons of non-supersymmetric open-string theories, and find
that the solitons of our dual theories also agree with their heterotic
counterparts. These are therefore the first known examples of strong/weak
coupling duality relations between non-supersymmetric, tachyon-free string
theories. Finally, the existence of these strong-coupling duals allows us to
examine the non-perturbative stability of these strings, and we propose a phase
diagram for the behavior of these strings as a function of coupling and radius.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 03:21:31 GMT""}]","2009-08-18"
"hep-th/9707161","Hirofumi Yasuta","Hirofumi Yasuta (Ibaraki University)","Resummation of Vacuum Bubble Diagrams in Gaussian Propagator Model","8 pages, 5 figures, REVTeX","Phys.Lett. B418 (1998) 145-148","10.1016/S0370-2693(97)01493-7","IU-MSTP/22","hep-th quant-ph",,"  An imaginary part of the false-vacuum energy density in a metastable system,
i.e., the decay width due to quantum tunneling, might be reproduced by Borel
resummation of vacuum bubble diagrams. We examine the convergence of this
prescription in the Gaussian propagator model, in which the analytical
expression of vacuum bubbles to the ninth order of loop expansion is available.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 08:12:27 GMT""}]","2009-10-30"
"hep-th/9707162","Nofumi Kitsunezaki","Naofumi Kitsunezaki and Jun Nishimura (Nagoya Univ.)","Unitary IIB Matrix Model and the Dynamical Generation of the Space Time","30 pages, 1 Postscript figure, The final version accepted by NPB","Nucl.Phys. B526 (1998) 351-377","10.1016/S0550-3213(98)00404-0","DPNU-97-32","hep-th",,"  We propose a unitary matrix model as a regularization of the IIB matrix model
of Ishibashi-Kawai-Kitazawa-Tsuchiya (IKKT). The fermionic part is incorporated
using the overlap formalism in order to avoid unwanted ``doublers'' while
preserving the global gauge invariance. This regularization, unlike the one
adopted by IKKT, has manifest U(1)^10 symmetry, which corresponds to the
ten-dimensional translational invariance of the space time. We calculate
one-loop effective action around some typical BPS-saturated configurations in
the weak coupling limit. We also discuss a possible scenario for the dynamical
generation of the four-dimensional space time through spontaneous breakdown of
the U(1)^10 symmetry in the double scaling limit.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 08:37:42 GMT""},{""version"":""v2"",""created"":""Mon, 18 May 1998 07:38:06 GMT""}]","2009-10-30"
"hep-th/9707163","Anton Rebhan","A. Rebhan and P. van Nieuwenhuizen","No saturation of the quantum Bogomolnyi bound by two-dimensional
  supersymmetric solitons","23 pages, LATeX","Nucl.Phys. B508 (1997) 449-467","10.1016/S0550-3213(97)00625-1","TUW-97-12, ITP-SB 97-37","hep-th",,"  We reanalyse the question whether the quantum Bogomolnyi bound is saturated
in the two-dimensional supersymmetric kink and sine-Gordon models. Our starting
point is the usual expression for the one-loop correction to the mass of a
soliton in terms of sums over zero-point energies. To regulate these sums, most
authors put the system in a box with suitable boundary conditions, and impose
an ultraviolet cut-off. We distinguish between an energy cut-off and a mode
number cut-off, and show that they lead to different results. We claim that
only the mode cut-off yields correct results, and only if one considers exactly
the same number of bosonic and fermionic modes in the total sum over
bound-state and zero-point energies. To substantiate this claim, we show that
in the sine-Gordon model only the mode cut-off yields a result for the quantum
soliton mass that is consistent with the exact result for the spectrum as
obtained by Dashen et al. from quantising the so-called breather solution. In
the supersymmetric case, our conclusion is that contrary to previous claims the
quantum Bogomolnyi bound is not saturated in any of the two-dimensional models
considered.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 12:33:37 GMT""}]","2009-10-30"
"hep-th/9707164","Suresh Govindarajan","Suresh Govindarajan (University of Bonn, Germany)","Heterotic M(atrix) theory at generic points in Narain moduli space","LaTeX, 28 pages, no figures, Secs. 4.1 and 5.2 slightly modified,
  same conclusions","Nucl.Phys. B507 (1997) 589-608","10.1016/S0550-3213(97)00600-7","BONN-TH-97-08","hep-th",,"  Type II compactifications with varying string coupling can be described
elegantly in F-theory/M-theory as compactifications on U - manifolds. Using a
similar approach to describe Super Yang-Mills with a varying coupling constant,
we argue that at generic points in Narain moduli space, the $E_8 \times E_8$
Heterotic string compactified on $T^2$ is described in M(atrix) theory by N=4
SYM in 3+1 dimensions with base $S^1 \times CP^1$ and a holomorphically varying
coupling constant. The $CP^1$ is best described as the base of an elliptic K3
whose fibre is the complexified coupling constant of the Super Yang-Mills
theory leading to manifest U-duality. We also consider the cases of the
Heterotic string on $S^1$ and $T^3$. The twisted sector seems to (almost)
naturally appear at precisely those points where enhancement of gauge symmetry
is expected and need not be postulated. A unifying picture emerges in which the
U-manifolds which describe type II orientifolds (dual to the Heterotic string)
as M- or F- theory compactifications play a crucial role in Heterotic M(atrix)
theory compactifications.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:10:01 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jul 1997 11:53:22 GMT""}]","2009-10-30"
"hep-th/9707165","Rainer Haeussling","Rainer H\""au{\ss}ling and Stephan Kappel","Complete control of gauge parameter dependence in the Abelian Higgs
  model","LaTeX 34pp","Eur.Phys.J.C4:543-556,1998","10.1007/s100520050227",,"hep-th",,"  We examine the dependence on all gauge parameters in the example of the
Abelian Higgs model by applying a general algebraic method which roots in an
extension of the usual Slavnov-Taylor identity. This method automatically
yields all information about the gauge parameter dependence of Green functions
and therefore especially allows to control the range of ``good'' normalization
conditions. In this context we show that the physical on-shell normalization
conditions are in complete agreement with the restrictions dictated by the
enlarged Slavnov-Taylor identity and that the coupling can be fixed in an
easily handleable way on the Ward identity of local gauge invariance. As an
application of the general method we also study the Callan-Symanzik equation
and the renormalization group equation of the Abelian Higgs model.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:45:49 GMT""}]","2016-08-15"
"hep-th/9707166","Andreas U. Schnmidt","Andreas U. Schmidt","Mathematical Problems of Gauge Quantum Field Theory: A Survey on the
  Schwinger Model","22 pages, AMSTeX with PICTeX macros. Typos corrected, reference
  added. v3: further references added, introduction and abstract updated","Universitatis Iagellonicae Acta Math., Fasc. XXXIV, 113-134 (1997)",,,"hep-th funct-an math.FA",,"  This extended write-up of a talk gives an introductory survey of mathematical
problems of the quantization of gauge systems. Using the Schwinger model as an
exactly tractable but nontrivial example which exhibits general features of
gauge quantum field theory, I cover the following subjects: The axiomatics of
quantum field theory, formulation of quantum field theory in terms of Wightman
functions, reconstruction of the state space, the local formulation of gauge
theories, indefiniteness of the Wightman functions in general and in the
special case of the Schwinger model, the state space of the Schwinger model,
special features of the model. New results are contained in the Mathematical
Appendix, where I consider in an abstract setting the Pontrjagin space
structure of a special class of indefinite inner product spaces - the so called
quasi-positive ones. This is motivated by the indefinite inner product space
structure appearing in the above context and generalizes results of Morchio and
Strocchi [J. Math. Phys. 31 (1990) 1467], and Dubin and Tarski [J. Math. Phys.
7 (1966) 574].
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 14:24:44 GMT""},{""version"":""v2"",""created"":""Thu, 20 Dec 2001 15:55:29 GMT""},{""version"":""v3"",""created"":""Mon, 4 Mar 2002 11:47:20 GMT""}]","2008-02-03"
"hep-th/9707167","Sangmin Lee","Sangmin Lee and Larus Thorlacius (Princeton University)","Strings and D-Branes at High Temperature","8 pages, LaTeX, 1 figure","Phys.Lett.B413:303-310,1997","10.1016/S0370-2693(97)01105-2","PUPT-1708","hep-th",,"  The thermodynamics of a gas of strings and D-branes near the Hagedorn
transition is described by a coupled set of Boltzmann equations for weakly
interacting open and closed long strings. The resulting distributions are
dominated by the open string sector, indicating that D-branes grow to fill
space at high temperature.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 15:00:41 GMT""}]","2008-11-26"
"nucl-th/9707027",,"H. Nakada and Y. Alhassid","Total and Parity-Projected Level Densities of Iron-Region Nuclei in the
  Auxiliary Fields Monte Carlo Shell Model","14 pages, 3 Postscript figures included, RevTex","Phys.Rev.Lett. 79 (1997) 2939-2942","10.1103/PhysRevLett.79.2939",,"nucl-th",,"  We use the auxiliary-fields Monte Carlo method for the shell model in the
complete $(pf+0g_{9/2})$-shell to calculate level densities. We introduce
parity projection techniques which enable us to calculate the parity dependence
of the level density. Results are presented for $^{56}$Fe, where the calculated
total level density is found to be in remarkable agreement with the
experimental level density. The parity-projected densities are well described
by a backshifted Bethe formula, but with significant dependence of the
single-particle level-density and backshift parameters on parity. We compare
our exact results with those of the thermal Hartree-Fock approximation.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 20:54:58 GMT""}]","2009-10-30"
"nucl-th/9707028","A. M. Sandorfi","A.M. Sandorfi, J. Tonnison and S. Hoblit","Constraining the (gamma,pi) amplitude for E2 N->delta","Submitted as a Comment to Physical Review Letters; RevTEX file/1 page",,,,"nucl-th",,"  A recent analysis of pion photo-production multipoles using p(g,pi0) data
from Mainz is repeated, successively adding constraints from other observables
and varying the number of fitted partial waves. The original analysis is shown
to have been underconstrained and suffered from ambiguities. The inclusion of
additional observables in our analysis results in a very different, but stable,
ratio of E2/M1 multipoles at the delta that is consistent with the Mainz data
set.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 23:41:09 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jul 1997 01:00:52 GMT""}]","2008-02-03"
"nucl-th/9707029","U. Meissner","C. Hanhart, J. Haidenbauer, M. Hoffmann, Ulf-G. Mei{\ss}ner, J.Speth","The reactions $pp\to pp\pi^0$ and $pp\to d\pi^+$ at threshold: The role
  of the isoscalar $\pi N$ scattering amplitude","12 pp, LaTeX file, 4 figures (uses epsf), enlarged version, accepted
  for publication in Phys. Lett. B","Phys.Lett. B424 (1998) 8-14","10.1016/S0370-2693(98)00216-0","KFA-IKP(TH)-1997-14","nucl-th",,"  We examine the role of the elementary isoscalar pion--nucleon scattering
amplitude in the description of the processes $pp \to pp\pi^0$ and $pp\to
d\pi^+$ at threshold. We argue that the presently used tree level dimension two
approximation used in chiral perturbation theory is insufficient as input by
direct comparison with the $\pi$N scattering data. We also show that a
successful semi--phenomenological boson--exchange model does better in the
description of these data. The influence of the violation of crossing symmetry
in the meson--exchange model has to be studied in more detail. We stress that
further investigations of the process $pp\to d\pi^+$ can pave the way to a
deeper understanding of the pion dominated part of the transition operator.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 07:50:05 GMT""},{""version"":""v2"",""created"":""Tue, 28 Apr 1998 14:55:51 GMT""}]","2009-10-30"
"q-alg/9707024","Oh Choo Hiap","L.C. Kwek and C.H. Oh","Some comments on $q$-deformed oscillators and $q$-deformed $su(2)$
  algebras","Needs Ljour2.sty and subeqnarray. Changes made to text with some
  references added. To appear in Z. Phys. 1998",,"10.1007/s100529800816",,"q-alg hep-th math.QA",,"  The various relations between $q$-deformed oscillators algebras and the
$q$-deformed $su(2)$ algebras are discussed. In particular, we exhibit the
similarity of the $q$-deformed $su(2)$ algebra obtained from $q$-oscillators
via Schwinger construction and those obtained from $q$-Holstein-Primakoff
transformation and show how the relation between $su_{\sqrt{q}}(2)$ and Hong
Yan $q$-oscillator can be regarded as an special case of In\""{o}u\""{e}- Wigner
contraction. This latter observation and the imposition of positive norm
requirement suggest that Hong-Yan $q$-oscillator algebra is different from the
usual $su_{\sqrt{q}}(2)$ algebra, contrary to current belief in the literature.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 03:16:03 GMT""},{""version"":""v2"",""created"":""Tue, 16 Dec 1997 06:59:15 GMT""}]","2015-06-26"
"quant-ph/9707036","Judy Mack","Susumu Okubo","Lorentz-Invariant Hamiltonian and Riemann Hypothesis","13 pages, TEX","J.Phys.A31:1049-1057,1998","10.1088/0305-4470/31/3/015","UR-1502","quant-ph",,"  We have given some arguments that a two-dimensional Lorentz-invariant
Hamiltonian may be relevant to the Riemann hypothesis concerning zero points of
the Riemann zeta function. Some eigenfunction of the Hamiltonian corresponding
to infinite-dimensional representation of the Lorentz group have many
interesting properties. Especially, a relationship exists between the zero zeta
function condition and the absence of trivial representations in the wave
function.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 16:01:22 GMT""}]","2008-11-26"
"quant-ph/9707037","Manfred Leubner","C.W. Gardiner, P. Zoller, R.J. Ballagh and M.J. Davis","Kinetics of Bose-Einstein Condensation in a Trap","9 pages, Revtex","Phys.Rev.Lett. 79 (1997) 1793-1796","10.1103/PhysRevLett.79.1793",,"quant-ph",,"  The formation process of a Bose-Einstein condensate in a trap is described
using a master equation based on quantum kinetic theory, which can be well
approximated by a description using only the condensate mode in interaction
with a thermalized bath of noncondensate atoms. A rate equation of the form n =
2W(n)[(1-exp((mu_n - mu)/kT))n + 1] is derived, in which the difference between
the condensate chemical potential mu_n and the bath chemical potential mu gives
the essential behavior. Solutions of this equation, in conjunction with the
theoretical description of the process of evaporative cooling, give a
characteristic latency period for condensate formation and appear to be
consistent with the observed behavior of both rubidium and sodium condensate
formation.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 12:15:14 GMT""}]","2009-10-30"
