"adap-org/9707002","Peter Grassberger","Hans-Martin Broeker and Peter Grassberger","Random Neighbor Theory of the Olami-Feder-Christensen Earthquake Model","18 pages, 6 ps-figures included; minor correction in sec.5",,"10.1103/PhysRevE.56.3944","HLRZ1997-22","adap-org nlin.AO",,"  We derive the exact equations of motion for the random neighbor version of
the Olami-Feder-Christensen earthquake model in the infinite-size limit. We
solve them numerically, and compare with simulations of the model for large
numbers of sites. We find perfect agreement. But we do not find any scaling or
phase transitions, except in the conservative limit. This is in contradiction
to claims by Lise & Jensen (Phys. Rev. Lett. 76, 2326 (1996)) based on
approximate solutions of the same model. It indicates again that scaling in the
Olami-Feder-Christensen model is only due to partial synchronization driven by
spatial inhomogeneities. Finally, we point out that our method can be used also
for other SOC models, and treat in detail the random neighbor version of the
Feder-Feder model.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 12:37:31 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 13:25:44 GMT""}]","2009-10-30"
"hep-ph/9707322","Hegyi Sandor","S. Hegyi (KFKI-RMKI Budapest)","H-function extension of the NBD in the light of experimental data","8 pages REVTeX, 1 eps figure embedded","Phys.Lett. B414 (1997) 210-219","10.1016/S0370-2693(97)00916-7",,"hep-ph",,"  The recently introduced H-function extension of the Negative Binomial
Distribution is investigated. The analytic form of P(n) is rederived by means
of the Mellin transform. Applications of the HNBD are provided using
experimental data for P(n) in e+e-, e+p, inelastic pp and non-diffractive
p-pbar reactions.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 12:03:11 GMT""}]","2009-10-30"
"hep-ph/9707323","Bryan Webber","Yu.L. Dokshitzer, G.D. Leder, S. Moretti and B.R. Webber","Better Jet Clustering Algorithms","32 pages, 16 figures, LaTeX2e, uses JHEP.cls (included). Version to
  be published in JHEP: reference to LUCLUS algorithm added. Program available
  at http://www.hep.phy.cam.ac.uk/theory/webber/camjet/","JHEP 9708:001,1997","10.1088/1126-6708/1997/08/001","Cavendish-HEP-97/06","hep-ph hep-ex",,"  We investigate modifications to the $k_\perp$-clustering jet algorithm which
preserve the advantages of the original Durham algorithm while reducing
non-perturbative corrections and providing better resolution of jet
substructure. We find that a simple change in the sequence of clustering
(combining smaller-angle pairs first), together with the `freezing' of soft
resolved jets, has beneficial effects.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 13:56:31 GMT""},{""version"":""v2"",""created"":""Sat, 23 Aug 1997 10:15:05 GMT""}]","2010-02-04"
"hep-ph/9707324","Ruth A. W. Gregory","Malcolm Anderson, Filipe Bonjour, Ruth Gregory and John Stewart","Effective action and motion of a cosmic string","24 pages revtex, 12 figures","Phys.Rev. D56 (1997) 8014-8028","10.1103/PhysRevD.56.8014","DTP/97/5, DAMTP/R-97/27","hep-ph astro-ph hep-th",,"  We examine the leading order corrections to the Nambu effective action for
the motion of a cosmic string, which appear at fourth order in the ratio of the
width to radius of curvature of the string. We determine the numerical
coefficients of these extrinsic curvature corrections, and derive the equations
of motion of the worldsheet. Using these equations, we calculate the
corrections to the motion of a collapsing loop, a travelling wave, and a
helical breather. From the numerical coefficients we have calculated, we
discuss whether the string motion can be labelled as `rigid' or `antirigid,'
and hence whether cusp or kink formation might be suppressed or enhanced.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 13:40:19 GMT""}]","2009-10-30"
"hep-ph/9707325","Varun Sheel","Varun Sheel, Hiranmaya Mishra and Jitendra C. Parikh","Quark Propagator and Meson Correlators in the QCD Vacuum","13 pages (including 3 figures), Latex, uses epsf style option and
  ijmpe1.sty file, submission in the form of uufile containing paper,3 figure
  ps files and ijmpe1.sty","Int.J.Mod.Phys. E6 (1997) 275-286","10.1142/S0218301397000172",,"hep-ph",,"  Equal time, point to point correlation functions for spatially separated
meson currents are calculated with respect to a variational construct for the
ground state of QCD. Given such an ansatz we make no further approximations in
the evaluation of the correlators. Our calculations for the vector, axial
vector and scalar channels show qualitative agreement with the phenomenological
predictions, whereas the pseudoscalar channel does not. However, the
pseudoscalar correlator, when approximated by saturating with intermediate one
pion states agrees with results obtained from spectral density functions
parameterised by pion decay constant and $<-\bar \psi \psi>$ value obtained
from chiral perturbation theory. We discuss this departure in the pseudoscalar
channel, in context of the quark propagation in the vacuum.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 14:20:20 GMT""}]","2015-06-25"
"hep-ph/9707326","Alexandre Tchapovski","W. Beenakker, A.P. Chapovsky (Leiden), F.A. Berends (CERN & Leiden)","Non-factorizable corrections to W-pair production: methods and analytic
  results","45 pages, LaTeX2e, 4 postscript figures, uses axodraw.sty","Nucl.Phys. B508 (1997) 17-63","10.1016/S0550-3213(97)00628-7",,"hep-ph",,"  In this paper we present two methods to evaluate non-factorizable corrections
to pair-production of unstable particles. The methods are illustrated in detail
for W-pair-mediated four-fermion production. The results are valid a few widths
above threshold, but not at threshold. One method uses the decomposition of
$n$-point scalar functions for virtual and real photons, and can therefore be
generalized to more complicated final states than four fermions. The other
technique is an elaboration on a method known from the literature and serves as
a useful check. Applications to other processes than W-pair production are
briefly mentioned.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 15:07:06 GMT""}]","2009-10-30"
"hep-th/9707093","Edward Witten","Edward Witten","On The Conformal Field Theory Of The Higgs Branch","27 pp, harvmac. Claims about a single fivebrane have been reduced.
  Clarifications and references added","JHEP 9707:003,1997","10.1088/1126-6708/1997/07/003",,"hep-th",,"  We study 1+1-dimensional theories of vector and hypermultiplets with (4,4)
supersymmetry. Despite strong infrared fluctuations, these theories flow in
general to distinct conformal field theories on the Coulomb and Higgs branches.
In some cases there may be a quantum Higgs theory even when there is no
classical Higgs branch. The Higgs branches of certain such theories provide a
framework for a matrix model of Type IIA fivebranes and the associated exotic
six-dimensional string theories. Proposals concerning the interactions of these
string theories are evaluated.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 02:14:49 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 1997 14:40:47 GMT""}]","2010-04-07"
"hep-th/9707098","Olav Tirkkonen","T. Nassar and O. Tirkkonen","Excited states in the twisted XXZ spin chain","16 pages, Latex; added discussion on quantum group invariance and
  arbitrary magnon number","J.Phys.A31:9983-9996,1998","10.1088/0305-4470/31/49/016","NORDITA-97/33 P","hep-th",,"  We compute the finite size spectrum for the spin 1/2 XXZ chain with twisted
boundary conditions, for anisotropy in the regime $0< \gamma <\pi/2$, and
arbitrary twist $\theta$. The string hypothesis is employed for treating
complex excitations. The Bethe Ansatz equtions are solved within a coupled
non-linear integral equation approach, with one equation for each type of
string. The root-of-unity quantum group invariant periodic chain reduces to the
XXZ_1/2 chain with a set of twist boundary conditions ($\pi/\gamma\in Z$,
$\theta$ an integer multiple of $\gamma$). For this model, the restricted
Hilbert space corresponds to an unitary conformal field theory, and we recover
all primary states in the Kac table in terms of states with specific twist and
strings.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:10:42 GMT""},{""version"":""v2"",""created"":""Thu, 14 Jan 1999 15:29:01 GMT""}]","2008-11-26"
"hep-th/9707099","Soo-Jong Rey","Daniel Kabat and Soo-Jong Rey","Wilson Lines and T-Duality in Heterotic M(atrix) Theory","Latex, 39 pages, 2 figures, part of subsection 3.3 corrected","Nucl.Phys.B508:535-568,1997","10.1016/S0550-3213(97)00605-6","IASSNS-HEP 97-49, NYU-97/05/01, SNUTP 97-059","hep-th",,"  We study the M(atrix) theory which describes the $E_8 \times E_8$ heterotic
string compactified on $S^1$, or equivalently M-theory compactified on an
orbifold $(S^1/\integer_2) \times S^1$, in the presence of a Wilson line. We
formulate the corresponding M(atrix) gauge theory, which lives on a dual
orbifold $S^1 \times (S^1 / \integer_2)$. Thirty-two real chiral fermions must
be introduced to cancel gauge anomalies. In the absence of an $E_8 \times E_8$
Wilson line, these fermions are symmetrically localized on the orbifold
boundaries. Turning on the Wilson line moves these fermions into the interior
of the orbifold. The M(atrix) theory action is uniquely determined by gauge and
supersymmetry anomaly cancellation in 2+1 dimensions. The action consistently
incorporates the massive IIA supergravity background into M(atrix) theory by
explicitly breaking (2+1)-dimensional Poincare invariance. The BPS excitations
of M(atrix) theory are identified and compared to the heterotic string. We find
that heterotic T-duality is realized as electric-magnetic S-duality in M(atrix)
theory.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:55:25 GMT""},{""version"":""v2"",""created"":""Wed, 16 Jul 1997 03:45:05 GMT""},{""version"":""v3"",""created"":""Wed, 8 Oct 1997 22:03:33 GMT""}]","2008-11-26"
"hep-th/9707100","Rabin Banerjee","R. Banerjee and E.C. Marino","Different Approaches for Bosonization in Higher Dimensions","LateX 22 pages","Nucl.Phys. B507 (1997) 501-518","10.1016/S0550-3213(97)00549-X",,"hep-th",,"  We describe two distinct approaches for bosonization in higher dimensions;
one is based on a direct comparison of current correlation functions while the
other relies on a Master lagrangean formalism. These are used to bosonise the
Massive Thirring Model in three and four dimensions in the weak coupling regime
but with an arbitrary fermion mass. In both approaches the explicit bosonised
lagrangean and current are derived in terms of gauge fields. The complete
equivalence of the two bosonization methods is established. Exact results for
the free massive fermion theory are also obtained. Finally, the two-dimensional
theory is revisited and the possibility of extending this analysis for
arbitrary dimensions is indicated.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:45:46 GMT""}]","2009-10-30"
"hep-th/9707101",,"J.M. Speight (University of Texas at Austin)","Lump dynamics in the CP^1 model on the torus","22 pages, Latex, 7 postscript figures","Commun.Math.Phys. 194 (1998) 513-539","10.1007/s002200050367",,"hep-th",,"  The topology and geometry of the moduli space, M_2, of degree 2 static
solutions of the CP^1 model on a torus (spacetime T^2 x R) are studied. It is
proved that M_2 is homeomorphic to the left coset space G/G_0 where G is a
certain eight-dimensional noncompact Lie group and G_0 is a discrete subgroup
of order 4. Low energy two-lump dynamics is approximated by geodesic motion on
M_2 with respect to a metric g defined by the restriction to M_2 of the kinetic
energy functional of the model. This lump dynamics decouples into a trivial
``centre of mass'' motion and nontrivial relative motion on a reduced moduli
space. It is proved that (M_2,g) is geodesically incomplete and has only finite
diameter. A low dimensional geodesic submanifold is identified and a full
description of its geodesics obtained.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 21:55:45 GMT""}]","2009-10-30"
"hep-th/9707102","John","John M. Pierre","Comparing D-branes and Black Holes with 0- and 6-brane Charge","8 pages, harvmac; Typos corrected, reference added","Phys. Rev. D 56, 6710 (1997)","10.1103/PhysRevD.56.6710","UCSBTH-97-16","hep-th",,"  We consider configurations of D6-branes with D0-brane charge given by recent
work of Taylor and compute interaction potentials with various D-brane probes
using a 1-loop open string calculation. These results are compared to a
supergravity calculation using the solution given by Sheinblatt of an extremal
black hole carrying 0-brane and 6-brane charge.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 22:56:00 GMT""},{""version"":""v2"",""created"":""Thu, 17 Jul 1997 18:36:28 GMT""}]","2016-08-25"
"hep-th/9707103","Seth Rosenberg","Seth Rosenberg","Testing causality violation on spacetimes with closed timelike curves","28 pages, 8 figures, latex","Phys.Rev. D57 (1998) 3365-3377","10.1103/PhysRevD.57.3365","UCSBTH-97-17","hep-th gr-qc",,"  Generalized quantum mechanics is used to examine a simple two-particle
scattering experiment in which there is a bounded region of closed timelike
curves (CTCs) in the experiment's future. The transitional probability is shown
to depend on the existence and distribution of the CTCs. The effect is
therefore acausal, since the CTCs are in the experiment's causal future. The
effect is due to the non-unitary evolution of the pre- and post-scattering
particles as they pass through the region of CTCs. We use the time-machine
spacetime developed by Politzer [1], in which CTCs are formed due to the
identification of a single spatial region at one time with the same region at
another time. For certain initial data, the total cross-section of a scattering
experiment is shown to deviate from the standard value (the value predicted if
no CTCs existed). It is shown that if the time machines are small, sparsely
distributed, or far away, then the deviation in the total cross-section may be
negligible as compared to the experimental error of even the most accurate
measurements of cross-sections. For a spacetime with CTCs at all points, or one
where microscopic time machines pervade the spacetime in the final moments
before the big crunch, the total cross-section is shown to agree with the
standard result (no CTCs) due to a cancellation effect.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 23:49:04 GMT""},{""version"":""v2"",""created"":""Fri, 11 Jul 1997 00:05:12 GMT""}]","2009-10-30"
"hep-th/9707104","Thomas Schmitt","Thomas Schmitt","Supermanifolds of classical solutions for Lagrangian field models with
  ghost and fermion fields","28 pages, AmsLaTeX 1.2",,,"Sfb 288 Preprint No. 270","hep-th dg-ga math.DG",,"  Using a supergeometric interpretation of field functionals, we show that for
a class of classical field models used for realistic quantum field theoretic
models, an infinite-dimensional supermanifold (smf) of classical solutions in
Minkowski space can be constructed. That is, we show that the smf of smooth
Cauchy data with compact support is isomorphic with an smf of corresponding
classical solutions of the model.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 00:57:19 GMT""}]","2008-02-03"
"hep-th/9707105","George Kraniotis","D. Bailin, G.V. Kraniotis and A. Love","The Supersymmetric CP problem in Orbifold Compactifications","LaTeX file 20 pages,16 ps figures (one figure added), two references
  added and typos corrected. Submitted to NPB","Nucl.Phys.B518:92-116,1998","10.1016/S0550-3213(98)00006-6","SUSX-TH-97-12","hep-th",,"  The possibility of spontaneous breaking of CP symmetry by the expectation
values of orbifold moduli is investigated with particular reference to $CP$
violating phases in soft supersymmetry breaking terms. The effect of different
mechanisms for stabilizing the dilaton and the form of the non-perturbative
superpotential on the existence and size of these phases is studied. Models
with modular symmetries which are subgroups of $PSL(2,Z)$, as well as the
single overall modulus $T$ case with the full $PSL(2,Z)$ modular symmetry, are
discussed. Non-perturbative superpotentials involving the absolute modular
invariant $j(T)$, such as may arise from F-theory compactifications, are
considered.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 01:33:59 GMT""},{""version"":""v2"",""created"":""Sun, 28 Sep 1997 19:18:38 GMT""}]","2014-11-18"
"hep-th/9707106","Kackkachi Kackkachi","M. Kachkachi, A. Lamine and M. Sarih (D\'epartement de
  Math\'ematiques, Universit\'e Hassan 1er, Settat, Morocco)","Gauge Theories: Geometry and cohomological invariants","15 pages, revtex. Submitted to J. Phys. A: Mathematical and General","Int.J.Theor.Phys. 37 (1998) 1681-1692",,,"hep-th",,"  We develop a geometrical structure of the manifolds $\Gamma$ and $\hat\Gamma$
associated respectively to the gauge symmetry and to the BRST symmetry. Then,
we show that ($\hat\Gamma,\hat\zeta,\Gamma$), where $\hat\zeta$ is the group of
BRST transformations, is endowed with the structure of a principle fiber bundle
over the base manifold $\Gamma$. Furthermore, in this geometrical set up due to
the nilpotency of the BRST operator, we prove that the effective action of a
gauge theory is a BRST-exact term up to the classical action. Then, we conclude
that the effective action where only the gauge symmetry is fixed, is
cohomologically equivalent to the action where the gauge and the BRST
symmetries are fixed.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 07:34:36 GMT""}]","2007-05-23"
"hep-th/9707107","Jean-Loup Gervais","Eugene Cremmer, Jean-Loup Gervais","T Duality of Perturbative Characters for Closed Bosonic and Type II
  String Theories","44 pages LateX 2E, 2 figures (eps)","Nucl.Phys. B509 (1998) 83-121","10.1016/S0550-3213(97)00597-X","LPTENS-97/26","hep-th",,"  The duality properties of perturbative string characters associated with the
transverse space-time rotations are studied. T duality is achieved by suitably
integrating over the total momentum, contrary to earlier discussions. The O(8)
triality properties of the characters for critical superstrings, are derived.
This shows the existence of a third formulation (unnoticed so far to our
knowledge) equivalent to, but different from the ones of Neveu-Schwarz-Ramond,
and Green-Schwarz. Projectors in the NS and R sectors are defined in the GS
formalism. The consequences of supersymmetry are neatly derived at once for all
massive states by factorising the character of the long SUSY multiplet.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 07:40:21 GMT""}]","2009-10-30"
"hep-th/9707108",,"Yoshihisa Kitazawa (Tokyo Institute of Technology), Rie Kuriki (Tokyo
  Institute of Technology) and Katsumi Shigura (Tokyo Institute of Technology)","BRST Cohomology and Renormalizability of Quantum Gravity near Two
  Dimensions","12 pages, Mod. Phys. Lett. A (to be published)","Mod.Phys.Lett. A12 (1997) 1871-1878","10.1142/S0217732397001916","TIT/HEP-364","hep-th",,"  We discuss the renormalizability of quantum gravity near two dimensions based
on the results obtained by a computation of the BRST-antibracket cohomology in
the space of local functionals of the fields and antifields. We justify the
assumption on the general structure of the counterterms which have been used in
the original proof of renormalizability of the quantum gravity near two
dimensions.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 08:43:10 GMT""}]","2009-10-30"
"hep-th/9707109","Subrata Pal","Subir Ghosh (Dinabandhu Andrews College, Calcutta)","Screening in Anyon Gas","10 pages Latex","J.Phys. A30 (1997) L821-L828","10.1088/0305-4470/30/24/002",,"hep-th",,"  Anyon gas with interparticle (retarded) Coulomb interaction has been studied.
The resulting system is shown to be a collection of dressed anyons, with a
screening factor introduced in their spin. Close structural similarity with the
Chern-Simons construction of anyons has helped considerably in computing the
screening effect. Finally the present model is compared with the conventional
Chern-Simons construction.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 10:14:50 GMT""}]","2009-10-30"
"hep-th/9707110","Bandos","Igor Bandos and Wolfgang Kummer","A Polynomial First Order Action for the Dirichlet 3-brane","Eq. (53) corrected, acknowledgement added, 13 pages, LATEX, no
  figures","Phys.Lett. B413 (1997) 311-321; Erratum-ibid. B420 (1998) 405","10.1016/S0370-2693(97)01128-3","TUW/97-11, published in Phys.Lett.B","hep-th",,"  A new first order action for type IIB Dirichlet 3-brane is proposed. Its form
is inspired by the superfield equations of motion obtained recently from the
generalized action principle. The action involves auxiliary symmetric spin
tensor fields. It seems promising for a reformulation of the generalized action
in a structure most adequate for investigating the extrinsic geometry of the
super-3- brane, but also for further studies of string dualities.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 11:13:13 GMT""},{""version"":""v2"",""created"":""Wed, 17 Dec 1997 09:51:55 GMT""}]","2016-09-06"
"hep-th/9707111","Nikita Nekrasov","Nikita Nekrasov","On a Duality in Calogero-Moser-Sutherland Systems","6 pp., Harvmac (l) mode",,,"ITEP-TH-16/97, HUTP-97/A017","hep-th",,"  We point out a map between the dynamics of a non-relativistic system of $N$
particles in one dimension interacting via the pair-wise potentials $U_I(q) =
(\nu^2/4R^2)\sin^2(q/2R)$ and the one of the particles with the pair potential
$U_{II}(q) = \nu^2/q^2$ and the external potential $U_{ext} = \omega^2 q^2/2$.
The natural relation between the frequency $\omega$ and the radius $R$ is:
$\omega R = 1$.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 11:16:11 GMT""}]","2007-05-23"
"hep-th/9707112","Tomas Sykora","R. A. Bertlmann (Universitat Wien), Tomas Sykora (Charles University,
  Prague)","On the Point-Splitting Method of the Commutator Anomaly of the Gauss Law
  Operators","16 pages, RevTex, 1 figure + 1 table, uses psbox.tex","Phys.Rev.D56:2236-2241,1997","10.1103/PhysRevD.56.2236",,"hep-th",,"  We analyze the generalized point-splitting method and Jo's result for the
commutator anomaly. We find that certain classes of general regularization
kernels satisfying integral conditions provide a unique result, which, however
differs from Faddeev's cohomological result.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 15:17:40 GMT""}]","2009-07-24"
"hep-th/9707114","Andras Szenes","Andras Szenes","Iterated Residues and Multiple Bernoulli Polynomials","18 pages, the 1998 published version, Latex, uses diagrams.sty","Internat. Math. Res. Notices 1998, no. 18, 937--956",,,"hep-th alg-geom math.AG",,"  We describe an effective method for calculating certain infinite sums,
generalizations of the classical Bernoulli polynomials. As shown by Edward
Witten in his papers on two-dimensional gauge theories, the correlation
functions of two-dimensional topological Yang-Mills theory (or intersection
numbers on moduli spaces of flat connections) can be given in the form of such
infinite sums. Thus, in particular, our results give finite expressions for
these correlation functions in the case of arbitrary compact structure groups
G.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 14:56:41 GMT""},{""version"":""v2"",""created"":""Wed, 5 Sep 2001 23:27:57 GMT""}]","2008-02-03"
"hep-th/9707115","Herbert Liebl","W. Kummer, H. Liebl (Vienna, Tech. U.), D.V. Vassilevich (St.
  Petersburg University)","Nonperturbative path integral of 2d dilaton gravity and two-loop effects
  from scalar matter","15 pages","Nucl.Phys. B513 (1998) 723-734","10.1016/S0550-3213(97)00796-7","TUW-97-08","hep-th gr-qc",,"  Performing an nonperturbative path integral for the geometric part of a large
class of 2d theories without kinetic term for the dilaton field, the quantum
effects from scalar matter fields are treated as a perturbation. When
integrated out to two-loops they yield a correction to the Polyakov term which
is still exact in the geometric part. Interestingly enough the effective action
only experiences a renormalization of the dilaton potential.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 15:25:18 GMT""}]","2009-10-30"
"hep-th/9707116","Zbigniew Was","Z. Was","Trefoil knot and ad-hoc classification of elementary fields in the
  Standard Model","uuencoded and gtar: was.tex was1.eps was2.eps. Use latex; in total 8
  pages including front and 2 figure pages","Phys.Lett. B416 (1998) 369-372","10.1016/S0370-2693(97)01346-4","CERN-TH/97-162","hep-th",,"  We present an arbitrary model based on the trefoil knot to construct objects
of the same spectrum as that of elementary particles. It includes `waves' and
three identical sets of sources. Due to Lorentz invariance, `waves' group into
3 types of 1, 3 and 8 objects and `sources' consists of 3 identical sets of
30+2 elements, which separate into: 1 * 1 * 2 + 1 * 2 * 2 + 3 * 2 * 2 + 3 * 1 *
2 + 3 * 1 * 2 and another 1 * 1 * 2 group (which does not match classification
of the Standard Model fields). On the other hand, there is no room in this
construction for objects directly corresponding to Higgs-like degrees of
freedom.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 15:38:39 GMT""}]","2009-10-30"
"hep-th/9707120","Andrei Mironov","A.Gorsky, S.Gukov and A.Mironov","Multiscale N=2 SUSY field theories, integrable systems and their
  stringy/brane origin -- I","LaTeX with epsf, 5 figures, 42 pages","Nucl.Phys. B517 (1998) 409-461","10.1016/S0550-3213(98)00055-8","ITEP/TH-25/97, FIAN/TD-8/97","hep-th",,"  We discuss supersymmetric Yang-Mills theories with the multiple scales in the
brane language. The issue concerns N=2 SUSY gauge theories with massive
fundamental matter including the UV finite case of $n_{f}=2n_c$, theories
involving products of SU(n) gauge groups with bifundamental matter, and the
systems with several parameters similar to $\Lambda_{QCD}$. We argue that the
proper integrable systems are, accordingly, twisted XXX SL(2) spin chain,
$SL(p)$ magnets and degenerations of the spin Calogero system. The issue of
symmetries underlying integrable systems is addressed. Relations with the
monopole systems are specially discussed. Brane pictures behind all these
integrable structures in the IIB and M theory are suggested. We argue that
degrees of freedom in integrable systems are related to KK excitations in M
theory or D-particles in the IIA string theory, which substitute the infinite
number of instantons in the field theory. This implies the presence of more BPS
states in the low-energy sector.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 12:03:17 GMT""}]","2009-10-30"
"math/9707221",,"H\'el\`ene Barcelo, Arun Ram","Combinatorial Representation Theory",,,,"MSRI 1997-082","math.RT math.CO",,"  We attempt to survey the field of combinatorial representation theory,
describe the main results and main questions and give an update of its current
status. We give a personal viewpoint on the field, while remaining aware that
there is much important and beautiful work that we have not been able to
mention.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 00:00:00 GMT""}]","2009-09-25"
"math/9707231","Hans Schoutens","Hans Schoutens (Fields Institute)","Existentially closed models of the theory of Artinian local rings",,,,"FI-MT1997-010","math.AC math.RA",,"  The class of all Artinian local rings of length at most l is A_2-elementary,
axiomatised by a finite set of axioms Art_l. We show that its existentially
closed models are Gorenstein, of length exactly l and their residue fields are
algebraically closed, and, conversely, every existentially closed model is of
this form. The theory Gor_l of all Artinian local Gorenstein rings of length l
with algebraically closed residue field is model complete and the theory Art_l
is companionable, with model-companion Gor_l.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 00:00:00 GMT""}]","2008-02-03"
"patt-sol/9707003","Juan A. Acebron","J.A. Acebron, L.L. Bonilla, S. De Leo and R.Spigler","Breaking the symmetry in bimodal frequency distributions of globally
  coupled oscillators","Revtex,4 pag,5 fig",,"10.1103/PhysRevE.57.5287",,"patt-sol cond-mat.dis-nn nlin.PS",,"  The mean-field Kuramoto model for synchronization of phase oscillators with
an asymmetric bimodal frequency distribution is analyzed. Breaking the
reflection symmetry facilitates oscillator synchronization to rotating wave
phases. Numerical simulations support the results based of bifurcation theory
and high-frequency calculations. In the latter case, the order parameter is a
linear superposition of parameters corresponding to rotating and
counterrotating phases.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 08:25:14 GMT""}]","2009-10-30"
"physics/9707011","Mikhail G. Kozlov","M. Kozlov, A. Titov, N. Mosyagin and P. Souchko (Petersburg Nuclear
  Physics Institute)","Enhancement of the electric dipole moment of the electron in BaF
  molecule","8 pages, REVTEX, report at II International Symposium on Symmetries
  in Subatomic Physics, Seattle 1997","Phys. Rev. A, 56, R3326-9 (1997)","10.1103/PhysRevA.56.R3326",,"physics.atom-ph physics.chem-ph",,"  We report results of ab initio calculation of the spin-rotational Hamiltonian
parameters including P- and P,T-odd terms for the BaF molecule. The ground
state wave function of BaF molecule is found with the help of the Relativistic
Effective Core Potential method followed by the restoration of molecular
four-component spinors in the core region of barium in the framework of a
non-variational procedure. Core polarization effects are included with the help
of the atomic Many Body Perturbation Theory for Barium atom. For the hyperfine
constants the accuracy of this method is about 5-10%.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:45:03 GMT""}]","2009-10-30"
"physics/9707012","Haret Rosu","H.C. Rosu, J.L. Romero, J. Socorro","Supersymmetric partner chirping of Newtonian free damping","3 pages in LaTex","Nuovo Cimento B 113 (April 1998) 549-552",,,"math-ph math.MP quant-ph",,"  We connect the classical free damping cases by means of Rosner's construction
in supersymmetric quantum mechanics. Starting with the critical damping, one
can obtain in the underdamping case a chirping of instantaneous physical
frequency \omega ^{2}(t) \propto \omega_{u}^{2}sech^2(\omega_{u}t), whereas in
the overdamped case the ""chirping"" is of the (unphysical) type \omega
^{2}(t)\propto\omega_{o}^{2}sec^{2}(\omega_{o}t), where \omega_{u}$ and
$\omega_{o} are the underdamped and overdamped frequency parameters,
respectively
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 21:14:20 GMT""},{""version"":""v2"",""created"":""Thu, 10 Jul 1997 23:50:03 GMT""},{""version"":""v3"",""created"":""Sun, 31 Aug 1997 22:36:45 GMT""},{""version"":""v4"",""created"":""Mon, 4 May 1998 20:50:41 GMT""}]","2008-11-06"
"q-alg/9707013","Gilda Reyes","Robert J. Finkelstein (Department of Physics, UCLA)","q-Uncertainty Relations","10 pages, tex file",,"10.1142/S0217751X98000780","UCLA/97/TEP/14","q-alg math.QA",,"  As one would anticipate from the realization of the q-commutators by
difference operators, the states of maximum localization are smeared delta
functions depending on q.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 22:09:37 GMT""}]","2009-10-30"
"q-alg/9707014","Atsuo Kuniba","A.Kuniba, K.C.Misra, M.Okado, T.Takagi and J.Uchiyama","Crystals for Demazure Modules of Classical Affine Lie Algebras","Latex, 28 pages",,,,"q-alg math.QA",,"  We study, in the path realization, crystals for Demazure modules of affine
Lie algebras of types $A^{(1)}_n,B^{(1)}_n,C^{(1)}_n,D^{(1)}_n,
A^{(2)}_{2n-1},A^{(2)}_{2n}, and D^{(2)}_{n+1}$. We find a special sequence of
affine Weyl group elements for the selected perfect crystal, and show if the
highest weight is $l\La_0$, the Demazure crystal has a remarkably simple
structure.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 06:01:26 GMT""}]","2008-02-03"
