"adap-org/9705003","Henryk Fuks","Henryk Fuks and Nino Boccara","Generalized Deterministic Traffic Rules","12 pages, 7 figures","Int. J. Mod. Phys. C 9, 1-12 (1998)","10.1142/S0129183198000029",,"adap-org nlin.AO",,"  We study a family of deterministic models for highway traffic flow which
generalize cellular automaton rule 184. This family is parametrized by the
speed limit $m$ and another parameter $k$ that represents a ``degree of
aggressiveness'' in driving, strictly related to the distance between two
consecutive cars. We compare two driving strategies with identical maximum
throughput: ``conservative'' driving with high speed limit and ``aggressive''
driving with low speed limit. Those two strategies are evaluated in terms of
accident probability. We also discuss fundamental diagrams of generalized
traffic rules and examine limitations of maximum achievable throughput.
Possible modifications of the model are considered.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:25:48 GMT""}]","2009-10-30"
"math/9705225","Shelah Office","Andreas Blass, Yuri Gurevich, Saharon Shelah","Choiceless polynomial time",,,,"Shelah [BGSh:533]","math.LO cs.LO",,"  Turing machines define polynomial time (PTime) on strings but cannot deal
with structures like graphs directly, and there is no known, easily computable
string encoding of isomorphism classes of structures. Is there a computation
model whose machines do not distinguish between isomorphic structures and
compute exactly PTime properties? This question can be recast as follows: Does
there exist a logic that captures polynomial time (without presuming the
presence of a linear order)? Earlier, one of us conjectured the negative
answer. The problem motivated a quest for stronger and stronger PTime logics.
All these logics avoid arbitrary choice. Here we attempt to capture the
choiceless fragment of PTime. Our computation model is a version of abstract
state machines (formerly called evolving algebras). The idea is to replace
arbitrary choice with parallel execution. The resulting logic is more
expressive than other PTime logics in the literature. A more difficult theorem
shows that the logic does not capture all PTime.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 00:00:00 GMT""}]","2008-02-03"
"math/9705226","Shelah Office","Saharon Shelah","On a problem of Steve Kalikov",,,,"Shelah [Sh:590]","math.LO",,"  The Kalikow problem for a pair (lambda, kappa) of cardinal numbers, lambda >
kappa (in particular kappa =2) is whether we can map the family of omega
--sequences from lambda to the family of omega --sequences from kappa in a very
continuous manner. Namely, we demand that for eta, nu in lambda^omega we have:
  eta, nu are almost equal if and only if their images are.
  We show consistency of the negative answer e.g. for aleph_omega but we prove
it for smaller cardinals. We indicate a close connection with the free subset
property and its variants.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9705024","Dirk Rischke","Sergei G. Matinyan, Berndt Mueller, and Dirk H. Rischke","Gluon Radiation and Coherent States in Ultrarelativistic Nuclear
  Collisions","15 pages, 6 figures, RevTeX (with epsf, psfig style files)","Phys.Rev.C56:2191-2201,1997","10.1103/PhysRevC.56.2191","DU-TH-143","nucl-th",,"  We explore the correspondence between classical gluon radiation and quantum
radiation in a coherent state for gluons produced in ultrarelativistic nuclear
collisions. The expectation value of the invariant momentum distribution of
gluons in the coherent state is found to agree with the gluon number
distribution obtained classically from the solution of the Yang-Mills
equations. A criterion for the applicability of the coherent state formalism to
the problem of radiation in ultrarelativistic nucleus-nucleus collisions is
discussed. This criterion is found to be fulfilled for midrapidity gluons with
perturbative transverse momenta larger than about 1-2 GeV and produced in
collisions between valence partons.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 19:32:41 GMT""}]","2008-11-26"
"nucl-th/9705025","Thomas Hemmert","Thomas R. Hemmert (1), Barry R. Holstein (2), Germar Knoechlein (1 and
  3) and Stefan Scherer (3) ((1) TRIUMF, (2) UMASS Amherst, (3) U. Mainz)","Generalized Polarizabilities and the Chiral Structure of the Nucleon","11 pages, 2 figures, RevTex, submitted to Physical Review Letters","Phys.Rev.Lett. 79 (1997) 22-25","10.1103/PhysRevLett.79.22","TRI-PP-97-09, MKPH-T-97-12","nucl-th hep-ph",,"  We are studying the electron scattering process e p to e' p' gamma in order
to obtain information on the genuine virtual Compton scattering (VCS) process
gamma^* N to gamma N. In addition to the two kinematical variables of real
Compton scattering, e.g. the scattering angle theta and the energy omega' of
the outgoing photon, the invariant amplitude for VCS depends on a third
kinematical variable, which we choose as the absolute value of the
three-momentum transfer to the nucleon. The structure-dependent coefficients in
the VCS amplitude therefore acquire a momentum dependence and are termed
``generalized polarizabilities'' of the nucleon in analogy to real Compton
scattering. Utilizing the heavy baryon formalism of chiral perturbation theory
we present predictions for the momentum dependence of the ``generalized
polarizabilities'' and discuss the VCS response functions to be measured in the
scheduled electron scattering experiments.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 06:48:01 GMT""}]","2009-10-30"
"nucl-th/9705026","Jiri Mares","E. Friedman (1), A. Gal (1), J. Mares (2) ((1) Hebrew U. Jerusalem,
  (2) INP Rez/Prague)","Medium effects in K^+ nuclear interactions","23 pages, RevTeX, 2 postscript figures, submitted Nucl. Phys. A","Nucl.Phys. A625 (1997) 272-286","10.1016/S0375-9474(97)00484-3",,"nucl-th",,"  Total and reaction cross sections are derived self consistently from the
attenuation cross sections measured in transmission experiments at the AGS for
K^+ on Li^6, C, Si and Ca in the momentum range of 500-700 MeV/c by using a
V_{opt}=t_{eff}(rho)rho optical potential. Self consistency requires, for the
KN in-medium t matrix, that Im t_{eff}(rho) increases linearly with the average
nuclear density in excess of a threshold value of 0.088+-0.004 fm^-3. The
density dependence of Re t_{eff}(rho) is studied phenomenologically, and also
applying a relativistic mean field approach, by fitting the integral cross
sections. The real part of the optical potential is found to be systematically
less repulsive with increasing energy than expected from the free-space
repulsive KN interaction. When the elastic scattering data for Li^6 and C at
715 MeV/c are included in the analysis, a tendency of Re V_{opt} to generate an
attractive pocket at the nuclear surface is observed.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 08:16:25 GMT""}]","2009-10-30"
"nucl-th/9705027","Kari Eskola","K.J. Eskola","Minijets in ultrarelativistic heavy ion collisions at future colliders","15 pages, including 2 figures, an invited article to Comments on
  Nuclear and Particle Physics","Comments Nucl.Part.Phys. 22 (1998) 185-203",,"CERN-TH/97-97","nucl-th hep-ph",,"  The role of minijet production as initial conditions for QGP production at
$\tau\sim 0.1 fm/c$ in nuclear collisions at the LHC and RHIC energies is
discussed.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 08:24:33 GMT""}]","2007-05-23"
"nucl-th/9705028","Martin Sieber","M. Brack, S. M. Reimann, M. Sieber","Semiclassical Interpretation of the Mass Asymmetry in Nuclear Fission","LaTeX, 8 pages including 3 PostScript figures","Phys.Rev.Lett.79:1817-1820,1997","10.1103/PhysRevLett.79.1817","TPR-97-03, ULM-TP/97-5","nucl-th chao-dyn nlin.CD",,"  We give a semiclassical interpretation of the mass asymmetry in the fission
of heavy nuclei. Using only a few classical periodic orbits and a cavity model
for the nuclear mean field, we reproduce the onset of left-right asymmetric
shapes at the fission isomer minimum and the correct topology of the
deformation energy surface in the region of the outer fission barrier. We point
at the correspondence of the single-particle quantum states responsible for the
asymmetry with the leading classical orbits, both lying in similar equatorial
planes perpendicular to the symmetry axis of the system.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 09:01:25 GMT""}]","2009-01-23"
"nucl-th/9705029","Kenji Saito","K. Saito, M. Oka (Tokyo Inst. of Tech.) and T. Suzuki (Nihon Univ.)","Exchange Currents for Hypernuclear Magnetic Moments","11pp, LaTeX, 7 EPS figures, uses epsf.sty","Nucl.Phys. A625 (1997) 95-106","10.1016/S0375-9474(97)00493-4","TIT/HEP-368/NP","nucl-th",,"  The meson(K and $\pi$) exchange currents for the hypernuclear magnetic
moments are calculated using the effective Lagrangian method. The seagull
diagram, the mesonic diagram and the $\Sigma^0$-excitation diagram are
considered. The $\Lambda$-N exchange magnetic moments for the
${}^5_{\Lambda}He$, ${}^6_{\Lambda}He$ and ${}^6_{\Lambda}Li$ are calculated
employing the harmonic oscillator shell model. It is found that the two-body
correction is about -9% of the single particle value for ${}^5_{\Lambda}He$.
The $\pi$ exchange current, induced only in the $\Sigma^0$-excitation diagram,
is found to give dominant contribution for the isovector magnetic moments of
hypernuclei with A=6.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 10:00:37 GMT""}]","2009-10-30"
"patt-sol/9705007","Igor Keller","I. Keller, A. Oron and P. Z. Bar-Yoseph (Technion, Israel)","On Envelope Dynamics In 2D Faraday Waves","6 pages, Latex, 2 embedded Encapsulated PostScript Figures, submitted
  to Europhys. Letters",,,,"patt-sol nlin.PS",,"  A weakly nonlinear model for two-dimensional Faraday waves over infinite
depth is derived and studied. Sideband instability of monochromatic standing
waves as well as non-monochromatic solutions are studied analytically.
Persistent irregular regimes are found numerically.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 11:57:56 GMT""}]","2008-02-03"
"physics/9705015","Inst. Basic Res.","R. M. Santilli","Isominkowskian unification of the special and general relativities
  (letter)","18 pages; PACS 04.60.+n, 03.65.-w, 11.10.-z; for further information
  contact ibr@gte.net or http://home1.gte.net/ibr/",,,,"physics.gen-ph",,"  We submit a classical unification of the special and general relativities via
the new isominkowskian geometry in which the two relativities are
differentiated by the basic unit. We then show that the unification admits an
operator image in which gravitation verifies the abstract axioms of
relativistic quantum mechanics under a universal symmetry which is isomorphic
to the Poincar\'{e} symmetry. The compliance of the unification with available
experimental data is indicated. This study has been permitted by the recent
achievement of sufficient mathematical maturity in memoir$^{3f}$, axiomatic
consistency in memoir$^{3t}$ and generalized symmetry principles in
memoir$^{4v}$. More detailed studies are presented in the forthcoming
paper$^{3u}$.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 20:30:12 GMT""}]","2008-02-03"
"physics/9705016","Inst. Basic Res.","R. M. Santilli","Classical and operator isominkowskian unification of general and special
  relativities for metter and their isodual for antimatter (paper)","48 pages; PACS 04.60.+n, 03.65.-w, 11.10.-z; for further information
  contact ibr@gte.net or http://home1.gte.net/ibr/",,,,"physics.gen-ph",,"  We recall that the Minkowskian geometry possesses basic units of space and
time which are invariant under the Poincar\'{e} symmetry. We then show that, by
comparison, the Riemannian geometry possesses space-time units which are not
invariant under the symmetries of the Riemannian line element, thus causing
evident physical ambiguities. We therefore introduce a novel formulation of
general relativity in the isominkowskian geometry which is an axiom-preserving
lifting of the conventional Minkowskian geometry but which nevertheless admits
all possible Riemannian metrics thanks to a (positive-definite) $4 \times 4$
generalization of the basic unit. We construct the universal symmetry of the
isominkowskian line elements called isopoincar\'{e} symmetry}, prove that it is
locally isomorphic to the conventional Poincar\'{e} symmetry, and show that, in
this way, conventional Riemannian metrics and related field equations can be
expressed with respect to invariant generalized units of space and time. We
then show that the isominkowskian geometry and related isopoincar\'{e} symmetry
permit: I) A classical geometric unification of the general and special
relativities for matter into a formulation called isospecial relativity in
which the former occurs for generalized units while admitting the latter as a
particular case for conventional units; II) A novel operator formulation of
gravity for matter based on the abstract axioms of relativistic quantum
mechanics, thus showing hope for a possible resolution of the ambiguities in
current theories of quantum gravity; and III) A novel classical and operator
formulation of antimatter which is an antiautomorphic image of the preceding
formulations for matter constructed via a map called isoduality. The
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 20:38:10 GMT""}]","2016-09-08"
"physics/9705017","Alex Y. H. Ng","Y. H. Ng, J. F. McCann (University of Durham, UK)","The distorted-wave impulse approximation for electron capture into
  excited states","13 pages of text and 6 postscript figures, to be published in J.
  Phys. B: At. Mol. Opt. Phys",,,,"physics.atom-ph",,"  Total cross sections for electron capture are calculated for collisions of
fast protons and alpha-particles with atomic hydrogen. The distorted- wave
impulse approximation is applied over the energy range 10-1500 keV/u.
State-selective results are given for the 1s, 2s and 2p levels. Both the 'post'
and 'prior' forms of the model are calculated and compared with results from
other theories and experimental measurements. In general the model performs
very well in comparison with experiment over this energy range though
discrepancies arise at lower energies.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 12:39:14 GMT""}]","2008-02-03"
"physics/9705018","Inst. Basic Res.","R. M. Santilli","Invariant formulation of q-deformations via the novel genomathematics","16 pages; PACS 03.65.- w, 3.65.Bz, 03.65.Fd; for further information
  contact ibr@gte.net or http://home1.gte.net/ibr/",,,,"physics.gen-ph",,"  In this note we outline the history of q-deformations; indicate their
physical shortcomings; suggest their apparent resolution via an invariant
formulation based on a new mathematics of genotopic type; and point out their
expected physical significance once formulated in an invariant way.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 13:05:14 GMT""}]","2008-02-03"
"physics/9705019","Mikhail Yu. Konstantinov","M. Yu. Konstantinov","Comments on the Hypothesis about Possible Class of Particles Able to
  Travel Faster then Light: Some Geometrical Models","8 pages, LaTeX, no figures, minor spelling changes are made",,,"RGS-VNIIMS-006/97","physics.gen-ph",,"  The hypothesis about possible existence of new class of particles able to
travel faster then light as a source of dark matter, recently formulated by L.
Gonzalez-Mesters, is analyzed. To this end the general geometrical model for
several kinds of matter with different Lorentziann structures coexisting on the
same manifold is introduced and the local energy density in cosmological
reference frame is calculated in two particular cases. It is shown that the
local energy density is positive in both considered cases and hence such models
really may describe cosmological dark matter. Nevertheless, some problems may
appear during the construction of the cosmological models or the models of the
compact objects. Moreover, the simplest generalization of the model lead to
some variants of vector-tensor theory of gravitation with preferable reference
frame which contradict to observations.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 13:56:58 GMT""},{""version"":""v2"",""created"":""Fri, 16 May 1997 15:54:27 GMT""}]","2008-02-03"
"physics/9705021","S. C. Woon","S. C. Woon (DAMTP, University of Cambridge)","Analytic Continuation of Bernoulli Numbers, a New Formula for the
  Riemann Zeta Function, and the Phenonmenon of Scattering of Zeros","16 pages, LaTeX, 11 figures. Animated gifs and associated papers are
  at http://www.damtp.cam.ac.uk/user/scw21/papers/ . On the mathematical and
  number theory applications of the method in hep-th/9707206",,,"DAMTP-R-97/19","math-ph math.MP nlin.CD",,"  The method analytic continuation of operators acting integer n-times to
complex s-times (hep-th/9707206) is applied to an operator that generates
Bernoulli numbers B_n (Math. Mag. 70(1), 51 (1997)). B_n and Bernoulli
polynomials B_n(s) are analytic continued to B(s) and B_s(z). A new formula for
the Riemann zeta function zeta(s) in terms of nested series of zeta(n) is
derived. The new concept of dynamics of the zeros of analytic continued
polynomials is introduced, and an interesting phenonmenon of `scatterings' of
the zeros of B_s(z) is observed.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 01:22:09 GMT""},{""version"":""v2"",""created"":""Thu, 31 Jul 1997 02:13:59 GMT""}]","2008-11-06"
"quant-ph/9705027","S. Wallentowitz","S. Wallentowitz and W. Vogel","Quantum mechanical counterpart of nonlinear optics","6 pages, 4 figures, to be published in Phys. Rev. A 55 (June)",,"10.1103/PhysRevA.55.4438",,"quant-ph",,"  Raman-type laser excitation of a trapped atom allows one to realize the
quantum mechanical counterpart of phenomena of nonlinear optics, such as
Kerr-type nonlinearities, parametric amplification, and multi-mode mixing.
Additionally, huge nonlinearities emerge from the interference of the atomic
wave function with the laser waves. They lead to a partitioning of the phase
space accompanied by a significantly different action of the time evolution in
neighboring phase-space zones. For example, a nonlinearly modified coherent
""displacement"" of the motional quantum state may induce strong amplitude
squeezing and quantum interferences.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 13:18:22 GMT""}]","2009-10-30"
"quant-ph/9705028","S. Wallentowitz","S. Wallentowitz, R.L. de Matos Filho, and W. Vogel","Determination of entangled quantum states of a trapped atom","7 pages, 3 figures, to be published in Phys. Rev. A 56 (Aug)",,"10.1103/PhysRevA.56.1205",,"quant-ph",,"  We propose a method for measuring entangled vibronic quantum states of a
trapped atom. It is based on the nonlinear dynamics of the system that appears
by resonantly driving a weak electronic transition. The proposed technique
allows the direct sampling of a Wigner-function matrix, displaying all knowable
information on the quantum correlations of the motional and electronic degrees
of freedom of the atom. It opens novel possibilities for testing fundamental
predictions of the quantum theory concerning interaction phenomena.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 15:20:09 GMT""}]","2009-10-30"
