"alg-geom/9712006","Toshiyuki Akita","Toshiyuki Akita","Homological infiniteness of Torelli groups","AMSLaTeX v.1.2, 6 pages",,,"Fukuoka University, Department of Applied Mathematics, preprint
  1997/12/01","alg-geom math.AG math.DG q-alg",,"  We prove that rational homology of the Torelli group of genus g is infinite
dimensional, provided g>6. This means that rational homology of the Torelli
space of genus g>6 is infinite dimensional. The Torelli groups with marked
points are also considered. In addition, we prove that rational homology of the
subgroup of the Torelli group of genus g generated by all the Dehn twists along
separating simple closed curves is infinite dimensional for g>2.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:03:26 GMT""}]","2007-05-23"
"hep-ph/9712254","Stuart Raby","S. Raby (The Ohio State University)","Gauge-mediated SUSY Breaking with a Gluino LSP","8 pages, Latex, minor revision","Phys.Lett. B422 (1998) 158-162","10.1016/S0370-2693(98)00050-1","OHSTPY-HEP-T-97-024","hep-ph",,"  In gauge-mediated SUSY breaking models, messengers transmit SUSY breaking
from a partially hidden sector to the standard model sector via common standard
model gauge interactions. The minimal set of messengers has quantum numbers of
a $5 + \bar 5$ of SU(5); identical to the quantum numbers of the minimal Higgs
sector of an SU(5) GUT. We show in a simple model with messenger masses of
order the GUT scale that Higgs - messenger mixing quite naturally leads to a
low energy MSSM with gluinos as the lightest supersymmetric particles [LSP]. We
study the phenomenological consequences of such a model.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:12:20 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 23:22:30 GMT""}]","2009-10-30"
"hep-ph/9712255","Tomas Blazek","Tomas Blazek and Stuart Raby","Global Analysis of Electroweak Data in SUSY GUTs","12 pages LaTex, including 4 figures. sprocl.sty, epsfig.sty and
  epsf.tex appended. Talk presented by T. Blazek at the International Workshop
  on Quantum Effects in the MSSSM, September 9-13, 1997, Barcelon, Catalonia,
  Spain",,,"IUHET-375, OHSTPY-HE-T-97-022","hep-ph",,"  A $\chi^2$ analysis of several SUSY GUTs recently discussed in the literature
is presented. We obtain global fits to electroweak data, which include gauge
couplings, gauge boson masses, BR($b\to s\gamma$) and masses of fermions of all
three generations and their mixing angles. Thus we are able to test gauge
unification, radiative electroweak symmetry breaking, SUSY sector (- in the
context of supergravity induced SUSY breaking) and the Yukawa sector in each
particular model self-consistently. One of the models studied provides a very
good fit with $\chi^2 \sim 1$ for 3 degrees of freedom, in a large region of
the allowed SUSY parameter space. The Yukawa sector works so well in this case
that the analysis ends up testing the MSSM constrained by unification. Adopting
this point of view, in the second part of this talk we focus on the details of
the fit for BR($b\to s\gamma$) and discuss the correlations among $\delta
m_b^{SUSY}$, $\alpha_s(M_Z)$ and a GUT threshold to $\alpha_s(M_G)$. We
conclude that an attractive SO(10)-derived regime of the MSSM remains a viable
option.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:41:59 GMT""}]","2007-05-23"
"hep-ph/9712256","Michael Klasen","Michael Klasen, Thorsten Kleinwort and Gustav Kramer","Inclusive Jet Production in $\gamma p$ and $\gamma\gamma$ Processes:
  Direct and Resolved Photon Cross Sections in Next-To-Leading Order QCD","106 pages, 71 figures, uses epsfig.sty and feynman.sty","Eur.Phys.J.direct C1:1,1998",,"DESY 97-234, ANL-HEP-PR-97-97","hep-ph",,"  The production of jets in low $Q^2$ $ep$ scattering (photoproduction) and in
low $Q^2$ $e^+e^-$ scattering ($\gamma\gamma$ scattering) allows for testing
perturbative QCD and for measuring the proton and photon structure functions.
This requires exact theoretical predictions for one- and two-jet cross
sections. We describe the theoretical formalism, giving sufficient details, for
calculating the direct and resolved processes in $\gamma p$ and $\gamma\gamma$
reactions in next-to-leading order QCD. We present the complete analytical
results for the Born terms, the virtual, and the real corrections. To separate
singular and regular regions of phase space we use the phase space slicing
method with an invariant mass cut-off. In this way, all soft and collinear
singularities are either canceled or absorbed into the structure functions.
Using a flexible Monte Carlo program, we evaluate the cross sections
numerically and perform various tests and comparisons with other calculations.
We consider the scale dependence of our results and compare them to data from
the experiments H1 and ZEUS at HERA and OPAL at LEP.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 23:32:01 GMT""}]","2014-11-17"
"hep-ph/9712257","Tomas Blazek","Tomas Blazek and Stuart Raby","$b \to s\gamma$ with Large tan$\beta$ in MSSM Analysis Constrained by a
  Realistic SO(10) Model","26 pages LaTex, including 10 figures","Phys.Rev.D59:095002,1999","10.1103/PhysRevD.59.095002","IUHET-376, OHSTPY-HEP-T-97-023","hep-ph",,"  Study of the MSSM in large tan$\beta$ regime has to include correlations
between the constraints presented by the low energy values of the b quark mass
and BR($b \to s\gamma$). Both quantities receive SUSY contributions enhanced by
tan$\beta$ and have a major impact on the MSSM analysis. Here we summarize the
results of such a study constrained by a complete SO(10) model. The dominant
effects to the analysis come from third generation Yukawa couplings and a GUT
threshold to $\alpha_s$. We show that a small negative GUT correction to
$\alpha_s$ accommodates $\alpha_s(M_Z) \leq 0.118$ and $\delta m_b^{SUSY} > 0$.
The latter quantity being positive then opens up two options to fit the
measured rate for $b \to s\gamma$. The two distinct fits differ by the overall
sign of the amplitude for this process. They work equally well in complementary
regions of the allowed SUSY parameter space. We show plots of the partial
contributions to the coefficient $C_7(M_Z)$ in the ($m_0,M_{1/2}$) plane in
each of these best fits. We conclude that an attractive SO(10)-derived regime
of the MSSM remains a viable option.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 02:55:43 GMT""}]","2011-01-27"
"hep-ph/9712258","C. Y. Cheung","Chi-Yee Cheung and Wei-Min Zhang","Field-Theoretic Realization of Heavy Meson as Composite Particle","4 pages(double column), 3 figures, Latex, Revtex, axodraw","Mod.Phys.Lett. A13 (1998) 2163-2171","10.1142/S0217732398002291",,"hep-ph",,"  We construct a realistic field-theoretic model for the structure of a heavy
meson in the heavy quark limit. The model is fully covariant and satisfies
heavy quark symmetry. The Isgur-Wise function, the decay constant, and the
axial vector coupling constant are studied. This model overcomes the
limitations caused by non-covariance of the light-front quark model, and
provides an ideal framework to systematically evaluate the heavy quark symmetry
breaking effects caused by the $1/m_Q$ correction terms in the heavy quark
effective theory of quantum chromodynamics.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 03:54:53 GMT""}]","2009-10-30"
"hep-ph/9712259","Martti Raidal","Martti Raidal","\mu-e Conversion Versus \mu-->e \gamma","Talk given in the workshop Valencia 97: ""Physics Beyond the SM,"" Oct.
  13-17, 1997, 6 pages",,,"FTUV/97-67, IFIC/97-97","hep-ph",,"  We compare two most relevant loop induced muon number violating processes,
\mu --> e \gamma and \mu-e conversion in nuclei, in constraining new physics.
Because of much richer structure of the latter process it may be enhanced with
respect to \mu --> e \gamma by a large $\ln(m^2_\mu/\Lambda^2),$ where
$\Lambda$ is the scale of the new physics. After model-independent
considerations we present two examples constraining the R-parity violating
couplings of MSSM and the off-diagonal couplings of the doubly charged Higgs
bosons from the non-observation of \mu-e conversion.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 11:32:02 GMT""}]","2007-05-23"
"hep-ph/9712260","Seiji Matsumoto","Kaoru Hagiwara, Seiji Matsumoto","Constraints on Non-Standard Contributions to the Charged-Current
  Interactions","11 pages, Latex, 1 figure, added a few references","Phys.Lett. B424 (1998) 362-366; Erratum-ibid. B478 (2000) 456","10.1016/S0370-2693(98)00224-X","CERN-TH/97-349, KEK-TH-550","hep-ph",,"  The success of the quantum level predictions of the Standard Model on the $Z$
boson properties, on $\mw$ and on $\mt$, which makes use of the muon lifetime
as an input, implies a stringent constraint on new physics contributions to the
$V-A$ charged-current interactions among leptons. Observed unitarity of the CKM
matrix elements then implies constraints on non-standard contributions to the
lepton-quark charged-current interactions. By using the recent electroweak data
as inputs, we find the 95%~CL limits for the corresponding contact
interactions: $\Lambda_{CC,+}^{\ell\ell}>7.5$ TeV and
$\Lambda_{CC,-}^{\ell\ell}>10.2$ TeV for the purely leptonic terms, and
$\Lambda_{CC,+}^{\ell q}>5.8$ TeV and $\Lambda_{CC,-}^{\ell q}>10.1$~TeV for
the lepton-quark contact interactions.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:20:36 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jun 1998 02:44:24 GMT""}]","2009-10-30"
"hep-ph/9712262","Sergey Troshin","Sergey Troshin and Nikolai Tyurin","Spin asymmetries at RHIC and nonperturbative aspects of hadron dynamics","9 pages, Latex, 2 figures",,,,"hep-ph",,"  Some nonperturbative aspects of spin studies at RHIC are discussed and the
predictions for single- and two-spin asymmetries are given. Among them are
those which emphasize the role of angular orbital momentum in the spin
structure of the constituent quarks.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:00:44 GMT""}]","2007-05-23"
"hep-ph/9712264","Bernard Pire","Bernard Pire (Centre de Physique Th\'eorique, Ecole Polytechnique
  Palaiseau, France)","Physics observables for color transparency","to be published in the Proceedings of the Workshop: Color
  Transparency'97, held in Grenoble, France, June 1997",,,,"hep-ph",,"  The physics observables dedicated to the study of color transparency are
diverse. After a brief pedagogical introduction, we emphasize the
complementarity of the nuclear filtering and color transparency concepts. The
importance of quantum interferences leads to suspect pictures based on the
preparation of a squeezed state of small transverse size leading to a rapid
transverse expansion. The different roles of heavy and light nuclei are
emphasized. The possibility of color transparency tests in the vacuum is
stressed. Such a test may be quickly addressed in the virtual Compton
scattering reactions at CEBAF or HERMES energies.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:46:08 GMT""}]","2007-05-23"
"hep-ph/9712265","Simone Giani","S.Giani (CERN-CH)","On velocities beyond the speed of light c","11 pages, Latex",,,"CERN-OPEN-97-036","hep-ph",,"  From a mathematical point of view velocities can be larger than c. It has
been shown that Lorentz transformations are easily extended in Minkowski space
to address velocities beyond the speed of light. Energy and momentum
conservation fixes the relation between masses and velocities larger than c,
leading to the possible observation of negative mass squared particles from a
standard reference frame. Current data on neutrinos' mass square yeld negative
values, making neutrinos as possible candidates for having speed larger than c.
In this paper, an original analysis of the SN1987A supernova data is proposed.
It is shown that all the data measured in '87 by all the experiments are
consistent with the quantistic description of neutrinos as combination of
superluminal mass eigenstates. The well known enigma on the arrival times of
the neutrino bursts detected at LSD, several hours earlier than at IMB, K2 and
Baksan, is explained naturally. It is concluded that experimental evidence for
superluminal neutrinos was recorded since the SN1987A explosion, and that data
are quantitatively consistent with the introduction of tachyons in Einstein's
equation.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:59:08 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 1997 16:25:38 GMT""},{""version"":""v3"",""created"":""Thu, 22 Jan 1998 19:30:34 GMT""}]","2007-05-23"
"hep-th/9712034","Kirill N. Ilinski","Kirill Ilinski (University of Birmingham) and Gleb Kalinin (IPhys
  Group, St-Petersburg)","Black-Scholes equation from Gauge Theory of Arbitrage","Latex, 19 pages",,,"Preprint IPhys-5-97","hep-th cond-mat.stat-mech hep-lat physics.soc-ph q-fin.PR",,"  We apply Gauge Theory of Arbitrage (GTA) {hep-th/9710148} to derivative
pricing. We show how the standard results of Black-Scholes analysis appear from
GTA and derive correction to the Black-Scholes equation due to a virtual
arbitrage and speculators reaction on it. The model accounts for both violation
of the no-arbitrage constraint and non-Brownian price walks which resemble real
financial data. The correction is nonlocal and transform the differential
Black-Scholes equation to an integro-differential one.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 16:29:45 GMT""},{""version"":""v2"",""created"":""Mon, 26 Oct 1998 15:16:19 GMT""}]","2009-02-20"
"hep-th/9712035","Albrecht Klemm","Shamit Kachru, Albrecht Klemm and Yaron Oz","Calabi-Yau Duals for CHL Strings","16 pages, harvmac","Nucl.Phys.B521:58-70,1998","10.1016/S0550-3213(98)00228-4","EFI-97-55, LBNL-41125, UCB-PTH-97/59","hep-th",,"  We find M-theory (Type IIA) duals for compactifications of the 9d CHL string
to 5d (4d) on K3 (K3 x S^1). The IIA duals are Calabi-Yau orbifolds with
nontrivial RR U(1) backgrounds turned on.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:47:22 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 08:08:07 GMT""}]","2009-09-29"
"hep-th/9712036","Valeri Dvoeglazov","Valeri V. Dvoeglazov (Escuela de Fisica, UAZ)","On the importance of the normalization","ReVTeX file, no figures, 12pp","Czech.J.Phys.50:225-237,2000","10.1023/A:1022895923841","EFUAZ FT-96-39-REV","hep-th",,"  We repeat the known procedure of the derivation of the set of Proca
equations. It is shown that it can be written in various forms. The importance
of the normalization is point out for the problem of the correct description of
spin-1 quantized fields. Finally, the discussion of the so-called Kalb-Ramond
field is presented.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 03:59:29 GMT""}]","2011-09-16"
"hep-th/9712037","Valeri Dvoeglazov","Valeri V. Dvoeglazov (Escuela de Fisica, UAZ)","A Note on the Neutrino Theory of Light","ReVTeX file, no figures, 6pp","Speculations Sci.Tech. 21 (1998) 111-115",,"EFUAZ FT-97-54","hep-th",,"  In this small note we ask several questions which are relevant to the
construction of the self-consistent neutrino theory of light. The previous
confusions in such attempts are explained in the more detailed publication.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 03:59:49 GMT""}]","2007-05-23"
"hep-th/9712038",,"Alfio Bonanno, Dario Zappala'","Two loop results from the derivative expansion of the blocked action","4 pages, RevTeX, no figures","Phys.Rev. D57 (1998) 7383-7387","10.1103/PhysRevD.57.7383","INFNCT/6-97","hep-th cond-mat hep-ph",,"  A derivative expansion of the Wegner-Houghton equation is derived for a
scalar theory. The corresponding full non-perturbative renormalization group
equations for the potential and the wave-function renormalization function are
presented. We also show that the two loop perturbative anomalous dimension for
the O(N) theory can be obtained by means of a polynomial truncation in the
field dependence in our equations.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 09:14:23 GMT""}]","2009-10-30"
"hep-th/9712040","Neil Lambert","N.D. Lambert and P.C. West","Gauge Fields and M-Fivebrane Dynamics","27 pages, Phyzzx. Minor corrections and a reference added. To appear
  in NPB","Nucl.Phys. B524 (1998) 141-158","10.1016/S0550-3213(98)00196-5","KCL-TH-97-69","hep-th",,"  In this paper we obtain both the vector and scalar equations of motion of an
M-fivebrane in the presence of threebrane solitons. The resulting equations of
motion are precisely those obtained from the Seiberg-Witten low energy
effective action for N=2 Yang-Mills, including all quantum corrections. This
analysis extends the work of a previous paper which derived the scalar
equations of motion but not in detail the vector equations. We also discuss
some features of an infinite number of higher derivative terms predicted by M
theory.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:13:42 GMT""},{""version"":""v2"",""created"":""Thu, 15 Jan 1998 15:28:39 GMT""},{""version"":""v3"",""created"":""Mon, 16 Feb 1998 14:02:51 GMT""}]","2009-10-30"
"hep-th/9712041","Tomasz Radozycki","Tomasz Radozycki","Summing up the perturbation series in the Schwinger Model","10 pages (in REVTEX)","Eur.Phys.J.C6:549-553,1999","10.1007/s100529800933",,"hep-th",,"  Perturbation series for the electron propagator in the Schwinger Model is
summed up in a direct way by adding contributions coming from individual
Feynman diagrams. The calculation shows the complete agreement between
nonperturbative and perturbative approaches.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 15:07:53 GMT""}]","2011-09-13"
"hep-th/9712042","Daniel S. Freed","Daniel S. Freed","Special Kahler Manifolds","29 pages, amstex, revised version contains minor corrections, to
  appear in Commun. Math. Phys","Commun.Math.Phys.203:31-52,1999","10.1007/s002200050604",,"hep-th alg-geom dg-ga math.AG math.DG",,"  We give an intrinsic definition of the special geometry which arises in
global N=2 supersymmetry in four dimensions. The base of an algebraic
integrable system exhibits this geometry, and with an integrality hypothesis
any special Kahler manifold is so related to an integrable system. The
cotangent bundle of a special Kahler manifold carries a hyperkahler metric. We
also define special geometry in supergravity in terms of the special geometry
in global supersymmetry.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:57:55 GMT""},{""version"":""v2"",""created"":""Mon, 24 Aug 1998 10:30:57 GMT""}]","2014-11-18"
"hep-th/9712043","Olaf Lechtenfeld","Chandrashekar Devchand, Olaf Lechtenfeld","Extended Self-Dual Yang-Mills from the N=2 String","19 pages; typos corrected, note and reference added; published
  version","Nucl.Phys. B516 (1998) 255-272","10.1016/S0550-3213(98)00072-8","ITP-UH-31/97","hep-th",,"  We show that the physical degrees of freedom of the critical open string with
N=2 superconformal symmetry on the worldsheet are described by a self-dual
Yang-Mills field on a hyperspace parametrised by the coordinates of the target
space R^{2,2} together with a commuting chiral spinor. A prepotential for the
self-dual connection in the hyperspace generates the infinite tower of physical
fields corresponding to the inequivalent pictures or spinor ghost vacua of this
string. An action is presented for this tower, which describes consistent
interactions amongst fields of arbitrarily high spin. An interesting truncation
to a theory of five fields is seen to have no graphs of two or more loops.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 15:02:07 GMT""},{""version"":""v2"",""created"":""Mon, 29 Jun 1998 10:45:09 GMT""}]","2016-09-06"
"hep-th/9712044","Antonio Bassetto","A. Bassetto","Infrared singularities in the null-plane bound-state equation when going
  to 1+1 dimensions","18 pages, revTeX, no figures","Phys.Rev. D57 (1998) 3609-3617","10.1103/PhysRevD.57.3609","CERN-TH/97-351","hep-th hep-ph",,"  In this paper we first consider the null-plane bound-state equation for a $q
\bar q$ pair in 1+3 dimensions and in the lowest-order Tamm-Dancoff
approximation. Light-cone gauge is chosen with a causal prescription for the
gauge pole in the propagator. Then we show that this equation, when
dimensionally reduced to 1+1 dimensions, becomes 't Hooft's bound-state
equation, which is characterized by an $x^+$-instantaneous interaction. The
deep reasons for this coincidence are carefully discussed.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 15:20:23 GMT""}]","2009-10-30"
"math/9712221","Jerome Levine","Jerome Levine (Brandeis University)","Pure braids, a new subgroup of the mapping class group and finite type
  invariants","22 pages, Latex, 5 pictures",,,,"math.GT",,"  In the study of the relation between the mapping class group M of a surface
and the theory of finite-type invariants of homology 3-spheres, three subgroups
of the mapping class group play a large role. They are the Torelli group, the
Johnson subgroup K and a new subgroup L, which contains K, defined by a choice
of a Lagrangian subgroup of the homology of the surface. In this work we
determine the quotient L/K, in terms of the precise description of M/K given by
Johnson and Morita. We also study the lower central series of L and K, using
some natural imbeddings of the pure braid group in L and the theory of
finite-type invariants.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:39:56 GMT""}]","2007-05-23"
"math/9712222","David Auckly","Dave Auckly (Kansas State)","A topological method to compute spectral flow","25 pages",,,"MSRI 1996-071","math.GT math.DG",,"  This paper describes a topological method to compute the spectral flow of a
family of twisted Dirac operators, it includes two detailed examples. Briefly,
a formula of Atiyah, Patodi and Singer expresses the spectral flow in terms of
Chern-Simons invariants and rho invariants. The first step is to construct a
flat cobordism to a new bigger 3-manifold. The advantage of the new connection
is that it is in the path component of a reducible connection. The second step
is to calculate the effect of these operations on the invariants. The final
step is an application of the G-signature theorem to compute the invariants.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:47:51 GMT""}]","2007-05-23"
"math/9712223","Michael Larsen","Michael Larsen (University of Missouri)","How often is a permutation an n'th power?","2 pages",,,,"math.CO",,"  We give a short argument that for any fixed n, the probability that a
permutation on m letters is an n'th power is asymptotically C m^{phi(n)/n - 1}.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 21:34:46 GMT""}]","2007-05-23"
"math/9712224","Walter D. Neumann","Walter D. Neumann and Jun Yang","Bloch invariants of hyperbolic 3-manifolds","25 pages. A slightly revised version will appear in Duke Math. J.",,,,"math.GT",,"  We define an invariant \beta(M) of a finite volume hyperbolic 3-manifold M in
the Bloch group B(C) and show it is determined by the simplex parameters of any
degree one ideal triangulation of M. \beta(M) lies in a subgroup of \B(\C) of
finite \Q-rank determined by the invariant trace field of M. Moreover, the
Chern-Simons invariant of M is determined modulo rationals by \beta(M). This
leads to a simplicial formula and rationality results for the Chern Simons
invariant which appear elsewhere.
  Generalizations of \beta(M) are also described, as well as several
interesting examples. An appendix describes a scissors congruence
interpretation of B(C).
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 03:37:18 GMT""}]","2007-05-23"
"math/9712225","Walter D. Neumann","Walter D. Neumann and Jun Yang","Rationality problems for Chern-Simons invariants","12 pages. Includes slight corrections to published version","Enseignement Math. 41 (1995), 281-296",,,"math.GT",,"  This paper makes certain observations regarding some conjectures of Milnor
and Ramakrishnan in hyperbolic geometry and algebraic K-theory. As a
consequence of our observations, we obtain new results and conjectures
regarding the rationality and irrationality of Chern-Simons invariants of
hyperbolic 3-manifolds.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 03:46:22 GMT""}]","2007-05-23"
"math/9712226","Walter D. Neumann","Walter D. Neumann","Hilbert's 3rd Problem and invariants of 3-manifolds","29 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTMon1/paper19.abs.html","Geom. Topol. Monogr. 1 (1998), 383-411",,"G&T migration mon1-19","math.GT",,"  This paper is an expansion of my lecture for David Epstein's birthday, which
traced a logical progression from ideas of Euclid on subdividing polygons to
some recent research on invariants of hyperbolic 3-manifolds. This `logical
progression' makes a good story but distorts history a bit: the ultimate aims
of the characters in the story were often far from 3-manifold theory.
  We start in section 1 with an exposition of the current state of Hilbert's
3rd problem on scissors congruence for dimension 3. In section 2 we explain the
relevance to 3-manifold theory and use this to motivate the Bloch group via a
refined `orientation sensitive' version of scissors congruence. This is not the
historical motivation for it, which was to study algebraic K-theory of C. Some
analogies involved in this `orientation sensitive' scissors congruence are not
perfect and motivate a further refinement in section 4. Section 5 ties together
various threads and discusses some questions and conjectures.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 06:02:24 GMT""},{""version"":""v2"",""created"":""Tue, 27 Oct 1998 00:00:00 GMT""}]","2007-05-23"
"math/9712227","Walter D. Neumann","Walter D. Neumann, Gadde A. Swarup","Canonical decompositions of 3-manifolds","20 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTVol1/paper3.abs.html","Geom. Topol. 1 (1997) 21-40","10.2140/gt.1997.1.21","G&T migration 1997-3","math.GT",,"  We describe a new approach to the canonical decompositions of 3-manifolds
along tori and annuli due to Jaco-Shalen and Johannson (with ideas from
Waldhausen) - the so-called JSJ-decomposition theorem. This approach gives an
accessible proof of the decomposition theorem; in particular it does not use
the annulus-torus theorems, and the theory of Seifert fibrations does not need
to be developed in advance.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 07:00:23 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jul 1997 00:00:00 GMT""}]","2014-11-11"
"math/9712228","Walter D. Neumann","Walter D. Neumann","Kleinian Groups Generated by Rotations","6 pages","""Groups -- Korea '94"" Eds.: Kim/Johnson, Walter de Gruyter Verlag,
  Berlin - New York, 1995, 251--256",,,"math.GT",,"  We discuss which Kleinian groups are commensurable with Kleinian groups
generated by rotations, with particular emphasis on Kleinian groups that arise
from Dehn surgery on a knot.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 07:16:56 GMT""}]","2007-05-23"
"math/9712290","Shmuel Weinberger","Shmuel Weinberger (University of Chicago)","Higher p invariants",,,,"FI-ST1997-013","math.GT",,"  The rho-invariant is an invariant of odd-dimensional manifolds with finite
fundamental group, and lies in the representations modulo the regular
representations (after tensoring with Q). It is a fundamental invariant that
occurs in classifying lens spaces, their homotopy analogues, and is intimately
related to the eta-invariant for the signature operator. The goal of this note
is to use some of the technology developed in studying the Novikov higher
signature conjecture to define an analogous invariant for certain situations
with infinite fundamental group.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 00:00:00 GMT""}]","2007-05-23"
"nucl-ex/9712002","Ralph H. France III","Moshe Gai","Progress In Nuclear Astrophysics Using Secondary Radioactive Beams","5 Figures, 11 pages. Invited Talk, Int. Conf. in memory of C.S. Wu,
  Aug. 16-18, 1997, Nanjing, China. Work Supported By USDOE Grant No.
  DE-FG02-94ER40870",,,"UConn-40870-0020","nucl-ex astro-ph nucl-th",,"  We review progress in studying two central problems in Nuclear Astrophysics:
The \be7pg reaction is one of the major source of uncertainties in estimating
the \b8 solar neutrino flux and is critical for the Solar Neutrino Problem. We
discuss a newly emerging method to extract this cross section from the Coulomb
dissociation of the radioactive beam of \b8. The Coulomb dissociation appears
to provide a viable alternative method for measuring the \be7pg reaction rate.
Several attempts to constrain the p-wave S-factor of the \c12ag reaction at
Helium burning temperatures (200 MK) using the beta-delayed alpha-particle
emission of \n16 have been made, and it is claimed that this S-factor is known,
as quoted by the TRIUMF collaboration. In contrast reanalyses (by G.M. hale) of
all thus far available data (including the \n16 data) does not rule out a small
S-factor solution. Furthermore, we improved our previous Yale-UConn study of
the beta-delayed alpha-particle emission of \n16. Our newly measured spectrum
of the beta-delayed alpha-particle emission of \n16 is not consistent with the
TRIUMF('94) data, but is consistent with the Seattle('95) data, as well as the
earlier (unaltered !) data of Mainz('71). The implication of this discrepancies
for the extracted astrophysical p-wave s-factor is briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:01:07 GMT""}]","2007-05-23"
"nucl-th/9712013","Felicia Ohl","D. Drechsel (Convener), J. Becker, A.Z. Dubnickova, S. Dubnicka, L.
  Fil'kov, H.-W. Hammer, T. Hannah, Th. Hemmert, G. Hoehler, D. Hornidge, F.
  Klein, E. Luppi, A. L'vov, U.-G. Meissner, A. Metz, R. Miskimen, V. Olmos, M.
  Ostrick, J. Roche, S. Scherer","Hadron Polarizabilities and Form Factors","21 pages LaTeX2e, uses epsf, 9 figs",,"10.1007/BFb0104911","MKPH-T-97-34","nucl-th",,"  This is the summary of the working group on Hadron Polarizabilities and Form
Factors of the Chiral Dynamics Workshop in Mainz, September 1-5, 1997.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 13:19:47 GMT""}]","2009-10-30"
"nucl-th/9712014","Munshi Golam Mustafa","M.G. Mustafa (SINP), D.K. Srivastava (VECC), B. Sinha (SINP,VECC)","Effect of colour singletness of quark-gluon plasma in quark-hadron phase
  transition","9 pages, Latex, 12 postscript figs","Eur.Phys.J.C5:711-718,1998","10.1007/s100520050314",,"nucl-th hep-ph",,"  Consequences of the constraint of SU(3) colour singletness of quark-gluon
plasma are studied. This restriction increases the free energy barrier for the
formation of hadronic bubble in supercooled phase and influences significantly
the dynamics of the initial stage of quark-hadron phase transition. It also
introduces terms dependent on the volume occupied by the plasma in the energy
density and the pressure. These modifactions vanish in the limit of an infinite
volume. The last stage of the hadronization of the QGP likely to be formed in
relativistic heavy ion collisions is necessarily characterized by a decreasing
volume containing the quark matter, and thus these corrections become
important. The nucleation of plasma droplets at AGS energies is also seen to be
strongly affected by the requirement of colour singletness, and the choice of
prefactor.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 11:23:50 GMT""}]","2011-07-19"
"nucl-th/9712015","Alexey Storozhenko","A. N. Storozhenko (1), D. S. Kosov (2), A. I. Vdovin (1) ((1) BLTP,
  JINR, Dubna, Russia, (2) Institute for Theoretical Physics, University of
  Tuebingen, Germany)","Lipkin-Meshkov-Glick model at finite temperature","11 pages, 6 figures",,,"E4-97-352","nucl-th",,"  The Lipkin-Meshkov-Glick model is used to examine the validity of some
approximate methods in a many-body theory at finite temperatures. Namely, the
thermal random phase approximation (TRPA) and the thermal renormalized random
phase approximation (TRRPA) are studied. An average energy of the system, an
average quasispin projection and a particle number variance are calculated
within these approximation and exactly with the grand canonical ensemble
partition function. On the whole the results of TRRPA are found to be in better
agreement with the exact ones. The validity of the both approximation becomes
better with increasing temperature as well as particle number.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:15:56 GMT""}]","2007-05-23"
