"adap-org/9709003","Chau Hoi Fung","H. F. Chau, K. K. Yan, K. Y. Wan and L. W. Siu","Classifying Rational Densities Using Two One-Dimensional Cellular
  Automata","Revtex 3.0 using amssymb.sty and multicol.sty, 3 pages",,"10.1103/PhysRevE.57.1367","HKUPHYS-HFC-05","adap-org cond-mat nlin.AO",,"  Given a (finite) string of zeros and ones, we report a way to determine if
the number of ones is less than, greater than, or equal to a prescribed number
by applying two sets of cellular automaton rules in succession. Thus, we solve
the general density classification problem using cellular automaton.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 12:41:27 GMT""}]","2009-10-30"
"nucl-th/9709014","Arnold J. Sierk","S. G. Mashnik, A. J. Sierk, O. Bersillon and T. Gabriel","Cascade-Exciton Model Analysis of Proton Spallation from 10 MeV to 5 GeV","9 pages, to be published in Nuclear Instruments and Methods A","Nucl.Instrum.Meth. A414 (1998) 68-72","10.1016/S0168-9002(98)00529-4","LA-UR-97-3176","nucl-th",,"  We have used an extended version of the Cascade-Exciton Model (CEM) to
analyze more than 600 excitation functions for proton induced reactions on 19
targets ranging from C-12 to Au-197, for incident energies ranging from 10 MeV
to 5 GeV. We have compared the calculations to available data, to calculations
using approximately two dozen other models, and to predictions of several
phenomenological systematics. We present here our conclusions concerning the
relative roles of different reaction mechanisms in the production of specific
final nuclides. We comment on the strengths and weaknesses of the CEM and
suggest possible further improvements to the CEM and to other models.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 16:32:27 GMT""}]","2015-06-26"
"nucl-th/9709015",,"S. Scopetta (Valencia), A.Yu. Umnikov, C. Ciofi degli Atti (Perugia),
  L.P. Kaptari (Moscow)","Nucleon and nuclear spin structure functions","14 pages, Latex2e, style file sprocl.sty and 6 postscript figures
  included in submission; to appear in the Proceedings of the Conference on
  Perspectives in Hadronic Physics, Trieste, May 12-16, 1997",,,,"nucl-th",,"  Nuclear effects in polarized inelastic electron scattering off polarized
$^3He$ and polarized $^2H$ are discussed; in the resonance region, Fermi motion
effects are found to be much larger than in deep inelastic scattering. It is
shown that improperly describing nuclear dynamics would lead to the extraction
of unreliable neutron spin structure functions; on the other hand side, simple
and workable equations, relating the Gerasimov -- Drell -- Hearn Integral for
the neutron to the corresponding quantity for $^3He$ and $^2H$, are proposed.
Nuclear effects in the recent E143 data are estimated by a proper procedure.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:32:42 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 1997 09:14:21 GMT""}]","2008-02-03"
"nucl-th/9709016","Ray Nix","Peter Moller and J. Rayford Nix","Stability and Production of Superheavy Nuclei","10 pages. LaTeX with AIP style file aipproc2.sty. 10 figures not
  included here. Presented at Tours Symposium on Nuclear Physics III, Tours,
  France, September 2-5, 1997. To be published in symposium proceedings by
  American Institute of Physics. Complete camera-ready PostScript version with
  all figures inserted available at
  http://t2.lanl.gov/publications/publications.html or at
  ftp://t2.lanl.gov/pub/publications/tsnp97",,"10.1063/1.55136","LA-UR-97-3580","nucl-th",,"  Beyond uranium heavy elements rapidly become increasingly unstable with
respect to spontaneous fission as the proton number Z increases, because of the
disruptive effect of the long-range Coulomb force. However, in the region just
beyond Z = 100 magic proton and neutron numbers and the associated shell
structure enhances nuclear stability sufficiently to allow observation of
additional nuclei. Some thirty years ago it was speculated that an island of
spherical, relatively stable superheavy nuclei would exist near the next doubly
magic proton-neutron combination beyond 208:Pb, that is, at proton number Z =
114 and neutron number N = 184. Theory and experiment now show that there also
exists a rock of stability in the vicinity of Z = 110 and N = 162 between the
actinide region, which previously was the end of the peninsula of known
elements, and the predicted island of spherical superheavy nuclei slightly
southwest of the magic numbers Z = 114 and N = 184. We review here the
stability properties of the heavy region of nuclei. Just as the decay
properties of nuclei in the heavy region depend strongly on shell structure,
this structure also dramatically affects the fusion entrance channel. The six
most recently discovered new elements were all formed in cold-fusion reactions.
We discuss here the effect of the doubly magic structure of the target in
cold-fusion reactions on the fusion barrier and on dissipation.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:57:01 GMT""}]","2009-10-30"
"nucl-th/9709017","Vladimir Pascalutsa","V. Pascalutsa, J.A. Tjon (ITF, Utrecht)","A relativistic dynamical model for pi-N scattering","4 pages, Latex2e. To appear in the Proceedings of XV Int. Conf. on
  Few-Body Problems in Physics (Groningen, July 1997)","Nucl.Phys. A631 (1998) 534c-547c","10.1016/S0375-9474(98)00062-1","THU-97/23","nucl-th",,"  We present a unitary relativistic quasi-potential model for describing the
low-energy pion-nucleon interaction, based on the equal time Bethe-Salpeter
equation. It preserves the covariant structure of a relativistic spin 1/2
particle for the nucleon propagator, to be contrasted to other quasi-potential
approximations.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 09:16:10 GMT""}]","2009-10-30"
"nucl-th/9709018","SA Rakityanski","V.B.Belyaev, D.E.Monakhov, N.Shevchenko (Joint Institute for Nuclear
  Research, Dubna) S.A.Sofianos, S.A.Rakityansky, M.Braun, L.L.Howell (Physics
  Dep., University of South Africa, Pretoria), and W. Sandhas (Physikalisches
  Institut, Universit\""at Bonn)","Nuclear Fusion via Triple Collisions in Solar Plasma","3 pages, latex (RevTex), no figures","Nucl.Phys. A631 (1998) 720c-722c","10.1016/S0375-9474(98)00098-0",,"nucl-th",,"  We consider several nuclear fusion reactions that take place at the center of
the sun, which are omitted in the standard pp-chain model. More specifically
the reaction rates of the nonradiative production of ^3He, ^7Be, and ^8B nuclei
in triple collisions involving electrons are estimated within the framework of
the adiabatic approximation. These rates are compared with those of the
corresponding binary fusion reactions.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 09:04:36 GMT""}]","2016-08-15"
"nucl-th/9709019","Liang-gang Liu","Liang-gang Liu, Masahiro Nakano","The dispersion relation of pion in nuclear matter","Latex, 7 eps files","Nucl.Phys. A618 (1997) 337-348","10.1016/S0375-9474(97)00026-2",,"nucl-th",,"  We put forward a formalism to calculate the relativistic particle - hole and
delta - hole excitation polarization insertion for pion propagator by using the
particle - hole - antiparticle representation of nucleon and delta propagators
in nuclear matter. The real and the imaginary part of the polarization
insertion and the dispersion relation for pion propagator are calculated
numerically. We find that the short range correlation enhances the delta - hole
excitation but suppresses the particle - hole excitation, it also suppresses
the pion condensation. We find that the effect of the short range correlation
on the pion dispersion relation depends very much on the form of the short
range correlation and the parameters involved.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 15:43:24 GMT""}]","2009-10-30"
"physics/9709013","Deepak Raparia","D. Raparia, J. Alessi, Y. Y. Lee, and W. T. Weng","The NSNS High Energy Beam Transport Line","3 pages, transfer line design","Conf.Proc.C970512:162-164,1997",,,"physics.acc-ph",,"  In the National Spallation Neutron Source (NSNS) design, a 180 meter long
transport line connects the 1 GeV linac to an accumulator ring. The linac beam
has a current of 28 mA, pulse length of 1 ms, and 60 Hz rep rate. The high
energy transport line consists of sixteen 60 degrees FODO cells, and
accommodates a 90 degrees achromatic bend, an energy compressor, collimators,
part of injection system, and enough diagnostic devices to measure the beam
quality before injection. To reduce the uncontrolled beam losses, this line has
nine beam halo scrapers and very tight tolerances on both transverse and
longitudinal beam dynamics under space charge conditions. The design of this
line is presented.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 13:39:13 GMT""}]","2008-11-26"
"physics/9709014","Deepak Raparia","D.Raparia, J.Alessi, and A.Kponou","The Algebraic Reconstruction Technique (ART)","3 pages, 8 figures, New Diagnostic techinique","Conf.Proc.C970512:2023,1997",,,"physics.acc-ph",,"  Projections of charged particle beam current density (profiles) are
frequently used as a measure of beam position and size. In conventional
practice only two projections, usually horizontal and vertical, are measured.
This puts a severe limit on the detail of information that can be achieved. A
third projection provides a significant improvement. The Algebraic
Reconstruction Technique (ART) uses three or more projections to reconstruct
3-dimensional density profiles. At the 200 MeV H- linac, we have used this
technique to measure beam density, and it has proved very helpful, especially
in helping determine if there is any coupling present in x-y phase space. We
will present examples of measurements of current densities using this
technique.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 14:52:48 GMT""}]","2008-11-26"
"q-alg/9709013","Hitoshi Konno","Hitoshi Konno","An Elliptic Algebra $U_{q,p}(\hat{sl_2})$ and the Fusion RSOS Model","LaTeX, 34 pages",,"10.1007/s002200050394",,"q-alg hep-th math.QA",,"  We introduce an elliptic algebra $U_{q,p}(\hat{sl_2})$ with $p=q^{2r} (r\in
\R_{>0})$ and present its free boson representation at generic level $k$. We
show that this algebra governs a structure of the space of states in the
$k-$fusion RSOS model specified by a pair of positive integers $(r,k)$, or
equivalently a $q-$deformation of the coset conformal field theory
$SU(2)_k\times SU(2)_{r-k-2}/SU(2)_{r-2}$. Extending the work by Lukyanov and
Pugai corresponding to the case $k=1$, we gives a full set of screening
operators for $k>1$. The algebra $U_{q,p}(\hat{sl_2})$ has two interesting
degeneration limits, $p\to 0$ and $p\to 1$. The former limit yields the quantum
affine algebra $U_{q}(\hat{sl_2})$ whereas the latter yields the algebra ${\cal
A}_{\hbar,\eta}(\hat{sl_2})$, the scaling limit of the elliptic algebra ${\cal
A}_{q,p}(\hat{sl_2})$. Using this correspondence, we also obtain the highest
component of two types of vertex operators which can be regarded as
$q-$deformations of the primary fields in the coset conformal field theory.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 08:50:12 GMT""}]","2009-10-30"
"quant-ph/9709017","Holger Hofmann","Holger F. Hofmann","Decoherence in localized photon emission","3 pages RevTex and 1 figure","Quantum Coherence and Decoherence, edited by K. Fujikawa and Y.A.
  Ono, Elsevier 1996",,,"quant-ph physics.atom-ph physics.optics",,"  The spatiotemporal dynamics of photon emission into a non-local farfield
channel and two local nearfield channels from a pair of coupled two level
systems is analysed using a model for emission based on Wigner-Weisskopf
theory. The local quantum beats can be observed in the two nearfield channels.
However, the presence of the farfield causes decoherence in the quantum beats
even if only photon emissions into the near field channels are considered.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:18:54 GMT""}]","2008-02-03"
"quant-ph/9709018",,"Pedro F. Gonzalez-Diaz (IMAFF, CSIC, Madrid)","Quantum gravity and the problem of measurement","9 pages, LaTex, to appear in Int. J. Theor. Phys","Int.J.Theor.Phys.37:249-256,1998","10.1023/A:1026610616692","IMAFF-RCA-97-07","quant-ph",,"  We discuss some arguments in favour of the proposal that the quantum
correlations contained in the pure state-vector evolving according to
Schoedinger equation can be eliminated by the action of multiply connected
wormholes during measurement. We devise a procedure to obtain a proper master
equation which governes the changes of the reduced density matrix of matter
fields interacting with doubly connected wormholes. It is shown that this
master equation predicts an appropriate damping of the off-diagonal
correlations contained in the state vector.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 14:00:16 GMT""}]","2011-04-15"
