"alg-geom/9709010","Yuri Tschinkel","Matthias Strauch and Yuri Tschinkel","Height zeta functions of toric bundles over flag varieties","64 pages, LaTeX",,,,"alg-geom math.AG",,"  We investigate analytic properties of height zeta functions of toric bundles
over flag varieties.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:29:16 GMT""}]","2008-02-03"
"hep-lat/9709022","Karl Jansen","Karl Jansen and Rainer Sommer","The non-perturbative O(a)-improved action for dynamical Wilson fermions","Latex file, 2 figures, 6 pages, talk given by K.J. at the
  International Symposium on Lattice Field Theory, 21-27 July 1997, Edinburgh,
  Scotland","Nucl.Phys.Proc.Suppl. 63 (1998) 853-855","10.1016/S0920-5632(97)00919-5","CERN-TH/97-239, DESY 97-172","hep-lat",,"  We compute the improvement coefficient $c_{sw}$ that multiplies the
Sheikholeslami-Wohlert term as a function of the bare gauge coupling for two
flavour QCD. We discuss several aspects concerning simulations with improved
dynamical Wilson fermions.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 06:55:53 GMT""}]","2009-10-30"
"hep-lat/9709023","Joan Clua","M. Baig, J. Clua","Monopole percolation in scalar QED","3 pages, 5 Postscript figures included using uufiles, uses epsf.tex.
  Poster presented in Lattice'97 conference","Nucl.Phys.Proc.Suppl. 63 (1998) 706-708","10.1016/S0920-5632(97)00879-7","UAB-FT/426","hep-lat",,"  Monopole Percolation was first introduced in the study of the non-compact
lattice QED in both, the pure case and coupled to Higgs fields. Monopole
percolation has been also observed coupled to the monopole condensation in the
study of the pure gauge compact QED. We present here the results coming from
the analysis of the role of the monopole percolation in the coupled gauge-higgs
compact QED.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 11:56:21 GMT""}]","2009-10-30"
"hep-lat/9709024","Kari Rummukainen","K. Kajantie (1,2), M. Laine (3), J. Peisa (4), A. Rajantie (2), K.
  Rummukainen (5) and M. Shaposhnikov (1) ((1) CERN Theory Division, (2)
  Helsinki, (3) Heidelberg, (4) Liverpool, (5) Bielefeld)","High-T QCD and dimensional reduction: measuring the Debye mass","3 pages, Latex, 3 figures. Presented by K. Rummukainen at Lattice '97","Nucl.Phys.Proc.Suppl. 63 (1998) 418-420","10.1016/S0920-5632(97)00788-3","BI-TP 97/35","hep-lat",,"  We study the high-temperature phase of SU(2) and SU(3) QCD using lattice
simulations of an effective 3-dimensional SU(N) + adjoint Higgs -theory,
obtained through dimensional reduction. We investigate the phase diagram of the
3D theory, and find that the high-T QCD phase corresponds to the metastable
symmetric phase of the 3D theory. We measure the Debye screening mass m_D with
gauge invariant operators; in particular we determine the O(g^2) and O(g^3)
corrections to m_D. The corrections are seen to be large, modifying the
standard power-counting hierarchy in high temperature QCD.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 12:49:58 GMT""}]","2009-10-30"
"hep-lat/9709025","Konstantinos Anagnostopoulos","J. Ambjorn, K. N. Anagnostopoulos (Niels Bohr Institute), G.
  Thorleifsson (Bielefeld)","The Quantum Spacetime of c>0 2d Gravity","LaTeX2e, 3 pages, 3 figures","Nucl.Phys.Proc.Suppl. 63 (1998) 742-744","10.1016/S0920-5632(97)00890-6","NBI-HE-97-47","hep-lat",,"  We review recent developments in the understanding of the fractal properties
of quantum spacetime of 2d gravity coupled to c>0 conformal matter. In
particular we discuss bounds put by numerical simulations using dynamical
triangulations on the value of the Hausdorff dimension d_H obtained from
scaling properties of two point functions defined in terms of geodesic
distance. Further insight to the fractal structure of spacetime is obtained
from the study of the loop length distribution function which reveals that the
0<c<= 1 system has similar geometric properties with pure gravity, whereas the
branched polymer structure becomes clear for c >= 5.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 13:09:42 GMT""}]","2009-10-30"
"hep-ph/9709293","Ta-Pei Cheng","Ling-Fong Li and T. P. Cheng","The Proton Spin and Flavor Structure in the Chiral Quark Model","59 pages with table of contents, Lecture delivered at the Schladming
  Winter School (March 1997), to be published by Springer-Verlag under the
  title ""Computing Particle Properties"" (eds. C. B. Lang and H. Gausterer)",,"10.1007/BFb0106894",,"hep-ph",,"  After a pedagogical review of the simple constituent quark model and deep
inelastic sum rules, we describe how a quark sea as produced by the emission of
internal Goldstone bosons by the valence quarks can account for the observed
features of proton spin and flavor structures. Some issues concerning the
strange quark content of the nucleon are also discussed.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 18:35:51 GMT""}]","2009-10-30"
"hep-ph/9709294","Jens Oluf Andersen","J. O. Andersen","The Free Energy in Scalar Electrodynamics at High Temperature","23 pages, LATEX, 6 figures",,,"OHSTPY-HEP-T-97-013","hep-ph",,"  Massless scalar electrodynamics is studied at high temperature and zero
chemical potential. I derive the free energy to order $\lambda^2$, $\lambda
e^2$ and $e^4$ by effective field theory methods. The first step consists of
the construction of an effective three-dimensional field theory that is valid
on distance scales $R\gg 1/T$ and whose parameters can be written as power
series in $\lambda$ and $e^2$. These coupling constants encode the contribution
to physical quantities from the scale $T$. The second step is the use of the
effective Lagrangian and perturbative calculations yield the contributions to
the free energy from the scale $eT\sim\sqrt{\lambda}T$.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:37:36 GMT""}]","2007-05-23"
"hep-ph/9709295","Ta-Pei Cheng","T. P. Cheng and Ling-Fong Li","Why Naive Quark Model Can Yield a Good Account of the Baryon Magnetic
  Moments",,"Phys.Rev.Lett. 80 (1998) 2789-2792","10.1103/PhysRevLett.80.2789","CMU-HEP-97-10","hep-ph",,"  The chiral quark model suggests that the baryon quark-sea is negatively
polarized. This modifies the spin structure as given by the naive quark model
and agrees with experimental data. However, for the magnetic moments, there is
significant cancellation between the contritutions from this sea
spin-polarization and the orbital angular momentum so that effectively the
moments are given by the valence constituent quarks alone, as in the NQM.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 20:02:10 GMT""}]","2009-10-30"
"hep-ph/9709296","Paulo Sergio Rodrigues Da Silva","A. A. Natale and P. S. Rodrigues da Silva","Fixed points and vacuum energy of dynamically broken gauge theories","17 pages, uuencoded latex file, 3 figures, uses epsf and epsfig.
  Submitted to Mod. Phys. Lett. A","Mod.Phys.Lett. A12 (1997) 2511-2522","10.1142/S0217732397002648",,"hep-ph hep-th",,"  We show that if a gauge theory with dynamical symmetry breaking has
non-trivial fixed points, they will correspond to extrema of the vacuum energy.
This relationship provides a different method to determine fixed points.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 22:42:34 GMT""}]","2009-10-30"
"hep-ph/9709297","John Terning","Bogdan A. Dobrescu and John Terning","Negative contributions to S in an effective field theory","12 pages, 1 fig., LaTeX, typos corrected, improved referencing","Phys.Lett. B416 (1998) 129-136","10.1016/S0370-2693(97)01304-X","BUHEP-97-27, UCB-PTH-97/44","hep-ph",,"  We show that an effective field theory that includes non-standard couplings
between the electroweak gauge bosons and the top and bottom quarks may yield
negative contributions to both the S and T oblique radiative electroweak
parameters. We find that that such an effective field theory provides a better
fit to data than the standard model (the chi-squared per degree of freedom is
half as large). We examine in some detail an illustrative model where the
exchange of heavy scalars produces the correct type of non-standard couplings.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 23:51:01 GMT""},{""version"":""v2"",""created"":""Fri, 12 Sep 1997 23:25:24 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 1997 20:17:00 GMT""}]","2009-10-30"
"hep-ph/9709298","shunzo Kumano","S. Kumano and M. Miyama (Saga University, SLAC)","One and two loop anomalous dimensions for the chiral-odd structure
  function h1","1+5 pages, LaTeX, sprocl.sty, amsmath.sty, epsfig.sty, 5 eps figures.
  Invited talk at the 10th Summer School & Symposium on Nuclear Physics, ""QCD,
  Lightcone Physics and Hadron Phenomenology"", Seoul, Korea, June 23 - June 28,
  1997. To be published by the World Scientific. Complete postscript file is
  available at ftp://ftp.cc.saga-u.ac.jp/pub/paper/riko/quantum1 or at
  http://www.cc.saga-u.ac.jp/saga-u/riko/physics/quantum1/structure.html Email:
  kumanos@cc.saga-u.ac.jp, 96td25@edu.cc.saga-u.ac.jp",,,"SAGA-HE-124-97, SLAC-PUB-7626","hep-ph hep-ex nucl-th",,"  Because the chiral-odd structure function h_1 will be measured in the
polarized Drell-Yan process, it is important to predict the behavior of h_1
before the measurement. In order to study the Q^2 evolution of h_1, we discuss
one and two loop anomalous dimensions which are calculated in the Feynman gauge
and minimal subtraction scheme.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 05:34:49 GMT""}]","2007-05-23"
"hep-ph/9709299",,"Seiji Mukaigawa (Hiroshima University), Taizo Muta (Hiroshima
  University) and Sergei D. Odintsov (Tomsk Pedagogical Institute and
  Universidad del Valle)","Finite Grand Unified Theories and Inflation","10 pages, latex, 4 figures, epic.sty and eepic.sty are used","Int.J.Mod.Phys.A13:2739-2746,1998","10.1142/S0217751X98001396",,"hep-ph",,"  A class of finite GUTs in curved spacetime is considered in connection with
the cosmological inflation scenario. It is confirmed that the use of the
running scalar-gravitational coupling constant in these models helps realizing
a successful chaotic inflation. The analyses are made for some different sets
of the models.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 08:11:21 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 1997 14:09:40 GMT""},{""version"":""v3"",""created"":""Fri, 12 Sep 1997 10:45:10 GMT""},{""version"":""v4"",""created"":""Sat, 13 Sep 1997 07:31:52 GMT""}]","2019-08-15"
"hep-ph/9709300","Bodenmueller","Harald Fritzsch","Flavor Mixing, CP-Violation and the Masses ov the Light Quarks","7 pages","Nucl.Phys.Proc.Suppl. 64 (1998) 271-277","10.1016/S0920-5632(97)01073-6","LMU 11/97","hep-ph",,"  The observed hierarchy of the quark masses is interpreted as a signal for an
underlying ``subnuclear democracy'' as the relevant symmetry of the quark mass
terms. A simple breaking of the symmetry leads to a mixing between the second
and the third family, in agreement with observation. Introducing the mixing
between the first and the second family, one finds an interesting pattern of
maximal CP--violation as well as a complete determination of the elements of
the CKM matrix and of the unitarity triangle.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 10:42:20 GMT""},{""version"":""v2"",""created"":""Mon, 15 Sep 1997 10:16:00 GMT""}]","2009-10-30"
"hep-ph/9709301",,"Yosef Nir","Recent Developments in Theory of CP Violation","29 pages, LaTeX, Invited plenary talk given at the 18th International
  Symposium on Lepton Photon Interactions, Hamburg, Germany, July 28 -- August
  1 1997. To appear in the proceedings",,,"WIS-97/28/Sep-PH","hep-ph",,"  Four topics in theory of CP violation are reviewed. (a) CP violation in $B$
decays: We describe a new clean way of constraining the angle $\gamma$ of the
unitarity triangle and how new CP violation in decay amplitudes can signal new
physics. (b) CP violation in $K$ decays: We explain the special features of the
decay $K_L\ra\pi^0\nu\bar\nu$ both as a measurement of Standard Model CP
violating parameters and as a probe of new physics. (c) CP violation in $D$
decays: We describe the consequences of CP violation from new physics in
$D-\bar D$ mixing. (d) CP violation in Supersymmetry: We explain how a
combination of measurements of CP violating processes will give insight into
the flavor and CP structure of supersymmetry.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 10:01:50 GMT""}]","2009-09-25"
"hep-ph/9709302","Mikko Sainio","M.E. Sainio","Low-Energy Pion-Nucleon Interaction and the Sigma-Term","6 pages, no figures","PiN Newslett.13:144-149,1997",,"HIP-1997-49/TH","hep-ph",,"  A dispersion framework, appropriate for discussing the low-energy
pion-nucleon interaction, is reviewed. Sensitivity of the isoscalar D-amplitude
at the unphysical Cheng-Dashen point to input from different phase shift
analyses and low-energy experiments is discussed.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 10:34:09 GMT""}]","2011-04-15"
"hep-th/9709069","Renata Kallosh","Renata Kallosh","Worldvolume Supersymmetry","10 pages, Latex","Phys.Rev.D57:3214-3218,1998","10.1103/PhysRevD.57.3214","SU-ITP-97-36","hep-th",,"  A general set of rules is given how to convert a local kappa-symmetry of a
brane action and space-time supersymmetry into the global supersymmetry of the
worldvolume. A Killing spinor adapted gauge for quantization of kappa-symmetry
is defined for this purpose. As an application of these rules we perform the
gauge-fixing of the M-5-brane to get the theory of the (0, 2) tensor
supermultiplet in d=6.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:41:17 GMT""}]","2010-01-15"
"hep-th/9709071","Noureddine Mohammedi","Noureddine Mohammedi (Tours University, France)","Non-Abelian Duality Based on Non-Semi-Simple Isometry Groups","13 pages, Latex file, to appear in Phys. Lett. B","Phys.Lett. B414 (1997) 104-110","10.1016/S0370-2693(97)01136-2",,"hep-th",,"  Non-Abelian duality transformations built on non-semi-simple isometry groups
are analysed. We first give the conditions under which the original non-linear
sigma model and its non-Abelian dual are equivalent. The existence of an
invariant and non-degenerate bilinear form for the isometry Lie algebra is
crucial for this equivalence. The non-Abelian dual of a conformally invariant
sigma model, with non-semi-simple isometries, is then constructed and its beta
functions are shown to vanish. This study resolves an apparent obstruction to
the conformal invariance of sigma models obtained via non-Abelian duality based
on non-semi-simple groups.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 16:19:14 GMT""}]","2009-10-30"
"hep-th/9709073",,"Shao-shiung Lin and Oktay K. Pashaev and Shi-shyr Roan","Gauge Symmetry and Integrable Models","28 pages, no figures, latex",,,"MSRI preprint 1997-088","hep-th nlin.SI solv-int",,"  We establish the isomorphism between a nonlinear $\sigma$-model and the
abelian gauge theory on an arbitrary curved background, which allows us to
derive integrable models and the corresponding Lax representations from gauge
theoretical point of view. In our approach the spectral parameter is related to
the global degree of freedom associated with the conformal or Galileo
transformations of the spacetime. The B$\ddot{\rm a}$cklund transformations are
derived from Chern-Simons theory where the spectral parameter is defined in
terms of the extract compactified space dimension coordinate.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 22:30:38 GMT""}]","2008-02-03"
"hep-th/9709074","Yuri Gusev","Yuri Gusev and Andrei Zelnikov","Finite Temperature Nonlocal Effective Action for Scalar Fields","9 pages, LaTeX (title is changed)","Class.Quant.Grav.15:L13-L19,1998","10.1088/0264-9381/15/3/001","Alberta-Thy-18-97","hep-th gr-qc hep-ph",,"  Scalar fields at finite temperature are considered in four dimensional
ultrastatic curved spacetime. One loop nonlocal effective action at finite
temperature is found up to the second order in curvature expansion. This action
is explicitly infrared finite. In the high temperature expansion of free
energy, essentially nonlocal terms linear in temperature are derived.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 00:49:31 GMT""},{""version"":""v2"",""created"":""Wed, 22 Oct 1997 00:08:27 GMT""}]","2010-04-06"
"hep-th/9709075",,"L. Griguolo and D. Seminara","Chiral solitons from dimensional reduction of Chern-Simons gauged
  non-linear Schr\""odinger model of FQHE: classical and quantum aspects","39 page, RevTeX, 6 figures","Nucl.Phys. B516 (1998) 467-498","10.1016/S0550-3213(97)00810-9","MIT-CTP-2578 and BRX-TH-401","hep-th",,"  The soliton structure of a gauge theory recently proposed to describe chiral
excitations in the Fractional Quantum Hall Effect is investigated. A new type
of non-linear derivative Schr\""odinger equation emerges as an effective
description of the system that supports novel chiral solitons. We discuss the
classical properties of solutions with vanishing and non-vanishing boundary
conditions (dark solitons) and we explain their relation to integrable systems.
The quantum analysis is also addressed in the framework of a semiclassical
approximation improved by Renormalization Group arguments.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 01:10:40 GMT""}]","2009-10-30"
"hep-th/9709077","Tomohiro Inagaki","T. Inagaki, S. D. Odintsov, Yu. I. Shil'nov","Dynamical symmetry breaking in the external gravitational and constant
  magnetic fields","23 pages, Latex, epic.sty and eepic.sty are used","Int.J.Mod.Phys.A14:481-504,1999","10.1142/S0217751X99000245","KOBE-TH-97-02","hep-th",,"  We investigate the effects of the external gravitational and constant
magnetic fields to the dynamical symmetrybreaking. As simple models of the
dynamical symmetry breaking we consider the Nambu-Jona-Lasinio (NJL) model and
the supersymmetric Nambu-Jona-Lasinio (SUSY NJL) model non-minimally
interacting with the external gravitational field and minimally interacting
with constant magnetic field. The explicit expressions for the scalar and
spinor Green functions are found up to the linear terms on the spacetime
curvature and exactly for a constant magnetic field. We obtain the effective
potential of the above models from the Green functions in the magnetic field in
curved spacetime. Calculating the effective potential numerically with the
varying curvature and/or magnetic fields we show the effects of the external
gravitational and magnetic fields to the phase structure of the theories. In
particular, increase of the curvature in the spontaneously broken chiral
symmetry phase due to the fixed magnetic field makes this phase to be less
broken. On the same time strong magnetic field quickly induces chiral symmetry
breaking even at the presence of fixed gravitational field within nonbroken
phase.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 07:55:12 GMT""}]","2009-09-17"
"hep-th/9709078","Rafael I. Nepomechie","Luca Mezincescu and Rafael I. Nepomechie","Fractional-Spin Integrals of Motion for the Boundary Sine-Gordon Model
  at the Free Fermion Point","19 pages, LaTeX, no figures","Int.J.Mod.Phys. A13 (1998) 2747-2764","10.1142/S0217751X98001402","UMTG-200","hep-th",,"  We construct integrals of motion (IM) for the sine-Gordon model with boundary
at the free Fermion point which correctly determine the boundary S matrix. The
algebra of these IM (``boundary quantum group'' at q=1) is a one-parameter
family of infinite-dimensional subalgebras of twisted affine sl(2). We also
propose the structure of the fractional-spin IM away from the free Fermion
point.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 12:54:26 GMT""}]","2009-10-30"
"hep-th/9709079","Ricardo Gonzalez Felipe","R. Gonzalez Felipe","On the Chern-Simons topological term at finite temperature","8 pages, standard LaTeX","Phys.Lett. B417 (1998) 114-118","10.1016/S0370-2693(97)01353-1","UCL-IPT-97-13","hep-th",,"  The parity-violating topological term in the effective action for 2+1 massive
fermions is computed at finite temperature in the presence of a constant
background field strength tensor. Gauge invariance of the finite-temperature
effective action is also discussed.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 15:01:18 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 1997 09:52:56 GMT""}]","2009-10-30"
"nucl-ex/9709002","Debowski","M. Debowski (1 and 6), P. Senger (1), M. Boivin (3), Y. LeBornec (2),
  P. Courtat (2), R. Gacougnolle (2), E. Grosse (1 and 4), S. Kabana (1), T.
  Kirchner (4), P. Koczon (1), M. Mang (1), E. Schwab (1), B. Tatischeff (2),
  A. Wagner (5), W. Walus (6), N. Willis (2), G. Wolf (1), R. Wurzinger (3), J.
  Yonnet (3) ((1) GSI Darmstadt, (2) IPN Orsay, (3) LNS Gif-sur-Yvette, (4) FZ
  Rossendorf, (5) TH Darmstadt and (6) Jagellonian University Krakow)","Subthreshold K+ production in deuteron and alpha induced nuclear
  reactions",,,,,"nucl-ex",,"  Double differential cross sections have been measured for pi+ and K+ emitted
around midraidity in d+A and He+A collisions at a beam kinetic energy of 1.15
GeV/nucleon. The total pi+ yield increases by a factor of about 2 when using an
alpha projectile instead of a deuteron whereas the K+ yield increases by a
factor of about 4. According to transport calculations, the K+ enhancement
depends both on the number of hadron-hadron collisions and on the energy
available in those collisions: their center-of-mass energy increases with
increasing number of projectile nucleons.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 12:54:06 GMT""}]","2007-05-23"
"nucl-th/9709020","Georgios Lalazissis","G.A. Lalazissis, D. Vretenar, W. Poeschl and P. Ring","Reduction of the spin-orbit potential in light drip-line nuclei","8 Pages, LateX, 4 P.S. Figures, submit. Phys. Lett. B","Phys.Lett. B418 (1998) 7-12","10.1016/S0370-2693(97)01473-1",,"nucl-th",,"  The isospin dependence of the spin-orbit interaction in light neutron rich
nuclei is investigated in the framework of relativistic mean field theory. The
magnitude of the spin-orbit potential is considerably reduced in drip line
nuclei, resulting in smaller energy splittings between spin-orbit partners. The
effect does not depend on the parametrization of the effective Lagrangian. The
results are compared with corresponding calculations in the non-relativistic
Skyrme model.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 16:24:01 GMT""}]","2009-10-30"
"nucl-th/9709021","Herbert Muether","C. Giusti, F.D. Pacati, K. Allaart, W.J.W. Geurts, W.H. Dickhoff and
  H. M\""uther","Selectivity of the 16O(e,e'pp) reaction to discrete final states","17 pages, LaTeX, 9 figures included","Phys.Rev.C57:1691-1702,1998","10.1103/PhysRevC.57.1691",,"nucl-th",,"  Resolution of discrete final states in the $^{16}$O(e,e$'$pp)$^{14}$C
reaction may provide an interesting tool to discriminate between contributions
from one- and two-body currents in this reaction. This is based on the
observation that the $0^+$ ground state and first $2^+$ state of $^{14}$C are
reached predominantly by the removal of a $^1S_0$ pair from $^{16}$O in this
reaction, whereas other states mostly arise by the removal of a $^3P$ pair.
This theoretical prediction has been supported recently by an analysis of the
pair momentum distribution of the experimental data. In this paper we present
results of reaction calculations performed in a direct knock-out framework
where final-state interaction and one- and two-body currents are included. The
two-nucleon overlap integrals are obtained from a calculation of the two-proton
spectral function of $^{16}$O and include both long-range and short-range
correlations. The kinematics chosen in the calculations is relevant for recent
experiments at NIKHEF and Mainz.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 09:50:41 GMT""}]","2016-09-08"
"physics/9709015","Cristian G. Sanchez","C. Sanchez, S. A. Dassie, A. M. Baruzzi, E. P. M. Leiva (INFIQC,
  Universidad Nacional de Cordoba, Cordoba, Argentina)","Facilitated alkali ion transfer at the water 1,2-dichloroethane
  interphase: Ab-initio calculations concerning alkaline metal cation -
  1,10-phenanthroline complexes","15 pages, LaTeX2e, 16 included EPS figures, submitted to Bulletin of
  the Chemical Society of Japan",,,,"physics.chem-ph",,"  A series of calculations on the energetics of complexation of alkaline metals
with 1,10-phenanthroline are presented. It is an experimental fact that the
ordering of the free energy of transfer across the water - 1,2-dichloroethane
interphase is governed by the charge / size ratio of the diferent cations; the
larger cations showing the lower free energy of transfer. This ordering of the
free energies of transfer is reverted in the presence of 1,10-phenanthroline in
the organic phase. We have devised a thermodynamic cycle for the transfer
process and by means of ab-initio calculations have drawn the conclusion that
in the presence of phen the free energy of transfer is governed by the
stability of the PHEN/M $^{+}$complex, which explains the observed tendency
from a theoretical point of view.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 17:43:08 GMT""}]","2008-02-03"
"quant-ph/9709019","Haret Rosu","L.J. Boya, H.C. Rosu, A.J. Segui-Santonja, J. Socorro, F.J. Vila","Supersymmetric one-parameter strict isospectrality for the attractive
  delta potentials","7 pages in LaTex, 4 eps figures, published version v4","J. Phys. A 31 (6 Nov. 1998) 8835-8839","10.1088/0305-4470/31/44/011",,"quant-ph cond-mat math-ph math.MP",,"  The Schr\""odinger equation with attractive delta potential has been
previously studied in the supersymmetric quantum mechanical approach by a
number of authors, but they all used only the particular superpotential
solution. Here, we introduce a one-parameter family of strictly isospectral
attractive delta function potentials, which is based on the general
superpotential (general Riccati) solution, we study the problem in some detail
and suggest possible applications
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 18:46:03 GMT""},{""version"":""v2"",""created"":""Fri, 28 Nov 1997 00:05:03 GMT""},{""version"":""v3"",""created"":""Tue, 23 Dec 1997 23:47:45 GMT""},{""version"":""v4"",""created"":""Thu, 24 Dec 1998 02:05:29 GMT""}]","2009-10-30"
"quant-ph/9709020","Vladimir Privman","D. Mozyrsky, V. Privman","Adiabatic Decoherence","29 pages in TeX","J.Statist.Phys.91:787-799,1998","10.1023/A:1023042014131",,"quant-ph cond-mat",,"  We study a general quantum system interacting with environment modeled by the
bosonic heat bath of Caldeira and Leggett type. General interaction
Hamiltonians are considered that commute with the system's Hamiltonian so that
there is no energy exchange between the system and bath. We argue that this
model provides an appropriate description of adiabatic quantum decoherence,
i.e., loss of entanglement on time scales short compared to those of thermal
relaxation processes associated with energy exchange with the bath. The
interaction Hamiltonian is then proportional to a conserved ""pointer
observable."" Calculation of the elements of the reduced density matrix of the
system is carried out exactly, and time-dependence of decoherence is
identified, similar to recent results for related models. Our key finding is
that the decoherence process is controlled by spectral properties of the
interaction rather than system's Hamiltonian.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 02:27:49 GMT""},{""version"":""v2"",""created"":""Sun, 30 Aug 1998 14:05:27 GMT""}]","2014-11-18"
"quant-ph/9709021","Georg Junker","Georg Junker, Pinaki Roy","Supersymmetric Construction of Exactly Solvable Potentials and
  Non-Linear Algebras","LaTeX, 11 pages, 3 figures, figures added, minor misprints corrected.
  to appear in Russian Journal of Nuclear Physics (Yadernaya Fizika)","Yad.Fiz.61:1850-1856,1998; Phys.Atom.Nucl.61:1736-1743,1998",,,"quant-ph hep-th math.QA nlin.SI q-alg solv-int",,"  Using algebraic tools of supersymmetric quantum mechanics we construct
classes of conditionally exactly solvable potentials being the supersymmetric
partners of the linear or radial harmonic oscillator. With the help of the
raising and lowering operators of these harmonic oscillators and the SUSY
operators we construct ladder operators for these new conditionally solvable
systems. It is found that these ladder operators together with the Hamilton
operator form a non-linear algebra which is of quadratic and cubic type for the
SUSY partners of the linear and radial harmonic oscillator, respectively.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 13:25:40 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 1997 08:58:52 GMT""},{""version"":""v3"",""created"":""Fri, 12 Sep 1997 13:41:52 GMT""}]","2011-04-15"
