"alg-geom/9709020","Vladimir Masek","Vladimir Masek (Washington Univ. in St. Louis)","Very ampleness of adjoint linear systems on smooth surfaces with
  boundary","22 pages, AMS-LaTeX 1.2",,,,"alg-geom math.AG",,"  Let M be a Q-divisor on a smooth surface over C. In this paper we give
criteria for very ampleness of the adjoint of the round-up of M. (Similar
results for global generation were given by Ein and Lazarsfeld and used in
their proof of Fujita's Conjecture in dimension 3.) In the last section we
discuss an example which suggests that this kind of criteria might also be
useful in the study of linear systems on surfaces.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:48:39 GMT""}]","2016-08-30"
"hep-ph/9709395","Gautam Bhattach","Gautam Bhattacharyya","A brief review of R-parity-violating couplings","8 pages, Latex, no figures and 3 tables, requires iopconf1.sty which
  is included. Invited talk presented at `Beyond the Desert', Castle Ringberg,
  Tegernsee, Germany, 8-14 June 1997. Minor cosmetic changes, reference added",,,"IFUP-TH 43/97","hep-ph",,"  I review the upper limits on the R-parity-violating Yukawa couplings from
indirect searches. Some limits have been updated using recent data.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 14:57:53 GMT""},{""version"":""v2"",""created"":""Thu, 25 Sep 1997 14:04:02 GMT""}]","2008-02-03"
"hep-th/9709125",,"Hidenaga Yamagishi and Ismail Zahed","Is Quantization of QCD Unique at the Non-Perturbative Level ?","5 pages, Previous version updated and an example in 1+1 dimensions
  supplied","Phys.Rept. 398 (2004) 245-252","10.1016/j.physrep.2004.05.003",,"hep-th",,"  We find that QCD in covariant gauge yields zero for the topological
susceptibility, even at the nonperturbative level. The result is derived in two
ways, one using translational invariance, and the other using the BRST
Hamiltonian. Comparison with the canonical formalism suggests that QCD is not
uniquely defined at the nonperturbative level. Supporting evidence is also
provided in 1+1 dimensions. Our results imply that the strong CP problem admits
a trivial resolution in covariant gauge, but obstacles remain for the U(1)
problem.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 21:13:04 GMT""},{""version"":""v2"",""created"":""Fri, 27 Feb 1998 17:29:20 GMT""}]","2009-10-30"
"hep-th/9709126","Sabbir A. Rahman","Sabbir Rahman","Geometrising the closed string field theory action","9 pages, phyzzx",,,"MIT-CTP-2648","hep-th",,"  We complete the set of string vertices of non-negative dimension by
introducing in a consistent manner those moduli spaces which had previously
been excluded. As a consequence we obtain a `geometrised' string action taking
the simple form $S=f(\B)$ where `$\B$' is the sum of the string vertices. That
the action satisfies the B-V master equation follows from the recursion
relations for the string vertices which take the form of a `geometrical'
quantum master equation.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:53:28 GMT""}]","2007-05-23"
"hep-th/9709129","Ruud Siebelink","R. Siebelink","The low-energy effective action for perturbative heterotic strings on
  $K_3 \times T^2$ and the d=4 N=2 vector-tensor multiplet","36 pages, Latex 209, no figures, v2: minor textual changes","Nucl.Phys. B524 (1998) 86-128","10.1016/S0550-3213(98)00206-5","ULB-TH-97/17","hep-th",,"  We consider d=4 N=2 supergravity theories which serve as low-energy effective
actions for heterotic strings on K_3 \times T^2. At the perturbative level we
construct a new version of the heterotic effective action in which the axion
has been traded for an antisymmetric tensor field. In the string frame the
antisymmetric tensor doesn't transform under Poincar\'e supersymmetry into the
dilaton-dilatini system. This indicates that in this frame the antisymmetric
tensor field and the dilaton are not contained in an N=2 vector-tensor
multiplet. Instead, we find that the heterotic dilaton is part of a
compensating hypermultiplet, whereas the antisymmetric tensor is part of the
gravitational multiplet. In order to obtain our results we use superconformal
techniques. This enables us to comment on the range of applicability of this
particular framework.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:47:59 GMT""},{""version"":""v2"",""created"":""Fri, 19 Jun 1998 20:14:14 GMT""}]","2009-10-30"
"hep-th/9709132",,"Jens Hoppe","On the Construction of Zero Energy States in Supersymmetric Matrix
  Models","By accident, the wrong file was submitted",,,,"hep-th",,"  For the SU(N) invariant supersymmetric matrix model related to membranes in 4
space-time dimensions, the general solution to the equation(s)
$Q^{\dagger}\Psi=0$ $(Q\chi =0)$ is determined for N odd. For any such
(bosonic) solution of $Q^{\dagger}\Psi=0$, a (fermionic) $\Phi$ is found that
(formally) satisfies $Q^{\dagger}\Phi=\Psi$.
  For the analogous model in 11 dimensions the solution of $Q^{\dagger}\Psi=0
(Q\Psi=0)$ is outlined.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 14:55:03 GMT""},{""version"":""v2"",""created"":""Fri, 19 Sep 1997 21:10:10 GMT""}]","2016-09-06"
"math/9709217",,"Edward Odell, Thomas Schlumprecht","On asymptotic properties of Banach spaces under renormings",,,,"Banach Archive 9/18/97","math.FA",,"  It is shown that a separable Banach space $X$ can be given an equivalent norm
$|\!|\!|\cdot |\!|\!|$ with the following properties:\quad If $(x_n)\subseteq
X$ is relatively weakly compact and $\lim_{m\to\infty} \lim_{n\to\infty}\break
|\!|\!| x_m + x_n |\!|\!| = 2\lim_{m\to\infty} |\!|\!| x_m|\!|\!|$ then $(x_n)$
converges in norm. This yields a characterization of reflexivity once proposed
by V.D.~Milman. In addition it is shown that some spreading model of a sequence
in $(X, |\!|\!|\cdot |\!|\!|)$ is 1-equivalent to the unit vector basis of
$\ell_1$ (respectively, $c_0$) implies that $X$ contains an isomorph of
$\ell_1$ (respectively, $c_0$).
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9709034","Peter Petrov Raychev","P. Raychev, R. Roussev, N. Lo Iudice, P. Terziev","An application of the 3-dimensional q-deformed harmonic oscillator to
  the nuclear shell model","12 pages, LaTeX","J.Phys.G24:1931-1943,1998","10.1088/0954-3899/24/10/009",,"nucl-th",,"  An analysis of the construction of a q-deformed version of the 3-dimensional
harmonic oscillator, which is based on the application of q-deformed algebras,
is presented. The results together with their applicability to the shell model
are compared with the predictions of the modified harmonic oscillator.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:48:11 GMT""}]","2008-11-26"
"nucl-th/9709035","Hiroyuki Kamada","H. Kamada, J. Golak, K. Miyagawa, H. Witala, W. Gloeckle","Pi-mesonic decay of the hypertriton","19pages, REVTeX, 9fugures","Phys.Rev.C57:1595-1603,1998","10.1103/PhysRevC.57.1595",,"nucl-th",,"  The pi-mesonic decay of the hypertriton is calculated based on a hypertriton
wavefunction and 3N scattering states, which are rigorous solutions of 3-body
Faddeev equations using realistic NN and hyperon-nucleon interactions. The
total pi-mesonic decay rate is found to be 92% of the free Lambda decay rate,
which is close to the experimental data. Together with the nonmesonic decay the
total life time of 3Lambda H is predicted to be 2.78 x 10^-10 sec which is 6 %
larger than for the free Lambda particle. The differential decay rate is
evaluated as a function of the pion momentum. The decay into the N+d+pi channel
is stronger than in the 3N+pi channel in contrast to the situation for the
nonmesonic decay. The ratio for the decay rate into 3He + pi^- to the decay
rate into all channels including pi^- is found to be 0.40, which is close to
the experimental value. We visualise the decay into the dominant channel
p+d+pi^- in a Dalitz plot. Finally we compare the polarisation of the outgoing
proton in free unpolarised Lambda-decay to the polarisation of 3He in
unpolarised 3_Lambda H-decay and we compare the closely related asymmetry of
pi^- emitted parallel and antiparallel with respect to the spin-direction for a
polarised Lambda to the corresponding asymmetry for a polarised 3_Lambda H.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:10:28 GMT""}]","2008-11-26"
"nucl-th/9709036","Erich Ormand","Feng Pan, J. P. Draayer, and W. E. Ormand (Louisiana State University)","A particle-number-conserving solution to the generalized pairing problem","12 pages, LaTeX (uses RevTex macros), one postscript figure.
  Submitted to Physical Review Letters","Phys.Lett. B422 (1998) 1-5","10.1016/S0370-2693(98)00034-3",,"nucl-th",,"  An exact, number-conserving solution to the generalized, orbit-dependent
pairing problem is derived by introducing an infinite-dimensional algebra. A
method for obtaining eigenvalues and eigenvectors of the corresponding
Hamiltonian is also given. The relevance of the orbit-dependent pairing
solution is demonstrated by comparing predictions of the model with shell-model
calculations.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 19:24:00 GMT""}]","2009-10-30"
"physics/9709025","Klaus Heinemann","K. Heinemann","Some models of spin coherence and decoherence in storage rings","93 pages, 13 Postscript figures, Latex",,,"DESY-97-166","physics.acc-ph math-ph math.MP",,"  I present some simple exactly solvable models of spin diffusion caused by
synchrotron radiation noise in storage rings. I am able to use standard
stochastic differential equation and Fokker-Planck methods and I thereby
introduce, and exploit, the polarization density. This quantity obeys a linear
evolution equation of the Bloch type, which is, like the Fokker-Planck
equation, universal in the sense that it is independent of the state of the
system. I also briefly consider Bloch equations for other local polarization
quantities derived from the polarization density. One of the models chosen is
of relevance for some existing and proposed low energy electron (positron)
storage rings which need polarization. I present numerical results for a ring
with parameters typical of HERA and show that, where applicable, the results of
my approach are in satisfactory agreement with calculations using SLIM. These
calculations provide a numerical check of a basic tenet of the conventional
method of calculating depolarization using the n-axis. I also investigate the
equilibrium behaviour of the spin ensemble when there is no synchrotron
radiation. Finally, I summarize other results which I have obtained using the
polarization density and which will be published separately.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 18:09:05 GMT""}]","2008-02-03"
"physics/9709026","Gudmar Thorleifsson","G. Thorleifsson and M. Falcioni","Improved Algorithms for Simulating Crystalline Membranes","14 pages, 1 eps-figure","Computer Phys. Comm. 109 (1998) 161-170","10.1016/S0010-4655(98)00014-9","Bi-TH-97/24, Su-4240-666","physics.comp-ph cond-mat.stat-mech hep-lat",,"  The physics of crystalline membranes, i.e. fixed-connectivity surfaces
embedded in three dimensions and with an extrinsic curvature term, is very rich
and of great theoretical interest. To understand their behavior, numerical
simulations are commonly used. Unfortunately, traditional Monte Carlo
algorithms suffer from very long auto-correlations and critical slowing down in
the more interesting phases of the model. In this paper we study the
performance of improved Monte Carlo algorithms for simulating crystalline
membrane, such as hybrid overrelaxation and unigrid methods, and compare their
performance to the more traditional Metropolis algorithm. We find that although
the overrelaxation algorithm does not reduce the critical slowing down, it
gives an overall gain of a factor 15 over the Metropolis algorithm. The unigrid
algorithm does, on the other hand, reduce the critical slowing down exponent to
z apprx. 1.7.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 07:13:07 GMT""}]","2009-10-30"
"q-alg/9709027","Bojko Bakalov","Victor G. Kac","Formal distribution algebras and conformal algebras","A talk at the Brisbane Congress in Math. Physics, July 1997, 20
  pages, LaTeX2e",,,,"q-alg math.QA",,"  Conformal algebra is an axiomatic description of the operator product
expansion (or rather its Fourier transform) of chiral fields in a conformal
field theory. This is a review of recent developments in the subject.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:39:05 GMT""},{""version"":""v2"",""created"":""Thu, 8 Apr 1999 08:53:36 GMT""}]","2008-02-03"
"q-alg/9709028","Alberto Galindo","C. Fronsdal (UCLA) and A. Galindo (UCM)","8-Vertex Correlation Functions and Twist Covariance of q-KZ Equation","31 pages. Plain TeX","Rev. Math. Phys. 10 (1998) 1027-1059","10.1142/S0129055X98000331",,"q-alg math.QA",,"  We study the vertex operators $\Phi(z)$ associated with standard quantum
groups. The element $Z = RR^{t}$ is a ""Casimir operator"" for quantized
Kac-Moody algebras and the quantum Knizhnik-Zamolodchikov (q-KZ) equation is
interpreted as the statement $:Z\Phi(z): = \Phi(z)$. We study the covariance of
the q-KZ equation under twisting, first within the category of Hopf algebras,
and then in the wider context of quasi Hopf algebras. We obtain the
intertwining operators associated with the elliptic R-matrix and calculate the
two-point correlation function for the eight-vertex model.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 10:12:34 GMT""}]","2009-10-30"
"quant-ph/9709037","Vicente Delgado Borges","V. Delgado (Universidad de La Laguna)","Probability distribution of arrival times in quantum mechanics","21 pages, LaTeX, no figures; A Note added; To be published in Phys.
  Rev. A","Phys.Rev.A57:762,1998","10.1103/PhysRevA.57.762",,"quant-ph",,"  In a previous paper [V. Delgado and J. G. Muga, Phys. Rev. A 56, 3425 (1997)]
we introduced a self-adjoint operator $\hat {{\cal T}}(X)$ whose eigenstates
can be used to define consistently a probability distribution of the time of
arrival at a given spatial point. In the present work we show that the
probability distribution previously proposed can be well understood on
classical grounds in the sense that it is given by the expectation value of a
certain positive definite operator $\hat J^{(+)}(X)$ which is nothing but a
straightforward quantum version of the modulus of the classical current. For
quantum states highly localized in momentum space about a certain momentum $p_0
\neq 0$, the expectation value of $\hat J^{(+)}(X)$ becomes indistinguishable
from the quantum probability current. This fact may provide a justification for
the common practice of using the latter quantity as a probability distribution
of arrival times.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 19:09:08 GMT""},{""version"":""v2"",""created"":""Wed, 3 Dec 1997 19:35:10 GMT""}]","2011-08-11"
"quant-ph/9709038","Valery Pokrovsky","V. A. Kalatsky, E. M\""uller--Hartmann, V. L. Pokrovsky and G. S. Uhrig","Berry's phase for large spins in external fields","4 pages RevTex",,"10.1103/PhysRevLett.80.1304",,"quant-ph",,"  It is shown that even for large spins $J$ the fundamental difference between
integer and half-integer spins persists. In a quasi-classical description this
difference enters via Berry's connection. This general phenomenon is derived
and illustrated for large spins confined to a plane by crystalline electric
fields. Physical realizations are rare-earth Nickel Borocarbides. Magnetic
moments for half-integer spin
  (Dy$^{3+}$, $J=15/2$) and magnetic susceptibilities for integer spin
(Ho$^{3+}$, $J=8$) are calculated. Experiments are proposed to furnish evidence
for the predicted fundamental difference.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 23:29:14 GMT""}]","2016-09-08"
"quant-ph/9709039","Boris F. Samsonov","Boris F. Samsonov and L.A. Shekoyan","Supersymmetry of the Nonstationary Schr\""odinger equation and
  Time-Dependent Exactly Solvable Quantum Models","Talk at the 8th International Conference ""Symmetry Methods in
  Physics"". Dubna, Russia, 28 July - 2 August, 1997","Phys.Atom.Nucl.63:657-660,2000; Yad.Fiz.63:723-726,2000","10.1134/1.855682",,"quant-ph",,"  New exactly solvable quantum models are obtained with the help of the
supersymmetric extencion of the nonstationary Schr/""odinger equation.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:50:46 GMT""}]","2011-04-15"
"quant-ph/9709040","Boris F. Samsonov","Vladislav G. Bagrov, Boris F. Samsonov","Time Dependent Supersymmetry in Quantum Mechanics","Talk given at the 7-th Lomonosov Conference ""Problems of Fundamental
  Physics"", 24-30 August, 1995, see proceedings book (with the minor
  corrections) Moscow, 1997, p. 54-61",,,,"quant-ph",,"  The well-known supersymmetric constructions such as Witten's supersymmetric
quantum mechanics, Spiridonov-Rubakov parasupersymmetric quantum mechanics, and
higher-derivative SUSY of Andrianov et al. are extended to the nonstationary
Schr\""odinger equation. All these constructions are based on the time-dependent
Darboux transformation. The superalgebra over the conventional Lie algebra is
constructed. Examples of time-dependent exactly solvable potentials are given.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 10:58:33 GMT""}]","2007-05-23"
"quant-ph/9709041","Boris F. Samsonov","Boris F. Samsonov","Supersymmetry and Supercoherent States of a Nonrelativistic Free
  Particle",,"J.Math.Phys. 38 (1997) 4492-4503","10.1063/1.532139",,"quant-ph",,"  Coordinate atypical representation of the orthosymplectic superalgebra
osp(2/2) in a Hilbert superspace of square integrable functions constructed in
a special way is given. The quantum nonrelativistic free particle Hamiltonian
is an element of this superalgebra which turns out to be a dynamical
superalgebra for this system. The supercoherent states, defined by means of a
supergroup displacement operator, are explicitly constructed. These are the
coordinate representation of the known atypical abstract super group $OSp(2/2)$
coherent states. We interpret obtained results from the classical mechanics
viewpoint as a model of classical particle which is immovable in the even
sector of the phase superspace and is in rectilinear movement (in the
appropriate coordinate system) in its odd sector.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:49:07 GMT""}]","2016-09-08"
"solv-int/9709005","Juri Suris","Yuri B. Suris (University of Bremen)","Integrable discretizations for lattice systems: local equations of
  motion and their Hamiltonian properties","LaTeX, 89pp; section on modified Volterra added","Rev. Math. Phys., 1999, V.11, p. 727-822.",,,"solv-int nlin.SI",,"  We develop the approach to the problem of integrable discretization based on
the notion of $r$--matrix hierarchies. One of its basic features is the
coincidence of Lax matrices of discretized systems with the Lax matrices of the
underlying continuous time systems. A common feature of the discretizations
obtained in this approach is non--locality. We demonstrate how to overcome this
drawback. Namely, we introduce the notion of localizing changes of variables
and construct such changes of variables for a large number of examples,
including the Toda and the relativistic Toda lattices, the Volterra lattice and
its integrable perturbation, the second flows of the Toda and of the Volterra
hierarchies, the modified Volterra lattice, the Belov-Chaltikian lattice, the
Bogoyavlensky lattices, the Bruschi-Ragnisco lattice. We also introduce a novel
class of constrained lattice KP systems, discretize all of them, and find the
corresponding localizing change of variables. Pulling back the differential
equations of motion under the localizing changes of variables, we find also
(sometimes novel) integrable one-parameter perturbations of integrable lattice
systems. Poisson properties of the localizing changes of variables are also
studied: they produce interesting one-parameter deformations of the known
Poisson algebras.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:39:45 GMT""},{""version"":""v2"",""created"":""Wed, 24 Sep 1997 15:44:36 GMT""},{""version"":""v3"",""created"":""Mon, 6 Oct 1997 13:29:04 GMT""},{""version"":""v4"",""created"":""Wed, 15 Oct 1997 12:26:07 GMT""}]","2008-02-03"
"solv-int/9709007","Manuel Manas","Q. P. Liu, Manuel Manas","Discrete Levy Transformations and Casorati Determinant Solutions of
  Quadrilateral Lattices","12 pages, LaTeX2e using AMSLaTeX package",,"10.1016/S0375-9601(97)00933-X",,"solv-int nlin.SI",,"  Sequences of discrete Levy and adjoint Levy transformations for the
multidimensional quadrilateral lattices are studied. After a suitable number of
iterations we show how all the relevant geometrical features of the transformed
quadrilateral lattice can be expressed in terms of multi-Casorati determinants.
As an example we dress the Cartesian lattice.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 15:14:50 GMT""}]","2009-10-30"
