"alg-geom/9709017","Yavor Markov","Y. Markov, V. Tarasov, A. Varchenko","The Determinant of a Hypergeometric Period Matrix","21 pages, no figures, LaTeX2e",,,,"alg-geom math.AG",,"  We consider a function $U=e^{-f_0}\prod_j^N f_j^{\alpha_j}$ on a real affine
space, here $f_0,..,f_N$ are linear functions, $\alpha_1, ...,\alpha_N$ complex
numbers. The zeros of the functions $f_1, ..., f_N$ form an arrangement of
hyperplanes in the affine space. We study the period matrix of the
hypergeometric integrals associated with the arrangement and the function $U$
and compute its determinant as an alternating product of gamma functions and
critical points of the functions $f_0,..., f_N$ with respect to the
arrangement. In the simplest example, $N=1, f_0=f_1=t$, the determinant formula
takes the form $\int_0^\infty e^{-t} t^{\alpha -1} dt=\Gamma (\alpha).$
  We also give a determinant formula for Selberg type exponential integrals. In
this case the arangements of hyperplanes is special and admits a symmetry
group, the period matrix is decomposed into blocks corresponding to different
representations of the symmetry group on the space of the hypergeometric
integrals associated with the arrangement. We compute the determinant of the
block corresponding to the trivial representation.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:51:53 GMT""}]","2008-02-03"
"hep-lat/9709047","Simon Hands","Tom Bielefeld, Simon Hands, John D. Stack, Roy J. Wensley","Magnetic Monopoles as Agents of Chiral Symmetry Breaking in U(1) Lattice
  Gauge Theory","14 pages REVTeX, including 5 figures","Phys.Lett. B416 (1998) 150-156","10.1016/S0370-2693(97)01291-4","SWAT/97/162","hep-lat",,"  We present results suggesting that magnetic monopoles can account for chiral
symmetry breaking in abelian gauge theory. Full U(1) configurations from a
lattice simulation are factorized into magnetic monopole and photon
contributions. The expectation <psibarpsi> is computed using the monopole
configurations and compared to results for the full U(1) configurations. It is
shown that excellent agreement between the two values of <psibarpsi> is
obtained if the effect of photons, which ""dress"" the composite operator
psibarpsi, is included. This can be estimated independently by measurements of
the physical fermion mass in the photon background.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 12:34:54 GMT""}]","2009-10-30"
"hep-lat/9709048","Petrus Pennanen","Petrus Pennanen and Janne Peisa","Comparing improved actions for SU(2)","3 pages, 3 colour eps figures. Presented at LATTICE97","Nucl.Phys.Proc.Suppl.63:919-921,1998","10.1016/S0920-5632(97)00941-9","HIP-1997-53/TH","hep-lat",,"  In order to help the user in choosing the right action a performance
comparison is done for seven improved actions. Six of them are Symanzik
improved, one at tree-level and two at one-loop, all with or without tadpole
improvement. The seventh is an approximate fixed point action. Observables are
static on- and off-axis two-body potentials and four-body binding energies,
whose precision is compared when the same amount of computer time is used by
the programs.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 14:26:09 GMT""}]","2010-11-19"
"hep-lat/9709049","Stefano Capitani","S. Capitani, M. Goeckeler, R. Horsley, H. Perlt, P. Rakow, G.
  Schierholz, A. Schiller","Perturbative Renormalization of Improved Lattice Operators","4 pages, LaTeX + 1 eps file + epscrc2.sty (included). Talk given to
  the Lattice 97 International Symposium, 22-26 July 1997, Edinburgh, UK. Minor
  changes in notation","Nucl.Phys.Proc.Suppl.63:874-876,1998","10.1016/S0920-5632(97)00926-2","DESY 97-181, HUB-EP-97/61","hep-lat",,"  We derive bases of improved operators for all bilinear quark currents up to
spin two (including the operators measuring the first moment of DIS Structure
Functions), and compute their one-loop renormalization constants for arbitrary
coefficients of the improvement terms. We have thus control over O(a)
corrections, and for a suitable choice of improvement coefficients we are only
left with errors of O(a^2).
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 12:19:55 GMT""},{""version"":""v2"",""created"":""Mon, 10 Nov 1997 13:28:53 GMT""}]","2008-11-26"
"hep-lat/9709050","Pawel Sawicki","P. Sawicki","Extension of a new method for locating critical temperatures","3 pages, Latex, espcrc2.sty, Talk given at Lattice'97","Nucl.Phys.Proc.Suppl. 63 (1998) 628-630","10.1016/S0920-5632(97)00853-0","TPJU-9/97","hep-lat",,"  We investigate recently proposed method for locating critical temperatures
and introduce some modifications which allow to formulate exact criterion for
any self-dual model. We apply the modified method for the Ashkin-Teller model
and show that the exact result for a critical temperature is reproduced. We
test also a two-layer Ising model for the presence of eventual self-duality.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 13:13:47 GMT""}]","2009-10-30"
"hep-lat/9709051","Martyn Foster","M Foster, C Michael","The Mass Spectrum of a Static Adjoint Particle","3 pages, Latex, to appear Lattice 97 procedings","Nucl.Phys.Proc.Suppl.63:724-726,1998","10.1016/S0920-5632(97)00885-2","LTH 407","hep-lat",,"  The bound states of fermions in the adjoint representation are of interest in
supersymmetric models. We investigate the energy spectrum of the simplest --
the gluino-gluon bound states -- on several lattices in the quenched
approximation. We use a static approximation for the gluino propagator. We find
continuum limits of the splitting between the few lowest states, with the
energy difference between the two lowest states of $354 \pm 9$ MeV.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 15:07:49 GMT""}]","2008-11-26"
"hep-ph/9709350","Robert Mann","T. Hambye, R.B. Mann and U. Sarkar","Test of Special Relativity from K Physics","8 pages, LaTeX, references added","Phys.Lett. B421 (1998) 105-108","10.1016/S0370-2693(98)00016-1","WATPHYS TH-97/14","hep-ph gr-qc",,"  A breakdown of the Local Lorentz Invariance and hence the special theory of
relativity in the Kaon system can, in principle, induce oscillations between
the $K^0$ and $\bar{K}^0$ states. We construct a general formulation in which
simultaneous pairwise diagonalization of mass, momentum and weak eigenstates is
not assumed and the maximum attainable speeds of the momentum eigenstates are
different. This mechanism permits Local Lorentz Invariance violation in a
manner that may or may not violate CPT. In the $CPT-$conserving case, we show
that violation of special relativity could be clearly tested experimentally via
the energy dependence of the $K_L-K_S$ mass difference and we discuss
constraints imposed by present experiments. In the CPT-violating case the
$K^0$--$\bar{K}^0$ system also allows the possiblity of testing different
Lorentz properties of matter and antimatter.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:57:36 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 1997 21:12:48 GMT""}]","2009-10-30"
"hep-ph/9709351","Slava Ilyin","E.Gabrielli, V.A.Ilyin and B.Mele","$Z\gamma H$ Vertex Effects at Future Colliders","5 pages (standard LaTeX code); Talk given at ""Beyond the Standard
  Model V"" Conference, April 29 - May 4 1997, Balholm (Norway); to be published
  in the Proceedings",,"10.1063/1.54487",,"hep-ph",,"  We show that the Higgs production in $e\gamma$ collisions, through the
one-loop reaction $e\gamma\to eH$ at large transverse momentum, can provide a
precise determination of the $Z\gamma H$ vertex. We concentrate on the analysis
of signal rates vs background looking for strategies to improve the ratio
$S/B$. Possible bounds on anomalous contributions to the $Z\gamma H$ vertex are
derived.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 17:23:11 GMT""}]","2009-10-30"
"hep-ph/9709352","Kirill Melnikov","Dmitri Ivanov and Kirill Melnikov","Lepton pair production by a high energy photon in a strong
  electromagnetic field","20 pages, Latex, 2 Figures","Phys.Rev. D57 (1998) 4025-4034","10.1103/PhysRevD.57.4025","TTP96-35, NTZ-24/97","hep-ph",,"  Using impact-factor representation, we consider the lepton pair production by
an incident high-energy photon in a strong electromagnetic field of a nucleus.
By summing leading terms of perturbation series, we obtain a simple formula for
the amplitude, valid to all orders in ${\cal O}(\alpha Z)$ and arbitrary field
of the nucleus. Using these results, we derive, in a simple manner, the results
for the lepton pair production by a virtual incident photon in a Coulomb field.
For real incident photon our results coincide with the known ones. Also, a
particular example of a non-Coulomb potential is discussed in some detail.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 18:13:22 GMT""}]","2009-10-30"
"hep-ph/9709353","Tommy Ohlsson","Johan Linde, Tommy Ohlsson, and Hakan Snellman","Octet Baryon Magnetic Moments in the Chiral Quark Model with
  Configuration Mixing","22 pages, RevTeX","Phys.Rev. D57 (1998) 452-464","10.1103/PhysRevD.57.452",,"hep-ph",,"  The Coleman-Glashow sum-rule for magnetic moments is always fulfilled in the
chiral quark model, independently of SU(3) symmetry breaking. This is due to
the structure of the wave functions, coming from the non-relativistic quark
model. Experimentally, the Coleman-Glashow sum-rule is violated by about ten
standard deviations. To overcome this problem, two models of wave functions
with configuration mixing are studied. One of these models violates the
Coleman-Glashow sum-rule to the right degree and also reproduces the octet
baryon magnetic moments rather accurately.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 18:15:58 GMT""},{""version"":""v2"",""created"":""Tue, 30 Dec 1997 17:11:09 GMT""}]","2009-10-30"
"hep-ph/9709354","Huabin Tang","Paul J. Ellis and Hua-Bin Tang (University of Minnesota)","Pion--Nucleon Scattering in a New Approach to Chiral Perturbation Theory","46 pages, RevTex, 14 figures and 2 tables, minor changes for
  publication","Phys.Rev.C57:3356-3375,1998","10.1103/PhysRevC.57.3356","NUC-MINN-97/8-T","hep-ph nucl-th",,"  We study pion--nucleon scattering with a chiral lagrangian of pions,
nucleons, and $\Delta$-isobars. The scattering amplitude is evaluated to
one-loop $Q^3$ order, where $Q$ is a generic small momentum, using a new
approach which is equivalent to heavy baryon chiral perturbation theory. We
obtain a good fit to the experimental phase shifts for pion center-of-mass
kinetic energies up to 100 MeV. A sigma term greater than 45 MeV is favored,
but the value is not well determined.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 22:23:49 GMT""},{""version"":""v2"",""created"":""Sun, 28 Sep 1997 20:31:49 GMT""},{""version"":""v3"",""created"":""Thu, 11 Jun 1998 04:28:28 GMT""}]","2008-11-26"
"hep-ph/9709355","Scott Willenbrock","S. Willenbrock (U. of Illinois)","Top Quark Physics for Beautiful and Charming Physicists","13 pages, LateX, 7 ps figures included. Presented at the Seventh
  International Symposium on Heavy Flavor Physics, University of California at
  Santa Barbara, July 7-11, 1997",,,,"hep-ph",,"  I discuss two aspects of top-quark physics: V_tb and the top-quark mass. The
similarities and differences with bottom and charm physics are emphasized.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 01:23:22 GMT""}]","2007-05-23"
"hep-ph/9709356","Stephen P. Martin","Stephen P. Martin","A Supersymmetry Primer","160 pages. Version 7 (January 2016) contains many updates and
  improvements. Errata, source files, and a version with larger type (12 pt,
  179 pages) can be found at http://www.niu.edu/spmartin/primer/",,"10.1142/9789812839657_0001",,"hep-ph hep-ex hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  I provide a pedagogical introduction to supersymmetry. The level of
discussion is aimed at readers who are familiar with the Standard Model and
quantum field theory, but who have had little or no prior exposure to
supersymmetry. Topics covered include: motivations for supersymmetry, the
construction of supersymmetric Lagrangians, superspace and superfields, soft
supersymmetry-breaking interactions, the Minimal Supersymmetric Standard Model
(MSSM), R-parity and its consequences, the origins of supersymmetry breaking,
the mass spectrum of the MSSM, decays of supersymmetric particles, experimental
signals for supersymmetry, and some extensions of the minimal framework.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 02:07:12 GMT""},{""version"":""v2"",""created"":""Tue, 31 Mar 1998 17:37:24 GMT""},{""version"":""v3"",""created"":""Wed, 7 Apr 1999 19:18:41 GMT""},{""version"":""v4"",""created"":""Thu, 1 Jun 2006 13:49:11 GMT""},{""version"":""v5"",""created"":""Wed, 10 Dec 2008 01:01:00 GMT""},{""version"":""v6"",""created"":""Tue, 6 Sep 2011 02:07:44 GMT""},{""version"":""v7"",""created"":""Wed, 27 Jan 2016 04:32:37 GMT""}]","2016-11-03"
"hep-ph/9709357",,"Aiichi Iwazaki","Radiations from Axion Miniclusters and Axion Boson Stars in Galactic
  Magnetic Fields","withdrawm due to errors. New version on axion boson star will appear",,,"Nisho-97/7","hep-ph astro-ph",,"  The paper has been withdrawm. A completely new version on oscillating axionic
boson stars will appear.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 05:47:37 GMT""},{""version"":""v2"",""created"":""Wed, 1 Apr 1998 01:48:48 GMT""},{""version"":""v3"",""created"":""Thu, 23 Apr 1998 06:44:17 GMT""}]","2008-02-03"
"hep-ph/9709359","Guest Account","S.V.Goloskokov","Spin Effects In Diffractive High-Energy Reactions","6 pages, Latex, 4 PS Figures included. Talk at the 7 International
  Seminar Spin97, July 7-12, Dubna, 1997",,,,"hep-ph",,"  Spin effects in diffractive $pp$ and $lp$ reactions are analyzed. It is shown
that the structure of the pomeron coupling can be studied in future polarized
experiments.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 11:26:44 GMT""}]","2007-05-23"
"hep-ph/9709361","Bernd Kniehl","K.-P.O. Diener, B.A. Kniehl, and A. Pilaftsis (MPI Munich)","Loop Effects of Exotic Leptons on Vector-Boson Pair Production at e^+e^-
  Colliders","28 pages (Latex), 14 figures (Postscript)","Phys.Rev. D57 (1998) 2771-2784","10.1103/PhysRevD.57.2771","MPI/PhT/97-50","hep-ph",,"  We study quantum effects of exotic heavy leptons on the production of two
vector bosons in e^+e^- annihilation. We present closed analytic expressions
for vector-boson self-couplings and differential cross sections, within the
framework of two favourable new-physics scenarios: (i) the fourth-generation
Majorana-neutrino model and (ii) an E_6-inspired model with sequential mirror
isodoublets. We constrain these models by requiring that their contributions to
the oblique electroweak parameters be compatible with a recent global fit to
high-precision data. We then systematically analyze the loop-induced deviations
in the LEP2 cross section of e^+e^- -> W^+W^- predicted by the models thus
confined.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 14:09:42 GMT""}]","2009-10-30"
"hep-th/9709096",,"Changhyun Ahn, Kyungho Oh, Radu Tatar","M Theory Fivebrane Interpretation for Strong Coupling Dynamics of
  SO(N_c) Gauge Theories","15 pages, Latex, English corrected, Version to Appear in Physics
  Letters B","Phys.Lett.B416:75-84,1998","10.1016/S0370-2693(97)01311-7","SNUTP-97-130, UM-TG-201","hep-th",,"  We study M theory fivebranes to understand the moduli space of vacua of N=1
supersymmetric SO(N_c) gauge theory with N_f flavors in four dimensions. We
discuss how the various branches of this theory arise in the string/M theory
brane configurations and compare our results with the ones obtained earlier by
Intriligator and Seiberg in the context of field theory.
  In the M theory approach, we explain the various branches from the asymptotic
position of semi-infinite D4 branes in the $w=x^8+i x^9$ direction, which is
closely related to the eigenvalues of the meson matrix $M^{ij} = Q^{i}_a
Q^{j}_a$ where $Q^{i}_a$ is a squark multiplet ( $i=1, \cdots, 2N_f$ and $ a=1,
\cdots, N_c$).In M theory, these branches are explained by observing a new
phenomena which did not occur for the gauge groups SU(N_c) or Sp(N_c).
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 23:53:03 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 01:22:44 GMT""},{""version"":""v3"",""created"":""Sun, 12 Oct 1997 22:25:45 GMT""}]","2014-11-18"
"hep-th/9709099","Juan Maldacena","Juan M. Maldacena","Branes probing black holes","latex, 2 figures. Expanded version of my talk at STRINGS'97, v3: more
  typos corrected","Nucl.Phys.Proc.Suppl. 68 (1998) 17-27","10.1016/S0920-5632(98)00137-6",,"hep-th",,"  We consider a brane moving close to a large number of coincident branes. We
compare the calculation of the effective action using the gauge theory living
on the brane and the calculation using the supergravity approximation. We
discuss some general features about the correspondence between large N gauge
theories and black holes. Then we do a one loop calculation which applies for
extremal and near extremal black holes. We comment on the expected results for
higher loop calculations. We make some comments on the Matrix theory
interpretation of these results.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 00:30:44 GMT""},{""version"":""v2"",""created"":""Sat, 4 Oct 1997 18:29:41 GMT""},{""version"":""v3"",""created"":""Sat, 6 Dec 1997 20:59:38 GMT""}]","2009-10-30"
"hep-th/9709102","Stefan Mashkevich","Stefan Mashkevich (ITP, Kiev)","Chern-Simons Field Theory and Generalizations of Anyons","6 pages, LATEX. Contributed paper at the International Europhysics
  Conference on High Energy Physics HEP-97 (Jerusalem, Israel, 19--26 August
  1997)",,,,"hep-th",,"  It is well known that charges coupled to a pure Chern-Simons gauge field in
(2+1) dimensions undergo an effective change of statistics, i.e., become
anyons. We will consider several generalizations thereof, arising when the
gauge field is more general. The first one is ``multispecies anyons''---charged
particles of several species coupled to one, or possibly several, Chern-Simons
fields. The second one is finite-size anyons, which are charged particles
coupled to a gauge field described by the Chern-Simons term plus some other
term. In fact, rigorously speaking, quasielectrons and quasiholes in the
fractional quantum Hall effect are multispecies finite-size anyons. The third
one is an analog of finite-size anyons which arises in a model with a mixed
Chern-Simons term; notably, this model is P,T-invariant, which opens the way
for practical applications even when there is no parity-breaking magnetic
field.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:20:55 GMT""}]","2007-05-23"
"hep-th/9709103","Valentina Petkova","P. Furlan, A.Ch. Ganchev and V.B. Petkova","Fusion rules for admissible representations of affine algebras: the case
  of $A_2^{(1)}$","containing two TEX files: main file using input files harvmac.tex,
  amssym.def, amssym.tex, 19p.; file with figures using XY-pic package, 6p.
  Correction in the definition of general shifted weight diagram","Nucl.Phys. B518 (1998) 645-668","10.1016/S0550-3213(98)00180-1",,"hep-th",,"  We derive the fusion rules for a basic series of admissible representations
of $\hat{sl}(3)$ at fractional level $3/p-3$. The formulae admit an
interpretation in terms of the affine Weyl group introduced by Kac and
Wakimoto. It replaces the ordinary affine Weyl group in the analogous formula
for the fusion rules multiplicities of integrable representations. Elements of
the representation theory of a hidden finite dimensional graded algebra behind
the admissible representations are briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:41:03 GMT""},{""version"":""v2"",""created"":""Sat, 11 Oct 1997 17:22:04 GMT""},{""version"":""v3"",""created"":""Sun, 26 Oct 1997 14:19:27 GMT""}]","2009-10-30"
"hep-th/9709104",,"S. James Gates, Jr","Ectoplasm Has No Topology: The Prelude","13 pages, UMDEPP 98-13, Presentation at the International Seminar on
  ``Supersymmetries and Quantum Symmetries'', Dubna, Russia, July 22 - 26,
  1997, LaTeX, 1 figure",,,,"hep-th",,"  Preliminary evidence is presented that a long overlooked and critical element
in the fundamental definition of a general theory of integration over curved
Wess-Zumino superspace lies with the imposition of ``the Ethereal Conjecture''
which states the necessity of the superspace to be topologically ``close'' to
its purely bosonic sub-manifold. As a step in proving this, a new theory of
integration of closed super p-forms is proposed.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 18:20:00 GMT""}]","2012-08-27"
"hep-th/9709105","Clovis Wotzasek","R. Banerjee and C. Wotzasek","Bosonisation and Soldering of Dual Symmetries in Two and Three
  Dimensions","21 pages, LaTex file, Ref.(14) has been corrected",,,,"hep-th",,"  We develop a technique that solders the dual aspects of some symmetry
following from the bosonisation of two distinct fermionic models, thereby
leading to new results which cannot be otherwise obtained. Exploiting this
technique, the two dimensional chiral determinants with opposite chirality are
soldered to reproduce either the usual gauge invariant expression leading to
the Schwinger model or, alternatively, the Thirring model. Likewise, two
apparently independent three dimensional massive Thirring models with same
coupling but opposite mass signatures, in the long wavelegth limit, combine by
the process of bosonisation and soldering to yield an effective massive Maxwell
theory. The current bosonisation formulas are given, both in the original
independent formulation as well as the effective theory, and shown to yield
consistent results for the correlation functions. Similar features also hold
for quantum electrodynamics in three dimensions.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 18:44:33 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 1997 00:10:30 GMT""}]","2016-09-06"
"hep-th/9709106","Valerie Nowak","Stephen L. Adler and Achim Kempf","Corrections to the Emergent Canonical Commutation Relations Arising in
  the Statistical Mechanics of Matrix Models","32 pages, plain TeX, no figures","J.Math.Phys. 39 (1998) 5083-5097","10.1063/1.532579",,"hep-th",,"  We study the leading corrections to the emergent canonical commutation
relations arising in the statistical mechanics of matrix models, by deriving
several related Ward identities, and give conditions for these corrections to
be small. We show that emergent canonical commutators are possible only in
matrix models in complex Hilbert space for which the numbers of fermionic and
bosonic fundamental degrees of freedom are equal, suggesting that supersymmetry
will play a crucial role. Our results simplify, and sharpen, those obtained
earlier by Adler and Millard.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 19:19:45 GMT""},{""version"":""v2"",""created"":""Thu, 18 Sep 1997 15:33:38 GMT""}]","2009-10-30"
"hep-th/9709107","Robbert Dijkgraaf","R. Dijkgraaf, E. Verlinde, H. Verlinde","Notes on Matrix and Micro Strings","27 pages, latex with espcrc2, 3 figures. References added. Some
  corrections at the end of section 10. Based on lectures given by H.V. at the
  APCTP Winter School held in Sokcho, Korea (Feb 1997) and joint lectures at
  Cargese Summer School (June 1997), as well as on talks given by H.V. at
  SUSY'97 (May 1997), and by R.D. and E.V. at STRINGS'97 (June 1997)","Nucl.Phys.Proc.Suppl. 62 (1998) 348-362","10.1016/S0920-5632(98)00131-5",,"hep-th",,"  We review some recent developments in the study of M-theory compactifications
via Matrix theory. In particular we highlight the appearance of IIA strings and
their interactions, and explain the unifying role of the M-theory five-brane
for describing the spectrum of the T^5 compactification and its duality
symmetries. The 5+1-dimensional micro-string theory that lives on the fivebrane
world-volume takes a central place in this presentation.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 19:37:27 GMT""},{""version"":""v2"",""created"":""Mon, 22 Sep 1997 12:59:49 GMT""}]","2009-10-30"
"hep-th/9709108","Igor Klebanov","Igor R. Klebanov and Leonard Susskind","Schwarzschild Black Holes in Various Dimensions from Matrix Theory","7 pages, latex; a typo corrected (version to appear in Physics
  Letters B)","Phys.Lett.B416:62-66,1998","10.1016/S0370-2693(97)01318-X","PUPT-1720, IASSNS-HEP-97/102","hep-th",,"  In a recent paper it was shown that the properties of Schwarzschild black
holes in 8 dimensions are correctly described up to factors of order unity by
Matrix theory compactified on T^3. Here we consider compactifications on tori
of general dimension d. Although in general little is known about the relevant
d+1 dimensional theories on the dual tori, there are hints from their
application to near-extreme parallel Dirichlet d-branes. Using these hints we
get the correct mass-entropy scaling for Schwarzschild black holes in (11-d)
dimensions.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 22:35:28 GMT""},{""version"":""v2"",""created"":""Thu, 18 Sep 1997 18:45:14 GMT""},{""version"":""v3"",""created"":""Tue, 28 Oct 1997 18:01:00 GMT""}]","2008-11-26"
"hep-th/9709109","Kei-ichi Kondo","Kei-ichi Kondo (Chiba Univ.)","Abelian-Projected Effective Gauge Theory of QCD with Asymptotic Freedom
  and Quark Confinement","39 pages, Latex, no figures, (2.2, 4.1, 4.3 are modified; 4.4,
  Appendices A,B,C and references are added. No change in conclusion)","Phys.Rev. D57 (1998) 7467-7487","10.1103/PhysRevD.57.7467","CHIBA-EP-99-REV","hep-th hep-lat hep-ph",,"  Starting from SU(2) Yang-Mills theory in 3+1 dimensions, we prove that the
abelian-projected effective gauge theories are written in terms of the maximal
abelian gauge field and the dual abelian gauge field interacting with monopole
current. This is performed by integrating out all the remaining non-Abelian
gauge field belonging to SU(2)/U(1). We show that the resulting abelian gauge
theory recovers exactly the same one-loop beta function as the original
Yang-Mills theory. Moreover, the dual abelian gauge field becomes massive if
the monopole condensation occurs. This result supports the dual superconductor
scenario for quark confinement in QCD. We give a criterion of dual
superconductivity and point out that the monopole condensation can be estimated
from the classical instanton configuration. Therefore there can exist the
effective abelian gauge theory which shows both asymptotic freedom and quark
confinement based on the dual Meissner mechanism. Inclusion of arbitrary number
of fermion flavors is straightforward in this approach. Some implications to
lower dimensional case will also be discussed.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 04:50:23 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 04:08:01 GMT""}]","2009-10-30"
"hep-th/9709110","Massimo","L. Maiani, M. Testa","Unstable Systems in Relativistic Quantum Field Theory","12 pages, Latex","Annals Phys. 263 (1998) 353-367","10.1006/aphy.1997.5762","CERN-TH/97-246","hep-th hep-ph",,"  We show how the state of an unstable particle can be defined in terms of
stable asymptotic states. This general definition is used to discuss and to
solve some old problems connected with the short-time and large-time behaviour
of the non-decay amplitude.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 12:59:16 GMT""}]","2009-10-30"
"hep-th/9709111",,"Andrea Brignole (CERN-TH), Ferruccio Feruglio (Padua Univ.), Fabio
  Zwirner (INFN-Padua)","On the effective interactions of a light gravitino with matter fermions","12 pages, 1 figure, plain LaTeX. An important proof added in section
  5. Final version to be published in JHEP","JHEP 9711:001,1997","10.1088/1126-6708/1997/11/001","CERN-TH/97-244, DFPD~97/TH/35","hep-th hep-ph",,"  If the gravitino is light and all the other supersymmetric particles are
heavy, we can consider the effective theory describing the interactions of its
goldstino components with ordinary matter. To discuss the model-dependence of
these interactions, we take the simple case of spontaneously broken
supersymmetry and only two chiral superfields, associated with the goldstino
and a massless matter fermion. We derive the four-point effective coupling
involving two matter fermions and two goldstinos, by explicit integration of
the heavy spin-0 degrees of freedom in the low-energy limit. Surprisingly, our
result is not equivalent to the usual non-linear realization of supersymmetry,
where a pair of goldstinos couples to the energy-momentum tensor of the matter
fields. We solve the puzzle by enlarging the non-linear realization to include
a second independent invariant coupling, and we show that there are no other
independent couplings of this type up to this order in the low-energy
expansion. We conclude by commenting on the interpretation of our results and
on their possible phenomenological implications.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 14:44:58 GMT""},{""version"":""v2"",""created"":""Tue, 23 Sep 1997 17:34:41 GMT""},{""version"":""v3"",""created"":""Mon, 3 Nov 1997 19:27:30 GMT""}]","2014-11-18"
"math/9709235","Jasper Scholten","Jasper Scholten","Elliptic curves of high rank over function fields",,,,"ANT-0079","math.NT",,"  By the Mordell-Weil theorem the group of Q(z)-rational points of an elliptic
curve is finitely generated. It is not known whether the rank of this group can
get arbitrary large as the curve varies. Mestre and Nagao have constructed
examples of elliptic curves E with rank at least 13.
  In this paper a method is explained for finding a 14th independent point on
E, which is defined over k(z), with [k:Q]=2. The method is applied to Nagao's
curve. For this curve one has k=Q(sqrt{-3}).
  The curves E and 13 of the 14 independent points are already defined over a
smaller field k(t), with [k(z):k(t)]=2. Again for Nagao's curve it is proved
that the rank of E(\bar Q(t)) is exactly 13, and that rank E(Q(t)) is exactly
12.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 00:00:00 GMT""}]","2008-02-03"
"nucl-ex/9709004",,"P. Crochet, F. Rami, R. Dona and the FOPI Collaboration","Azimuthal Anisotropies as Stringent Test for Nuclear Transport Models","26 pages Revtex, 7 ps-figures, to appear in Nucl.Phys.A","Nucl.Phys. A627 (1997) 522-542","10.1016/S0375-9474(97)00509-5",,"nucl-ex",,"  Azimuthal distributions of charged particles and intermediate mass fragments
emitted in Au+Au collisions at 600AMeV have been measured using the FOPI
facility at GSI-Darmstadt. Data show a strong increase of the in-plane
azimuthal anisotropy ratio with the charge of the detected fragment.
Intermediate mass fragments are found to exhibit a strong momentum-space
alignment with respect of the reaction plane. The experimental results are
presented as a function of the polar center-of-mass angle and over a broad
range of impact parameters. They are compared to the predictions of the Isospin
Quantum Molecular Dynamics model using three different parametrisations of the
equation of state. We show that such highly accurate data provide stringent
test for microscopic transport models and can potentially constrain separately
the stiffness of the nuclear equation of state and the momentum dependence of
the nuclear interaction.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:15:37 GMT""}]","2009-10-30"
"nucl-ex/9709005","John G. Lajoie","E864 Collaboration: T. A. Armstrong et al","Antiproton Production in 11.5 A GeV/c Au+Pb Nucleus-Nucleus Collisions","4 pages, 4 figures; accepted for publication in Physical Review
  Letters","Phys.Rev.Lett. 79 (1997) 3351-3354","10.1103/PhysRevLett.79.3351",,"nucl-ex",,"  We present the first results from the E864 collaboration on the production of
antiprotons in 10% central 11.5 A GeV/c Au+Pb nucleus collisions at the
Brookhaven AGS. We report invariant multiplicities for antiproton production in
the kinematic region 1.4<y<2.2 and 50<p_T<300 MeV/c, and compare our data with
a first collision scaling model and previously published results from the E878
collaboration. The differences between the E864 and E878 antiproton
measurements and the implications for antihyperon production are discussed.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 14:44:39 GMT""},{""version"":""v2"",""created"":""Thu, 18 Sep 1997 12:09:14 GMT""}]","2015-06-26"
