"alg-geom/9706011","Donu Arapura","Donu Arapura and Madhav Nori","Solvable fundamental groups of algebraic varieties and K\""ahler
  manifolds","16 pages, latex2e",,,,"alg-geom math.AG",,"  This is a long overdue write up of the following: If the fundamental group of
a normal complex algebraic variety (respectively Zariski open subset of a
compact K\""ahler manifold) is a solvable group of matrices over Q (respectively
polycyclic group), then it is virtually nilpotent. This should be interpreted
as saying that a large class of solvable groups will not occur as fundamental
groups of such spaces. The essential strategy is to first ""complete"" these
groups to algebraic groups (generalizing constructions of Malcev and Mostow),
and then check that the identity component is unipotent. This is done by Galois
theoretic methods in the algebraic case, and is reduced to homological
properties of one dimensional characters in the analytic case.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 22:12:48 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 02:51:23 GMT""}]","2016-08-30"
"hep-th/9706178","Nicholas Landsman","N.P. Landsman and K.K. Wren (DAMTP, Cambridge)","Constrained quantization and $\theta$-angles","34 pages, LaTeX","Nucl.Phys. B502 (1997) 537-560","10.1016/S0550-3213(97)00441-0",,"hep-th",,"  We apply a new and mathematically rigorous method for the quantization of
constrained systems to two-dimensional gauge theories. In this method, which
quantizes Marsden-Weinstein symplectic reduction, the inner product on the
physical state space is expressed through a certain integral over the gauge
group. The present paper, the first of a series, specializes to the Minkowski
theory defined on a cylinder. The integral in question is then constructed in
terms of the Wiener measure on a loop group. It is shown how $\th$-angles
emerge in the new method, and the abstract theory is illustrated in detail in
an example.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:45:36 GMT""}]","2009-10-30"
"hep-th/9706179","Ilya L. Shapiro","A.L. Maroto (Universidad Autonoma de Madrid) I.L. Shapiro
  (Universidade Federal de Juiz de Fora and Tomsk State Pedagogical University)","On the inflationary solutions in higher-derivative gravity with dilaton
  field","13 pages, LaTeX, no figures","Phys.Lett.B414:34-44,1997","10.1016/S0370-2693(97)01146-5","FTUAM/97-2; NF/DF-01/97","hep-th",,"  We discuss the existence of de Sitter inflationary solutions for the
string-inspired fourth-derivative gravity theories with dilaton field. We
consider a space-time of arbitrary dimension D and an arbitrary parametrization
of the target space metric. The specific features of the theory in dimension
D=4 and those of the special ghost-free parametrization of the metric are
found. We also consider similar string-inspired theories with torsion and
construct an inflationary solution with torsion and dilaton for D=4. The
stability of the inflationary solutions is also investigated.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:49:53 GMT""}]","2016-09-06"
"math/9706220",,"Louis J. Billera, G\'abor Hetyei","Linear inequalities for flags in graded posets",,,,"MSRI 1997-066","math.CO",,"  The closure of the convex cone generated by all flag $f$-vectors of graded
posets is shown to be polyhedral. In particular, we give the facet inequalities
to the polar cone of all nonnegative chain-enumeration functionals on this
class of posets. These are in one-to-one correspondence with antichains of
intervals on the set of ranks and thus are counted by Catalan numbers.
Furthermore, we prove that the convolution operation introduced by Kalai
assigns extreme rays to pairs of extreme rays in most cases. We describe the
strongest possible inequalities for graded posets of rank at most 5.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-ex/9706009",,"S. Heinz, E. Berdermann, F. Heine, O. Joeres, P. Kienle, I. Koenig, W.
  Koenig, C. Kozhuharov, U. Leinberger, M. Rhein, A. Schroeter, H. Tsertos (The
  ORANGE Collaboration: GSI Darmstadt, TU Munich, Univ. of Cyprus)","Weak e+e- lines from internal pair conversion observed in collisions of
  238U with heavy nuclei","LaTeX, 32 pages incl. 10 PS figures; Accepted by Z.Phys.A","Eur.Phys.J. A1 (1998) 27-37","10.1007/s100500050028",,"nucl-ex",,"  We present the results of a Doppler-shift correction to the measured e+e-
sum-energy spectra obtained from e+e- coincidence measurements in 238U + 206Pb
and 238U + 181Ta collisions at beam energies close to the Coulomb barrier,
using an improved experimental setup at the double-Orange spectrometer of GSI.
Internal-Pair-Conversion (IPC) e+e- pairs from discrete nuclear transitions of
a moving emitter have been observed following Coulomb excitation of the 1.844
MeV (E1) transition in 206Pb and neutron transfer to the 1.770 MeV (M1)
transition in 207Pb. In the collision system 238U + 181Ta, IPC transitions were
observed from the Ta-like as well as from the U-like nuclei. In all systems the
Doppler-shift corrected e+e- sum-energy spectra show weak lines at the energies
expected from the corresponding $\gamma$-ray spectra with cross sections being
consistent with the measured excitation cross sections of the $\gamma$ lines
and the theoretically predicted IPC coefficients. No other than IPC e+e-
sum-energy lines were found in the measured spectra. The transfer cross
sections show a strong dependence on the distance of closest approach (R_min),
thus signaling also a strong dependence on the bombarding energy close to the
Coulomb barrier.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:34:15 GMT""},{""version"":""v2"",""created"":""Thu, 23 Oct 1997 11:51:26 GMT""}]","2015-06-26"
"nucl-th/9706062","Rudy Hwa","R.C. Hwa, J. Pisut, and N. Pisutova","Enhanced J/psi suppression due to gluon depletion","6 pages + 2 figures (in ps file), LaTex, submitted to Phys. Rev. Lett","Phys.Rev.C58:434-438,1998","10.1103/PhysRevC.58.434","OITS-628","nucl-th hep-ph",,"  The nonlinear effect of gluon depletion in the collision of large nuclei can
be large. It is due to multiple scatterings among comoving partons initiated by
primary scattering of partons in the colliding nuclei. The effect can give rise
to substantial suppression of $J/\psi$ production in very large nuclei, even if
the linear depletion effect is insignificant for the collisions of nuclei of
smaller sizes. This mechanism offers a natural explanation of the enhanced
suppression in the Pb-Pb data recently observed by NA50.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 18:24:06 GMT""}]","2008-11-26"
"nucl-th/9706064","Michele Viviani","A.Kievsky, M. Viviani and S.Rosati","N-d scattering above the deuteron breakup threshold","LaTeX, 13 pages, 3 figures","Phys.Rev.C56:2987-2991,1997","10.1103/PhysRevC.56.2987","IFUP-TH 21/97","nucl-th",,"  The complex Kohn variational principle and the (correlated) Hyperspherical
Harmonics technique are applied to study the N--d scattering above the deuteron
breakup threshold. The configuration with three outgoing nucleons is explicitly
taken into account by solving a set of differential equations with outgoing
boundary conditions. A convenient procedure is used to obtain the correct
boundary conditions at values of the hyperradius $\approx 100$ fm. The
inclusion of the Coulomb potential is straightforward and does not give
additional difficulties. Numerical results have been obtained for a simple
s-wave central potential. They are in nice agreement with the benchmarks
produced by different groups using the Faddeev technique. Comparisons are also
done with experimental elastic N--d cross section at several energies.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 08:59:10 GMT""}]","2008-11-26"
"nucl-th/9706066","Carlos Bertulani","V.Yu. Ponomarev and C.A. Bertulani","Two-phonon background for the double giant resonance","6 pages, 2 Postscript figures","Phys.Rev.Lett.79:3853-3856,1997","10.1103/PhysRevLett.79.3853",,"nucl-th",,"  The direct excitation of a ""sea"" of two-phonon configurations above 15 MeV
from the ground state is considered. It is concluded that these configurations
form a flat physical background in photoexcitation cross sections and Coulomb
excitation in heavy ion reactions at relativistic energies. The contribution of
the background to the total cross section in Coulomb excitation of Pb-208 in
the DGDR energy region is about 15%. This shows that It should be considered
while drawing out conclusions on anharmonicities effects for the DGDR.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 15:02:32 GMT""}]","2009-02-11"
"nucl-th/9706067","Alessandro Kievsky","A. Kievsky, M. Viviani and S. Rosati","Study of bound and scattering states in three-nucleon systems","plain tex, 22 pages","Nucl.Phys. A577 (1994) 511-527","10.1016/0375-9474(94)90931-8",,"nucl-th",,"  A variational technique to describe the ground and scattering states below
the break-up threshold for a three-nucleon system is developed. The method
consists in expanding the wave function in terms of correlated Harmonic
Hyperspherical functions suitable to handle the large repulsion contained in
the nuclear potential at short distances; three body forces have also been
considered. The inclusion of the pp Coulomb repulsion in the p-d processes does
not cause any particular problem, since no partial wave decomposition of the
interaction is performed. Accurate numerical results are given for ground state
properties and scattering lenghts, phase shifts and mixing parameters at three
different energies of the incident nucleon. The agreement with other available
results and with experimental analyses is higlly satisfactory.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:57:25 GMT""}]","2009-10-30"
"physics/9706033","Jae-Hyung Myung","Jae-Hyung Myung","A solution of the spacetime singularity problem in relativistic
  cosmology by using an additional variable","10 pages, Latex, 3 JPG figures",,,,"physics.gen-ph","http://creativecommons.org/licenses/by/3.0/","  The spacetime singularity in relativistic cosmology is cancelled by using an
additional variable. That is, the singularity-free models for an expanding
universe are obtained from general relativity.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 09:44:02 GMT""},{""version"":""v2"",""created"":""Thu, 5 Apr 2012 15:28:03 GMT""}]","2012-04-06"
"physics/9706034","Jae-Hyung Myung","Jae-Hyung Myung","A solution of the measurement problem in quantum mechanics by using a
  variable hidden in Newtonian mechanics","11 pages, Latex 1 jpg figure",,,,"physics.gen-ph","http://creativecommons.org/licenses/by/3.0/","  The problem of a correct description of the physical phenomena of the
Heisenberg uncertainty relation is solved by using a variable hidden in
Newtonian mehcanics.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 09:45:53 GMT""},{""version"":""v2"",""created"":""Thu, 29 Mar 2012 09:41:11 GMT""}]","2012-03-30"
"physics/9706035","Valery I. Telnov","Valery Telnov (Institute of Nuclear Physics, Novosibirsk, Russia)","Progress in Photon Colliders","11 pages, Latex, 4 figures(eps), submitted to Proceedings of the
  Intern. Conference ``Photon 97'', Egmond ann Zee, The Netherland, May 10--15,
  1997","Turk.J.Phys. 22 (1998) 541-550",,"Budker INP 97-54","physics.acc-ph hep-ex physics.optics",,"  Last two years were very important in history of a photon colliders. This
option is included now in conceptual design reports of the NLC, JLC and
TESLA/SBLC projects. All the designs foresee two interaction regions: one for
e+e- and the second for gamma-gamma, gamma-e and e^-e^- collisions. This paper
is focused on three aspects: 1) arguments for photon colliders; 2) parameters
of current projects; 3) ultimate luminosities and energies, new ideas. Recent
studies have shown that the main collision effect - coherent pair creation - is
suppressed at photon colliders with the energy (2E < 2 TeV) due to the beam
repulsion, and one can achieve, in principle, the gamma-gamma luminosity
exceeding 10^{35} cm^-2s^-1. The required electron beams with very small
emittances can be obtained, for example, using a laser cooling of electron
beams. This new method requires a laser with a power by one order of magnitude
higher than that required for the ``conversion'' of electrons to photons. Such
lasers are not available today, but hopefully they will appear by the time when
linear colliders will be built. High energy gamma-gamma, gamma-e colliders with
the luminosity comparable to that in e^+e^- collisions are beyond the
competition in study of many phenomena of particle physics.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 09:54:59 GMT""}]","2008-02-03"
"physics/9706036","Rossmanith","D. Einfeld, F. Perez, R. Rossmanith, R. Walther","The ANKA Injector",,"Conf.Proc.C970512:1039-1041,1997",,"ANKA BES-02/97","physics.acc-ph",,"  ANKA is a 2.5 GeV synchrotron radiation storage ring under construction at
the Forschungszentrum Karlsruhe in Germany. The injector system will consist of
a pre-injector with an end energy of 20 to 50 MeV and a 0.5 GeV booster
synchrotron. In the following three different concepts for designing the
booster synchrotron are compared.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:48:57 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jun 1997 15:42:26 GMT""}]","2009-09-25"
"physics/9706037","Pierre Peretto Pour les neurones","Pierre Peretto (1) ((1) Commissariat a l'Energie Atomique (CEA),
  France)","A Physics of Bounded Metric Spaces","26 pages, Postscript file (Word source file). Submitted to
  ""International Journal of Modern Physics A """,,,"CEADRF97127","physics.gen-ph",,"  We consider the possibility of obtaining emergent properties of physical
spaces endowed with structures analogous to that of collective models put
forward by classical statistical physics. We show that, assuming that a
so-called ""metric scale"" does exist, one can indeed recover a number of
properties of physical spaces such as the Minkowski metric, the relativistic
quantum dynamics and the electroweak theory.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 09:30:06 GMT""}]","2008-02-03"
"quant-ph/9706053","Raymond Laflamme","Emanuel Knill, Isaac Chuang and Raymond Laflamme","Effective Pure States for Bulk Quantum Computation","24 pages in LaTex, 14 figures, the paper is also avalaible at
  http://qso.lanl.gov/qc/",,"10.1103/PhysRevA.57.3348",,"quant-ph",,"  In bulk quantum computation one can manipulate a large number of
indistinguishable quantum computers by parallel unitary operations and measure
expectation values of certain observables with limited sensitivity. The initial
state of each computer in the ensemble is known but not pure. Methods for
obtaining effective pure input states by a series of manipulations have been
described by Gershenfeld and Chuang (logical labeling) and Cory et al. (spatial
averaging) for the case of quantum computation with nuclear magnetic resonance.
We give a different technique called temporal averaging. This method is based
on classical randomization, requires no ancilla qubits and can be implemented
in nuclear magnetic resonance without using gradient fields. We introduce
several temporal averaging algorithms suitable for both high temperature and
low temperature bulk quantum computing and analyze the signal to noise behavior
of each.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 16:53:08 GMT""}]","2009-10-30"
"quant-ph/9706055","Helen Bukina","E. N. Bukina (Joint Institue for Nuclear Rearch), N. N. Shtykov
  (Irkutsk State University)","Evaluation of Vacuum Energy for Tensor Fields on Spherical Spaces","LaTex, 4 pages. Published in the Proceedings of the Int. Seminar
  ""Path Integrals and Applications""",,,,"quant-ph",,"  The effective one-loop potential on $R^{m+1}\times S^N$ spaces for massless
tensor fields is evaluated. The Casimir energy is given as a value of $\zeta-$
function by means of which regularization is made. In even- dimensional spaces
the vacuum energy contains divergent terms coming from poles of $\zeta(s,q)$ at
$s=1$, whereas in odd-dimensional spaces it becomes finite.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:06:35 GMT""}]","2007-05-23"
