"adap-org/9706005",,"Hans-Martin Br\""oker (1) and Peter Grassberger (1,2) ((1) Physics
  Department, University of Wuppertal, Germany (2) HLRZ c/o Forschungszentrum
  J\""ulich, Germany)","The Bak-Chen-Tang Forest Fire Model Revisited","4 pages, Latex with 5 figures incl., submitted to PRL",,,,"adap-org nlin.AO",,"  We reconsider a model introduced by Bak, Chen, and Tang (Phys. Rev. A 38, 364
(1988)) as a supposedly self-organized critical model for forest fires. We
verify again that the model is not critical in 2 dimensions, as found also by
previous authors. But we find that the model does show anomalous scaling (i.e.,
is critical in the sense of statistical mechanics) in 3 and 4 dimensions. We
relate these results to recent claims by A. Johansen.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:47:38 GMT""}]","2008-02-03"
"hep-ph/9706465","Markus Finkemeier","Markus Finkemeier (Harvard U.)","The Chirally Normalized Vector Meson Dominance Model and Semihadronic
  Tau Decays","16 pages, Latex, no figures",,,"HUTP-97/A028","hep-ph",,"  We discuss and test the assumptions of the chirally normalized vector meson
dominance model (CN-VMD), as it is used for tau decays. We compare the CN-VMD
amplitudes with those using on-shell couplings, derived directly from
experimental data. We discuss in detail the $3\pi$, $K K \pi$ and $2\pi$ final
states. We suggest that the true values for the $K_1$ widths might be larger
than those quoted in the Review of Particle Physics.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 19:00:16 GMT""}]","2007-05-23"
"hep-ph/9706466","Sheldon Stone","Sheldon Stone (Physics Dept. Syracuse University)","The Btev Program",,,"10.1142/9789814503952_0006","HEPSY 97-01","hep-ph",,"  A brief description is given of BTeV a proposed program at the Fermilab
collider sited at the C0 intersection region. The main goals are measurement of
mixing, CP violation and rare decays in both the $b$ and charm systems. The
detector is a two arm forward-backward spectrometer capable of triggering on
detached vertices and dileptons, and possessing excellent particle
identification, electron, photon and muon detection.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 19:23:04 GMT""}]","2016-11-03"
"hep-ph/9706467","Marek Karliner","Stanley J. Brodsky (SLAC), John Ellis (CERN), Einan Gardi (Tel-Aviv),
  Marek Karliner (Tel-Aviv), Mark. A. Samuel (Oklahoma)","Pade Approximants, Optimal Renormalization Scales, and Momentum Flow in
  Feynman Diagrams","28 pages, LaTeX, including 6 figures requires epsfig.sty","Phys.Rev.D56:6980-6992,1997","10.1103/PhysRevD.56.6980","CERN-TH-97/126, OSU RN 327, SLAC-PUB-7566, TAUP-2434-97","hep-ph cond-mat.stat-mech hep-th",,"  We show that the Pade Approximant (PA) approach for resummation of
perturbative series in QCD provides a systematic method for approximating the
flow of momentum in Feynman diagrams. In the large-$\beta_0$ limit, diagonal
PA's generalize the Brodsky-Lepage-Mackenzie (BLM) scale-setting method to
higher orders in a renormalization scale- and scheme-invariant manner, using
multiple scales that represent Neubert's concept of the distribution of
momentum flow through a virtual gluon. If the distribution is non-negative, the
PA's have only real roots, and approximate the distribution function by a sum
of delta-functions, whose locations and weights are identical to the optimal
choice provided by the Gaussian quadrature method for numerical integration. We
show how the first few coefficients in a perturbative series can set rigorous
bounds on the all-order momentum distribution function, if it is positive. We
illustrate the method with the vacuum polarization function and the Bjorken sum
rule computed in the large-$\beta_0$ limit.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:31:26 GMT""}]","2009-09-11"
"hep-ph/9706468","Eric S. Swanson","E.S. Swanson","Hybrids and Quark Confinement","11 pages, 4 eps figures, uses sprocl.sty","Nucl.Phys.Proc.Suppl. 64 (1998) 312-315","10.1016/S0920-5632(97)01080-3",,"hep-ph",,"  It has become traditional to assume that the Dirac structure of the
phenomenological quark confinement potential is scalar $\otimes$ scalar. We use
the heavy quark expansion of the Coulomb gauge QCD Hamiltonian and the Flux
Tube model to demonstrate that this is true but in the effective sense only.
The demonstration contains some surprises: confinement is actually vector
$\otimes$ vector and it is nonperturbative mixing between ordinary and hybrid
$Q \bar Q$ states which generates the scalar-like spin dependent potential at
order $1/m_q^2$. Thus the existence of hybrids is crucial to establishing
well-known spin splitting phenomenology. Finally, the resolution also indicates
that the gluonic degrees of freedom in a hybrid must be of a collective nature.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:46:12 GMT""}]","2009-10-30"
"hep-ph/9706469","Charles A. Nelson","Charles A. Nelson, Brian T. Kress, Marco Lopes, and Thomas P. McCauley","Importance of Tests for the Complete Lorentz Structure of the t --> W+ b
  vertex at Hadron Colliders","Minor clarifications. Expression for r_{+-} corrected. 19 pages LaTex
  + Tables + 1 Figure","Phys.Rev. D57 (1998) 5923","10.1103/PhysRevD.57.5923","SUNY BING 5/27/97","hep-ph",,"  The most general Lorentz-invariant decay-density-matrix for $t\to W^{+}b\to
(l^{+}\nu)b$, or for $t\to W^{+}b\to (j_{\bar d}j_u)b$, is expressed in terms
of eight helicity parameters. The parameters are physically defined in terms of
partial-width-intensities for polarized-final-states in $t\to W^{+}b$ decay.
The parameters are the partial width, the $b$ quark's chirality parameter
$\xi$, the $W^+$ polarimetry parameter $\sigma$, a ""pre-SSB"" test parameter
$\zeta$, and four $W_{L}$-$W_{T}$ interference parameters $\eta$, $\eta^{'}$,
$\omega$, $\omega^{'}$ which test for $\tilde T_{FS}$ violation. They can be
used to test for non-CKM-type CP violation, anomalous $\Gamma_{L,T}$'s, top
weak magnetism, weak electricity, and second-class currents. By stage-two
spin-correlation techniques, percent level statistical uncertainites are
typical for measurements at the Tevatron, and several mill level uncertainites
are typical at the LHC.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:43:57 GMT""},{""version"":""v2"",""created"":""Wed, 2 Jul 1997 14:47:07 GMT""},{""version"":""v3"",""created"":""Sat, 2 Aug 1997 15:48:03 GMT""}]","2009-10-30"
"hep-ph/9706470","Randall J. Scalise","D. Harris (U. Rochester), F.I. Olness (SMU), and S. Ritz (Columbia)
  (Subgroup Convenors), M. Albrow, E. Berger, T. Bolton, A. Caldwell, A.
  El-Khadra, B. Ermolaev, J.W. Gary, E. Hughes, J. Huston, D. Jansen, Y.-K.
  Kim, D. Krakauer, S. Kuhlmann, H. Lai, D. Naples, J. Qiu, D. Reeder, M.H.
  Reno, R.J. Scalise, B. Schumm, P. Spentzouris, C. Taylor, W.-K. Tung, J.
  Wang, X. Wang, B. Ward, H. Weerts, A. White, J. Whitmore, W. Yu","Structure Function Subgroup Summary","14 pages, LaTeX, 23 PostScript figures, uses epsf.sty and
  snowhack.cls. Contribution to Snowmass 96 Proceedings. Typographical errors
  corrected and minor changes made to text","ECONF C960625:QCD178,1996",,,"hep-ph",,"  We summarize the studies and discussions of the Structure Function subgroup
of the QCD working group of the Snowmass 1996 Workshop: New Directions for High
Energy Physics.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:22:29 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 1997 02:20:58 GMT""},{""version"":""v3"",""created"":""Tue, 23 Dec 1997 03:20:32 GMT""}]","2014-11-17"
"hep-ph/9706471","Dallas Kennedy","Angus F. Nicholson (deceased) (1), Dallas C. Kennedy (2) ((1) The
  Australian National University, (2) University of Florida)","Electroweak Theory Without Higgs Bosons","27 pages, LaTex, no figures; revised for publication; accepted by
  Int. J. Mod. Phys. A; includes biographical note on A. F. Nicholson","International Journal of Modern Physics A15 (2000) 1497","10.1142/S0217751X00000677","UF-IFT-HEP-99-6","hep-ph hep-th",,"  A perturbative SU(2)_L X U(1)_Y electroweak theory containing W, Z, photon,
ghost, lepton and quark fields, but no Higgs or other fields, gives masses to
W, Z and the non-neutrino fermions by means of an unconventional choice for the
unperturbed Lagrangian and a novel method of renormalisation. The
renormalisation extends to all orders. The masses emerge on renormalisation to
one loop. To one loop the neutrinos are massless, the A -> Z transition drops
out of the theory, the d quark is unstable and S-matrix elements are
independent of the gauge parameter xi.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:10:42 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jun 1999 09:47:51 GMT""},{""version"":""v3"",""created"":""Fri, 1 Oct 1999 22:54:44 GMT""},{""version"":""v4"",""created"":""Wed, 19 Apr 2000 00:06:15 GMT""},{""version"":""v5"",""created"":""Fri, 8 Dec 2000 03:56:40 GMT""}]","2009-10-30"
"hep-ph/9706472","Amir Fariborz","V. Elias, A. H. Fariborz, M. A. Samuel, Fang Shi and T. G. Steele","Beyond the Narrow Resonance Approximation: Decay Constant and Width of
  the First Pion-Excitation State","9 pages, revtex, no figures, accepted for publication in Phys. Lett.
  B","Phys.Lett. B412 (1997) 131-136","10.1016/S0370-2693(97)01049-6",,"hep-ph",,"  We consider the first pion excitation as a sub-continuum resonance in the
pseudoscalar channel, and we obtain parameters characterizing this resonance
through a global fit of the Borel-parameter dependence of the field-theoretical
pseudoscalar Laplace sum rule to its hadronic (pion + pion-excitation +
QCD-continuum) content. Our analysis incorporates finite-width deviations from
the narrow resonance approximation, instanton effects, and higher-loop
perturbative contributions to the pseudoscalar correlator. We obtain the
following values (uncertainties reflect 90% confidence levels): mass $M_\Pi =
1.15 \pm 0.28 GeV$, width $\Gamma_\Pi = < 0.48 GeV$, decay constant $r \equiv
[F_\Pi M_\Pi^2 / f_\pi m_\pi^2]^2 = 4.7 \pm 2.8$.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:45:09 GMT""}]","2016-09-06"
"hep-ph/9706473","Amir Fariborz","T. G. Steele, J. C. Breckenridge, M. Benmerrouche, V. Elias and A. H.
  Fariborz","QCD Laplace Sum Rules and the $\Pi (1300)$ Resonance","3 pages, latex, no figures, uses sprocl.sty, to appear in the
  proceedings of the DPF 1996 meeting, Minneapolis",,,,"hep-ph",,"  A global fit to the shape of the first QCD Laplace sum rule exhibiting
sensitivity to pion-resonance [$\Pi (1300)$] parameters is performed, leading
to predictions for the pion-resonance mass and decay constant. This fit leads
to predictions of $M_{\pi} = 1.15 \pm 0.15 GeV$ for the pion-resonance mass,
and $F_\pi^2=(4.5\pm 2.1).(f_\pi^2m_\pi^4/M_\pi^4)$ for the pion-resonance
decay constant.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:56:55 GMT""}]","2007-05-23"
"hep-ph/9706474","Lisa Randall","Lisa Randall","Models of Dynamical Supersymmetry Breaking","14 pages, LaTeX, sprocl.sty","Talk given at International Workshop on Perspectives on Strong
  Coupling Gauge Theories (SCGT 96), Nagoya, Japan, 13-16 Nov, 1996",,"MIT-CTP-2652","hep-ph",,"  We review a class of models of dynamical supersymmetry breaking, and give a
unified description of these models.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 22:28:27 GMT""}]","2007-05-23"
"hep-ph/9706475","Lisa Randall","Lisa Randall","New Mechanisms of Gauge-Mediated Supersymmetry Breaking","7 pages, LaTeX","Talk presented at Rencontres de Moriond ""Electroweak Interactions
  and Unified Theories"", Les Arcs, France, March 15-22, 1997",,"Mit-CTP-2653","hep-ph",,"  We review the motivation for Gauge-Mediated Supersymmetry Breaking and
discuss some recent advances.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 22:32:37 GMT""}]","2007-05-23"
"hep-ph/9706476","Hsin-Chia Cheng","Hsin-Chia Cheng, Jonathan L. Feng, Nir Polonsky","Signatures of multi-TeV scale particles in supersymmetric theories","37 pages including 17 figures, REVTeX","Phys.Rev.D57:152-169,1998","10.1103/PhysRevD.57.152","Fermilab-PUB-97/205-T, LBNL-40466, UCB-PTH-97/34, RU-97-46","hep-ph",,"  Supersymmetric particles at the multi-TeV scale will escape direct detection
at planned future colliders. However, such particles induce non-decoupling
corrections in processes involving the accessible superparticles through
violations of the supersymmetric equivalence between gauge boson and gaugino
couplings. In a previous study, we parametrized these violations in terms of
super-oblique parameters and found significant deviations in well-motivated
models. Here, we systematically classify the possible experimental probes of
such deviations, and present detailed investigations of representative
observables available at a future linear collider. In some scenarios, the
$e^-e^-$ option and adjustable beam energy are exploited to achieve high
precision. It is shown that precision measurements are possible for each of the
three coupling relations, leading to significant bounds on the masses and
properties of heavy superparticles and possible exotic sectors.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 23:55:50 GMT""}]","2014-11-17"
"hep-ph/9706477",,"Tiehui (Ted) Liu","An Overview of $D^0\bar{D}^0$ Mixing Search Techniques","7 pages, talk given at Symposium on Flavor Changing Neutral Currents:
  Present and Future Studies, Santa Monica, Feb. 97",,,"PRINCETON/HEP/97-5","hep-ph",,"  The search for $D^0\bar{D}^0$ mixing may carry a large discovery potential
for new physics since the $D^0\bar{D}^0$ mixing rate is expected to be small in
the Standard Model. This paper gives a brief review of the experimental
techniques which can be used to search for $D^0\bar{D}^0$ mixing in the future.
Some ideas, applicable to future mixing searches at hadron machines (such as
Tevatron and LHC), and fixed target experiments (such as HEAR-B) are
introduced.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 00:36:15 GMT""}]","2007-05-23"
"hep-ph/9706478","Lisa Randall","L. Randall, E. Katz, and S. Su","Supersymmetric Partners of Oblique Corrections","8 Pages, LaTeX, sprocl.sty","Nucl.Phys.Proc.Suppl.62:299-303,1998","10.1016/S0920-5632(97)00671-3","MIT-CTP-2646","hep-ph",,"  We discuss a potential new probe of supersymmetric physics. In particular, we
discuss the possibility of measuring hard supersymmetry violation which occurs
at one loop through ""super-oblique"" corrections to the gauge and gaugino
propagators. In models with heavy scalar partners, or with many gauge-charged
particles which participate in supersymmetry breaking, these effects can be
substantial due to logarithmic and multiplicity factor enhancements.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 01:38:52 GMT""}]","2009-09-15"
"hep-ph/9706479",,"Shaaban Khalil and Tatsuo Kobayashi","Yukawa Unification in Moduli-dominant SUSY Breaking","Latex, 17 pages, 6 figures","Nucl.Phys.B526:99-114,1998","10.1016/S0550-3213(98)00259-4","KEK Preprint 97-31","hep-ph hep-th",,"  We study Yukawa unification in string models with moduli-dominant SUSY
breaking. This type of SUSY breaking in general leads to non-universal soft
masses, i.e., soft scalar masses and gaugino masses. Such non-universality is
important for phenomenological aspects of Yukawa unification, i.e., successful
electroweak breaking, SUSY corrections to the bottom mass and the branching
ratio of $b \to s \gamma$. We show three regions in the whole parameter space
which lead to successful electroweak breaking and allow small SUSY corrections
to the bottom mass. For these three regions we investigate the $b \to s \gamma$
decay and mass spectra.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 02:54:24 GMT""}]","2011-01-27"
"hep-ph/9706480","Wu-Ki Tung","Wu-Ki Tung","The Heavy Quark Parton Oxymoron -- A mini-review of Heavy Quark
  Production theory in PQCD","Talk given at DIS97, Chicago; 8 pages; Latex, use aipproc.sty",,"10.1063/1.53735","MSU-HEP-70624 ; CTEQ-724","hep-ph",,"  Conventional perturbative QCD calculations on the production of a heavy quark
``$H$'' consist of two contrasting approaches: the usual QCD parton formalism
uses the zero-mass approximation ($m_H=0$) once above threshold, and treats $H$
just like the other light partons; on the other hand, most recent ``NLO'' heavy
quark calculations treat $m_H$ as a % large parameter and always consider $H$
as a heavy particle, never as a parton, irrespective of the energy scale of the
physical process. By their very nature, both these approaches are limited in
their regions of applicability. This dichotomy can be resolved in a unified
general-mass variable-flavor-number scheme, which retains the $m_H$ dependence
at all energies, and which naturally reduces to the two conventional approaches
in their respective region of validity. Recent applications to lepto- and
hadro-production of heavy quarks are briefly summarized.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 06:06:45 GMT""}]","2009-10-30"
"hep-ph/9706481","Liu Chun","Chun Liu","Some Remarks on the Baryon-Meson Couplings in the 1/N_c Expansion","9 pages, latex, no figures","Eur.Phys.J.C2:729-731,1998","10.1007/s100520050176","SNUTP 96-121","hep-ph",,"  The original results for the baryon-pion couplings in the large $N_c$ QCD can
be understood in a simpler way in the Hartree-Fock picture. The large $N_c$
relation and its $1/N_c$ correction between the heavy baryon-meson coupling and
the light baryon-meson coupling are emphasized. Application to the
baryon-$\rho$ meson interactions is straightforward. The implications of recent
experimental result for the strong coupling constants of the heavy baryon
chiral lagrangian are discussed.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 08:43:21 GMT""}]","2011-09-13"
"hep-ph/9706482","Anjan Joshipura","Anjan S. Joshipura, V. Ravindran and Sudhir K. Vempati","Neutrino Mass Constraints on R violation and HERA anomaly","15 pages with 5 figures, minor typos corrected and a new reference
  added","Phys.Lett.B451:98-104,1999","10.1016/S0370-2693(99)00179-3","PRL-TH-97/016","hep-ph",,"  R parity violating trilinear couplings $\lambda'_{1jk}$ of the minimal
supersymmetric standard model (MSSM) are constrained from the limit on the
electron neutrino mass. Strong limits on these couplings follow from the
earlier neglected contribution due to sneutrino vacuum expectation values. The
limits on most of the $\lambda'_{1jk}$ couplings derived here are stronger than
the existing ones for a wide range in parameters of MSSM. These limits strongly
constrain the interpretation of recent HERA results in $e^+ p$ scattering in
terms of production of squarks through $R$ violating couplings. In particular,
the interpretation in terms of $\tilde{t}_L$ production off strange quark as
suggested recently is not viable for wide ranges in MSSM parameters.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:52:29 GMT""},{""version"":""v2"",""created"":""Fri, 25 Jul 1997 09:46:46 GMT""}]","2011-01-13"
"hep-ph/9706483","FJ Yndurain","F. J. Yndurain","Dynamically generated masses in supersymmetric QCD and quark mass
  problems","plain TeX file. Two figures","Phys.Lett. B416 (1998) 341-344","10.1016/S0370-2693(97)01334-8","FTUAM 97-1/UM-TH-97-15","hep-ph",,"  We consider possible mechanical masses that could appear in supersymmetry,
other than by direct Higgs coupling to fermions and we speculate that the
existence of such a type of mass would allow one to have the Higgs mass of the
$u$ quark zero, and the Higgs mass of the $d$ quark (at 1 \gev) of $\approx 1
\to 2 MeV$, thus solving at the same time the strong CP problem and arranging
the grand unification prediction $m_{\mu}/m_{e} = m_{s, Higgs}/m_{d, Higgs}.$
One possible mechanism for this is related to, but not identical with the quark
condensate. Here a mass is generated which is the same for all quarks, and
which adds to the Higgs type mass. Unfortunately, the numerical value of the
generated mass falls short of the desired value (some 5 MeV) by orders of
magnitude. An alternate mechanism, through Higgs-induced left-right couplings
in the squark sector may produce masses of the correct order of magnitude if
the mixing angles are diferent in the squark and quark sectors. To get the
desired result for the $u$ quark mass, we need a stop component mixing of 1/20
for the $LR$ $\tilde{u}$ squark coupling, so the strong CP problem may still be
solved. For the $d$ mass, this mechanism is not really sufficient to solve the
grand unification mass ratio problem.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 12:04:49 GMT""}]","2009-10-30"
"hep-ph/9706484","Michael Lublinsky","B. Blok and M. Lublinsky (Technion, Haifa)","Parton-Hadron duality in QCD sum rules: quantum mechanical examples","31 pages, 19 figures. Several references are added. Several typos and
  minor numerical mistakes are corrected. None of new changes alters any result
  of the paper","Phys.Rev.D57:2676-2690,1998; Erratum-ibid.D58:019903,1998","10.1103/PhysRevD.57.2676 10.1103/PhysRevD.58.019903",,"hep-ph",,"  Motivated by recent work on three-point QCD sum rules in heavy quark physics,
we use the simple quantum mechanical models to study the basic issue of duality
in three-point sum rules. We show that while in all of these models the duality
in two-point sum rules works fine, the duality in three-point sum rules may be
100%- violated, leading to completely unreliable predictions for the matrix
elements in question. The implications for three-point QCD sum rules are
discussed. A new estimate for the parameter $\lambda_1$ of HQET is given.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 12:44:57 GMT""},{""version"":""v2"",""created"":""Thu, 5 Mar 1998 14:01:27 GMT""}]","2014-11-17"
"hep-ph/9706485","Wolfgang Ochs","W. Ochs (MPI f. Physik, Munich), and T. Shimada (Meiji Univ. Tokyo)","Rapidity Gaps in e+e- Annihilation and Parton Hadron Duality","LaTex, 12 pages, 2 figs., uses sprocl.sty,epsfig.sty to appear in
  Proc. of the 33rd Eloisatron Workshop (Erice, Italy, 19-25 Oct. 1996)",,,"MPI-PhT/97-40; MEIJI/THEP/7/97","hep-ph",,"  We calculate the probability for rapidity gaps in the parton cascade for
different approximations within the perturbative QCD and compare the results
with recent measurements. The aim is to find out whether the dual connection
between the parton and hadron final states -- observed so far in various
inclusive measurements -- holds as well for the extreme kinematic
configurations with colour sources separated by large rapidity gaps. A
description of the data is possible indeed choosing the parameters of the
cascade in the range suggested by recent analyses of the energy spectra (the
$k_\perp$ cutoff $Q_0~\gsim$ QCD scale $\Lambda\sim 250$ MeV).
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 14:13:31 GMT""}]","2007-05-23"
"hep-ph/9706486","Stephane Peigne","Paul Hoyer and Stephane Peigne","Rescattering Effects in Quarkonium Production","30 pages, Latex","Phys.Rev. D57 (1998) 1864-1877","10.1103/PhysRevD.57.1864","NORDITA-97/37 P","hep-ph",,"  We study eta_c and J/psi hadroproduction induced by multiple scattering off
fixed centres in the target. We determine the minimum number of hard
scatterings required and show that additional soft scatterings may be
factorized, at the level of the production amplitude for the eta_c and of the
cross section for the J/psi. The J/psi provides an interesting example of soft
rescattering effects occurring inside a hard vertex. We also explain the
qualitative difference between the transverse momentum broadening of the J/psi
and of the Upsilon observed in collisions on nuclei. We point out that
rescattering from spectators produced by beam and target parton evolution may
have important effects in J/psi production.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 14:09:15 GMT""},{""version"":""v2"",""created"":""Mon, 17 Nov 1997 12:40:27 GMT""}]","2009-10-30"
"hep-ph/9706487","Jos\i Antonio Oller","J.A. Oller, E. Oset","Theoretical Study of the \gamma\gamma-->meson-meson Reaction","20 pages, 13 figures, LaTeX. Only significant change in the
  calculation of \gamma\gamma-->pi^+ pi^- from the more careful treatment of
  the tail of the f_2(1270) resonance","Nucl.Phys.A629:739-760,1998","10.1016/S0375-9474(97)00649-0",,"hep-ph",,"  We present a unified picture which studies simultaneously the gamma
gamma-->pi^+ pi^-, pi^0 pi^0, K^+ K^-, K^0 bar{K}^0, pi^0 eta reactions up to
about sqrt(s)=1.4 GeV reproducing the experimental cross sections. The present
work implements in an accurate way the final state interactions of the
meson-meson system, which is shown to be essential in order to reproduce the
data, particularly the L=0 channel. This latter channel is treated here
following a recent theoretical work in which the meson-meson amplitudes are
well reproduced and the f_0, a_0, sigma resonances show up clearly as poles of
the t matrix. The present work, as done in earlier ones, also incorporates
elements of chiral symmetry and exchange of vector and axial resonances in the
crossed channels, as well as a direct coupling to the f_2(1270) and a_2(1320)
resonances. We also evaluate the decay width of the f_0(980) and a_0(980)
resonances into the gamma-gamma channel.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 14:41:37 GMT""},{""version"":""v2"",""created"":""Mon, 17 Nov 1997 19:04:12 GMT""}]","2010-11-15"
"hep-ph/9706488","Dey Mira","Jishnu Dey, Mira Dey, T. Frederico, Lauro Tomio","Scaling Law for Baryon Coupling to its Current and its possible
  applications","10 pages, 2 figures, 1 tex picture and 1 ps picture","Mod.Phys.Lett. A12 (1997) 2193-2202","10.1142/S0217732397002247",,"hep-ph",,"  The baryon- coupling to its current ($\lambda_{B}$), in conventional QCD sum
rule calculations (QCDSR), is shown to scale as the cubic power of the baryon
mass, $M_B$. Some theoretical justification for it comes from a simple
light-cone model and also general scaling arguments for QCD. But more
importantly, taken as a phenomenological ansatz for the present, this may find
very good use in current explorations of possible applications of QCDSR to
baryon physics both at temperature $T = 0$, $T \ne 0$ and/or density $\rho =
0$, $\rho \ne 0$.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 15:52:40 GMT""}]","2009-10-30"
"hep-th/9706158","Angel Uranga","G. Aldazabal, A. Font, L.E. Ibanez, A.M.Uranga, G. Violero","Non-Perturbative Heterotic D=6,4 Orbifold Vacua","58 pages, plain Latex, no figures. References corrected","Nucl.Phys.B519:239-281,1998","10.1016/S0550-3213(98)00007-8","FTUAM 97/6, UCVFC-DF/11-97","hep-th hep-ph",,"  We consider D=6, N=1, Z_M orbifold compactifications of heterotic strings in
which the usual modular invariance constraints are violated. It is argued that
in the presence of non-perturbative effects many of these vacua are
nevertheless consistent. The perturbative massless sector can be computed
explicitly from the perturbative mass formula subject to an extra shift in the
vacuum energy. This shift is associated to a non-trivial antisymmetric B-field
flux at the orbifold fixed points. The non-perturbative piece is given by
five-branes either moving in the bulk or stuck at the fixed points, giving rise
to Coulomb phases with tensor multiplets. The heterotic duals of some Type IIB
orientifolds belong to this class of orbifold models. We also discuss how to
carry out this type of construction to the D=4, N=1 case and specific
$Z_M\times Z_M$ examples are presented in which non-perturbative transitions
changing the number of chiral generations do occur.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 18:53:30 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jun 1997 17:00:02 GMT""}]","2016-09-06"
"hep-th/9706159","Carlos Naon","Kang Li and Carlos Naon","Equivalent bosonic theory for the massive Thirring model with non-local
  interaction","15 pages, latex, no figures","J.Phys.A31:7929-7937,1998","10.1088/0305-4470/31/39/009","La Plata-Th97/10","hep-th",,"  We study, through path-integral methods, an extension of the massive Thirring
model in which the interaction between currents is non-local. By examining the
mass-expansion of the partition function we show that this non-local massive
Thirring model is equivalent to a certain non-local extension of the
sine-Gordon theory. Thus, we establish a non-local generalization of the famous
Coleman's equivalence. We also discuss some possible applications of this
result in the context of one-dimensional strongly correlated systems and
finite-size Quantum Field Theories.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 23:30:38 GMT""}]","2008-11-26"
"hep-th/9706160","Alberto Cattaneo","A. S. Cattaneo, P. Cotta-Ramusino, M. Rinaldi","BRST Symmetries for the Tangent Gauge Group","33 pages, TeX; revised version with minor corrections; to appear in
  J. Math. Phys","J.Math.Phys. 39 (1998) 1316-1339","10.1063/1.532381","HUTMP-97/B361","hep-th dg-ga math.DG math.QA q-alg",,"  For any principal bundle $P$, one can consider the subspace of the space of
connections on its tangent bundle $TP$ given by the tangent bundle $T{\cal A}$
of the space of connections ${\cal A}$ on $P$. The tangent gauge group acts
freely on $T{\cal A}$. Appropriate BRST operators are introduced for quantum
field theories that include as fields elements of $T{\cal A}$, as well as
tangent vectors to the space of curvatures. As the simplest application, the
BRST symmetry of the so-called $BF$-Yang-Mills theory is described and the
relevant gauge fixing conditions are analyzed. A brief account on the
topological $BF$ theories is also included and the relevant Batalin-Vilkovisky
operator is described.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 22:11:27 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 16:23:40 GMT""}]","2009-10-30"
"hep-th/9706161","Paul Fendley","Paul Fendley","Excited-state energies and supersymmetric indices","20 pages, 6 figures, amslatex. Revision adds appendix describing
  analogous calculation for a free Dirac fermion. To appear in Advances in
  Theoretical and Mathematical Physics",,,,"hep-th",,"  We study multi-soliton states in two-dimensional N=2 supersymmetric theories.
We calculate their energy exactly as a function of mass and volume in the
simplest integrable N=2 theory, the sine-Gordon model at a particular coupling.
These energies are related to the expectation value $I= tr [\exp(in\pi F)
\exp(-H/T)]$, where F is the fermion number. For n=1, this is Witten's index;
for n an odd integer, we argue that $I$ is an index in the sense that it is
independent of all D-term variations.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 01:54:03 GMT""},{""version"":""v2"",""created"":""Mon, 22 Sep 1997 21:27:27 GMT""}]","2008-02-03"
