"alg-geom/9701011","Viacheslav V. Nikulin","Viacheslav V. Nikulin","K3 surfaces with interesting groups of automorphisms","AMS-Tex, 23 pages, no figures. Significantly extended variant
  prepared for publication",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  By the fundamental result of I.I. Piatetsky-Shapiro and I.R. Shafarevich
(1971), the automorphism group Aut(X) of a K3 surface X over C and its action
on the Picard lattice S_X are prescribed by the Picard lattice S_X. We use this
result and our method (1980) to show finiteness of the set of Picard lattices
S_X of rank $\ge 3$ such that the automorphism group Aut(X) of the K3 surface X
has a non-trivial invariant sublattice S_0 in S_X where the group Aut(X) acts
as a finite group. For hyperbolic and parabolic lattices S_0 it has been proved
by the author before (1980, 1995). Thus we extend this results to negative
sublattices S_0.
  We give several examples of Picard lattices S_X with parabolic and negative
S_0. We also formulate the corresponding finiteness result for reflective
hyperbolic lattices of hyperbolic type over purely real algebraic number
fields.
  These results are important for the theory of Lorentzian Kac--Moody algebras
and Mirror Symmetry.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 15:37:15 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 05:58:30 GMT""}]","2008-02-03"
"math/9701211",,"Nikolai Saveliev","Floer homology of Brieskorn homology spheres: solution to Atiyah's
  problem",,,,"MSRI 1997-006","math.GT",,"  In this paper we answer the question posed by M.~Atiyah and give an explicit
formula for Floer homology of Brieskorn homology spheres in terms of their
branching sets over the 3--sphere. We further show how Floer homology is
related to other invariants of knots and 3--manifolds, among which are the
$\bar\mu$--invariant of W.~Neumann and L.~Siebenmann and the Jones polynomial.
Essential progress is made in proving the homology cobordism invariance of our
own $\nu$--invariant.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9701046","Stephen Wong","S.M.H. Wong","Equilibration in Heavy Ion Collisions at LHC and at RHIC","6 pages latex file with 4 embedded PS figures, talk presented at the
  XIIIth ISHEPP, Dubna, Russia","Proceedings of the XIII ISHEPP, vol.II (1998) p.84.",,"LPTHE-Orsay 96/69","nucl-th",,"  We consider the evolution of a parton plasma created in Au+Au collisions at
LHC and at RHIC energies. Using Boltzmann equation, relaxation time
approximation and perturbative QCD, we show the physics of both thermal and
chemical equilibration in a transparent manner. In particular, we show
inelastic processes are, contrary to common assumption, more important than
elastic processes, the state of equilibration of the system can compensate for
some powers of $\a_s$ for the purpose of equilibration, the two-stage
equilibration scenario is, barring any unknown non-perturbative effects,
inevitable and is an intrinsic feature of perturbative QCD, and gluon
multiplication is the leading process for entropy generation.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 17:57:48 GMT""}]","2007-05-23"
"nucl-th/9701047","Kazuo Tsushima","K. Tsushima (1), K. Saito (2) and A. W. Thomas (1) ((1) The University
  of Adelaide and SRCSSM, Australia, (2) Tohoku College of Pharmacy, Japan)","Self-consistent description of $\Lambda$ hypernuclei in the quark-meson
  coupling model","13 pages, 5 Postscript figures, accepted version for Phys. Lett. B,
  also a few typos corrected and the references updated","Phys.Lett.B411:9-18,1997; Erratum-ibid.B421:413,1998","10.1016/S0370-2693(97)00944-1",,"nucl-th hep-ph",,"  The quark-meson coupling (QMC) model, which has been successfully used to
describe the properties of both finite nuclei and infinite nuclear matter, is
applied to a study of $\Lambda$ hypernuclei. With the assumption that the
(self-consistent) exchanged scalar, and vector, mesons couple only to the u and
d quarks, a very weak spin-orbit force in the $\Lambda$-nucleus interaction is
achieved automatically. This is a direct consequence of the SU(6) quark model
wave function of the $\Lambda$ used in the QMC model. Possible implications and
extensions of the present investigation are also discussed.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 02:10:50 GMT""},{""version"":""v2"",""created"":""Mon, 21 Jul 1997 22:48:43 GMT""}]","2010-02-17"
"nucl-th/9701048",,"Bao-An Li, C. M. Ko and Z.Z. Ren","Equation of state of asymmetric nuclear matter and collisions of
  neutron-rich nuclei","11 pages + 3 postscript figures, Phys. Rev. Lett. (1997) in press","Phys.Rev.Lett.78:1644,1997","10.1103/PhysRevLett.78.1644",,"nucl-th nucl-ex",,"  The ratio of pre-equilibrium neutrons to protons from collisions of
neutron-rich nuclei is studied as a function of their kinetic energies. This
ratio is found to be sensitive to the density dependence of the nuclear
symmetry energy, but is independent of the compressibility of symmetric nuclear
matter and the in-medium nucleon-nucleon cross sections. The experimental
measurement of this ratio thus provides a novel means for determining the
nuclear equation of state of asymmetric nuclear matter.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 03:22:04 GMT""}]","2010-04-06"
"nucl-th/9701049",,"Bao-An Li and C. M. Ko","Chemical and mechanical instabilities in hot, isospin-asymmetric nuclear
  matter","12 pages + 7 postscript figures, Nucl. Phys. A (1997) submitted","Nucl.Phys. A618 (1997) 498-508","10.1016/S0375-9474(97)00124-3",,"nucl-th nucl-ex",,"  Using phenomenological equations of state, we study the chemical and
mechanical instabilities in hot isospin-asymmetric nuclear matter. Both
instabilities are found to depend strongly on the isospin asymmetry of the
nuclear matter. For a chemically and mechanically stable asymmetric nuclear
matter, a lower neutron excess is found in the liquid phase than in the gas
phase. Furthermore, the neutron excess in the mixed phase at densities between
that of the liquid and the gas phases is limited by certain maximum value.
Also, for the nuclear equations of state considered here the boundary of
chemical instability in the pressure-density plane is found to be more extended
than that of mechanical instability. However, locations of these boundaries
depend sensitively on both the bulk compressibility of nuclear matter and the
density dependence of the symmetry energy.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 03:22:29 GMT""}]","2009-10-30"
"nucl-th/9701050","Marek Gadzicki","Marek Gazdzicki","Pion and Strangeness Production as Signals of QCD Phase Transition","8 pages, 2 figures, typing errors corrected",,,"IKF-HENPG/1-97","nucl-th",,"  It is shown that data on pion and strangeness production in central
nucleus-nucleus collisions are consistent with the hypothesis of a Quark Gluon
Plasma formation between 15 A GeV/c (BNL AGS) and 160 A GeV/c (CERN SPS)
collision energies. The experimental results interpreted in the framework of a
statistical approach indicate that the effective number of degrees of freedom
increases by a factor of about 3 in the course of the phase transition and that
the plasma created at CERN SPS energy may have a temperature of about 280 MeV
(energy density $\approx$ 10 GeV/fm^3). Experimental studies of central Pb+Pb
collisions in the energy range 20-160 A GeV/c are urgently needed in order to
localize the threshold energy, and study the properties of the QCD phase
transition.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 08:05:24 GMT""},{""version"":""v2"",""created"":""Wed, 19 Feb 1997 12:22:46 GMT""}]","2016-09-08"
"patt-sol/9701010","Aric Hagberg","Aric Hagberg (Los Alamos National Laboratory), Ehud Meron, I.
  Rubinstein and B. Zaltzman (Ben-Gurion University)","Order Parameter Equations for Front Transitions: Planar and Circular
  Fronts","9 pages. Aric Hagberg: http://t7.lanl.gov/People/Aric/; Ehud Meron:
  http://www.bgu.ac.il/BIDR/research/staff/meron.html","Physical Review E 55, 4450 (1997)","10.1103/PhysRevE.55.4450",,"patt-sol nlin.PS",,"  Near a parity breaking front bifurcation, small perturbations may reverse the
propagation direction of fronts. Often this results in nonsteady asymptotic
motion such as breathing and domain breakup. Exploiting the time scale
differences of an activator-inhibitor model and the proximity to the front
bifurcation, we derive equations of motion for planar and circular fronts. The
equations involve a translational degree of freedom and an order parameter
describing transitions between left and right propagating fronts.
Perturbations, such as a space dependent advective field or uniform curvature
(axisymmetric spots), couple these two degrees of freedom. In both cases this
leads to a transition from stationary to oscillating fronts as the parity
breaking bifurcation is approached. For axisymmetric spots, two additional
dynamic behaviors are found: rebound and collapse.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 18:43:29 GMT""}]","2009-10-30"
"patt-sol/9701011","Todd Kapitula","Todd Kapitula","Stability criterion for bright solitary waves of the perturbed
  cubic-quintic Schroedinger equation","28 pages, LaTeX, submitted; author info at
  http://www.math.unm.edu/~kapitula",,"10.1016/S0167-2789(97)00245-5",,"patt-sol nlin.PS",,"  The stability of the bright solitary wave solution to the perturbed
cubic-quintic Schroedinger equation is considered. It is shown that in a
certain region of parameter space these solutions are unstable, with the
instability being manifested as a small positive eigenvalue. Furthermore, it is
shown that in the complimentary region of parameter space there are no small
unstable eigenvalues. The proof involves a novel calculation of the Evans
function, which is of interest in its own right. As a consequence of the
eigenvalue calculation, it is additionally shown that N-bump bright solitary
waves bifurcate from the primary wave.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 21:49:38 GMT""}]","2009-10-30"
"physics/9701017","Millard Alexander","Millard H. Alexander, Andrew Walton, Moonbong Yang, Xin Yang, Eunsook
  Hwang, and Paul J. Dagdigian","A collaborative theoretical and experimental study of the structure and
  electronic excitation spectrum of the BAr and B(Ar)2 complexes","a pdf file (5 kB) containing the abstract can be retrieved as
  ftp://mha-ibm2.umd.edu/pub/publications/BAr2.abs.pdf a pdf file (325 kB)
  containing the entire manuscript can be retrieved as
  ftp://mha-ibm2.umd.edu/pub/publications/BAr2.ms.pdf To appear in J. Chem.
  Phys. 106 (1997) 8 April issue.",,"10.1063/1.473621",,"physics.chem-ph",,"  We report the investigation of the 3s <- 2p transition in the BAr2 cluster.
In a supersonic expansion of B atoms entrained in Ar, at high beam source
backing pressures we observe several features in the fluorescence excitation
spectrum which cannot be assigned to the BAr diatom. Using BAr(X, B) potential
energy curves which reproduce our experimental observations on this molecule
and an Ar-Ar interaction potential, we employ a pairwise additive model, along
with variational and diffusion Monte-Carlo treatments of the nuclear motion, to
determine the lowest vibrational state of the BAr2 cluster. A subsequent
simulation of the fluorescence excitation spectrum reproduces nearly
quantitatively the strongest feature in our experimental spectrum not
assignable to BAr. Because of the barrier in the BAr(B 2Sigma+) potential
energy curve, the 3s <- 2p transition in the BAr2 cluster is predicted to have
an asymmetric profile, as is found experimentally.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 20:14:29 GMT""}]","2009-10-30"
"q-alg/9701024",,"Richard Dipper, Gordon James and Andrew Mathas","The (Q,q)-Schur algebra","Submitted for publications December 1996. LaTeX2e file, 41 pages.
  Also obtainable from: http://www.ma.ic.ac.uk/~apmath
  http://abel.mathematik.uni-stuttgart.de/mathB/Alg_Top/rdipper.html",,,,"q-alg math.QA",,"  In this paper we use the Hecke algebra of type $B$ to define a new algebra
$\Sch$ which is an analogue of the q-Schur algebra. We construct Weyl modules
for $\Sch$ and obtain, as factor modules, a family of irreducible
$\Sch$-modules over any field.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 12:04:05 GMT""}]","2008-02-03"
"quant-ph/9701030","Dima V. Mozyrsky","L. Schulman and D. Mozyrsky (Clarkson University)","Measure of Entaglement","4 pages, plain TeX, no figures",,,,"quant-ph",,"  The extent to which a given wave function, $\psi$, is entangled is measured
by minimizing the norm of $\psi$ minus all possible unentangled functions. This
measure is given by the largest eigenvalue of $\psi^\dagger \psi$, considered
as an operator. The definition is basis independent.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 23:59:38 GMT""}]","2007-05-23"
"quant-ph/9701031","Dima V. Mozyrsky","L. Schulman","Bounds on Decoherence and Error","10 pages, plain TeX, no figures","Phys.Rev.A57:840-844,1998","10.1103/PhysRevA.57.840",,"quant-ph",,"  When a confined system interacts with its walls (treated quantum
mechanically), there is an intertwining of degrees of freedom. We show that
this need not lead to entanglement, hence decoherence. It will generally lead
to error. The wave function optimization required to avoid decoherence is also
examined.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 00:10:47 GMT""}]","2008-11-26"
"quant-ph/9701032","Mohammad Ardehali","M. Ardehali","Does Clauser-Horne-Shimony-Holt Correlation or Freedman-Clauser
  Correlation lead to the largest violation of Bell's Inequality?","15 pages, LaTeX file, no figures",,"10.1103/PhysRevA.57.114",,"quant-ph",,"  An inequality is deduced from Einstein's locality and a supplementary
assumption. This inequality defines an experiment which can actually be
performed with present technology to test local realism. Quantum mechanics
violate this inequality a factor of 1.5. In contrast, quantum mechanics
violates previous inequalities (for example, Clauser-Horne-Shimony-Holt
inequality of 1969, Freedman-Clauser inequality of 1972, Clauser-Horne
inequality of 1974) by a factor of $\sqrt 2$. Thus the magnitude of violation
of the inequality derived in this paper is approximately $20.7%$ larger than
the magnitude of violation of previous inequalities. This result can be
particularly important for the experimental test of locality.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 08:45:42 GMT""}]","2009-10-30"
