"alg-geom/9703033","Wolfgang Eholzer","W. Eholzer, T. Ibukiyama","Rankin-Cohen Type Differential Operators for Siegel Modular Forms","19 pages LaTeX2e using amssym.def",,,"preprint MPI, DAMTP-97-26","alg-geom math.AG",,"  Let H_n be the Siegel upper half space and let F and G be automorphic forms
on H_n of weights k and l, respectively. We give explicit examples of
differential operators D acting on functions on H_n x H_n such that the
restriction of D(F(Z_1) G(Z_2)) to Z = Z_1 = Z_2 is again an automorphic form
of weight k+l+v on H_n. Since the elliptic case, i.e. n=1, has already been
studied some time ago by R. Rankin and H. Cohen we call such differential
operators Rankin-Cohen type operators. We also discuss a generalisation of
Rankin-Cohen type operators to vector valued differential operators.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:50:10 GMT""}]","2008-02-03"
"hep-th/9703180","Katsushi Ito","Katsushi Ito","Picard-Fuchs Equations and Prepotential in N=2 Supersymmetric G_{2}
  Yang-Mills Theory","10 pages, latex","Phys.Lett. B406 (1997) 54-59","10.1016/S0370-2693(97)00672-2","UTHEP-359","hep-th",,"  We study the low-energy effective theory of N=2 supersymmetric Yang-Mills
theory with the exceptional gauge group $G_{2}$. We obtain the Picard-Fuchs
equations for the $G_{2}$ spectral curve and compute multi-instanton
contribution to the prepotential. We find that the spectral curve is consistent
with the microscopic supersymmetric instanton calculus. It is also shown that
$G_{2}$ hyperelliptic curve does not reproduce the microscopic result.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 01:23:56 GMT""},{""version"":""v2"",""created"":""Tue, 3 Jun 1997 01:58:21 GMT""}]","2009-10-30"
"hep-th/9703181","Naohisa Ogawa","Naohisa Ogawa","Embedding of Relativistic Particles and Spinor Natural-Frame","13 pages, No figures, Latex, Reference is little bit changed",,,,"hep-th",,"  Embedding of Klein-Gordon and Dirac particle onto Riemannian submanifold in
higher dimensional Minkowski space is given by using Hamiltonian BRST
formalism. Up to the ordering and quantum potential term induced by embedding,
obtained K-G equation is the usual one in Riemannian space, instead, the
obtained Dirac equation is essentially different from the usual well known form
using vierbein. The requirement of equivalence between two Dirac equations
gives the property of natural-frame for spinor.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 02:44:02 GMT""},{""version"":""v2"",""created"":""Wed, 28 May 1997 15:10:51 GMT""},{""version"":""v3"",""created"":""Wed, 4 Jun 1997 15:34:40 GMT""}]","2008-02-03"
"hep-th/9703182","Theory Group Associate","I. Brunner, M. Lynker, R. Schimmrigk","Dualities and phase transitions for Calabi-Yau 3folds and 4folds","31 pages, Latex","Nucl.Phys.Proc.Suppl.56B:120-135,1997","10.1016/S0920-5632(97)00317-4","UTTG-97-9, Bonn-Th-97-3, HUB-EP--97/8","hep-th",,"  We review several aspects of heterotic, type II, F-theory, and M-theory
compactifications on Calabi-Yau threefolds and fourfolds. In the context of
dualities we focus on the heterotic gauge structure determined by the various
types of fibration relevant in the framework of heterotic/type II duality in
D=4 as well as 4D F-theory. We also consider transitions between Calabi-Yau
manifolds in both three and four dimensions and review some of the consequences
for the behavior of the superpotential.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 03:17:49 GMT""}]","2010-11-19"
"hep-th/9703183","Alexander Belopolsky","Alexander Belopolsky","New Geometrical Approach to Superstrings","38 pages, 1 figure. More references added. Analysis of the dilaton
  theorem expanded",,,"IFP/103/UNC","hep-th alg-geom math-ph math.AG math.MP",,"  We present a new geometrical approach to superstrings based on the
geometrical theory of integration on supermanifolds. This approach provides an
effective way to calculate multi-loop superstring amplitudes for arbitrary
backgrounds. It makes possible to calculate amplitudes for the physical states
defined as BRST cohomology classes using arbitrary representatives. Since the
new formalism does not rely on the presence of primary representatives for the
physical states it is particulary valuable for analyzing the discrete states
for which no primary representatives are available. We show that the discrete
states provide information about symmetries of the background including odd
symmetries which mix Bose and Fermi states. The dilaton is an example of a
non-discrete state which cannot be covariantly represented by a primary vertex.
The new formalism allows to prove the dilaton theorem by a direct calculation.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 04:24:44 GMT""},{""version"":""v2"",""created"":""Tue, 1 Apr 1997 06:12:39 GMT""},{""version"":""v3"",""created"":""Sat, 7 Jun 1997 17:43:06 GMT""}]","2008-02-03"
"hep-th/9703184","Zoltan Nemeth","Z. N\'emeth","Vortex solutions in axial or chiral coupled non-relativistic spinor-
  Chern-Simons theory","Plain TEX, 10 pages","Phys.Rev.D56:5066-5070,1997","10.1103/PhysRevD.56.5066","ITP Budapest report no 531","hep-th",,"  The interaction of a spin 1/2 particle (described by the non-relativistic
""Dirac"" equation of L\'evy-Leblond) with Chern-Simons gauge fields is studied.
It is shown, that similarly to the four dimensional spinor models, there is a
consistent possibility of coupling them also by axial or chiral type currents.
Static self dual vortex solutions together with a vortex-lattice are found with
the new couplings.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:51:28 GMT""}]","2008-11-26"
"hep-th/9703185","Kyoungtae Kimm","Kyoungtae Kimm and Bukyung Sul","N=2 Supersymmetric Gauged O(3) Sigma Model","7 pages, Latex, no figures","J.KoreanPhys.Soc.32:609-611,1998",,"SNUTP-97-038","hep-th",,"  We discuss the N=2 supersymmetric extension of the gauged O(3) sigma model in
(2+1) dimensions with an abelian Chern-Simons term. It is shown that the
self-dual potential and the Bogomolny relations naturally appear as
consequences of extended supersymmetry.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 13:19:00 GMT""}]","2008-11-26"
"hep-th/9703186","Alishahiha Mohesn","M. Alishahiha","Simple Derivation of the Picard-Fuchs equations for the Seiberg-Witten
  Models","LaTex file, 10 pages. some missprints are corrected","Phys.Lett. B418 (1998) 317-323","10.1016/S0370-2693(97)01280-X","IPM-97-198","hep-th",,"  A closed form of the Picard-Fuchs equations for N=2 supersymmetric Yang-Mills
theories with massless hypermultiplet are obtained for classical Lie gauge
groups. We consider any number of massless matter in fundamental representation
so as to keep the theory asymptotically free.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 13:01:38 GMT""},{""version"":""v2"",""created"":""Wed, 2 Apr 1997 11:56:00 GMT""}]","2016-09-06"
"hep-th/9703187","Roger Sollie","I. Brevik, R. Sollie","On the Casimir energy for a 2N-piece relativistic string","22 pages, LaTeX. To appear in J. Math. Physics, June 1997","J.Math.Phys.38:2774-2785,1997","10.1063/1.532018",,"hep-th",,"  The Casimir energy for the transverse oscillations of a piecewise uniform
closed string is calculated. The string consists of 2N pieces of equal length,
of alternating type I and type II material, and is taken to be relativistic in
the sense that the velocity of sound always equals the velocity of light. By
means of a new recursion formula we manage to calculate the Casimir energy for
arbitrary integers N. Agreement with results obtained in earlier works on the
string is found in all special cases. As basic regularization method we use the
contour integration method. As a check, agreement is found with results
obtained from the \zeta function method (the Hurwitz function) in the case of
low N (N = 1-4). The Casimir energy is generally negative, and the more so the
larger is the value of N. We illustrate the results graphically in some cases.
The generalization to finite temperature theory is also given.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 13:36:36 GMT""}]","2009-09-25"
"hep-th/9703188","Murat Gunaydin","Behzad Bina and Murat Gunaydin","Real forms of nonlinear superconformal and quasi-superconformal algebras
  and their unified realization","A paragraph together with a few new references added. Version to
  appear in Nuclear Physics B. 36 pages, latex file","Nucl.Phys.B502:713-740,1997","10.1016/S0550-3213(97)00406-9","PSU/TH/172 (February 1997)","hep-th",,"  We give a complete classification of the real forms of simple nonlinear
superconformal algebras (SCA) and quasi-superconformal algebras (QSCA) and
present a unified realization of these algebras with simple symmetry groups.
This classification is achieved by establishing a correspondence between simple
nonlinear QSCA's and SCA's and quaternionic and super-quaternionic symmetric
spaces of simple Lie groups and Lie supergroups, respectively. The unified
realization involves a dimension zero boson (dilaton), dimension one symmetry
currents and dimension 1/2 free bosons for QSCA'a and dimension 1/2 free
fermions for SCA's. The dimension 1/2 free bosons and fermions are associated
with the quaternionic and super-quaternionic symmetric spaces of corresponding
Lie groups and Lie supergroups, respectively. We conclude with a discussion of
possible applications of our results.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 15:32:41 GMT""},{""version"":""v2"",""created"":""Fri, 16 May 1997 21:17:11 GMT""},{""version"":""v3"",""created"":""Mon, 28 Jul 1997 18:25:49 GMT""}]","2011-02-09"
"hep-th/9703189",,"Ivan K. Kostov, Matthias Staudacher and Thomas Wynter","Complex Matrix Models and Statistics of Branched Coverings of 2D
  Surfaces","21 pages, 2 figures, TeX, harvmac.tex, epsf.tex, TeX ""big""","Commun.Math.Phys.191:283-298,1998","10.1007/s002200050269","SPhT-97/022, CERN-TH/97-53","hep-th",,"  We present a complex matrix gauge model defined on an arbitrary
two-dimensional orientable lattice. We rewrite the model's partition function
in terms of a sum over representations of the group U(N). The model solves the
general combinatorial problem of counting branched covers of orientable Riemann
surfaces with any given, fixed branch point structure. We then define an
appropriate continuum limit allowing the branch points to freely float over the
surface. The simplest such limit reproduces two-dimensional chiral U(N)
Yang-Mills theory and its string description due to Gross and Taylor.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 15:25:47 GMT""}]","2014-11-18"
"math/9703210",,"Arun Ram, D. E. Taylor","Explicit irreducible representations of the Iwahori-Hecke algebra of
  type $F_4$",,,,"MSRI 1997-027","math.RT math.QA",,"  A general method for computing irreducible representations of Weyl groups and
Iwahori-Hecke algebras was introduced earlier by the first author. The
representations of the algebras of types $A_n$, $B_n$, $D_n$ and $G_2$ were
computed and it is the purpose of this paper to extend these computations to
$F_4$. The main goal here is to compute irreducible representations of the
Iwahori-Hecke algebra of type $F_4$ by only using information in the character
table of the Weyl group.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 00:00:00 GMT""}]","2016-09-07"
"math/9703211",,"Sergei V. Matveev","On a computer recognition of 3-manifolds",,,,"MSRI 1997-028","math.GT",,"  We describe theoretical backgrounds for a computer program that recognizes
all closed orientable 3-manifolds up to complexity 8. The program can treat
also not necessarily closed 3-manifolds of bigger complexities, but here some
unrecognizable (by the program) 3-manifolds may occur.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 00:00:00 GMT""}]","2009-09-25"
"nucl-ex/9703004","Walter F. J. Mueller","Hongfei Xi (GSI and NSCL, MSU), ALADIN collaboration","Breakup Temperature of Target Spectators in Au + Au Collisions at E/A =
  1000 MeV","29 pages, TeX with 11 included figures; Revised version accepted for
  publication in Z. Phys. A Two additional figures","Z.Phys. A359 (1997) 397-406; Eur.Phys.J. A1 (1998) 235-235","10.1007/s002180050420","GSI-Preprint-97-20","nucl-ex",,"  Breakup temperatures were deduced from double ratios of isotope yields for
target spectators produced in the reaction Au + Au at 1000 MeV per nucleon.
Pairs of $^{3,4}$He and $^{6,7}$Li isotopes and pairs of $^{3,4}$He and H
isotopes (p, d and d, t) yield consistent temperatures after feeding
corrections, based on the quantum statistical model, are applied. The
temperatures rise with decreasing impact parameter from 4 MeV for peripheral to
about 10 MeV for the most central collisions.
  The good agreement with the breakup temperatures measured previously for
projectile spectators at an incident energy of 600 MeV per nucleon confirms the
observed universality of the spectator decay at relativistic bombarding
energies. The measured temperatures also agree with the breakup temperatures
predicted by the statistical multifragmentation model. For these calculations a
relation between the initial excitation energy and mass was derived which gives
good simultaneous agreement for the fragment charge correlations.
  The energy spectra of light charged particles, measured at $\theta_{lab}$ =
150$^{\circ}$, exhibit Maxwellian shapes with inverse slope parameters much
higher than the breakup temperatures. The statistical multifragmentation model,
because Coulomb repulsion and sequential decay processes are included, yields
light-particle spectra with inverse slope parameters higher than the breakup
temperatures but considerably below the measured values. The systematic
behavior of the differences suggests that they are caused by
light-charged-particle emission prior to the final breakup stage.
  PACS numbers: 25.70.Mn, 25.70.Pq, 25.75.-q
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 16:34:54 GMT""},{""version"":""v2"",""created"":""Tue, 14 Oct 1997 16:43:41 GMT""}]","2015-06-26"
"nucl-th/9703054","Greg Poulis","G.I. Poulis (University of Adelaide)","Parity-violating quasifree electron-deuteron scattering in a covariant
  approach","18 pages, RevTeX, 14 figures using epsfig (included)","Few Body Syst. 24 (1998) 139-173","10.1007/s006010050083","ADP-96-47/T241, to be published in Few-Body Systems","nucl-th",,"  The role of relativistic corrections associated with lower Dirac components
of the deuteron wavefunction, is examined for parity-violating (PV) electron
scattering. The relation between these corrections and negative energy
components of the struck nucleon in relativistic PWIA is elucidated. The model
dependence induced by describing such effects, using different deuteron vertex
functions and prescriptions for the half-off-shell nucleon vertices, is
compared against the precision required for studies of nucleon strangeness in
quasielastic PV $e-d$ scattering.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 06:15:05 GMT""}]","2009-10-30"
"nucl-th/9703055","Hiroaki Kounoh","Hiroaki Kouno (1), Katsuaki Sakamoto (1), Yoshitaka Iwasaki (1), Nobuo
  Noda (1), Tomohiro Mitsumori (1), Kazuharu Koide(1), Akira Hasegawa (1) and
  Masahiro Nakano (2), ((1) Saga University, (2) University of Occupational and
  Environmental Health)","Vacuum Effects and Compressional Properties of Nuclear Matter in Cutoff
  Field Theory","PACS numbers, 21.65.+f","Prog.Theor.Phys. 98 (1997) 1123-1138","10.1143/PTP.98.1123","SAGA-HE-120-97","nucl-th",,"  Including the vacuum effects, the compressional properties of nuclear matter
are studied in the cutoff field theory. Under the Hartree approximation, the
low-energy effective Lagrangian is derived in the framework of the
renormalization group methods. The coefficients are determined in a way where
the physical results hardly depend on the value of the cutoff which is
conveniently introduced into the theory. It is shown that, to reproduce the
empirical data of the nucleus incompressibility, the compressibility of the
nuclear matter is favorable to be 250$\sim$350MeV.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 11:44:00 GMT""}]","2009-10-30"
"nucl-th/9703056","Helmut Hofmann","H.Hofmann and D. Kiderlen","A self-consistent treatment of damped motion for stable and unstable
  collective modes","31 pages, Latex, 7 Postscript figures; submitted to JMPE e-mail:
  hhofmann@physik.tu-muenchen.de www home page:
  http://www.physik.tu-muenchen.de/tumphy/e/T36/hofmann.html","Nucl.Instrum.Meth. A411 (1998) 243-274","10.1142/S0218301398000105",,"nucl-th",,"  We address the dynamics of damped collective modes in terms of first and
second moments. The modes are introduced in a self-consistent fashion with the
help of a suitable application of linear response theory. Quantum effects in
the fluctuations are governed by diffusion coefficients D_{\mu\nu}. The latter
are obtained through a fluctuation dissipation theorem generalized to allow for
a treatment of unstable modes. Numerical evaluations of the D_{\mu\nu} are
presented. We discuss briefly how this picture may be used to describe global
motion within a locally harmonic approximation. Relations to other methods are
discussed, like ""dissipative tunneling"", RPA at finite temperature and
generalizations of the ""Static Path Approximation"".
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 12:55:19 GMT""}]","2015-06-26"
"nucl-th/9703057","Helmut Hofmann","H.Hofmann and D. Kiderlen","Statistical fluctuations for the fission process on its decent from
  saddle to scission","12 pages, Latex, 5 Postscript figures; submitted to PRC e-mail:
  hhofmann@physik.tu-muenchen.de www home page:
  http://www.physik.tu-muenchen.de/tumphy/e/T36/hofmann.html","Phys.Rev.C56:1025-1030,1997","10.1103/PhysRevC.56.1025",,"nucl-th",,"  We reconsider the importance of statistical fluctuations for fission dynamics
beyond the saddle in the light of recent evaluations of transport coefficients
for average motion. The size of these fluctuations are estimated by means of
the Kramers-Ingold solution for the inverted oscillator, which allows for an
inclusion of quantum effects.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 12:56:39 GMT""}]","2008-11-26"
"q-alg/9703042","Akueson A. S. P.-Istv","D. Gurevich, J. Donin, V. Rubstov","Two types of Poisson pencils and related quantum objects","23 pages Latex, to appear in Lie goups, their representations,
  generalizations and applications, Kluwer",,,,"q-alg math.QA",,"  Two types of Poisson pencils connected to classical R-matrices and their
quantum counterparts are considered. A representation theory of the quantum
algebras related to some symmetric orbits in $sl(n)^*$ is constructed. A
twisted version of quantum mechanics is discussed.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:13:32 GMT""}]","2008-02-03"
"quant-ph/9703048","Eric Rains","Eric M. Rains (AT&T Research)","Nonbinary quantum codes","11 pages, AMSTeX",,,,"quant-ph",,"  We present several results on quantum codes over general alphabets (that is,
in which the fundamental units may have more than 2 states). In particular, we
consider codes derived from finite symplectic geometry assumed to have
additional global symmetries. From this standpoint, the analogues of
Calderbank-Shor-Steane codes and of GF(4)-linear codes turn out to be special
cases of the same construction. This allows us to construct families of quantum
codes from certain codes over number fields; in particular, we get analogues of
quadratic residue codes, including a single-error correcting code encoding one
letter in five, for any alphabet size. We also consider the problem of
fault-tolerant computation through such codes, generalizing ideas of Gottesman.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 18:56:01 GMT""}]","2007-05-23"
