"adap-org/9708004","Henri Waelbroeck","J. Mora, C. Stephens and H. Waelbroeck","Symmetry Breaking and Adaptation: Evidence from a Toy Model of a Virus","TeX source, 10 p., please email hwael or stephens for figures",,,"ICN-UNAM-97-11","adap-org nlin.AO q-bio",,"  We argue that the phenomenon of symmetry breaking in genetics can enhance the
adaptability of a species to changes in the environment. In the case of a
virus, the claim is that the codon bias in the neutralization epitope improves
the virus' ability to generate mutants that evade the induced immune response.
We support our claim with a simple ``toy model'' of a viral epitope evolving in
competition with the immune system. The effective selective advantage of a
higher mutability leads to a dominance of codons that favour non-synonymous
mutations. The results in this paper suggest the possibility of emergence of an
algorithmic language in more complicated systems.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:00:09 GMT""}]","2008-02-03"
"hep-th/9708038","Red Hat Linux User","Yoonbai Kim","Thirring Model in Lower Dimensions: Nonperturbative Approaches","9 pages of LaTeX, Talk given at the International Workshop on
  Prespectives of Strong Coupling Gauge Theories(SCGT96), Nagoya, Japani,
  November 1996",,,,"hep-th",,"  A reformulation of the Thirring model as a gauge theory on both continuum
spacetime and discretized lattice is reviewed. In (1+1) dimensions, our result
reproduces consistently the bosonization of the massless Thirring model. In
(2+1) dimensions, the analysis by use of Schwinger-Dyson equation is shown to
exhibit dynamical fermion mass generation when the number $N$ of four-component
fermions is less than the critical value $N_{cr}= 128/3\pi^{2}$.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 00:00:43 GMT""}]","2007-05-23"
"hep-th/9708039","Shinji Hirano","Shinji Hirano and Mitsuhiro Kato","Topological Matrix Model","18 pages, LaTeX, no figures, minor corrections and modifications,
  references added","Prog.Theor.Phys.98:1371-1384,1997","10.1143/PTP.98.1371","OU-HET 274, UT-Komaba/97-11","hep-th",,"  Starting from the primal principle based on the noncommutative nature of
(9+1)-dimensional spacetime, we construct a topologically twisted version of
the supersymmetric reduced model with a certain modification. Our formulation
automatically provides extra 1+1 dimensions, thereby the dimensions of
spacetime are promoted to 10+2. With a suitable gauge choice, we can reduce the
model with (10+2)-dimensional spacetime to the one with (9+1)-dimensions and
thus we regard this gauge as the light-cone gauge. It is suggested that the
model so obtained would describe the light-cone F-theory. From this viewpoint
we argue the relation of the reduced model to the matrix model of M-theory and
the SL(2,Z) symmetry of type IIB string theory. We also discuss the general
covariance of the matrix model in a broken phase, and make some comments on the
background independence.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:16:21 GMT""},{""version"":""v2"",""created"":""Sat, 16 Aug 1997 08:05:27 GMT""}]","2014-11-18"
"hep-th/9708041","Jose Fernandez Barbon","J.L.F. Barbon and A. Pasquinucci","D0-Branes, Constrained Instantons and D=4 Super Yang-Mills Theories","20 pp, harvmac, added comments on the multi-instanton case","Nucl.Phys. B517 (1998) 125-141","10.1016/S0550-3213(97)00819-5","CERN-TH/97-196, IFUM-576/FT","hep-th",,"  We consider in more detail the role of D0-branes as instantons in the
construction of SU(N) Super Yang-Mills and Super QCD theories in four
space-time dimensions with D4, D6 and NS-branes. In particular, we show how the
D0-branes describe both the exact and constrained instantons and reproduce the
correct pattern of lifting of zero modes on the various branches of these
models.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 15:24:23 GMT""},{""version"":""v2"",""created"":""Thu, 25 Sep 1997 14:48:56 GMT""}]","2009-10-30"
"hep-th/9708042","Andrei Johansen","D. Anselmi, D.Z. Freedman, M.T. Grisaru, A.A. Johansen","Nonperturbative Formulas for Central Functions of Supersymmetric Gauge
  Theories","latex, 27 pages","Nucl.Phys.B526:543-571,1998","10.1016/S0550-3213(98)00278-8","BRX-TH-420, CPTH-S.553.0897, HUTP-97/A037, MIT-CTP-2666","hep-th",,"  For quantum field theories that flow between ultraviolet and infrared fixed
points, central functions, defined from two-point correlators of the stress
tensor and conserved currents, interpolate between central charges of the UV
and IR critical theories. We develop techniques that allow one to calculate the
flows of the central charges and that of the Euler trace anomaly coefficient in
a general N=1 supersymmetric gauge theory. Exact, explicit formulas for
$SU(N_c)$ gauge theories in the conformal window are given and analysed. The
Euler anomaly coefficient always satisfies the inequality $% a_{UV}-a_{IR}>0$.
This is new evidence in strongly coupled theories that this quantity satisfies
a four-dimensional analogue of the $c$-theorem, supporting the idea of
irreversibility of the RG flow. Various other implications are discussed.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 15:47:50 GMT""}]","2009-10-08"
"math/9708206",,"Mario Eudave-Mu\~noz, Ying-Qing Wu","Nonhyperbolic Dehn fillings on hyperbolic 3-manifolds",,,,"MSRI 1997-084","math.GT",,"  We give three infinite families of examples of nonhyperbolic Dehn fillings on
hyperbolic manifolds. A manifold in the first family admits two Dehn fillings
of distance two apart, one of which is toroidal and annular, and the other is
reducible and $\partial$-reducible. A manifold in the second family has
boundary consisting of two tori, and admits two reducible Dehn fillings. A
manifold in the third family admits a toroidal filling and a reducible filling
with distance 3 apart. These examples establish the virtual bounds for
distances between certain types of nonhyperbolic Dehn fillings.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9708009","Dietrich Pelte","H. Merlitz, D. Pelte","The role of the quantum dispersion in the Coulomb correction of
  Bose-Einstein correlations","10 pages, LaTeX, 2 figures, 0.2 Mb postscript, submitted to Phys.
  Lett. B","Phys.Lett. B415 (1997) 411-417","10.1016/S0370-2693(97)01284-7",,"nucl-th",,"  The time dependent Schroedinger equation for two identical and charged pions
is solved using wavepacket states. It is shown that the expected Coulomb
distortion in the momentum correlation function is obliterated by the
dispersion of the localized states, and therefore becomes unobservable.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:08:10 GMT""}]","2009-10-30"
"physics/9708007","Shinya Watanabe","Tomas Bohr, Vachtang Putkaradze and Shinya Watanabe","Averaging theory for the structure of hydraulic jumps and separation in
  laminar free-surface flows","6 EPSI figs included by psfig; 4 pages; to appear in PRL, vol.79,
  1038 (Aug.11, 1997)",,"10.1103/PhysRevLett.79.1038",,"physics.flu-dyn",,"  We present a simple viscous theory of free-surface flows in boundary layers,
which can accommodate regions of separated flow. In particular this yields the
structure of stationary hydraulic jumps, both in their circular and linear
versions, as well as structures moving with a constant speed. Finally we show
how the fundamental hydraulic concepts of subcritical and supercritical flow,
originating from inviscid theory, emerge at intermediate length scales in our
model.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 12:01:37 GMT""}]","2009-10-30"
"physics/9708008",,"Uwe E. Meier, Frank Demmig (Univ. Hannover, D)","A Bicharacteristic Scheme for the Numerical Computation of
  Two-Dimensional Converging Shock Waves","4 pages, LaTeX, 7 figures","Proc. of Internat. Conf. on Fluid Engineering (ICFE 1997), Vol. 1,
  p. 141-144",,,"physics.flu-dyn physics.comp-ph",,"  A 2d unsteady bicharacteristic scheme with shock fitting is presented and its
characteristic step, shock point step and boundary step are described. The
bicharacteristic scheme is compared with an UNO scheme and the Moretti scheme.
Its capabilities are illustrated by computing a converging, deformed shock
wave.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:32:50 GMT""}]","2008-02-03"
"physics/9708009","B. M. Gammel","B. M. Gammel","Hurst's Rescaled Range Statistical Analysis for Pseudorandom Number
  Generators used in Physical Simulations","12 pages, 12 figures, 6 tables. Replaces previous version to correct
  citation [19]",,"10.1103/PhysRevE.58.2586",,"physics.comp-ph",,"  The rescaled range statistical analysis (R/S) is proposed as a new method to
detect correlations in pseudorandom number generators used in Monte Carlo
simulations. In an extensive test it is demonstrated that the RS analysis
provides a very sensitive method to reveal hidden long run and short run
correlations. Several widely used and also some recently proposed pseudorandom
number generators are subjected to this test. In many generators correlations
are detected and quantified.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:44:48 GMT""},{""version"":""v2"",""created"":""Tue, 11 Nov 1997 12:18:28 GMT""},{""version"":""v3"",""created"":""Thu, 13 Nov 1997 11:32:16 GMT""}]","2009-10-30"
"physics/9708010",,"J.C.J. Paasschens, M.J.M. de Jong (Philips Research Laboratories),
  P.W. Brouwer, and C.W.J. Beenakker (Leiden University)","Reflection of light from a disordered medium backed by a
  phase-conjugating mirror","27 pages RevTeX with 11 figures included with psfig","Phys. Rev. A 56, 4216 (1997)","10.1103/PhysRevA.56.4216","NL-M.S.19.340","physics.optics cond-mat.dis-nn",,"  This is a theoretical study of the interplay of optical phase-conjugation and
multiple scattering. We calculate the intensity of light reflected by a
phase-conjugating mirror when it is placed behind a disordered medium. We
compare the results of a fully phase-coherent theory with those from the theory
of radiative transfer. Both methods are equivalent if the dwell time
\tau_{dwell} of a photon in the disordered medium is much larger than the
inverse of the frequency shift 2\Delta\omega acquired at the phase-conjugating
mirror. When \tau_{dwell} \Delta\omega < 1, in contrast, phase coherence
drastically affects the reflected intensity. In particular, a minimum in the
dependence of the reflectance on the disorder strength disappears when
\Delta\omega is reduced below 1/\tau_{dwell}. The analogies and differences
with Andreev reflection of electrons at the interface between a normal metal
and a superconductor are discussed.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:56:38 GMT""}]","2008-02-03"
"q-alg/9708008","Weiqiang Wang","Weiqiang Wang","W{1+ \infty} algebra, W_3 algebra, and Friedan-Martinec-Shenker
  bosonization","Latex, 23 pages","Commun.Math.Phys. 195 (1998) 95-111","10.1007/s002200050381",,"q-alg hep-th math.QA",,"  We show that the vertex algebra W{1+ \infty} with central charge -1 is
isomorphic to a tensor product of the simple W_3 algebra with central charge -2
and a Heisenberg vertex algebra generated by a free bosonic field. We construct
a family of irreducible modules of the W_3 algebra with central charge -2 in
terms of free fields and calculate the full character formulas of these modules
with respect to the full Cartan subalgebra of the W_3 algebra.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 07:38:20 GMT""}]","2009-10-30"
"quant-ph/9708011",,"M. Rigo, F. Mota-Furtado, P. F. O'Mahony","Continuous stochastic Schrodinger equations and localization","18 pages in LaTeX + 6 figures (postscript), uses ioplppt.sty. To
  appear in J. Phys. A","J.Phys.A30:7557-7571,1997","10.1088/0305-4470/30/21/026",,"quant-ph",,"  The set of continuous norm-preserving stochastic Schrodinger equations
associated with the Lindblad master equation is introduced. This set is used to
describe the localization properties of the state vector toward eigenstates of
the environment operator. Particular focus is placed on determining the
stochastic equation which exhibits the highest rate of localization for wide
open systems. An equation having such a property is proposed in the case of a
single non-hermitian environment operator. This result is relevant to numerical
simulations of quantum trajectories where localization properties are used to
reduce the number of basis states needed to represent the system state, and
thereby increase the speed of calculation.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 18:31:17 GMT""}]","2008-11-26"
"quant-ph/9708012","Michael Martin Nieto","Michael Martin Nieto","The Discovery of Squeezed States - In 1927","6 pages, LaTeX, to be published in the Procxeedings of the 5th
  International Conference on Squeezed States and Uncertainty Relations",,,"LA-UR-97-2760","quant-ph physics.hist-ph",,"  I first review a) the flowering of coherent states in the 1960's, yet b) the
discovery of coherent states in 1926, and c) the flowering of squeezed states
in the 1970's and 1980's. Then, with the background of the excitement over the
then new quantum mechanics, I describe d) the discovery of squeezed states in
1927.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 20:19:11 GMT""}]","2008-02-03"
"quant-ph/9708013","Scutaru Horia","Horia Scutaru","Fidelity for displaced squeezed states and the oscillator semigroup","3 pages, REVTEX, no figures, submitted to Journal of Physics A, May
  5, 1997","J.Phys.A31:3659-3663,1998","10.1088/0305-4470/31/15/025","FT-428-May 5-1997","quant-ph",,"  The fidelity for two displaced squeezed thermal states is computed using the
fact that the corresponding density operators belong to the oscillator
semigroup.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 10:38:24 GMT""}]","2008-11-26"
"quant-ph/9708014","Steck","H. Steck, M. Naraschewski, H. Wallis","Output of a pulsed atom laser","4 pages, RevTeX. Full ps file available on
  http://mpqibmr1.mpq.mpg.de:5000/~man/","Phys.Rev.Lett.80:1-5,1998","10.1103/PhysRevLett.80.1",,"quant-ph cond-mat.stat-mech physics.atom-ph",,"  We study the output properties of a pulsed atom laser consisting of an
interacting Bose-Einstein condensate (BEC) in a magnetic trap and an additional
rf field transferring atoms to an untrapped Zeeman sublevel. For weak output
coupling we calculate the dynamics of the decaying condensate population, of
its chemical potential and the velocity of the output atoms analytically.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 14:53:56 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 1997 09:12:03 GMT""}]","2009-01-23"
"quant-ph/9708015","Michal Horodecki","Michal Horodecki and Pawel Horodecki","Reduction criterion of separability and limits for a class of protocols
  of entanglement distillation","RevTeX, 13 pages, rewritten to more readable form, some details added",,,,"quant-ph",,"  We analyse the problem of distillation of entanglement of mixed states in
higher dimensional compound systems. Employing the positive maps method [M.
Horodecki et al., Phys. Lett. A 223 1 (1996)] we introduce and analyse a
criterion of separability which relates the structures of the total density
matrix and its reductions. We show that any state violating the criterion can
be distilled by suitable generalization of the two-qubit protocol which
distills any inseparable two-qubit state. Conversely, all the states which can
be distilled by such a protocol must violate the criterion. The proof involves
construction of the family of states which are invariant under transformation
$\varrho\to U\otimes U^*\varrho U^\dagger\otimes U^{*\dagger}$ where $U$ is a
unitary transformation and star denotes complex conjugation. The states are
related to the depolarizing channel generalized to non-binary case.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:01:50 GMT""},{""version"":""v2"",""created"":""Fri, 6 Feb 1998 15:53:58 GMT""},{""version"":""v3"",""created"":""Thu, 9 Apr 1998 14:21:04 GMT""}]","2008-02-03"
"solv-int/9708002","Francois Delduc","F. Delduc, L. Feher, L. Gallot","Nonstandard Drinfeld-Sokolov reduction","19 pages, LaTeX file",,"10.1088/0305-4470/31/25/006","ENSLAPP-L-658, DIAS-STP-97-12","solv-int hep-th nlin.SI",,"  Subject to some conditions, the input data for the Drinfeld-Sokolov
construction of KdV type hierarchies is a quadruplet $(\A,\Lambda, d_1, d_0)$,
where the $d_i$ are $\Z$-gradations of a loop algebra $\A$ and $\Lambda\in \A$
is a semisimple element of nonzero $d_1$-grade. A new sufficient condition on
the quadruplet under which the construction works is proposed and examples are
presented. The proposal relies on splitting the $d_1$-grade zero part of $\A$
into a vector space direct sum of two subalgebras. This permits one to
interpret certain Gelfand-Dickey type systems associated with a nonstandard
splitting of the algebra of pseudo-differential operators in the
Drinfeld-Sokolov framework.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 12:08:16 GMT""}]","2009-10-30"
