"alg-geom/9707018","James M. Turner","James M. Turner","On Simplicial Commutative Rings with Vanishing Andr\'e-Quillen Homology","14 pages, LaTeX2e",,,,"alg-geom math.AC math.AG q-alg",,"  We propose a generalization of a conjecture of D. Quillen, on the vanishing
of Andr\'e-Quillen homology, to simplicial commutative rings. This conjecture
characterizes a notion of local complete intersection, extended to the
simplicial setting, under a suitable hypothesis on the local characteristic.
Further, under the condition of finite-type homology, we then prove the
conjecture in the case of a simplicial commutative algebra augmented over a
field of non-zero characteristic. As a consequence, we obtain a proof of
Quillen's conjecture for a Noetherian commutative algebra - again augmented
over a field of non-zero characteristic.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:38:39 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 17:46:38 GMT""}]","2008-02-03"
"hep-ph/9708203","Kiselev","V.V.Kiselev","Model for two generations of fermions","8 pages, some explanations and references are added",,,,"hep-ph hep-th",,"  In the model with the spontaneous breaking of chiral gauge symmetry, the
vacuum structure for the pair of Higgs fields can provide the introduction of
two generations of fermions. The mixing matrix of charged currents is
determined.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 09:16:12 GMT""},{""version"":""v2"",""created"":""Wed, 24 Sep 1997 20:42:48 GMT""},{""version"":""v3"",""created"":""Tue, 16 Dec 1997 07:16:39 GMT""},{""version"":""v4"",""created"":""Fri, 27 Feb 1998 05:57:59 GMT""}]","2008-02-03"
"hep-ph/9708204","Renard Fernand Michel","G.J. Gounaris, J. Layssac, D.T. Papadamou, G. Tsirigoti and F.M.
  Renard","Tests of possible non standard properties of the heavy quarks and the
  Higgs boson","11 pages and 2 figures. e-mail: renard@lpmsun2.lpm.univ-montp2.fr",,,"PM 97/28, THES-TP 97/06","hep-ph",,"  We discuss the sensitivity of the processes e+e- to b b(bar), e+e- to t
t(bar) and gamma gamma to H to certain residual New Physics interactions
affecting the heavy quark and Higgs boson sector. With a linear collider of 500
GeV, one should be able to detect and identify such effects with a
characteristic scale up to 50 TeV.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 05:54:12 GMT""}]","2007-05-23"
"hep-ph/9708205","Robert Foot","R. Foot","An alternative SU(4) x SU(2)L x SU(2)R model","9 pages, Latex (1 Figure)","Phys.Lett. B420 (1998) 333-339","10.1016/S0370-2693(97)01519-0","UM-P-97/48","hep-ph",,"  A simple alternative to the usual Pati-Salam model is proposed. The model
allows quarks and leptons to be unified with gauge group $SU(4) \otimes SU(2)_L
\otimes SU(2)_R$ at a remarkably low scale of about 1 TeV. Neutrino masses in
the model arise radiatively and are naturally light.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 06:12:06 GMT""}]","2009-10-30"
"hep-ph/9708206","Wu Yue-liang","Wu Yue-Liang (Y.L.WU) and Zhou Guang-Zhao (K.C. Chou)","A Possible Unification Model for All Basic Forces","9 pages, Revtex, no figures, minor changes, Published in: Science in
  China, Series A41 (1998) 324",,,"AS-ITP-97-22","hep-ph gr-qc hep-th",,"  A unification model for strong, electromagnetic, weak and gravitational
forces is proposed. The tangent space of ordinary coordinate 4-dimensional
spacetime is a submanifold of an 14-dimensional internal spacetime spanned by
four frame fields. The unification of the standard model with gravity is
governed by gauge symmetry in the internal spacetime.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 06:21:36 GMT""},{""version"":""v2"",""created"":""Tue, 22 Dec 1998 08:02:29 GMT""}]","2008-02-03"
"hep-ph/9708207","Kari Rummukainen","K. Kajantie (1,2), M. Laine (3), J. Peisa (4), A. Rajantie (2), K.
  Rummukainen (5) and M. Shaposhnikov (1) ((1) CERN Theory Division, (2)
  University of Helsinki, (3) Heidelberg University, (4) University of
  Liverpool, (5) Bielefeld University)","Non-perturbative Debye mass in finite T QCD","4 pages, Latex","Phys.Rev.Lett.79:3130-3133,1997","10.1103/PhysRevLett.79.3130","BI-TP 97/28, CERN-TH/97-191","hep-ph hep-lat",,"  Employing a non-perturbative gauge invariant definition of the Debye
screening mass m_D in the effective field theory approach to finite T QCD, we
use 3d lattice simulations to determine the leading O(g^2) and to estimate the
next-to-leading O(g^3) corrections to m_D in the high temperature region. The
O(g^2) correction is large and modifies qualitatively the standard
power-counting hierarchy picture of correlation lengths in high temperature
QCD.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 10:41:19 GMT""}]","2010-04-06"
"hep-ph/9708209","Gabriela Barenboim","G. Barenboim and F.J.Botella (Departament de Fisica Teorica,
  Univeritat de Valencia and IFIC)","$\Delta F = 2$ Effective Lagrangian in theories with vector like
  fermions","18 pages, Latex, 9 figures. Typos and misprints were corrected and
  some references added. To appear in Phys. Lett. b","Phys.Lett. B433 (1998) 385-395","10.1016/S0370-2693(98)00695-9","FTUV/97-53, IFIC/97-54","hep-ph",,"  In this work we analyze a new piece present in the $\Delta F = 2$ effective
Lagrangian in models with extra vector-like quarks. This piece, which was not
taken into account previously, is required in order to preserve gauge
invariance once the unitarity of the CKM matrix is lost. We illustrate the
effects of this new piece in both, CP conserving and CP violating processes.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 11:44:28 GMT""},{""version"":""v2"",""created"":""Thu, 4 Sep 1997 11:17:34 GMT""}]","2009-10-30"
"hep-ph/9708210","Juan I. Collar","R. J. Creswick, F. T. Avignone III, J. I. Collar, H. A. Farach, A. O.
  Gattone, S. Nussinov and K. Zioutas","Theory for the Direct Detection of Solar Axions by Coherent Primakoff
  Conversion in Germanium Detectors","gzipped postscript file from Microsoft Word, 8 pages. Figures can be
  obtained by fax from Juan.Collar@cern.ch. Submitted to Phys. Lett. B","Phys.Lett. B427 (1998) 235-240","10.1016/S0370-2693(98)00183-X",,"hep-ph astro-ph",,"  It is assumed that axions exist and are created in the Sun by Primakoff
conversion of photons in the Coulomb fields of nuclei. Detection rates are
calculated in germanium detectors due to the coherent conversion of axions to
photons in the lattice when the incident angle fulfills the Bragg condition for
a given crystalline plane. The rates are correlated with the relative positions
of the Sun and detector, yielding a characteristic recognizable sub-diurnal
temporal pattern. A major experiment is proposed based on a large detector
array.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 12:44:38 GMT""}]","2009-10-30"
"hep-ph/9708211","Hai-Yang Cheng","Hai-Yang Cheng and B. Tseng","Nonfactorizable Effects in Exclusive Charmless B Decays","12 pages, 3 figures included",,,"IP-ASTP-04-97, NTU-TH-97-09","hep-ph",,"  Nonfactorizable effects in charmless $B\to PP, VP$ decays can be lumped into
the effective parameters a_i that are linear combinations of Wilson
coefficients, or equivalently absorbed into the effective number of colors N_c.
Naive factorization with N_c=3 fails to explain the CLEO data of $B^\pm \to
\omega K^\pm$, showing the first evidence for the importance of nonfactorizable
contributions to the penguin amplitude. The decays $B^\pm \to \omega\pi^\pm$
dominated by tree amplitudes are sensitive to the interference between external
and internal W-emission diagrams. Destructive interference implied by
$N_c=\infty$ leads to a prediction of ${\cal B}(B^\pm \to \omega \pi^\pm)$
which is about $2\sigma$ too small compared to experiment. Therefore, the CLEO
data of $B^\pm \to \omega K^\pm, \omega\pi^\pm$ suffice to rule out N_c=3 and
strongly disfavor $N_c=\infty$ for rare charmless B decays. Factorization based
on $N_c\approx 2$ can accommodate the data of $B^\pm \to \omega K^\pm$, but it
predicts a slightly smaller branching ratio of $B^\pm \to \omega\pi^\pm$ with
${\cal B}(B^\pm \to \omega\pi^\pm)/{\cal B} (B^\pm \to \omega K^\pm)=0.6$. We
briefly explain why the 1/N_c expansion is still applicable to the B meson
decay once the correct large-N_c counting rule for the Wilson coefficient
c_2(m_b) is applied.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 05:07:28 GMT""}]","2007-05-23"
"hep-ph/9708212","John Smith","J. Smith (Deutsches Electronen-Synchrotron DESY)","Theoretical aspects of heavy-flavour electroproduction","10 pages, Latex, 5 postscript figures uses epsfig.sty Report
  submitted to ""New trends in HERA Physics"", Ringberg, May 1997",,,,"hep-ph",,"  We discuss three theoretical schemes to describe charm quark
electroproduction.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:20:21 GMT""}]","2007-05-23"
"hep-ph/9708213","Lisi Eligio","G.L. Fogli, E. Lisi, and A. Marrone (Bari U. & INFN, Bari)","Upward-going muons and neutrino oscillations","19 pages (RevTeX) + 6 figures (postscript). Requires epsfig.sty","Phys.Rev.D57:5893-5902,1998","10.1103/PhysRevD.57.5893","BARI-TH-280-97","hep-ph",,"  The available upward-going muon data from the Kamiokande, Baksan, MACRO, IMB,
and SuperKamiokande experiments are reviewed and combined. Bounds on the
neutrino mass and mixing parameters are derived for oscillations in two and
three flavors. These bounds are not in significant conflict with the
oscillation solution to the atmospheric neutrino flavor anomaly observed in the
sub-GeV and multi-GeV energy range. The combination of all the available
atmospheric data tends to favor the nu_mu <---> nu_e channel with respect to
the nu_mu <---> nu_tau channel, and to disfavor the threefold maximal mixing
scenario.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:57:01 GMT""}]","2009-10-07"
"hep-ph/9708214","Christoph Greub","C. Greub and T. Hurth","$B \to X_s gamma$ in the Standard Model","11 pages including 2 postscript figures",,"10.1142/9789814503952_0014","DESY 97-144, SLAC-PUB-7612,ITP-SB-97-46","hep-ph",,"  We give a summary about the various contributions which have to be calculated
in order to obtain the next-to-leading logarithmic result for the branching
ratio $BR(B \to X_s \gamma)$. Combining all these ingredients, which were
obtained by different groups, a complete next-to-leading-logarithmic prediction
of the inclusive decay rate was recently presented in the literature. The
theoretical uncertainty in the partonic decay rate is now at the 10% level,
i.e., less than half of the error in the previous leading-logarithmic result.
We also mention the impact of non-perturbative corrections which scale like
$1/m_b^2$ and discuss in some more detail the recently discovered corrections
which scale like $1/m_c^2$. It turns out that the $1/m_b^2$- and the $1/m_c^2$
terms lead to corrections to the branching ratio $BR(B \to X_s \gamma)$ well
below the 10% level.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 15:12:04 GMT""}]","2016-11-03"
"hep-ph/9708215","Luis Bettencourt","Nuno D. Antunes, Luis M. A. Bettencourt, Mark Hindmarsh","The Thermodynamics of Cosmic String densities in U(1) Scalar Field
  Theory","4 pages, 4 figures, RevTeX","Phys.Rev.Lett. 80 (1998) 908-911","10.1103/PhysRevLett.80.908","HD-THEP-97-33, SUSX-TH-97-012","hep-ph astro-ph cond-mat hep-lat hep-th",,"  We present a full characterization of the phase transition in U(1) scalar
field theory and of the associated vortex string thermodynamics in 3D. We show
that phase transitions in the string densities exist and measure their critical
exponents, both for the long string and the short loops. Evidence for a natural
separation between these two string populations is presented. In particular our
results strongly indicate that an infinite string population will only exist
above the critical temperature. Canonical initial conditions for cosmic string
evolution are show to correspond to the infinite temperature limit of the
theory.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 15:47:04 GMT""}]","2016-09-06"
"hep-th/9707255","Stanislav Boldyrev","S. Boldyrev","Burgers turbulence with pressure","4 pages, revtex","Phys.Plasmas 5 (1998) 1681","10.1063/1.872836",,"hep-th",,"  The randomly driven Burgers equation with pressure is considered as a 1D
model of strong turbulence of compressible fluid. It is shown that infinitely
small pressure provides a finite effect on the velocity and density statistics
and this case therefore is qualitatively different from turbulence without
pressure. We establish the corresponding operator product expansion and predict
the intermittent velocity- difference and mass-difference PDFs. We then apply
the developed methods to the statistics of a passive scalar advected by the
Burgers field.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 22:23:19 GMT""}]","2009-10-30"
"hep-th/9707260","Nick Evans","Nick Evans (Boston University), Steve Hsu (Yale), Myck Schwetz (Yale)","Lattice Tests of Supersymmetric Yang-Mills Theory?","17 pages, Latex, some corrections, added discussion",,,"BUHEP-97-20, YCTP-P11-97","hep-th hep-lat hep-ph",,"  Supersymmetric Yang Mills theory is directly accessible to lattice
simulations using current methodology, and can provide a non-trivial check of
recent exact results in SQCD. In order to tune the lattice simulation to the
supersymmetric point it is neccessary to understand the behavior of the theory
with a small supersymmetry breaking gaugino mass. We introduce a soft breaking
gaugino mass in a controlled fashion using a spurion analysis. We compute the
gluino condensate, vacuum energy and bound-state masses as a function of the
gaugino mass, providing more readily accessible predictions which still test
the supersymmetric results. Finally we discuss diagnostics for obtaining the
bare lattice parameters that correspond to the supersymmetric continuum limit.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 18:14:35 GMT""},{""version"":""v2"",""created"":""Mon, 4 May 1998 14:24:13 GMT""}]","2008-02-03"
"hep-th/9707261","Bernard de Wit","B. de Wit, K. Peeters and J.C. Plefka","The supermembrane with winding","Contribution to the proc. SUSY '97, Latex with espcrc2 style file","Nucl.Phys.Proc.Suppl. 62 (1998) 405-411","10.1016/S0920-5632(97)00681-6","THU-97/20, NIKHEF 96-032","hep-th",,"  The supersymmetry algebra for supermembranes, quantized in the light-cone
gauge, exhibits central charges induced by wrapping the membrane around compact
dimensions. These central charges are manifestly consistent with Lorentz
symmetry. While the central charges raise the mass of the membrane states, they
still leave the mass spectrum continuous, at least generically. The lower bound
on the mass spectrum is set by the winding number and corresponds to a BPS
state.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 18:40:50 GMT""}]","2009-10-30"
"hep-th/9707262","Bernard de Wit","J. De Jaegher, B. de Wit, B. Kleijn and S. Vandoren","Special geometry in hypermultiplets","Latex 36 pp. A few minor corrections","Nucl.Phys. B514 (1998) 553-582","10.1016/S0550-3213(97)00752-9","KUL-TF-97/14, THU-97/09, SWAT-97/150","hep-th",,"  We give a detailed analysis of pairs of vector and hypermultiplet theories
with N=2 supersymmetry in four spacetime dimensions that are related by the
(classical) mirror map. The symplectic reparametrizations of the special
K\""ahler space associated with the vector multiplets induce corresponding
transformations on the hypermultiplets. We construct the Sp(1)$\times$Sp($n$)
one-forms in terms of which the hypermultiplet couplings are encoded and
exhibit their behaviour under symplectic reparametrizations. Both vector and
hypermultiplet theories allow vectorial central charges in the supersymmetry
algebra associated with integrals over the K\""ahler and hyper-K\""ahler forms,
respectively. We show how these charges and the holomorphic BPS mass are
related by the mirror map.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 19:33:02 GMT""},{""version"":""v2"",""created"":""Thu, 12 Feb 1998 21:26:31 GMT""}]","2009-10-30"
"hep-th/9707263","Max Chaves","M. Chaves","Boson metastable ground states with spontaneous symmetry breaking",,"Phys.Lett. B415 (1997) 175-178","10.1016/S0370-2693(97)01236-7","UCR-EF-51","hep-th",,"  We show that a system of bosons in a T=0 quantum field theory can present
metastable ground states with spontaneous symmetry breaking, even in the
absence of an imaginary mass term. This gives a natural explanation to the
Davis-Shellard background field \exp(-i \omega_0 t) and adds a new degree of
freedom in boson systems, with possible applications in cosmology, condensed
matter and high energy physics.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 23:51:14 GMT""}]","2009-10-30"
"hep-th/9708001","Machiko Hatsuda","Machiko Hatsuda and Kiyoshi Kamimura","Covariant Quantization of The Super-D-string","19 pages, Latex; a paragraph added in section 5, to appear in
  Nucl.Phys.B, email hatuda@ipu.ac.jp, kamimura@ph.sci.toho-u.ac.jp","Nucl.Phys. B520 (1998) 493-512","10.1016/S0550-3213(98)00171-0",,"hep-th",,"  We present the covariant BRST quantization of the super-D-string. The
non-vanishing supersymmetric U(1) field strength ${\cal F}$ is essential for
the covariant quantization of the super-D-string as well as for its static
picture. A SO(2) parameter parametrizes a family of local supersymmetric (kappa
symmetric) systems including the super-D-string with ${\cal F}\ne 0$ and the
Green-Schwarz superstring with ${\cal F}= 0$. We suggest that $E^1$ (canonical
conjugate of U(1) gauge field) plays a role of the order parameter in the
Green-Schwarz formalism: the super-D-string exists for $E^1 \ne 0$ while the
fundamental Green-Schwarz superstring exists only for $E^1 =0$.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 03:23:29 GMT""},{""version"":""v2"",""created"":""Mon, 16 Mar 1998 07:42:16 GMT""}]","2009-10-30"
"hep-th/9708002","Ashoke Sen","Ashoke Sen","Strong Coupling Dynamics of Branes from M-theory","LaTeX file, 15 pages, section on brane-antibrane interaction revised
  with some of the results reinterpreted, new references added","JHEP 9710:002,1997","10.1088/1126-6708/1997/10/002","MRI-PHY-P970720","hep-th",,"  We study some aspects of the strong coupling dynamics of Dirichlet six
branes, anti- six branes, and orientifold planes by using the equivalence of
type IIA string theory and M-theory on S^1. In the strong coupling limit there
exists static configuration of brane and anti-brane at arbitrary separation,
suspended in an external magnetic field. The mass of the open string stretched
between the brane and the anti-brane approaches a finite positive value even
when the branes coincide. Similar result is obtained for a Dirichlet six brane
on top of an orientifold six plane. We also derive the anomalous gravitational
interaction on the brane and the orientifold plane from M-theory.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 10:25:50 GMT""},{""version"":""v2"",""created"":""Sat, 2 Aug 1997 06:29:49 GMT""},{""version"":""v3"",""created"":""Mon, 11 Aug 1997 04:21:02 GMT""},{""version"":""v4"",""created"":""Thu, 21 Aug 1997 16:26:01 GMT""}]","2009-10-30"
"nucl-th/9708001","Henning Heiselberg","Henning Heiselberg (Nordita)","HBT with Space- vs. Time-like Hydrodynamic Freezeout","Proc. of hydrodynamics workshop, may 12-16, Trento","Heavy Ion Phys. 5 (1997) 435-444","10.1007/BF03156118","Nordita 97-40/N","nucl-th",,"  Bose-Einstein correlations in relativistic heavy ion collisions and their
dependence on the freeze-out condition in hydrodynamic models is compared to
time-like freeze-out, where particles are emitted away only from the surface,
i.e. space- vs. time-like freeze-out. The corresponding HBT radii are
calculated for the two models emphasizing the difference in the outward HBT
radius.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 13:33:52 GMT""}]","2022-02-23"
"nucl-th/9708002","Jiri Adam","J. Adam, Franz Gross, and J.W. Van Orden","Lagrangian with off-shell vertices and field redefinitions","18 pages (Revtex), 4 eps figures","Few Body Syst.25:73-88,1998","10.1007/s006010050095","JLAB-THY-97-28, WM-97-110","nucl-th",,"  Meson exchange diagrams following from a lagrangian with off-shell
meson-nucleon couplings are compared with those generated from conventional
dynamics. The off-shell interactions can be transformed away with the help of a
nucleon field redefinition. Contributions to to the $NN$- and $3N$-potentials
and nonminimal contact e.m. meson-exchange currents are discussed, mostly for
an important case of scalar meson exchange. (pacs 11.10.Lm, 13.75.Cs, 21.30.-x,
24.10.Jv)
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:23:04 GMT""}]","2014-11-18"
"q-alg/9708001","Jonathan Fine","Jonathan Fine","On quantum topology, hypergraphs and flag vectors","14 pages",,,,"q-alg math.QA",,"  Each rule $f$ that assigns a vector $f(G)$ to an $(n+1)$-graph $G$ determines
a class (or property) of $n$-manifold invariants. An invariant $v=v(M)$ is in
this class if, for any triangulated manifold $|G|=M$, one has that $v(M)$ is a
linear function of $f(G)$. This paper defines a flag vector $f(G)$ for
$i$-graphs, whose associated invariants might be quantum, and which is of
interest in its own right. The definition (via the concept of shelling, and a
`disjoint pair of optional cells' rule for the link) seems to apply to any
finite combinatorial object, and so to any compact topological object that can
be triangulated. It also applies to finite groups.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 10:49:05 GMT""}]","2008-02-03"
"quant-ph/9707060","Lev Vaidman","Lev Vaidman and Ori Belkind","Strict Bounds on Franson Inequality","3 pages, LaTeX",,"10.1103/PhysRevA.57.1583",,"quant-ph",,"  An inequality, recently proposed by Franson [Phys. Rev. A 54, 3808 (1996)] is
analyzed and improved. The inequality connects the change of the expectation
value of an observable with the uncertainty of this observable. A strict bound
on the ratio between these two quantities is obtained.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:46:44 GMT""}]","2009-10-30"
"quant-ph/9708001","Karl-Peter Marzlin","Karl-Peter Marzlin and J""urgen Audretsch","Collapse and revival of ultracold atoms in a microwave cavity and of
  photons in parametric down-conversion","5 pages, RevTeX, 3 figures","Phys.Rev. A57 (1998) 1333","10.1103/PhysRevA.57.1333",,"quant-ph",,"  We present a new theoretical method to study a trapped gas of bosonic
two-level atoms interacting with a single mode of a microwave cavity. This
interaction is described by a trilinear Hamiltonian which is formally
completely equivalent to the one describing parametric down-conversion in
quantum optics. A system of differential equations describing the evolution,
including the long-time behaviour, of not only the mean value but also the
variance of the number of excited atoms is derived and solved analytically. For
different initial states the mean number of excited atoms exhibits periodically
reappearing dips, with an accompanying peak in the variance, or fractional
collapses and revivals. Closed expressions for the period and the revival time
are obtained.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 01:16:21 GMT""}]","2009-10-30"
"quant-ph/9708002","Kurt Jacobs","S. Bose, K. Jacobs and P. L. Knight","Preparation of Nonclassical States in Cavities with a Moving Mirror","13 pages, 18 eps figures included in tar file, revtex, multicol, to
  appear in Phys. Rev. A","Phys.Rev.A56:4175-4186,1997","10.1103/PhysRevA.56.4175",,"quant-ph",,"  We describe how a quantum system composed of a cavity field interacting with
a movable mirror can be utilized to generate a large variety of nonclassical
states of both the cavity field and the mirror. First we consider state
preparation of the cavity field. The system dynamics will prepare a single mode
of the cavity field in a multicomponent Schr\""{o}dinger cat state, in a similar
manner to that in a Kerr medium. In addition, when two or more cavity modes
interact with the mirror, they may be prepared in an entangled state which may
be regarded as a multimode generalisation of even and odd coherent states. We
show also that near-number states of a single mode may be prepared by
performing a measurement of the position of the mirror. Secondly we consider
state preparation of the mirror, and show that this macroscopic object may be
placed in a Scr\""{o}dinger cat state by a quadrature measurement of the light
field. In addition we examine the effect of the damping of the motion of the
mirror on the field states inside the cavity, and compare this with the effect
of cavity field damping.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:40:09 GMT""}]","2008-12-18"
"quant-ph/9708003","Dr N. Mavromatos","N.E. Mavromatos and D.V. Nanopoulos","On Quantum Mechanical Aspects of Microtubules","26 pages LATEX (minor typos corrected no effect on conclusions)",,"10.1142/S0217979298000326","ACT-12/97, CTP-TAMU-33/97, OUTP-97-37P","quant-ph cond-mat",,"  We discuss possible quantum mechanical aspects of MicroTubules (MT), based on
recent developments in quantum physics.We focus on potential mechanisms for
`energy-loss-free' transport along the microtubules, which could be considered
as realizations of Fr\""ohlich's ideas on the r\^ole of solitons for
superconductivity and/or biological matter. By representing the MT arrangements
as cavities,we present a novel scenario on the formation of macroscopic (or
mesoscopic) quantum-coherent states, as a result of the
(quantum-electromagnetic) interactions of the MT dimers with the surrounding
molecules of the ordered water in the interior of the MT cylinders. We suggest
specific experiments to test the above-conjectured quantum nature of the
microtubular arrangements inside the cell. These experiments are similar in
nature to those in atomic physics, used in the detection of the Rabi-Vacuum
coupling between coherent cavity modes and atoms. Our conjecture is that a
similar Rabi-Vacuum-splitting phenomenon occurs in the MT case.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:42:14 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 10:29:50 GMT""}]","2009-10-30"
